CLARKSON GO STATION PLATFORM B,6:42:00 AM,7:27:00 AM,8:12:00 AM,8:57:00 AM,9:42:00 AM,10:27:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27:00 PM,2:12:00 PM,2:57:00 PM,3:42:00 PM,4:27:00 PM,5:12:00 PM,5:57:00 PM,6:42:00 PM,7:27:00 PM,8:12:00 PM
ROYAL WINDSOR DR SECOND STOP west of AVONHEAD RD,6:47:00 AM,7:32:00 AM,8:17:00 AM,9:02:00 AM,9:47:00 AM,10:32:00 AM,11:17:00 AM,12:02:00 PM,12:47:00 PM,1:32:00 PM,2:17:00 PM,3:02:00 PM,3:47:00 PM,4:32:00 PM,5:17:00 PM,6:02:00 PM,6:47:00 PM,7:32:00 PM,8:17:00 PM
ROYAL WINDSOR DR THIRD STOP west of AVONHEAD RD,6:47:00 AM,7:32:00 AM,8:17:00 AM,9:02:00 AM,9:47:00 AM,10:32:00 AM,11:17:00 AM,12:02:00 PM,12:47:00 PM,1:32:00 PM,2:17:00 PM,3:02:00 PM,3:47:00 PM,4:32:00 PM,5:17:00 PM,6:02:00 PM,6:47:00 PM,7:32:00 PM,8:17:00 PM
ROYAL WINDSOR DR at WINSTON CHURCHILL BLVD,6:48:00 AM,7:33:00 AM,8:18:00 AM,9:03:00 AM,9:48:00 AM,10:33:00 AM,11:18:00 AM,12:03:00 PM,12:48:00 PM,1:33:00 PM,2:18:00 PM,3:03:00 PM,3:48:00 PM,4:33:00 PM,5:18:00 PM,6:03:00 PM,6:48:00 PM,7:33:00 PM,8:18:00 PM
WINSTON CHURCHILL BLVD at TRUSCOTT DR,6:50:00 AM,7:35:00 AM,8:20:00 AM,9:05:00 AM,9:50:00 AM,10:35:00 AM,11:20:00 AM,12:05:00 PM,12:50:00 PM,1:35:00 PM,2:20:00 PM,3:05:00 PM,3:50:00 PM,4:35:00 PM,5:20:00 PM,6:05:00 PM,6:50:00 PM,7:35:00 PM,8:20:00 PM
PLYMOUTH DR at WINSTON CHURCHILL BLVD,6:53:00 AM,7:38:00 AM,8:23:00 AM,9:08:00 AM,9:53:00 AM,10:38:00 AM,11:23:00 AM,12:08:00 PM,12:53:00 PM,1:38:00 PM,2:23:00 PM,3:08:00 PM,3:53:00 PM,4:38:00 PM,5:23:00 PM,6:08:00 PM,6:53:00 PM,7:38:00 PM,8:23:00 PM
BRISTOL CIRCLE at LONDON LANE,6:55:00 AM,7:40:00 AM,8:25:00 AM,9:10:00 AM,9:55:00 AM,10:40:00 AM,11:25:00 AM,12:10:00 PM,12:55:00 PM,1:40:00 PM,2:25:00 PM,3:10:00 PM,3:55:00 PM,4:40:00 PM,5:25:00 PM,6:10:00 PM,6:55:00 PM,7:40:00 PM,8:25:00 PM
BRISTOL CIRCLE at WINSTON PARK DR,6:55:00 AM,7:40:00 AM,8:25:00 AM,9:10:00 AM,9:55:00 AM,10:40:00 AM,11:25:00 AM,12:10:00 PM,12:55:00 PM,1:40:00 PM,2:25:00 PM,3:10:00 PM,3:55:00 PM,4:40:00 PM,5:25:00 PM,6:10:00 PM,6:55:00 PM,7:40:00 PM,8:25:00 PM
WINSTON CHURCHILL BLVD at DUNDAS ST W,6:59:00 AM,7:44:00 AM,8:29:00 AM,9:14:00 AM,9:59:00 AM,10:44:00 AM,11:29:00 AM,12:14:00 PM,12:59:00 PM,1:44:00 PM,2:29:00 PM,3:14:00 PM,3:59:00 PM,4:44:00 PM,5:29:00 PM,6:14:00 PM,6:59:00 PM,7:44:00 PM,8:29:00 PM
WINSTON CHURCHILL BLVD at DUNDAS ST,6:59:00 AM,7:44:00 AM,8:29:00 AM,9:14:00 AM,9:59:00 AM,10:44:00 AM,11:29:00 AM,12:14:00 PM,12:59:00 PM,1:44:00 PM,2:29:00 PM,3:14:00 PM,3:59:00 PM,4:44:00 PM,5:29:00 PM,6:14:00 PM,6:59:00 PM,7:44:00 PM,8:29:00 PM
