MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM C,5:57:00 AM,6:42:00 AM,7:27:00 AM,8:12:00 AM,8:57:00 AM,9:42:00 AM,10:27:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27:00 PM,2:12:00 PM,2:57:00 PM,3:42:00 PM,4:27:00 PM,5:12:00 PM,5:57:00 PM,6:42:00 PM,7:27:00 PM
WINSTON CHURCHILL BLVD at BATTLEFORD RD,6:00:00 AM,6:45:00 AM,7:30:00 AM,8:15:00 AM,9:00:00 AM,9:45:00 AM,10:30:00 AM,11:15:00 AM,12:00:00 PM,12:45:00 PM,1:30:00 PM,2:15:00 PM,3:00:00 PM,3:45:00 PM,4:30:00 PM,5:15:00 PM,6:00:00 PM,6:45:00 PM,7:30:00 PM
WINSTON CHURCHILL BLVD at BRITANNIA RD,6:03:00 AM,6:48:00 AM,7:33:00 AM,8:18:00 AM,9:03:00 AM,9:48:00 AM,10:33:00 AM,11:18:00 AM,12:03:00 PM,12:48:00 PM,1:33:00 PM,2:18:00 PM,3:03:00 PM,3:48:00 PM,4:33:00 PM,5:18:00 PM,6:03:00 PM,6:48:00 PM,7:33:00 PM
WINSTON CHURCHILL BLVD at THOMAS ST,6:06:00 AM,6:51:00 AM,7:36:00 AM,8:21:00 AM,9:06:00 AM,9:51:00 AM,10:36:00 AM,11:21:00 AM,12:06:00 PM,12:51:00 PM,1:36:00 PM,2:21:00 PM,3:06:00 PM,3:51:00 PM,4:36:00 PM,5:21:00 PM,6:06:00 PM,6:51:00 PM,7:36:00 PM
WINSTON CHURCHILL BLVD at EGLINTON AVE,6:10:00 AM,6:55:00 AM,7:40:00 AM,8:25:00 AM,9:10:00 AM,9:55:00 AM,10:40:00 AM,11:25:00 AM,12:10:00 PM,12:55:00 PM,1:40:00 PM,2:25:00 PM,3:10:00 PM,3:55:00 PM,4:40:00 PM,5:25:00 PM,6:10:00 PM,6:55:00 PM,7:40:00 PM
WINSTON CHURCHILL BLVD south of EGLINTON AVE,6:10:00 AM,6:55:00 AM,7:40:00 AM,8:25:00 AM,9:10:00 AM,9:55:00 AM,10:40:00 AM,11:25:00 AM,12:10:00 PM,12:55:00 PM,1:40:00 PM,2:25:00 PM,3:10:00 PM,3:55:00 PM,4:40:00 PM,5:25:00 PM,6:10:00 PM,6:55:00 PM,7:40:00 PM
WINSTON CHURCHILL BLVD at BURNHAMTHORPE RD,6:14:00 AM,6:59:00 AM,7:44:00 AM,8:29:00 AM,9:14:00 AM,9:59:00 AM,10:44:00 AM,11:29:00 AM,12:14:00 PM,12:59:00 PM,1:44:00 PM,2:29:00 PM,3:14:00 PM,3:59:00 PM,4:44:00 PM,5:29:00 PM,6:14:00 PM,6:59:00 PM,7:44:00 PM
WINSTON CHURCHILL BLVD at DUNDAS ST W,6:19:00 AM,7:04:00 AM,7:49:00 AM,8:34:00 AM,9:19:00 AM,10:04:00 AM,10:49:00 AM,11:34:00 AM,12:19:00 PM,1:04:00 PM,1:49:00 PM,2:34:00 PM,3:19:00 PM,4:04:00 PM,4:49:00 PM,5:34:00 PM,6:19:00 PM,7:04:00 PM,7:49:00 PM
WINSTON CHURCHILL BLVD at PLYMOUTH DR,6:21:00 AM,7:06:00 AM,7:51:00 AM,8:36:00 AM,9:21:00 AM,10:06:00 AM,10:51:00 AM,11:36:00 AM,12:21:00 PM,1:06:00 PM,1:51:00 PM,2:36:00 PM,3:21:00 PM,4:06:00 PM,4:51:00 PM,5:36:00 PM,6:21:00 PM,7:06:00 PM,7:51:00 PM
BRISTOL CIRCLE at LONDON LANE,6:24:00 AM,7:09:00 AM,7:54:00 AM,8:39:00 AM,9:24:00 AM,10:09:00 AM,10:54:00 AM,11:39:00 AM,12:24:00 PM,1:09:00 PM,1:54:00 PM,2:39:00 PM,3:24:00 PM,4:09:00 PM,4:54:00 PM,5:39:00 PM,6:24:00 PM,7:09:00 PM,7:54:00 PM
