MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM F,5:19:00 AM,5:52:00 AM,6:25:00 AM,6:58:00 AM,7:31:00 AM,8:04:00 AM,8:37:00 AM,9:10:00 AM,9:43:00 AM,10:16:00 AM,10:49:00 AM,11:22:00 AM,11:55:00 AM,12:28:00 PM,1:01:00 PM,1:34:00 PM,2:07:00 PM,2:40:00 PM,3:13:00 PM,3:46:00 PM,4:19:00 PM,4:52:00 PM,5:25:00 PM,5:58:00 PM,6:31:00 PM,7:04:00 PM,7:37:00 PM,8:10:00 PM,8:43:00 PM,9:16:00 PM,9:49:00 PM,10:22:00 PM,10:55:00 PM,11:28:00 PM,12:01:00 AM,12:34:00 AM
AQUITAINE AVE at MONTEVIDEO RD,5:22:00 AM,5:55:00 AM,6:28:00 AM,7:01:00 AM,7:34:00 AM,8:07:00 AM,8:40:00 AM,9:13:00 AM,9:46:00 AM,10:19:00 AM,10:52:00 AM,11:25:00 AM,11:58:00 AM,12:31:00 PM,1:04:00 PM,1:37:00 PM,2:10:00 PM,2:43:00 PM,3:16:00 PM,3:49:00 PM,4:22:00 PM,4:55:00 PM,5:28:00 PM,6:01:00 PM,6:34:00 PM,7:07:00 PM,7:40:00 PM,8:13:00 PM,8:46:00 PM,9:19:00 PM,9:52:00 PM,10:25:00 PM,10:58:00 PM,11:31:00 PM,12:04:00 AM,12:37:00 AM
BATTLEFORD RD at ERIN MILLS PKY,5:25:00 AM,5:58:00 AM,6:31:00 AM,7:04:00 AM,7:37:00 AM,8:10:00 AM,8:43:00 AM,9:16:00 AM,9:49:00 AM,10:22:00 AM,10:55:00 AM,11:28:00 AM,12:01:00 PM,12:34:00 PM,1:07:00 PM,1:40:00 PM,2:13:00 PM,2:46:00 PM,3:19:00 PM,3:52:00 PM,4:25:00 PM,4:58:00 PM,5:31:00 PM,6:04:00 PM,6:37:00 PM,7:10:00 PM,7:43:00 PM,8:16:00 PM,8:49:00 PM,9:22:00 PM,9:55:00 PM,10:28:00 PM,11:01:00 PM,11:34:00 PM,12:07:00 AM,12:40:00 AM
ERIN MILLS PKY at BRITANNIA RD,5:28:00 AM,6:01:00 AM,6:34:00 AM,7:07:00 AM,7:40:00 AM,8:13:00 AM,8:46:00 AM,9:19:00 AM,9:52:00 AM,10:25:00 AM,10:58:00 AM,11:31:00 AM,12:04:00 PM,12:37:00 PM,1:10:00 PM,1:43:00 PM,2:16:00 PM,2:49:00 PM,3:22:00 PM,3:55:00 PM,4:28:00 PM,5:01:00 PM,5:34:00 PM,6:07:00 PM,6:40:00 PM,7:13:00 PM,7:46:00 PM,8:19:00 PM,8:52:00 PM,9:25:00 PM,9:58:00 PM,10:31:00 PM,11:04:00 PM,11:37:00 PM,12:10:00 AM,12:43:00 AM
ERIN MILLS PKY at THOMAS ST,5:30:00 AM,6:03:00 AM,6:36:00 AM,7:09:00 AM,7:42:00 AM,8:15:00 AM,8:48:00 AM,9:21:00 AM,9:54:00 AM,10:27:00 AM,11:00:00 AM,11:33:00 AM,12:06:00 PM,12:39:00 PM,1:12:00 PM,1:45:00 PM,2:18:00 PM,2:51:00 PM,3:24:00 PM,3:57:00 PM,4:30:00 PM,5:03:00 PM,5:36:00 PM,6:09:00 PM,6:42:00 PM,7:15:00 PM,7:48:00 PM,8:21:00 PM,8:54:00 PM,9:27:00 PM,10:00:00 PM,10:33:00 PM,11:06:00 PM,11:39:00 PM,12:12:00 AM,12:45:00 AM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM F,5:34:00 AM,6:07:00 AM,6:40:00 AM,7:13:00 AM,7:46:00 AM,8:19:00 AM,8:52:00 AM,9:25:00 AM,9:58:00 AM,10:31:00 AM,11:04:00 AM,11:37:00 AM,12:10:00 PM,12:43:00 PM,1:16:00 PM,1:49:00 PM,2:22:00 PM,2:55:00 PM,3:28:00 PM,4:01:00 PM,4:34:00 PM,5:07:00 PM,5:40:00 PM,6:13:00 PM,6:46:00 PM,7:19:00 PM,7:52:00 PM,8:25:00 PM,8:58:00 PM,9:31:00 PM,10:04:00 PM,10:37:00 PM,11:10:00 PM,11:43:00 PM,12:16:00 AM,12:49:00 AM
CREDIT VALLEY HOSPITAL,5:38:00 AM,6:11:00 AM,6:44:00 AM,7:17:00 AM,7:50:00 AM,8:23:00 AM,8:56:00 AM,9:29:00 AM,10:02:00 AM,10:35:00 AM,11:08:00 AM,11:41:00 AM,12:14:00 PM,12:47:00 PM,1:20:00 PM,1:53:00 PM,2:26:00 PM,2:59:00 PM,3:32:00 PM,4:05:00 PM,4:38:00 PM,5:11:00 PM,5:44:00 PM,6:17:00 PM,6:50:00 PM,7:23:00 PM,7:56:00 PM,8:29:00 PM,9:02:00 PM,9:35:00 PM,10:08:00 PM,10:41:00 PM,11:14:00 PM,11:47:00 PM,12:20:00 AM,12:53:00 AM
ERIN MILLS PKY at FOLKWAY DR,5:42:00 AM,6:15:00 AM,6:48:00 AM,7:21:00 AM,7:54:00 AM,8:27:00 AM,9:00:00 AM,9:33:00 AM,10:06:00 AM,10:39:00 AM,11:12:00 AM,11:45:00 AM,12:18:00 PM,12:51:00 PM,1:24:00 PM,1:57:00 PM,2:30:00 PM,3:03:00 PM,3:36:00 PM,4:09:00 PM,4:42:00 PM,5:15:00 PM,5:48:00 PM,6:21:00 PM,6:54:00 PM,7:27:00 PM,8:00:00 PM,8:33:00 PM,9:06:00 PM,9:39:00 PM,10:12:00 PM,10:45:00 PM,11:18:00 PM,11:51:00 PM,12:24:00 AM,12:57:00 AM
THE COLLEGEWAY at SOUTH COMMON CENTRE ACCESS RD,5:45:00 AM,6:18:00 AM,6:51:00 AM,7:24:00 AM,7:57:00 AM,8:30:00 AM,9:03:00 AM,9:36:00 AM,10:09:00 AM,10:42:00 AM,11:15:00 AM,11:48:00 AM,12:21:00 PM,12:54:00 PM,1:27:00 PM,2:00:00 PM,2:33:00 PM,3:06:00 PM,3:39:00 PM,4:12:00 PM,4:45:00 PM,5:18:00 PM,5:51:00 PM,6:24:00 PM,6:57:00 PM,7:30:00 PM,8:03:00 PM,8:36:00 PM,9:09:00 PM,9:42:00 PM,10:15:00 PM,10:48:00 PM,11:21:00 PM,11:54:00 PM,12:27:00 AM,1:00:00 AM
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM E,5:47:00 AM,6:20:00 AM,6:53:00 AM,7:26:00 AM,7:59:00 AM,8:32:00 AM,9:05:00 AM,9:38:00 AM,10:11:00 AM,10:44:00 AM,11:17:00 AM,11:50:00 AM,12:23:00 PM,12:56:00 PM,1:29:00 PM,2:02:00 PM,2:35:00 PM,3:08:00 PM,3:41:00 PM,4:14:00 PM,4:47:00 PM,5:20:00 PM,5:53:00 PM,6:26:00 PM,6:59:00 PM,7:32:00 PM,8:05:00 PM,8:38:00 PM,9:11:00 PM,9:44:00 PM,10:17:00 PM,10:50:00 PM,11:23:00 PM,11:56:00 PM,12:29:00 AM,1:02:00 AM
