GLENGARRY RD at DUNDAS ST,6:14:00 AM,6:47:00 AM,7:20:00 AM,7:53:00 AM,8:26:00 AM,8:59:00 AM,9:32:00 AM,10:05:00 AM,10:38:00 AM,11:11:00 AM,11:44:00 AM,12:17:00 PM,12:50:00 PM,1:23:00 PM,1:56:00 PM,2:29:00 PM,3:02:00 PM,3:35:00 PM,4:08:00 PM,4:41:00 PM,5:14:00 PM,5:47:00 PM,6:20:00 PM,6:53:00 PM,7:26:00 PM,7:59:00 PM,8:32:00 PM,9:05:00 PM,9:38:00 PM
DUNDAS ST at WOLFEDALE RD,6:16:00 AM,6:49:00 AM,7:22:00 AM,7:55:00 AM,8:28:00 AM,9:01:00 AM,9:34:00 AM,10:07:00 AM,10:40:00 AM,11:13:00 AM,11:46:00 AM,12:19:00 PM,12:52:00 PM,1:25:00 PM,1:58:00 PM,2:31:00 PM,3:04:00 PM,3:37:00 PM,4:10:00 PM,4:43:00 PM,5:16:00 PM,5:49:00 PM,6:22:00 PM,6:55:00 PM,7:28:00 PM,8:01:00 PM,8:34:00 PM,9:07:00 PM,9:40:00 PM
HURON PARK ACCESS RD at QUEENSWAY,6:21:00 AM,6:54:00 AM,7:27:00 AM,8:00:00 AM,8:33:00 AM,9:06:00 AM,9:39:00 AM,10:12:00 AM,10:45:00 AM,11:18:00 AM,11:51:00 AM,12:24:00 PM,12:57:00 PM,1:30:00 PM,2:03:00 PM,2:36:00 PM,3:09:00 PM,3:42:00 PM,4:15:00 PM,4:48:00 PM,5:21:00 PM,5:54:00 PM,6:27:00 PM,7:00:00 PM,7:33:00 PM,8:06:00 PM,8:39:00 PM,9:12:00 PM,9:45:00 PM
CONFEDERATION PKY SECOND south of PAISLEY BLVD,6:29:00 AM,7:02:00 AM,7:35:00 AM,8:08:00 AM,8:41:00 AM,9:14:00 AM,9:47:00 AM,10:20:00 AM,10:53:00 AM,11:26:00 AM,11:59:00 AM,12:32:00 PM,1:05:00 PM,1:38:00 PM,2:11:00 PM,2:44:00 PM,3:17:00 PM,3:50:00 PM,4:23:00 PM,4:56:00 PM,5:29:00 PM,6:02:00 PM,6:35:00 PM,7:08:00 PM,7:41:00 PM,8:14:00 PM,8:47:00 PM,9:20:00 PM,9:53:00 PM
QUEENSWAY at TRILLIUM HOSPITAL,6:30:00 AM,7:03:00 AM,7:36:00 AM,8:09:00 AM,8:42:00 AM,9:15:00 AM,9:48:00 AM,10:21:00 AM,10:54:00 AM,11:27:00 AM,12:00:00 PM,12:33:00 PM,1:06:00 PM,1:39:00 PM,2:12:00 PM,2:45:00 PM,3:18:00 PM,3:51:00 PM,4:24:00 PM,4:57:00 PM,5:30:00 PM,6:03:00 PM,6:36:00 PM,7:09:00 PM,7:42:00 PM,8:15:00 PM,8:48:00 PM,9:21:00 PM,9:54:00 PM
PAISLEY BLVD east of HURONTARIO ST,6:32:00 AM,7:05:00 AM,7:38:00 AM,8:11:00 AM,8:44:00 AM,9:17:00 AM,9:50:00 AM,10:23:00 AM,10:56:00 AM,11:29:00 AM,12:02:00 PM,12:35:00 PM,1:08:00 PM,1:41:00 PM,2:14:00 PM,2:47:00 PM,3:20:00 PM,3:53:00 PM,4:26:00 PM,4:59:00 PM,5:32:00 PM,6:05:00 PM,6:38:00 PM,7:11:00 PM,7:44:00 PM,8:17:00 PM,8:50:00 PM,9:23:00 PM,9:56:00 PM
CAMILLA RD at NORTH SERVICE RD,6:36:00 AM,7:09:00 AM,7:42:00 AM,8:15:00 AM,8:48:00 AM,9:21:00 AM,9:54:00 AM,10:27:00 AM,11:00:00 AM,11:33:00 AM,12:06:00 PM,12:39:00 PM,1:12:00 PM,1:45:00 PM,2:18:00 PM,2:51:00 PM,3:24:00 PM,3:57:00 PM,4:30:00 PM,5:03:00 PM,5:36:00 PM,6:09:00 PM,6:42:00 PM,7:15:00 PM,7:48:00 PM,8:21:00 PM,8:54:00 PM,9:27:00 PM,10:00:00 PM
ASTA DR at BOISMERE CRT,6:41:00 AM,7:14:00 AM,7:47:00 AM,8:20:00 AM,8:53:00 AM,9:26:00 AM,9:59:00 AM,10:32:00 AM,11:05:00 AM,11:38:00 AM,12:11:00 PM,12:44:00 PM,1:17:00 PM,1:50:00 PM,2:23:00 PM,2:56:00 PM,3:29:00 PM,4:02:00 PM,4:35:00 PM,5:08:00 PM,5:41:00 PM,6:14:00 PM,6:47:00 PM,7:20:00 PM,7:53:00 PM,8:26:00 PM,8:59:00 PM,9:32:00 PM,10:05:00 PM
NORTH SERVICE RD at CAWTHRA RD,6:44:00 AM,7:17:00 AM,7:50:00 AM,8:23:00 AM,8:56:00 AM,9:29:00 AM,10:02:00 AM,10:35:00 AM,11:08:00 AM,11:41:00 AM,12:14:00 PM,12:47:00 PM,1:20:00 PM,1:53:00 PM,2:26:00 PM,2:59:00 PM,3:32:00 PM,4:05:00 PM,4:38:00 PM,5:11:00 PM,5:44:00 PM,6:17:00 PM,6:50:00 PM,7:23:00 PM,7:56:00 PM,8:29:00 PM,9:02:00 PM,9:35:00 PM,10:08:00 PM
DIXIE MALL BUS TERMINAL PLATFORM B,6:51:00 AM,7:24:00 AM,7:57:00 AM,8:30:00 AM,9:03:00 AM,9:36:00 AM,10:09:00 AM,10:42:00 AM,11:15:00 AM,11:48:00 AM,12:21:00 PM,12:54:00 PM,1:27:00 PM,2:00:00 PM,2:33:00 PM,3:06:00 PM,3:39:00 PM,4:12:00 PM,4:45:00 PM,5:18:00 PM,5:51:00 PM,6:24:00 PM,6:57:00 PM,7:30:00 PM,8:03:00 PM,8:36:00 PM,9:09:00 PM,9:42:00 PM,10:15:00 PM
SHERWAY GARDENS BUS TERMINAL,6:57:00 AM,7:30:00 AM,8:03:00 AM,8:36:00 AM,9:09:00 AM,9:42:00 AM,10:15:00 AM,10:48:00 AM,11:21:00 AM,11:54:00 AM,12:27:00 PM,1:00:00 PM,1:33:00 PM,2:06:00 PM,2:39:00 PM,3:12:00 PM,3:45:00 PM,4:18:00 PM,4:51:00 PM,5:24:00 PM,5:57:00 PM,6:30:00 PM,7:03:00 PM,7:36:00 PM,8:09:00 PM,8:42:00 PM,9:15:00 PM,9:48:00 PM,10:21:00 PM
