SHERWAY GARDENS BUS TERMINAL,7:01:00 AM,7:34:00 AM,8:07:00 AM,8:40:00 AM,9:13:00 AM,9:46:00 AM,10:19:00 AM,10:52:00 AM,11:25:00 AM,11:58:00 AM,12:31:00 PM,1:04:00 PM,1:37:00 PM,2:10:00 PM,2:43:00 PM,3:16:00 PM,3:49:00 PM,4:22:00 PM,4:55:00 PM,5:28:00 PM,6:01:00 PM,6:34:00 PM,7:07:00 PM,7:40:00 PM,8:13:00 PM,8:46:00 PM,9:19:00 PM,9:52:00 PM,10:25:00 PM,
DIXIE RD at KENDALL RD,7:05:00 AM,7:38:00 AM,8:11:00 AM,8:44:00 AM,9:17:00 AM,9:50:00 AM,10:23:00 AM,10:56:00 AM,11:29:00 AM,12:02:00 PM,12:35:00 PM,1:08:00 PM,1:41:00 PM,2:14:00 PM,2:47:00 PM,3:20:00 PM,3:53:00 PM,4:26:00 PM,4:59:00 PM,5:32:00 PM,6:05:00 PM,6:38:00 PM,7:11:00 PM,7:44:00 PM,8:17:00 PM,8:50:00 PM,9:23:00 PM,9:56:00 PM,10:29:00 PM,
DIXIE MALL BUS TERMINAL PLATFORM A,7:08:00 AM,7:41:00 AM,8:14:00 AM,8:47:00 AM,9:20:00 AM,9:53:00 AM,10:26:00 AM,10:59:00 AM,11:32:00 AM,12:05:00 PM,12:38:00 PM,1:11:00 PM,1:44:00 PM,2:17:00 PM,2:50:00 PM,3:23:00 PM,3:56:00 PM,4:29:00 PM,5:02:00 PM,5:35:00 PM,6:08:00 PM,6:41:00 PM,7:14:00 PM,7:47:00 PM,8:20:00 PM,8:53:00 PM,9:26:00 PM,9:59:00 PM,10:32:00 PM,
NORTH SERVICE RD at STANFIELD RD,7:11:00 AM,7:44:00 AM,8:17:00 AM,8:50:00 AM,9:23:00 AM,9:56:00 AM,10:29:00 AM,11:02:00 AM,11:35:00 AM,12:08:00 PM,12:41:00 PM,1:14:00 PM,1:47:00 PM,2:20:00 PM,2:53:00 PM,3:26:00 PM,3:59:00 PM,4:32:00 PM,5:05:00 PM,5:38:00 PM,6:11:00 PM,6:44:00 PM,7:17:00 PM,7:50:00 PM,8:23:00 PM,8:56:00 PM,9:29:00 PM,10:02:00 PM,10:35:00 PM,
NORTH SERVICE RD at CAWTHRA RD,7:14:00 AM,7:47:00 AM,8:20:00 AM,8:53:00 AM,9:26:00 AM,9:59:00 AM,10:32:00 AM,11:05:00 AM,11:38:00 AM,12:11:00 PM,12:44:00 PM,1:17:00 PM,1:50:00 PM,2:23:00 PM,2:56:00 PM,3:29:00 PM,4:02:00 PM,4:35:00 PM,5:08:00 PM,5:41:00 PM,6:14:00 PM,6:47:00 PM,7:20:00 PM,7:53:00 PM,8:26:00 PM,8:59:00 PM,9:32:00 PM,10:05:00 PM,10:38:00 PM,
TEDWYN DR at FELINA CRT,7:16:00 AM,7:49:00 AM,8:22:00 AM,8:55:00 AM,9:28:00 AM,10:01:00 AM,10:34:00 AM,11:07:00 AM,11:40:00 AM,12:13:00 PM,12:46:00 PM,1:19:00 PM,1:52:00 PM,2:25:00 PM,2:58:00 PM,3:31:00 PM,4:04:00 PM,4:37:00 PM,5:10:00 PM,5:43:00 PM,6:16:00 PM,6:49:00 PM,7:22:00 PM,7:55:00 PM,8:28:00 PM,9:01:00 PM,9:34:00 PM,10:07:00 PM,10:40:00 PM,
NORTH SERVICE RD west of CLIFF RD,7:21:00 AM,7:54:00 AM,8:27:00 AM,9:00:00 AM,9:33:00 AM,10:06:00 AM,10:39:00 AM,11:12:00 AM,11:45:00 AM,12:18:00 PM,12:51:00 PM,1:24:00 PM,1:57:00 PM,2:30:00 PM,3:03:00 PM,3:36:00 PM,4:09:00 PM,4:42:00 PM,5:15:00 PM,5:48:00 PM,6:21:00 PM,6:54:00 PM,7:27:00 PM,8:00:00 PM,8:33:00 PM,9:06:00 PM,9:39:00 PM,10:12:00 PM,10:45:00 PM,
CAMILLA RD at NORTH SERVICE RD,7:22:00 AM,7:55:00 AM,8:28:00 AM,9:01:00 AM,9:34:00 AM,10:07:00 AM,10:40:00 AM,11:13:00 AM,11:46:00 AM,12:19:00 PM,12:52:00 PM,1:25:00 PM,1:58:00 PM,2:31:00 PM,3:04:00 PM,3:37:00 PM,4:10:00 PM,4:43:00 PM,5:16:00 PM,5:49:00 PM,6:22:00 PM,6:55:00 PM,7:28:00 PM,8:01:00 PM,8:34:00 PM,9:07:00 PM,9:40:00 PM,10:13:00 PM,10:46:00 PM,
PAISLEY BLVD at HURONTARIO ST,7:25:00 AM,7:58:00 AM,8:31:00 AM,9:04:00 AM,9:37:00 AM,10:10:00 AM,10:43:00 AM,11:16:00 AM,11:49:00 AM,12:22:00 PM,12:55:00 PM,1:28:00 PM,2:01:00 PM,2:34:00 PM,3:07:00 PM,3:40:00 PM,4:13:00 PM,4:46:00 PM,5:19:00 PM,5:52:00 PM,6:25:00 PM,6:58:00 PM,7:31:00 PM,8:04:00 PM,8:37:00 PM,9:10:00 PM,9:43:00 PM,10:16:00 PM,10:49:00 PM,
QUEENSWAY at CONFEDERATION PKY,6:59:00 AM,7:27:00 AM,8:00:00 AM,8:33:00 AM,9:06:00 AM,9:39:00 AM,10:12:00 AM,10:45:00 AM,11:18:00 AM,11:51:00 AM,12:24:00 PM,12:57:00 PM,1:30:00 PM,2:03:00 PM,2:36:00 PM,3:09:00 PM,3:42:00 PM,4:15:00 PM,4:48:00 PM,5:21:00 PM,5:54:00 PM,6:27:00 PM,7:00:00 PM,7:33:00 PM,8:06:00 PM,8:39:00 PM,9:12:00 PM,9:45:00 PM,10:18:00 PM,10:51:00 PM
