CARDIFF BLVD at LORIMAR DR,7:10:00 AM,8:10:00 AM,9:10:00 AM,10:10:00 AM,11:10:00 AM,12:10:00 PM,1:10:00 PM,2:10:00 PM,3:10:00 PM,4:10:00 PM,5:10:00 PM,6:10:00 PM,7:10:00 PM
TOMKEN RD at COURTNEYPARK DR,7:14:00 AM,8:14:00 AM,9:14:00 AM,10:14:00 AM,11:14:00 AM,12:14:00 PM,1:14:00 PM,2:14:00 PM,3:14:00 PM,4:14:00 PM,5:14:00 PM,6:14:00 PM,7:14:00 PM
TOMKEN RD at BRITANNIA RD,7:18:00 AM,8:18:00 AM,9:18:00 AM,10:18:00 AM,11:18:00 AM,12:18:00 PM,1:18:00 PM,2:18:00 PM,3:18:00 PM,4:18:00 PM,5:18:00 PM,6:18:00 PM,7:18:00 PM
TOMKEN RD at MATHESON BLVD,7:21:00 AM,8:21:00 AM,9:21:00 AM,10:21:00 AM,11:21:00 AM,12:21:00 PM,1:21:00 PM,2:21:00 PM,3:21:00 PM,4:21:00 PM,5:21:00 PM,6:21:00 PM,7:21:00 PM
TOMKEN RD at NUVIK CRT,7:24:00 AM,8:24:00 AM,9:24:00 AM,10:24:00 AM,11:24:00 AM,12:24:00 PM,1:24:00 PM,2:24:00 PM,3:24:00 PM,4:24:00 PM,5:24:00 PM,6:24:00 PM,7:24:00 PM
TOMKEN RD at EGLINTON AVE,7:24:00 AM,8:24:00 AM,9:24:00 AM,10:24:00 AM,11:24:00 AM,12:24:00 PM,1:24:00 PM,2:24:00 PM,3:24:00 PM,4:24:00 PM,5:24:00 PM,6:24:00 PM,7:24:00 PM
TOMKEN RD south of EGLINTON AVE,7:25:00 AM,8:25:00 AM,9:25:00 AM,10:25:00 AM,11:25:00 AM,12:25:00 PM,1:25:00 PM,2:25:00 PM,3:25:00 PM,4:25:00 PM,5:25:00 PM,6:25:00 PM,7:25:00 PM
TOMKEN RD at TOMKEN STATION,7:25:00 AM,8:25:00 AM,9:25:00 AM,10:25:00 AM,11:25:00 AM,12:25:00 PM,1:25:00 PM,2:25:00 PM,3:25:00 PM,4:25:00 PM,5:25:00 PM,6:25:00 PM,7:25:00 PM
TOMKEN RD at WILLOWBANK TRAIL,7:26:00 AM,8:26:00 AM,9:26:00 AM,10:26:00 AM,11:26:00 AM,12:26:00 PM,1:26:00 PM,2:26:00 PM,3:26:00 PM,4:26:00 PM,5:26:00 PM,6:26:00 PM,7:26:00 PM
TOMKEN RD at BURNHAMTHORPE RD,7:28:00 AM,8:28:00 AM,9:28:00 AM,10:28:00 AM,11:28:00 AM,12:28:00 PM,1:28:00 PM,2:28:00 PM,3:28:00 PM,4:28:00 PM,5:28:00 PM,6:28:00 PM,7:28:00 PM
TOMKEN RD south of BURNHAMTHORPE RD,7:29:00 AM,8:29:00 AM,9:29:00 AM,10:29:00 AM,11:29:00 AM,12:29:00 PM,1:29:00 PM,2:29:00 PM,3:29:00 PM,4:29:00 PM,5:29:00 PM,6:29:00 PM,7:29:00 PM
TOMKEN RD at BLOOR ST,7:31:00 AM,8:31:00 AM,9:31:00 AM,10:31:00 AM,11:31:00 AM,12:31:00 PM,1:31:00 PM,2:31:00 PM,3:31:00 PM,4:31:00 PM,5:31:00 PM,6:31:00 PM,7:31:00 PM
TOMKEN RD at DUNDAS ST,7:33:00 AM,8:33:00 AM,9:33:00 AM,10:33:00 AM,11:33:00 AM,12:33:00 PM,1:33:00 PM,2:33:00 PM,3:33:00 PM,4:33:00 PM,5:33:00 PM,6:33:00 PM,7:33:00 PM
HAINES RD south of DUNDAS ST,7:36:00 AM,8:36:00 AM,9:36:00 AM,10:36:00 AM,11:36:00 AM,12:36:00 PM,1:36:00 PM,2:36:00 PM,3:36:00 PM,4:36:00 PM,5:36:00 PM,6:36:00 PM,7:36:00 PM
MIDDLEGATE RD FIRST STOP east of HAINES RD,7:37:00 AM,8:37:00 AM,9:37:00 AM,10:37:00 AM,11:37:00 AM,12:37:00 PM,1:37:00 PM,2:37:00 PM,3:37:00 PM,4:37:00 PM,5:37:00 PM,6:37:00 PM,7:37:00 PM
STANFIELD RD FIRST STOP north of MIDDLEGATE RD,7:38:00 AM,8:38:00 AM,9:38:00 AM,10:38:00 AM,11:38:00 AM,12:38:00 PM,1:38:00 PM,2:38:00 PM,3:38:00 PM,4:38:00 PM,5:38:00 PM,6:38:00 PM,7:38:00 PM
STANFIELD RD SECOND STOP north of MIDDLEGATE RD,7:39:00 AM,8:39:00 AM,9:39:00 AM,10:39:00 AM,11:39:00 AM,12:39:00 PM,1:39:00 PM,2:39:00 PM,3:39:00 PM,4:39:00 PM,5:39:00 PM,6:39:00 PM,7:39:00 PM
