LORIMAR DR at CARDIFF BLVD,6:09:00 AM,6:35:00 AM,7:01:00 AM,7:27:00 AM,7:53:00 AM,8:19:00 AM,8:45:00 AM,9:11:00 AM,9:35:00 AM,9:58:00 AM,10:21:00 AM,10:44:00 AM,11:07:00 AM,11:30:00 AM,11:53:00 AM,12:16:00 PM,12:39:00 PM,1:02:00 PM,1:25:00 PM,1:48:00 PM,2:11:00 PM,2:34:00 PM,2:57:00 PM,3:20:00 PM,3:43:00 PM,4:06:00 PM,4:29:00 PM,4:52:00 PM,5:15:00 PM,5:38:00 PM,6:01:00 PM,6:24:00 PM,6:47:00 PM,7:10:00 PM,7:33:00 PM,7:56:00 PM,8:16:00 PM,8:39:00 PM,9:10:00 PM,9:41:00 PM,10:12:00 PM,10:43:00 PM,11:14:00 PM,11:45:00 PM,12:16:00 AM
COLUMBUS RD south of DERRY RD,6:12:00 AM,6:38:00 AM,7:04:00 AM,7:30:00 AM,7:56:00 AM,8:22:00 AM,8:48:00 AM,9:14:00 AM,9:38:00 AM,10:01:00 AM,10:24:00 AM,10:47:00 AM,11:10:00 AM,11:33:00 AM,11:56:00 AM,12:19:00 PM,12:42:00 PM,1:05:00 PM,1:28:00 PM,1:51:00 PM,2:14:00 PM,2:37:00 PM,3:00:00 PM,3:23:00 PM,3:46:00 PM,4:09:00 PM,4:32:00 PM,4:55:00 PM,5:18:00 PM,5:41:00 PM,6:04:00 PM,6:27:00 PM,6:50:00 PM,7:13:00 PM,7:36:00 PM,7:59:00 PM,8:19:00 PM,8:42:00 PM,9:13:00 PM,9:44:00 PM,10:15:00 PM,10:46:00 PM,11:17:00 PM,11:48:00 PM,12:19:00 AM
DIXIE RD at COURTNEYPARK DR,6:16:00 AM,6:42:00 AM,7:08:00 AM,7:34:00 AM,8:00:00 AM,8:26:00 AM,8:52:00 AM,9:18:00 AM,9:42:00 AM,10:05:00 AM,10:28:00 AM,10:51:00 AM,11:14:00 AM,11:37:00 AM,12:00:00 PM,12:23:00 PM,12:46:00 PM,1:09:00 PM,1:32:00 PM,1:55:00 PM,2:18:00 PM,2:41:00 PM,3:04:00 PM,3:27:00 PM,3:50:00 PM,4:13:00 PM,4:36:00 PM,4:59:00 PM,5:22:00 PM,5:45:00 PM,6:08:00 PM,6:31:00 PM,6:54:00 PM,7:17:00 PM,7:40:00 PM,8:03:00 PM,8:23:00 PM,8:46:00 PM,9:17:00 PM,9:48:00 PM,10:19:00 PM,10:50:00 PM,11:21:00 PM,11:52:00 PM,12:23:00 AM
DIXIE RD south of TRINITY DR,6:19:00 AM,6:45:00 AM,7:11:00 AM,7:37:00 AM,8:03:00 AM,8:29:00 AM,8:55:00 AM,9:21:00 AM,9:45:00 AM,10:08:00 AM,10:31:00 AM,10:54:00 AM,11:17:00 AM,11:40:00 AM,12:03:00 PM,12:26:00 PM,12:49:00 PM,1:12:00 PM,1:35:00 PM,1:58:00 PM,2:21:00 PM,2:44:00 PM,3:07:00 PM,3:30:00 PM,3:53:00 PM,4:16:00 PM,4:39:00 PM,5:02:00 PM,5:25:00 PM,5:48:00 PM,6:11:00 PM,6:34:00 PM,6:57:00 PM,7:20:00 PM,7:43:00 PM,8:06:00 PM,8:26:00 PM,8:49:00 PM,9:20:00 PM,9:50:00 PM,10:21:00 PM,10:52:00 PM,11:23:00 PM,11:54:00 PM,12:25:00 AM
DIXIE RD at BRITANNIA RD,6:20:00 AM,6:46:00 AM,7:12:00 AM,7:38:00 AM,8:04:00 AM,8:30:00 AM,8:56:00 AM,9:22:00 AM,9:46:00 AM,10:09:00 AM,10:32:00 AM,10:55:00 AM,11:18:00 AM,11:41:00 AM,12:04:00 PM,12:27:00 PM,12:50:00 PM,1:13:00 PM,1:36:00 PM,1:59:00 PM,2:22:00 PM,2:45:00 PM,3:08:00 PM,3:31:00 PM,3:54:00 PM,4:17:00 PM,4:40:00 PM,5:03:00 PM,5:26:00 PM,5:49:00 PM,6:12:00 PM,6:35:00 PM,6:58:00 PM,7:21:00 PM,7:44:00 PM,8:07:00 PM,8:27:00 PM,8:50:00 PM,9:21:00 PM,9:51:00 PM,10:22:00 PM,10:53:00 PM,11:24:00 PM,11:55:00 PM,12:26:00 AM
DIXIE RD at MATHESON BLVD,6:24:00 AM,6:50:00 AM,7:16:00 AM,7:42:00 AM,8:08:00 AM,8:34:00 AM,9:00:00 AM,9:26:00 AM,9:51:00 AM,10:14:00 AM,10:37:00 AM,11:00:00 AM,11:23:00 AM,11:46:00 AM,12:09:00 PM,12:32:00 PM,12:55:00 PM,1:18:00 PM,1:41:00 PM,2:04:00 PM,2:27:00 PM,2:50:00 PM,3:13:00 PM,3:36:00 PM,3:59:00 PM,4:22:00 PM,4:45:00 PM,5:08:00 PM,5:30:00 PM,5:53:00 PM,6:16:00 PM,6:39:00 PM,7:02:00 PM,7:25:00 PM,7:48:00 PM,8:11:00 PM,8:31:00 PM,8:54:00 PM,9:25:00 PM,9:55:00 PM,10:26:00 PM,10:57:00 PM,11:28:00 PM,11:59:00 PM,12:30:00 AM
DIXIE RD at EGLINTON AVE,6:27:00 AM,6:53:00 AM,7:19:00 AM,7:45:00 AM,8:10:00 AM,8:36:00 AM,9:02:00 AM,9:28:00 AM,9:54:00 AM,10:17:00 AM,10:40:00 AM,11:03:00 AM,11:26:00 AM,11:49:00 AM,12:12:00 PM,12:35:00 PM,12:58:00 PM,1:21:00 PM,1:44:00 PM,2:07:00 PM,2:30:00 PM,2:53:00 PM,3:16:00 PM,3:39:00 PM,4:02:00 PM,4:25:00 PM,4:48:00 PM,5:11:00 PM,5:33:00 PM,5:56:00 PM,6:19:00 PM,6:42:00 PM,7:05:00 PM,7:28:00 PM,7:51:00 PM,8:14:00 PM,8:34:00 PM,8:57:00 PM,9:28:00 PM,9:57:00 PM,10:28:00 PM,10:59:00 PM,11:30:00 PM,12:01:00 AM,12:32:00 AM
DIXIE RD at BURNHAMTHORPE RD,6:32:00 AM,6:58:00 AM,7:24:00 AM,7:50:00 AM,8:16:00 AM,8:42:00 AM,9:08:00 AM,9:34:00 AM,10:00:00 AM,10:23:00 AM,10:46:00 AM,11:09:00 AM,11:32:00 AM,11:55:00 AM,12:18:00 PM,12:41:00 PM,1:04:00 PM,1:27:00 PM,1:50:00 PM,2:13:00 PM,2:36:00 PM,2:59:00 PM,3:22:00 PM,3:45:00 PM,4:08:00 PM,4:31:00 PM,4:54:00 PM,5:17:00 PM,5:40:00 PM,6:03:00 PM,6:26:00 PM,6:49:00 PM,7:11:00 PM,7:34:00 PM,7:57:00 PM,8:20:00 PM,8:40:00 PM,9:03:00 PM,9:34:00 PM,10:02:00 PM,10:33:00 PM,11:04:00 PM,11:35:00 PM,12:06:00 AM,12:37:00 AM
DIXIE RD at BLOOR ST,6:34:00 AM,7:00:00 AM,7:26:00 AM,7:52:00 AM,8:18:00 AM,8:44:00 AM,9:10:00 AM,9:36:00 AM,10:02:00 AM,10:25:00 AM,10:48:00 AM,11:11:00 AM,11:34:00 AM,11:57:00 AM,12:20:00 PM,12:43:00 PM,1:06:00 PM,1:29:00 PM,1:52:00 PM,2:15:00 PM,2:38:00 PM,3:01:00 PM,3:24:00 PM,3:47:00 PM,4:10:00 PM,4:33:00 PM,4:56:00 PM,5:19:00 PM,5:42:00 PM,6:05:00 PM,6:28:00 PM,6:51:00 PM,7:13:00 PM,7:36:00 PM,7:59:00 PM,8:22:00 PM,8:42:00 PM,9:05:00 PM,9:36:00 PM,10:04:00 PM,10:35:00 PM,11:06:00 PM,11:37:00 PM,12:08:00 AM,12:39:00 AM
DIXIE RD north of DUNDAS ST,6:36:00 AM,7:03:00 AM,7:29:00 AM,7:55:00 AM,8:21:00 AM,8:47:00 AM,9:13:00 AM,9:39:00 AM,10:05:00 AM,10:28:00 AM,10:51:00 AM,11:14:00 AM,11:37:00 AM,12:00:00 PM,12:23:00 PM,12:46:00 PM,1:09:00 PM,1:32:00 PM,1:55:00 PM,2:18:00 PM,2:41:00 PM,3:04:00 PM,3:27:00 PM,3:50:00 PM,4:13:00 PM,4:36:00 PM,4:59:00 PM,5:22:00 PM,5:45:00 PM,6:08:00 PM,6:31:00 PM,6:54:00 PM,7:16:00 PM,7:39:00 PM,8:02:00 PM,8:24:00 PM,8:44:00 PM,9:07:00 PM,9:38:00 PM,10:06:00 PM,10:37:00 PM,11:08:00 PM,11:39:00 PM,12:10:00 AM,12:41:00 AM
