CITY CENTRE BUS TERMINAL PLATFORM I,7:03:00 AM,8:03:00 AM,9:04:00 AM,10:04:00 AM,11:04:00 AM,12:04:00 PM,1:04:00 PM,2:03:00 PM,3:03:00 PM,4:03:00 PM,5:03:00 PM,6:03:00 PM,7:03:00 PM,8:03:00 PM,9:03:00 PM,10:03:00 PM,11:03:00 PM,12:03:00 AM
KINGSBRIDGE GARDEN CIRCLE at DUNEDIN CRES,7:10:00 AM,8:10:00 AM,9:11:00 AM,10:11:00 AM,11:11:00 AM,12:11:00 PM,1:11:00 PM,2:10:00 PM,3:10:00 PM,4:10:00 PM,5:10:00 PM,6:10:00 PM,7:10:00 PM,8:10:00 PM,9:10:00 PM,10:10:00 PM,11:10:00 PM,12:10:00 AM
EGLINTON AVE at GUILDWOOD WAY,7:14:00 AM,8:14:00 AM,9:15:00 AM,10:15:00 AM,11:15:00 AM,12:15:00 PM,1:15:00 PM,2:14:00 PM,3:14:00 PM,4:14:00 PM,5:14:00 PM,6:14:00 PM,7:14:00 PM,8:14:00 PM,9:14:00 PM,10:14:00 PM,11:14:00 PM,12:14:00 AM
GUILDWOOD WAY at GALAXY CRT,7:15:00 AM,8:15:00 AM,9:16:00 AM,10:16:00 AM,11:16:00 AM,12:16:00 PM,1:16:00 PM,2:15:00 PM,3:15:00 PM,4:15:00 PM,5:15:00 PM,6:15:00 PM,7:15:00 PM,8:15:00 PM,9:15:00 PM,10:15:00 PM,11:15:00 PM,12:15:00 AM
WINTERTON WAY at STAPLEFORD TERRACE,7:16:00 AM,8:16:00 AM,9:17:00 AM,10:17:00 AM,11:17:00 AM,12:17:00 PM,1:17:00 PM,2:16:00 PM,3:16:00 PM,4:16:00 PM,5:16:00 PM,6:16:00 PM,7:16:00 PM,8:16:00 PM,9:16:00 PM,10:16:00 PM,11:16:00 PM,12:16:00 AM
WINTERTON WAY at MAVIS RD,7:18:00 AM,8:18:00 AM,9:19:00 AM,10:19:00 AM,11:19:00 AM,12:19:00 PM,1:19:00 PM,2:18:00 PM,3:18:00 PM,4:18:00 PM,5:18:00 PM,6:18:00 PM,7:18:00 PM,8:18:00 PM,9:18:00 PM,10:18:00 PM,11:18:00 PM,12:18:00 AM
LISMIC BLVD at WINDSOR HILL BLVD,7:21:00 AM,8:21:00 AM,9:22:00 AM,10:22:00 AM,11:22:00 AM,12:22:00 PM,1:22:00 PM,2:21:00 PM,3:21:00 PM,4:21:00 PM,5:21:00 PM,6:21:00 PM,7:21:00 PM,8:21:00 PM,9:21:00 PM,10:21:00 PM,11:21:00 PM,12:21:00 AM
WINTERTON WAY at MAVIS RD,7:26:00 AM,8:26:00 AM,9:27:00 AM,10:27:00 AM,11:27:00 AM,12:27:00 PM,1:27:00 PM,2:26:00 PM,3:26:00 PM,4:26:00 PM,5:26:00 PM,6:26:00 PM,7:26:00 PM,8:26:00 PM,9:26:00 PM,10:26:00 PM,11:26:00 PM,12:26:00 AM
WINTERTON WAY at GUILDWOOD WAY,7:28:00 AM,8:28:00 AM,9:29:00 AM,10:29:00 AM,11:29:00 AM,12:29:00 PM,1:29:00 PM,2:28:00 PM,3:28:00 PM,4:28:00 PM,5:28:00 PM,6:28:00 PM,7:28:00 PM,8:28:00 PM,9:28:00 PM,10:28:00 PM,11:28:00 PM,12:28:00 AM
GUILDWOOD WAY at CONSTELLATION DR,7:29:00 AM,8:29:00 AM,9:30:00 AM,10:30:00 AM,11:30:00 AM,12:30:00 PM,1:30:00 PM,2:29:00 PM,3:29:00 PM,4:29:00 PM,5:29:00 PM,6:29:00 PM,7:29:00 PM,8:29:00 PM,9:29:00 PM,10:29:00 PM,11:29:00 PM,12:29:00 AM
KINGSBRIDGE GARDEN CIRCLE at KINGSTON CRT,7:34:00 AM,8:34:00 AM,9:35:00 AM,10:35:00 AM,11:35:00 AM,12:35:00 PM,1:35:00 PM,2:34:00 PM,3:34:00 PM,4:34:00 PM,5:34:00 PM,6:34:00 PM,7:34:00 PM,8:34:00 PM,9:34:00 PM,10:34:00 PM,11:34:00 PM,12:34:00 AM
CITY CENTRE BUS TERMINAL PLATFORM I,7:41:00 AM,8:41:00 AM,9:42:00 AM,10:42:00 AM,11:42:00 AM,12:42:00 PM,1:42:00 PM,2:41:00 PM,3:41:00 PM,4:41:00 PM,5:41:00 PM,6:41:00 PM,7:41:00 PM,8:41:00 PM,9:41:00 PM,10:41:00 PM,11:41:00 PM,12:41:00 AM
