DUNDAS ST west of ERINDALE STATION RD,5:42:00 AM,6:15:00 AM,6:48:00 AM,7:22:00 AM,7:56:00 AM,8:31:00 AM,9:06:00 AM,9:41:00 AM,10:16:00 AM,10:51:00 AM,11:26:00 AM,12:01:00 PM,12:36:00 PM,1:11:00 PM,1:46:00 PM,2:21:00 PM,2:56:00 PM,3:31:00 PM,4:06:00 PM,4:41:00 PM,5:16:00 PM,5:51:00 PM,6:26:00 PM,7:01:00 PM,7:36:00 PM,8:11:00 PM,8:46:00 PM,9:20:00 PM,9:50 PM[c],10:24:00 PM,11:25 PM[c]
FORESTWOOD DR at ERINDALE STATION RD,5:48:00 AM,6:21:00 AM,6:54:00 AM,7:28:00 AM,8:02:00 AM,8:37:00 AM,9:12:00 AM,9:47:00 AM,10:22:00 AM,10:57:00 AM,11:32:00 AM,12:07:00 PM,12:42:00 PM,1:17:00 PM,1:52:00 PM,2:27:00 PM,3:02:00 PM,3:37:00 PM,4:12:00 PM,4:47:00 PM,5:22:00 PM,5:57:00 PM,6:32:00 PM,7:07:00 PM,7:42:00 PM,8:17:00 PM,8:52:00 PM,9:26:00 PM,9:56 PM[c],10:30:00 PM,11:31 PM[c]
MCBRIDE AVE at ERINDALE STATION RD,5:50:00 AM,6:23:00 AM,6:56:00 AM,7:31:00 AM,8:05:00 AM,8:40:00 AM,9:15:00 AM,9:50:00 AM,10:25:00 AM,11:00:00 AM,11:35:00 AM,12:10:00 PM,12:45:00 PM,1:20:00 PM,1:55:00 PM,2:30:00 PM,3:05:00 PM,3:40:00 PM,4:15:00 PM,4:50:00 PM,5:25:00 PM,6:00:00 PM,6:35:00 PM,7:10:00 PM,7:45:00 PM,8:20:00 PM,8:55:00 PM,9:28:00 PM,10:32:00 PM,,
THE CREDIT WOODLANDS at MCBRIDE AVE,5:52:00 AM,6:25:00 AM,6:58:00 AM,7:33:00 AM,8:07:00 AM,8:42:00 AM,9:17:00 AM,9:52:00 AM,10:27:00 AM,11:02:00 AM,11:37:00 AM,12:12:00 PM,12:47:00 PM,1:22:00 PM,1:57:00 PM,2:32:00 PM,3:07:00 PM,3:42:00 PM,4:17:00 PM,4:52:00 PM,5:27:00 PM,6:02:00 PM,6:37:00 PM,7:12:00 PM,7:47:00 PM,8:22:00 PM,8:57:00 PM,9:30:00 PM,10:34:00 PM,,
BURNHAMTHORPE RD W at THE CREDIT WOODLANDS,5:56:00 AM,6:29:00 AM,7:02:00 AM,7:37:00 AM,8:11:00 AM,8:46:00 AM,9:21:00 AM,9:56:00 AM,10:31:00 AM,11:06:00 AM,11:41:00 AM,12:16:00 PM,12:51:00 PM,1:26:00 PM,2:01:00 PM,2:36:00 PM,3:11:00 PM,3:46:00 PM,4:21:00 PM,4:56:00 PM,5:31:00 PM,6:06:00 PM,6:41:00 PM,7:16:00 PM,7:51:00 PM,8:26:00 PM,9:01:00 PM,9:34:00 PM,10:38:00 PM,,
BURNHAMTHORPE RD W at ERINDALE STATION RD,5:59:00 AM,6:32:00 AM,7:04:00 AM,7:39:00 AM,8:13:00 AM,8:48:00 AM,9:23:00 AM,9:58:00 AM,10:33:00 AM,11:08:00 AM,11:43:00 AM,12:18:00 PM,12:53:00 PM,1:28:00 PM,2:03:00 PM,2:38:00 PM,3:13:00 PM,3:48:00 PM,4:23:00 PM,4:58:00 PM,5:33:00 PM,6:08:00 PM,6:43:00 PM,7:18:00 PM,7:53:00 PM,8:28:00 PM,9:04:00 PM,9:37:00 PM,10:41:00 PM,,
CENTRAL PKY at MAVIS RD,6:03:00 AM,6:36:00 AM,7:09:00 AM,7:44:00 AM,8:18:00 AM,8:53:00 AM,9:28:00 AM,10:03:00 AM,10:38:00 AM,11:13:00 AM,11:48:00 AM,12:23:00 PM,12:58:00 PM,1:33:00 PM,2:08:00 PM,2:43:00 PM,3:18:00 PM,3:53:00 PM,4:28:00 PM,5:03:00 PM,5:38:00 PM,6:13:00 PM,6:48:00 PM,7:23:00 PM,7:58:00 PM,8:33:00 PM,9:08:00 PM,9:41:00 PM,10:45:00 PM,,
CENTRAL PKY W east of COPERNICUS DR,6:05:00 AM,6:38:00 AM,7:11:00 AM,7:46:00 AM,8:20:00 AM,8:55:00 AM,9:30:00 AM,10:05:00 AM,10:40:00 AM,11:15:00 AM,11:50:00 AM,12:25:00 PM,1:00:00 PM,1:35:00 PM,2:10:00 PM,2:45:00 PM,3:20:00 PM,3:55:00 PM,4:30:00 PM,5:05:00 PM,5:40:00 PM,6:15:00 PM,6:50:00 PM,7:25:00 PM,8:00:00 PM,8:35:00 PM,9:10:00 PM,9:43:00 PM,10:47:00 PM,,
CONFEDERATION PKY at BURNHAMTHORPE RD,6:07:00 AM,6:40:00 AM,7:13:00 AM,7:48:00 AM,8:22:00 AM,8:57:00 AM,9:32:00 AM,10:07:00 AM,10:42:00 AM,11:17:00 AM,11:52:00 AM,12:27:00 PM,1:02:00 PM,1:37:00 PM,2:12:00 PM,2:47:00 PM,3:22:00 PM,3:57:00 PM,4:32:00 PM,5:07:00 PM,5:42:00 PM,6:17:00 PM,6:52:00 PM,7:27:00 PM,8:02:00 PM,8:37:00 PM,9:12:00 PM,9:45:00 PM,10:49:00 PM,,
LIVING ARTS DR at RATHBURN RD,6:10:00 AM,6:43:00 AM,7:16:00 AM,7:51:00 AM,8:25:00 AM,9:00:00 AM,9:35:00 AM,10:10:00 AM,10:45:00 AM,11:20:00 AM,11:55:00 AM,12:30:00 PM,1:05:00 PM,1:40:00 PM,2:15:00 PM,2:50:00 PM,3:25:00 PM,4:00:00 PM,4:35:00 PM,5:10:00 PM,5:45:00 PM,6:20:00 PM,6:55:00 PM,7:30:00 PM,8:05:00 PM,8:40:00 PM,9:15:00 PM,9:48:00 PM,10:52:00 PM,,
CITY CENTRE BUS TERMINAL PLATFORM K,6:12:00 AM,6:45:00 AM,7:19:00 AM,7:54:00 AM,8:28:00 AM,9:03:00 AM,9:38:00 AM,10:13:00 AM,10:48:00 AM,11:23:00 AM,11:58:00 AM,12:33:00 PM,1:08:00 PM,1:43:00 PM,2:18:00 PM,2:53:00 PM,3:28:00 PM,4:03:00 PM,4:38:00 PM,5:13:00 PM,5:48:00 PM,6:23:00 PM,6:58:00 PM,7:33:00 PM,8:08:00 PM,8:43:00 PM,9:17:00 PM,9:50:00 PM,10:54:00 PM,,
