CITY CENTRE BUS TERMINAL PLATFORM K,6:17:00 AM,6:50:00 AM,7:24:00 AM,7:58:00 AM,8:33:00 AM,9:08:00 AM,9:43:00 AM,10:18:00 AM,10:53:00 AM,11:28:00 AM,12:03:00 PM,12:38:00 PM,1:13:00 PM,1:48:00 PM,2:23:00 PM,2:58:00 PM,3:33:00 PM,4:08:00 PM,4:43:00 PM,5:18:00 PM,5:53:00 PM,6:28:00 PM,7:03:00 PM,7:38:00 PM,8:13:00 PM,8:48:00 PM,9:21:00 PM,9:55:00 PM,10:56:00 PM
LIVING ARTS DR at RATHBURN RD,6:19:00 AM,6:52:00 AM,7:26:00 AM,8:00:00 AM,8:35:00 AM,9:10:00 AM,9:45:00 AM,10:20:00 AM,10:55:00 AM,11:30:00 AM,12:05:00 PM,12:40:00 PM,1:15:00 PM,1:50:00 PM,2:25:00 PM,3:00:00 PM,3:35:00 PM,4:10:00 PM,4:45:00 PM,5:20:00 PM,5:55:00 PM,6:30:00 PM,7:05:00 PM,7:40:00 PM,8:15:00 PM,8:50:00 PM,9:23:00 PM,9:57:00 PM,10:58:00 PM
CONFEDERATION PKY at WEBB DR,6:22:00 AM,6:55:00 AM,7:29:00 AM,8:03:00 AM,8:38:00 AM,9:13:00 AM,9:48:00 AM,10:23:00 AM,10:58:00 AM,11:33:00 AM,12:08:00 PM,12:43:00 PM,1:18:00 PM,1:53:00 PM,2:28:00 PM,3:03:00 PM,3:38:00 PM,4:13:00 PM,4:48:00 PM,5:23:00 PM,5:58:00 PM,6:33:00 PM,7:08:00 PM,7:43:00 PM,8:18:00 PM,8:53:00 PM,9:26:00 PM,10:00:00 PM,11:01:00 PM
CONFEDERATION PKY at CENTRAL PKY W,6:25:00 AM,6:58:00 AM,7:32:00 AM,8:06:00 AM,8:41:00 AM,9:16:00 AM,9:51:00 AM,10:26:00 AM,11:01:00 AM,11:36:00 AM,12:11:00 PM,12:46:00 PM,1:21:00 PM,1:56:00 PM,2:31:00 PM,3:06:00 PM,3:41:00 PM,4:16:00 PM,4:51:00 PM,5:26:00 PM,6:01:00 PM,6:36:00 PM,7:11:00 PM,7:46:00 PM,8:21:00 PM,8:56:00 PM,9:29:00 PM,10:03:00 PM,11:04:00 PM
CENTRAL PKY at MAVIS RD,6:28:00 AM,7:01:00 AM,7:35:00 AM,8:09:00 AM,8:44:00 AM,9:19:00 AM,9:54:00 AM,10:29:00 AM,11:04:00 AM,11:39:00 AM,12:14:00 PM,12:49:00 PM,1:24:00 PM,1:59:00 PM,2:34:00 PM,3:09:00 PM,3:44:00 PM,4:19:00 PM,4:54:00 PM,5:29:00 PM,6:04:00 PM,6:39:00 PM,7:14:00 PM,7:49:00 PM,8:24:00 PM,8:59:00 PM,9:32:00 PM,10:06:00 PM,11:07:00 PM
CENTRAL PKY west of MAVIS RD,6:28:00 AM,7:01:00 AM,7:35:00 AM,8:09:00 AM,8:44:00 AM,9:19:00 AM,9:54:00 AM,10:29:00 AM,11:04:00 AM,11:39:00 AM,12:14:00 PM,12:49:00 PM,1:24:00 PM,1:59:00 PM,2:34:00 PM,3:09:00 PM,3:44:00 PM,4:19:00 PM,4:54:00 PM,5:29:00 PM,6:04:00 PM,6:39:00 PM,7:14:00 PM,7:49:00 PM,8:24:00 PM,8:59:00 PM,9:32:00 PM,10:06:00 PM,11:07:00 PM
CENTRAL PKY W at SEMENYK CRT,6:30:00 AM,7:03:00 AM,7:37:00 AM,8:11:00 AM,8:46:00 AM,9:21:00 AM,9:56:00 AM,10:31:00 AM,11:06:00 AM,11:41:00 AM,12:16:00 PM,12:51:00 PM,1:26:00 PM,2:01:00 PM,2:36:00 PM,3:11:00 PM,3:46:00 PM,4:21:00 PM,4:56:00 PM,5:31:00 PM,6:06:00 PM,6:41:00 PM,7:16:00 PM,7:51:00 PM,8:26:00 PM,9:01:00 PM,9:34:00 PM,10:08:00 PM,11:09:00 PM
THE CREDIT WOODLANDS at LOCONDER CRT,6:35:00 AM,7:09:00 AM,7:43:00 AM,8:17:00 AM,8:52:00 AM,9:27:00 AM,10:02:00 AM,10:37:00 AM,11:12:00 AM,11:47:00 AM,12:22:00 PM,12:57:00 PM,1:32:00 PM,2:07:00 PM,2:42:00 PM,3:17:00 PM,3:52:00 PM,4:27:00 PM,5:02:00 PM,5:37:00 PM,6:12:00 PM,6:47:00 PM,7:22:00 PM,7:57:00 PM,8:32:00 PM,9:06:00 PM,9:39:00 PM,10:13:00 PM,11:14:00 PM
MCBRIDE AVE at THE CREDIT WOODLANDS,6:39:00 AM,7:13:00 AM,7:47:00 AM,8:21:00 AM,8:56:00 AM,9:31:00 AM,10:06:00 AM,10:41:00 AM,11:16:00 AM,11:51:00 AM,12:26:00 PM,1:01:00 PM,1:36:00 PM,2:11:00 PM,2:46:00 PM,3:21:00 PM,3:56:00 PM,4:31:00 PM,5:06:00 PM,5:41:00 PM,6:16:00 PM,6:51:00 PM,7:26:00 PM,8:01:00 PM,8:36:00 PM,9:10:00 PM,9:43:00 PM,10:17:00 PM,11:18:00 PM
MCBRIDE AVE at ERINDALE STATION RD,6:41:00 AM,7:14:00 AM,7:48:00 AM,8:22:00 AM,8:57:00 AM,9:32:00 AM,10:07:00 AM,10:42:00 AM,11:17:00 AM,11:52:00 AM,12:27:00 PM,1:02:00 PM,1:37:00 PM,2:12:00 PM,2:47:00 PM,3:22:00 PM,3:57:00 PM,4:32:00 PM,5:07:00 PM,5:42:00 PM,6:17:00 PM,6:52:00 PM,7:27:00 PM,8:02:00 PM,8:37:00 PM,9:12:00 PM,9:45:00 PM,10:19:00 PM,11:20:00 PM
DUNDAS ST west of ERINDALE STATION RD,6:45:00 AM,7:19:00 AM,7:53:00 AM,8:27:00 AM,9:02:00 AM,9:37:00 AM,10:12:00 AM,10:47:00 AM,11:22:00 AM,11:57:00 AM,12:32:00 PM,1:07:00 PM,1:42:00 PM,2:17:00 PM,2:52:00 PM,3:27:00 PM,4:02:00 PM,4:37:00 PM,5:12:00 PM,5:47:00 PM,6:22:00 PM,6:57:00 PM,7:32:00 PM,8:07:00 PM,8:42:00 PM,9:16:00 PM,9:49:00 PM,10:23:00 PM,11:24:00 PM
