CITY CENTRE BUS TERMINAL PLATFORM K,5:01:00 AM,6:01:00 AM,7:01:00 AM,8:01:00 AM,9:01:00 AM,10:01:00 AM,10:31:00 AM,11:01:00 AM,11:31:00 AM,12:01:00 PM,12:31:00 PM,1:01:00 PM,1:31:00 PM,2:01:00 PM,2:31:00 PM,3:01:00 PM,3:31:00 PM,4:01:00 PM,4:31:00 PM,5:01:00 PM,5:31:00 PM,6:01:00 PM,6:31:00 PM,7:01:00 PM,8:01:00 PM,9:01:00 PM,10:01:00 PM,11:01:00 PM,12:01:00 AM
HURONTARIO ST at ELIA AVE,5:05:00 AM,6:05:00 AM,7:05:00 AM,8:05:00 AM,9:05:00 AM,10:05:00 AM,10:35:00 AM,11:06:00 AM,11:36:00 AM,12:06:00 PM,12:36:00 PM,1:06:00 PM,1:36:00 PM,2:07:00 PM,2:37:00 PM,3:07:00 PM,3:36:00 PM,4:06:00 PM,4:36:00 PM,5:05:00 PM,5:35:00 PM,6:05:00 PM,6:35:00 PM,7:05:00 PM,8:05:00 PM,9:05:00 PM,10:05:00 PM,11:05:00 PM,12:05:00 AM
EGLINTON AVE E at CENTRAL PKY E,5:09:00 AM,6:09:00 AM,7:10:00 AM,8:10:00 AM,9:10:00 AM,10:10:00 AM,10:40:00 AM,11:11:00 AM,11:41:00 AM,12:11:00 PM,12:41:00 PM,1:11:00 PM,1:41:00 PM,2:12:00 PM,2:42:00 PM,3:12:00 PM,3:41:00 PM,4:11:00 PM,4:41:00 PM,5:10:00 PM,5:40:00 PM,6:10:00 PM,6:40:00 PM,7:10:00 PM,8:09:00 PM,9:09:00 PM,10:09:00 PM,11:09:00 PM,12:09:00 AM
EGLINTON AVE E at TOMKEN RD,5:11:00 AM,6:11:00 AM,7:12:00 AM,8:12:00 AM,9:12:00 AM,10:12:00 AM,10:42:00 AM,11:14:00 AM,11:44:00 AM,12:14:00 PM,12:44:00 PM,1:14:00 PM,1:44:00 PM,2:14:00 PM,2:44:00 PM,3:14:00 PM,3:43:00 PM,4:13:00 PM,4:43:00 PM,5:12:00 PM,5:42:00 PM,6:12:00 PM,6:42:00 PM,7:12:00 PM,8:11:00 PM,9:11:00 PM,10:11:00 PM,11:11:00 PM,12:11:00 AM
EGLINTON AVE E at DIXIE RD,5:14:00 AM,6:14:00 AM,7:15:00 AM,8:16:00 AM,9:16:00 AM,10:16:00 AM,10:46:00 AM,11:17:00 AM,11:47:00 AM,12:17:00 PM,12:47:00 PM,1:17:00 PM,1:47:00 PM,2:17:00 PM,2:47:00 PM,3:17:00 PM,3:46:00 PM,4:16:00 PM,4:46:00 PM,5:15:00 PM,5:45:00 PM,6:15:00 PM,6:45:00 PM,7:15:00 PM,8:14:00 PM,9:14:00 PM,10:14:00 PM,11:14:00 PM,12:14:00 AM
SKYMARK HUB,5:21:00 AM,6:21:00 AM,7:22:00 AM,8:23:00 AM,9:23:00 AM,10:23:00 AM,10:53:00 AM,11:24:00 AM,11:54:00 AM,12:24:00 PM,12:54:00 PM,1:24:00 PM,1:53:00 PM,2:23:00 PM,2:53:00 PM,3:23:00 PM,3:52:00 PM,4:22:00 PM,4:52:00 PM,5:21:00 PM,5:51:00 PM,6:21:00 PM,6:51:00 PM,7:21:00 PM,8:20:00 PM,9:20:00 PM,10:20:00 PM,11:20:00 PM,12:20:00 AM
RENFORTH DR at EGLINTON AVE,5:23:00 AM,6:23:00 AM,7:24:00 AM,8:26:00 AM,9:26:00 AM,10:26:00 AM,10:56:00 AM,11:27:00 AM,11:57:00 AM,12:27:00 PM,12:57:00 PM,1:27:00 PM,1:55:00 PM,2:25:00 PM,2:55:00 PM,3:25:00 PM,3:54:00 PM,4:24:00 PM,4:54:00 PM,5:23:00 PM,5:53:00 PM,6:23:00 PM,6:53:00 PM,7:23:00 PM,8:22:00 PM,9:22:00 PM,10:22:00 PM,11:22:00 PM,12:22:00 AM
CARLINGVIEW DR SECOND STOP north of METEOR DR,5:27:00 AM,6:27:00 AM,7:28:00 AM,8:30:00 AM,9:30:00 AM,10:30:00 AM,11:00:00 AM,11:31:00 AM,12:01:00 PM,12:31:00 PM,1:01:00 PM,1:31:00 PM,1:59:00 PM,2:29:00 PM,2:59:00 PM,3:29:00 PM,3:58:00 PM,4:28:00 PM,4:58:00 PM,5:27:00 PM,5:57:00 PM,6:27:00 PM,6:57:00 PM,7:27:00 PM,8:26:00 PM,9:26:00 PM,10:26:00 PM,11:26:00 PM,12:26:00 AM
DIXON RD at CARLINGVIEW DR,5:28:00 AM,6:28:00 AM,7:29:00 AM,8:31:00 AM,9:31:00 AM,10:31:00 AM,11:01:00 AM,11:32:00 AM,12:02:00 PM,12:32:00 PM,1:02:00 PM,1:32:00 PM,2:00:00 PM,2:30:00 PM,3:00:00 PM,3:30:00 PM,3:59:00 PM,4:29:00 PM,4:59:00 PM,5:28:00 PM,5:58:00 PM,6:28:00 PM,6:58:00 PM,7:28:00 PM,8:27:00 PM,9:27:00 PM,10:27:00 PM,11:27:00 PM,12:27:00 AM
TORONTO AIRPORT-TERM 1 GROUND LEVEL [NORTH],5:34:00 AM,6:34:00 AM,7:35:00 AM,8:37:00 AM,9:37:00 AM,10:37:00 AM,11:08:00 AM,11:39:00 AM,12:09:00 PM,12:39:00 PM,1:09:00 PM,1:39:00 PM,2:07:00 PM,2:37:00 PM,3:07:00 PM,3:37:00 PM,4:06:00 PM,4:36:00 PM,5:06:00 PM,5:35:00 PM,6:05:00 PM,6:35:00 PM,7:05:00 PM,7:35:00 PM,8:34:00 PM,9:34:00 PM,10:34:00 PM,11:34:00 PM,12:34:00 AM
