WESTWOOD MALL BUS TERMINAL PLATFORM C,6:00:00 AM,7:00:00 AM,8:00:00 AM,9:00:00 AM,10:00:00 AM,11:00:00 AM,11:30:00 AM,12:00:00 PM,12:30:00 PM,1:00:00 PM,1:30:00 PM,2:00:00 PM,2:30:00 PM,3:00:00 PM,3:30:00 PM,4:00:00 PM,4:30:00 PM,5:00:00 PM,5:30:00 PM,6:00:00 PM,6:30:00 PM,7:00:00 PM,8:00:00 PM,9:00:00 PM,10:00:00 PM,11:00:00 PM,12:00:00 AM
MORNING STAR DR at AIRPORT RD,6:05:00 AM,7:05:00 AM,8:05:00 AM,9:05:00 AM,10:05:00 AM,11:05:00 AM,11:35:00 AM,12:05:00 PM,12:35:00 PM,1:05:00 PM,1:35:00 PM,2:05:00 PM,2:35:00 PM,3:05:00 PM,3:35:00 PM,4:05:00 PM,4:35:00 PM,5:05:00 PM,5:35:00 PM,6:05:00 PM,6:35:00 PM,7:05:00 PM,8:05:00 PM,9:05:00 PM,10:05:00 PM,11:05:00 PM,12:05:00 AM
AIRPORT RD at MORNING STAR DR,6:05:00 AM,7:05:00 AM,8:05:00 AM,9:05:00 AM,10:05:00 AM,11:05:00 AM,11:35:00 AM,12:05:00 PM,12:35:00 PM,1:05:00 PM,1:35:00 PM,2:05:00 PM,2:35:00 PM,3:05:00 PM,3:35:00 PM,4:06:00 PM,4:36:00 PM,5:06:00 PM,5:36:00 PM,6:06:00 PM,6:35:00 PM,7:05:00 PM,8:05:00 PM,9:05:00 PM,10:05:00 PM,11:05:00 PM,12:05:00 AM
AIRPORT RD south of DERRY RD,6:09:00 AM,7:09:00 AM,8:09:00 AM,9:09:00 AM,10:09:00 AM,11:09:00 AM,11:39:00 AM,12:09:00 PM,12:39:00 PM,1:09:00 PM,1:39:00 PM,2:09:00 PM,2:39:00 PM,3:09:00 PM,3:39:00 PM,4:10:00 PM,4:40:00 PM,5:10:00 PM,5:40:00 PM,6:10:00 PM,6:39:00 PM,7:09:00 PM,8:09:00 PM,9:09:00 PM,10:09:00 PM,11:09:00 PM,12:09:00 AM
AIRPORT RD at AMERICAN DR,6:12:00 AM,7:12:00 AM,8:12:00 AM,9:12:00 AM,10:12:00 AM,11:12:00 AM,11:42:00 AM,12:12:00 PM,12:42:00 PM,1:12:00 PM,1:42:00 PM,2:12:00 PM,2:42:00 PM,3:12:00 PM,3:42:00 PM,4:13:00 PM,4:43:00 PM,5:13:00 PM,5:43:00 PM,6:13:00 PM,6:42:00 PM,7:12:00 PM,8:12:00 PM,9:12:00 PM,10:12:00 PM,11:12:00 PM,12:12:00 AM
TORONTO AIRPORT-TERM 1 GROUND LEVEL [SOUTH],6:18:00 AM,7:18:00 AM,8:18:00 AM,9:18:00 AM,10:18:00 AM,11:18:00 AM,11:48:00 AM,12:18:00 PM,12:48:00 PM,1:18:00 PM,1:48:00 PM,2:18:00 PM,2:48:00 PM,3:18:00 PM,3:48:00 PM,4:19:00 PM,4:49:00 PM,5:19:00 PM,5:49:00 PM,6:19:00 PM,6:48:00 PM,7:18:00 PM,8:18:00 PM,9:18:00 PM,10:18:00 PM,11:18:00 PM,12:18:00 AM
DIXON RD east of HWY 427,6:21:00 AM,7:21:00 AM,8:21:00 AM,9:21:00 AM,10:21:00 AM,11:21:00 AM,11:51:00 AM,12:21:00 PM,12:51:00 PM,1:21:00 PM,1:51:00 PM,2:21:00 PM,2:51:00 PM,3:21:00 PM,3:51:00 PM,4:22:00 PM,4:52:00 PM,5:22:00 PM,5:52:00 PM,6:22:00 PM,6:51:00 PM,7:21:00 PM,8:21:00 PM,9:21:00 PM,10:21:00 PM,11:21:00 PM,12:21:00 AM
DIXON RD at CARLINGVIEW DR,6:21:00 AM,7:21:00 AM,8:21:00 AM,9:21:00 AM,10:22:00 AM,11:22:00 AM,11:52:00 AM,12:22:00 PM,12:52:00 PM,1:22:00 PM,1:52:00 PM,2:22:00 PM,2:52:00 PM,3:22:00 PM,3:52:00 PM,4:22:00 PM,4:52:00 PM,5:22:00 PM,5:52:00 PM,6:22:00 PM,6:51:00 PM,7:21:00 PM,8:21:00 PM,9:21:00 PM,10:21:00 PM,11:21:00 PM,12:21:00 AM
SKYMARK HUB,6:27:00 AM,7:27:00 AM,8:27:00 AM,9:28:00 AM,10:29:00 AM,11:29:00 AM,11:59:00 AM,12:29:00 PM,12:59:00 PM,1:29:00 PM,1:59:00 PM,2:29:00 PM,2:59:00 PM,3:29:00 PM,3:59:00 PM,4:29:00 PM,4:59:00 PM,5:29:00 PM,5:59:00 PM,6:28:00 PM,6:57:00 PM,7:27:00 PM,8:27:00 PM,9:27:00 PM,10:27:00 PM,11:27:00 PM,12:27:00 AM
EGLINTON AVE at DIXIE RD,6:34:00 AM,7:34:00 AM,8:34:00 AM,9:35:00 AM,10:37:00 AM,11:37:00 AM,12:07:00 PM,12:37:00 PM,1:07:00 PM,1:37:00 PM,2:07:00 PM,2:37:00 PM,3:07:00 PM,3:37:00 PM,4:07:00 PM,4:37:00 PM,5:07:00 PM,5:37:00 PM,6:07:00 PM,6:35:00 PM,7:04:00 PM,7:34:00 PM,8:34:00 PM,9:34:00 PM,10:34:00 PM,11:34:00 PM,12:34:00 AM
EGLINTON AVE at TOMKEN RD,6:36:00 AM,7:36:00 AM,8:36:00 AM,9:37:00 AM,10:40:00 AM,11:40:00 AM,12:10:00 PM,12:40:00 PM,1:10:00 PM,1:40:00 PM,2:10:00 PM,2:40:00 PM,3:10:00 PM,3:40:00 PM,4:10:00 PM,4:40:00 PM,5:10:00 PM,5:40:00 PM,6:10:00 PM,6:38:00 PM,7:06:00 PM,7:36:00 PM,8:36:00 PM,9:36:00 PM,10:36:00 PM,11:36:00 PM,12:36:00 AM
EGLINTON AVE east of HWY 403,6:36:00 AM,7:36:00 AM,8:36:00 AM,9:37:00 AM,10:40:00 AM,11:40:00 AM,12:10:00 PM,12:40:00 PM,1:10:00 PM,1:40:00 PM,2:10:00 PM,2:40:00 PM,3:10:00 PM,3:40:00 PM,4:10:00 PM,4:40:00 PM,5:10:00 PM,5:40:00 PM,6:10:00 PM,6:38:00 PM,7:06:00 PM,7:36:00 PM,8:36:00 PM,9:36:00 PM,10:36:00 PM,11:36:00 PM,12:36:00 AM
EGLINTON AVE at KENNEDY RD,6:39:00 AM,7:39:00 AM,8:39:00 AM,9:40:00 AM,10:43:00 AM,11:43:00 AM,12:13:00 PM,12:43:00 PM,1:13:00 PM,1:43:00 PM,2:13:00 PM,2:43:00 PM,3:13:00 PM,3:43:00 PM,4:13:00 PM,4:43:00 PM,5:13:00 PM,5:43:00 PM,6:12:00 PM,6:40:00 PM,7:08:00 PM,7:38:00 PM,8:38:00 PM,9:38:00 PM,10:38:00 PM,11:38:00 PM,12:38:00 AM
ELIA AVE at HURONTARIO ST,6:43:00 AM,7:43:00 AM,8:43:00 AM,9:44:00 AM,10:48:00 AM,11:48:00 AM,12:18:00 PM,12:48:00 PM,1:18:00 PM,1:48:00 PM,2:18:00 PM,2:48:00 PM,3:18:00 PM,3:48:00 PM,4:17:00 PM,4:47:00 PM,5:17:00 PM,5:47:00 PM,6:16:00 PM,6:44:00 PM,7:12:00 PM,7:42:00 PM,8:42:00 PM,9:42:00 PM,10:42:00 PM,11:42:00 PM,12:42:00 AM
CITY CENTRE BUS TERMINAL PLATFORM K,6:49:00 AM,7:49:00 AM,8:50:00 AM,9:51:00 AM,10:56:00 AM,11:56:00 AM,12:26:00 PM,12:56:00 PM,1:26:00 PM,1:56:00 PM,2:26:00 PM,2:56:00 PM,3:26:00 PM,3:56:00 PM,4:25:00 PM,4:55:00 PM,5:25:00 PM,5:55:00 PM,6:24:00 PM,6:52:00 PM,7:20:00 PM,7:50:00 PM,8:50:00 PM,9:49:00 PM,10:49:00 PM,11:49:00 PM,12:49:00 AM
