PORT CREDIT GO STATION PLATFORM E,6:24:00 AM,7:24:00 AM,8:24 AM[b],9:24 AM[b],10:24 AM[b],11:24 AM[b],12:24 PM[b],1:24:00 PM,2:24:00 PM,3:24:00 PM,4:24:00 PM,5:24:00 PM,6:24:00 PM,7:24:00 PM,8:24:00 PM,9:24:00 PM,10:24:00 PM,11:24:00 PM
HURONTARIO ST at MINEOLA RD E,6:29:00 AM,7:29:00 AM,8:29 AM[b],9:29 AM[b],10:29 AM[b],11:29 AM[b],12:29 PM[b],1:29:00 PM,2:29:00 PM,3:29:00 PM,4:29:00 PM,5:29:00 PM,6:29:00 PM,7:29:00 PM,8:29:00 PM,9:29:00 PM,10:29:00 PM,11:29:00 PM
CAWTHRA RD north of DEXTER CRES (south leg),6:35:00 AM,7:35:00 AM,8:35 AM[b],9:35 AM[b],10:35 AM[b],11:35 AM[b],12:35 PM[b],1:35:00 PM,2:35:00 PM,3:35:00 PM,4:35:00 PM,5:35:00 PM,6:35:00 PM,7:35:00 PM,8:35:00 PM,9:35:00 PM,10:35:00 PM,11:35:00 PM
CAWTHRA RD at ARBOR CRT,6:35:00 AM,7:35:00 AM,8:37 AM[b],9:37 AM[b],10:37 AM[b],11:37 AM[b],12:37 PM[b],1:35:00 PM,2:35:00 PM,3:35:00 PM,4:35:00 PM,5:35:00 PM,6:35:00 PM,7:35:00 PM,8:35:00 PM,9:35:00 PM,10:35:00 PM,11:35:00 PM
CAWTHRA SENIORS BLDG at ARBOR CRT,8:37 AM[b],9:37 AM[b],10:37 AM[b],11:37 AM[b],12:37 PM[b],,,,,,,,,,,,,
CAWTHRA RD at NORTH SERVICE RD,6:38:00 AM,7:38:00 AM,8:39 AM[b],9:39 AM[b],10:39 AM[b],11:39 AM[b],12:39 PM[b],1:38:00 PM,2:38:00 PM,3:38:00 PM,4:38:00 PM,5:38:00 PM,6:38:00 PM,7:38:00 PM,8:38:00 PM,9:38:00 PM,10:38:00 PM,11:38:00 PM
CAWTHRA RD at DUNDAS ST,6:43:00 AM,7:43:00 AM,8:44 AM[b],9:44 AM[b],10:44 AM[b],11:44 AM[b],12:44 PM[b],1:43:00 PM,2:43:00 PM,3:43:00 PM,4:43:00 PM,5:43:00 PM,6:43:00 PM,7:43:00 PM,8:43:00 PM,9:43:00 PM,10:43:00 PM,11:43:00 PM
BLOOR ST at MISSISSAUGA VALLEY BLVD,6:47:00 AM,7:47:00 AM,8:48 AM[b],9:48 AM[b],10:48 AM[b],11:48 AM[b],12:48 PM[b],1:47:00 PM,2:47:00 PM,3:47:00 PM,4:47:00 PM,5:47:00 PM,6:47:00 PM,7:47:00 PM,8:47:00 PM,9:47:00 PM,10:47:00 PM,11:47:00 PM
ELM DR E at HURONTARIO ST,6:53:00 AM,7:53:00 AM,8:54 AM[b],9:54 AM[b],10:54 AM[b],11:54 AM[b],12:54 PM[b],1:53:00 PM,2:53:00 PM,3:53:00 PM,4:53:00 PM,5:53:00 PM,6:53:00 PM,7:53:00 PM,8:53:00 PM,9:53:00 PM,10:53:00 PM,11:53:00 PM
CITY CENTRE BUS TERMINAL PLATFORM J,6:59:00 AM,7:59:00 AM,9:00 AM[b],10:00 AM[b],11:00 AM[b],12:00 PM[b],1:00 PM[b],1:59:00 PM,2:59:00 PM,3:59:00 PM,4:59:00 PM,5:59:00 PM,6:59:00 PM,7:59:00 PM,8:59:00 PM,9:59:00 PM,10:59:00 PM,11:59:00 PM
