CITY CENTRE BUS TERMINAL PLATFORM J,5:47:00 AM,6:47:00 AM,7:47 AM[b],8:47 AM[b],9:47 AM[b],10:47 AM[b],11:47 AM[b],12:47:00 PM,1:47:00 PM,2:47:00 PM,3:47:00 PM,4:47:00 PM,5:47:00 PM,6:47:00 PM,7:47:00 PM,8:47:00 PM,9:47:00 PM,10:47:00 PM
ELM DR at KARIYA DR,5:53:00 AM,6:53:00 AM,7:53 AM[b],8:53 AM[b],9:53 AM[b],10:53 AM[b],11:53 AM[b],12:53:00 PM,1:53:00 PM,2:53:00 PM,3:53:00 PM,4:53:00 PM,5:53:00 PM,6:53:00 PM,7:53:00 PM,8:53:00 PM,9:53:00 PM,10:53:00 PM
ELM DR at HURONTARIO ST,5:53:00 AM,6:53:00 AM,7:53 AM[b],8:53 AM[b],9:53 AM[b],10:53 AM[b],11:53 AM[b],12:53:00 PM,1:53:00 PM,2:53:00 PM,3:53:00 PM,4:53:00 PM,5:53:00 PM,6:53:00 PM,7:53:00 PM,8:53:00 PM,9:53:00 PM,10:53:00 PM
BLOOR ST at MISSISSAUGA VALLEY BLVD,5:59:00 AM,6:59:00 AM,7:59 AM[b],8:59 AM[b],9:59 AM[b],10:59 AM[b],11:59 AM[b],12:59:00 PM,1:59:00 PM,2:59:00 PM,3:59:00 PM,4:59:00 PM,5:59:00 PM,6:59:00 PM,7:59:00 PM,8:59:00 PM,9:59:00 PM,10:59:00 PM
CAWTHRA RD at DUNDAS ST,6:03:00 AM,7:03:00 AM,8:03 AM[b],9:03 AM[b],10:03 AM[b],11:03 AM[b],12:03 PM[b],1:03:00 PM,2:03:00 PM,3:03:00 PM,4:03:00 PM,5:03:00 PM,6:03:00 PM,7:03:00 PM,8:03:00 PM,9:03:00 PM,10:03:00 PM,11:03:00 PM
CAWTHRA RD at NORTH SERVICE RD,6:08:00 AM,7:08:00 AM,8:08 AM[b],9:08 AM[b],10:08 AM[b],11:08 AM[b],12:08 PM[b],1:08:00 PM,2:08:00 PM,3:08:00 PM,4:08:00 PM,5:08:00 PM,6:08:00 PM,7:08:00 PM,8:08:00 PM,9:08:00 PM,10:08:00 PM,11:08:00 PM
CAWTHRA SENIORS BLDG at ARBOR CRT,8:10 AM[b],9:10 AM[b],10:10 AM[b],11:10 AM[b],12:10 PM[b],,,,,,,,,,,,,
CAWTHRA RD at ARBOR RD,6:11:00 AM,7:11:00 AM,8:11 AM[b],9:11 AM[b],10:11 AM[b],11:11 AM[b],12:11 PM[b],1:11:00 PM,2:11:00 PM,3:11:00 PM,4:11:00 PM,5:11:00 PM,6:11:00 PM,7:11:00 PM,8:11:00 PM,9:11:00 PM,10:11:00 PM,11:11:00 PM
MINEOLA RD at HURONTARIO ST,6:16:00 AM,7:16:00 AM,8:16 AM[b],9:16 AM[b],10:16 AM[b],11:16 AM[b],12:16 PM[b],1:16:00 PM,2:16:00 PM,3:16:00 PM,4:16:00 PM,5:16:00 PM,6:16:00 PM,7:16:00 PM,8:16:00 PM,9:16:00 PM,10:16:00 PM,11:16:00 PM
PORT CREDIT GO STATION PLATFORM E,6:20:00 AM,7:20:00 AM,8:20 AM[b],9:20 AM[b],10:20 AM[b],11:20 AM[b],12:20 PM[b],1:20:00 PM,2:20:00 PM,3:20:00 PM,4:20:00 PM,5:20:00 PM,6:20:00 PM,7:20:00 PM,8:20:00 PM,9:20:00 PM,10:20:00 PM,11:20:00 PM
