MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM G,5:35 AM[d],6:15 AM[d],6:55 AM[d],7:35 AM[d],8:15 AM[d],8:55 AM[d],9:38 AM[d],10:15 AM[d],10:52 AM[d],11:35 AM[d],12:15 PM[d],12:55 PM[d],1:35 PM[d],2:15 PM[d],2:55 PM[d],3:38 PM[d],4:15 PM[d],4:52 PM[d],5:35 PM[d],6:15 PM[d],6:55 PM[d],7:35 PM[d],8:15 PM[d],8:55 PM[d]
AQUITAINE AVE at WINSTON CHURCHILL BLVD,5:36 AM[d],6:16 AM[d],6:56 AM[d],7:36 AM[d],8:16 AM[d],8:56 AM[d],9:39 AM[d],10:16 AM[d],10:53 AM[d],11:36 AM[d],12:16 PM[d],12:56 PM[d],1:36 PM[d],2:16 PM[d],2:56 PM[d],3:39 PM[d],4:16 PM[d],4:53 PM[d],5:36 PM[d],6:16 PM[d],6:56 PM[d],7:36 PM[d],8:16 PM[d],8:56 PM[d]
WINSTON CHURCHILL BLVD north of VANDERBILT RD,5:38 AM[d],6:18 AM[d],6:58 AM[d],7:38 AM[d],8:18 AM[d],8:58 AM[d],9:41 AM[d],10:18 AM[d],10:55 AM[d],11:38 AM[d],12:18 PM[d],12:58 PM[d],1:38 PM[d],2:18 PM[d],2:58 PM[d],3:41 PM[d],4:18 PM[d],4:55 PM[d],5:38 PM[d],6:18 PM[d],6:58 PM[d],7:38 PM[d],8:18 PM[d],8:58 PM[d]
DERRY RD at TERRAGAR BLVD,5:41 AM[d],6:21 AM[d],7:01 AM[d],7:41 AM[d],8:21 AM[d],9:01 AM[d],9:44 AM[d],10:21 AM[d],10:58 AM[d],11:41 AM[d],12:21 PM[d],1:01 PM[d],1:41 PM[d],2:21 PM[d],3:01 PM[d],3:44 PM[d],4:21 PM[d],4:58 PM[d],5:41 PM[d],6:21 PM[d],7:01 PM[d],7:41 PM[d],8:21 PM[d],9:01 PM[d]
DERRY RD west of TERRAGAR BLVD,5:42 AM[d],6:22 AM[d],7:02 AM[d],7:42 AM[d],8:22 AM[d],9:02 AM[d],9:45 AM[d],10:22 AM[d],10:59 AM[d],11:42 AM[d],12:22 PM[d],1:02 PM[d],1:42 PM[d],2:22 PM[d],3:02 PM[d],3:45 PM[d],4:22 PM[d],4:59 PM[d],5:42 PM[d],6:22 PM[d],7:02 PM[d],7:42 PM[d],8:22 PM[d],9:02 PM[d]
ROSEHURST DR at LAURENCLAIRE DR,5:43 AM[d],6:23 AM[d],7:03 AM[d],7:43 AM[d],8:23 AM[d],9:03 AM[d],9:46 AM[d],10:23 AM[d],11:00 AM[d],11:43 AM[d],12:23 PM[d],1:03 PM[d],1:43 PM[d],2:23 PM[d],3:03 PM[d],3:46 PM[d],4:23 PM[d],5:00 PM[d],5:43 PM[d],6:23 PM[d],7:03 PM[d],7:43 PM[d],8:23 PM[d],9:03 PM[d]
TERRAGAR BLVD at BLACK WALNUT TRAIL,5:45 AM[d],6:25 AM[d],7:05 AM[d],7:45 AM[d],8:25 AM[d],9:05 AM[d],9:48 AM[d],10:25 AM[d],11:02 AM[d],11:45 AM[d],12:25 PM[d],1:05 PM[d],1:45 PM[d],2:25 PM[d],3:05 PM[d],3:48 PM[d],4:25 PM[d],5:02 PM[d],5:45 PM[d],6:25 PM[d],7:05 PM[d],7:45 PM[d],8:25 PM[d],9:05 PM[d]
TERRAGAR BLVD at WILD CHERRY LANE,5:47 AM[d],6:27 AM[d],7:07 AM[d],7:47 AM[d],8:27 AM[d],9:07 AM[d],9:50 AM[d],10:27 AM[d],11:04 AM[d],11:47 AM[d],12:27 PM[d],1:07 PM[d],1:47 PM[d],2:27 PM[d],3:07 PM[d],3:50 PM[d],4:27 PM[d],5:04 PM[d],5:47 PM[d],6:27 PM[d],7:07 PM[d],7:47 PM[d],8:27 PM[d],9:07 PM[d]
DERRY RD at WINSTON CHURCHILL BLVD,5:49 AM[d],6:29 AM[d],7:09 AM[d],7:49 AM[d],8:29 AM[d],9:09 AM[d],9:52 AM[d],10:29 AM[d],11:06 AM[d],11:49 AM[d],12:29 PM[d],1:09 PM[d],1:49 PM[d],2:29 PM[d],3:09 PM[d],3:52 PM[d],4:29 PM[d],5:06 PM[d],5:49 PM[d],6:29 PM[d],7:09 PM[d],7:49 PM[d],8:29 PM[d],9:09 PM[d]
AQUITAINE AVE at FORMENTERA AVE,5:51 AM[d],6:31 AM[d],7:11 AM[d],7:51 AM[d],8:31 AM[d],9:11 AM[d],9:54 AM[d],10:31 AM[d],11:08 AM[d],11:51 AM[d],12:31 PM[d],1:11 PM[d],1:51 PM[d],2:31 PM[d],3:11 PM[d],3:54 PM[d],4:31 PM[d],5:08 PM[d],5:51 PM[d],6:31 PM[d],7:11 PM[d],7:51 PM[d],8:31 PM[d],9:11 PM[d]
MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM G,5:54 AM[d],6:34 AM[d],7:14 AM[d],7:54 AM[d],8:34 AM[d],9:14 AM[d],9:57 AM[d],10:34 AM[d],11:11 AM[d],11:54 AM[d],12:34 PM[d],1:14 PM[d],1:54 PM[d],2:34 PM[d],3:14 PM[d],3:57 PM[d],4:34 PM[d],5:11 PM[d],5:54 PM[d],6:34 PM[d],7:14 PM[d],7:54 PM[d],8:34 PM[d],9:14 PM[d]
