CITY CENTRE BUS TERMINAL PLATFORM H,6:49:00 AM,7:19:00 AM,7:49:00 AM,8:19:00 AM,8:49:00 AM,9:19:00 AM,9:49:00 AM,10:19:00 AM,10:49:00 AM,11:19:00 AM,11:49:00 AM,12:19:00 PM,12:49:00 PM,1:19:00 PM,1:49:00 PM,2:19:00 PM,2:49:00 PM,3:19:00 PM,3:49:00 PM,4:19:00 PM,4:49:00 PM,5:19:00 PM,5:49:00 PM,6:19:00 PM,6:49:00 PM,7:19:00 PM,7:49:00 PM,8:19:00 PM,8:49:00 PM,9:19:00 PM,9:49:00 PM,10:19:00 PM,10:49:00 PM,11:19:00 PM,11:49:00 PM
RATHBURN RD at MAVIS RD,6:55:00 AM,7:25:00 AM,7:55:00 AM,8:25:00 AM,8:55:00 AM,9:25:00 AM,9:55:00 AM,10:25:00 AM,10:55:00 AM,11:25:00 AM,11:55:00 AM,12:25:00 PM,12:55:00 PM,1:25:00 PM,1:55:00 PM,2:25:00 PM,2:55:00 PM,3:25:00 PM,3:55:00 PM,4:26:00 PM,4:56:00 PM,5:26:00 PM,5:56:00 PM,6:26:00 PM,6:56:00 PM,7:26:00 PM,7:56:00 PM,8:26:00 PM,8:55:00 PM,9:25:00 PM,9:55:00 PM,10:25:00 PM,10:55:00 PM,11:25:00 PM,11:54:00 PM
RATHBURN RD at WAKEFIELD CRES (east leg),6:55:00 AM,7:25:00 AM,7:55:00 AM,8:25:00 AM,8:55:00 AM,9:25:00 AM,9:55:00 AM,10:25:00 AM,10:55:00 AM,11:25:00 AM,11:55:00 AM,12:25:00 PM,12:55:00 PM,1:25:00 PM,1:55:00 PM,2:25:00 PM,2:55:00 PM,3:26:00 PM,3:56:00 PM,4:27:00 PM,4:56:00 PM,5:26:00 PM,5:56:00 PM,6:27:00 PM,6:57:00 PM,7:26:00 PM,7:56:00 PM,8:26:00 PM,8:55:00 PM,9:25:00 PM,9:55:00 PM,10:25:00 PM,10:55:00 PM,11:25:00 PM,11:54:00 PM
RATHBURN RD at CREDITVIEW RD,6:59:00 AM,7:29:00 AM,7:59:00 AM,8:29:00 AM,8:59:00 AM,9:29:00 AM,9:59:00 AM,10:29:00 AM,10:59:00 AM,11:29:00 AM,11:59:00 AM,12:29:00 PM,12:59:00 PM,1:29:00 PM,1:59:00 PM,2:29:00 PM,2:59:00 PM,3:30:00 PM,4:00:00 PM,4:31:00 PM,5:00:00 PM,5:30:00 PM,6:00:00 PM,6:31:00 PM,7:01:00 PM,7:30:00 PM,8:00:00 PM,8:30:00 PM,8:59:00 PM,9:29:00 PM,9:59:00 PM,10:29:00 PM,10:59:00 PM,11:29:00 PM,11:58:00 PM
EGLINTON AVE west of CREDITVIEW RD,7:03:00 AM,7:33:00 AM,8:03:00 AM,8:33:00 AM,9:03:00 AM,9:33:00 AM,10:03:00 AM,10:33:00 AM,11:03:00 AM,11:33:00 AM,12:03:00 PM,12:33:00 PM,1:03:00 PM,1:34:00 PM,2:04:00 PM,2:34:00 PM,3:04:00 PM,3:35:00 PM,4:04:00 PM,4:35:00 PM,5:04:00 PM,5:34:00 PM,6:04:00 PM,6:35:00 PM,7:05:00 PM,7:34:00 PM,8:04:00 PM,8:34:00 PM,9:03:00 PM,9:33:00 PM,10:03:00 PM,10:33:00 PM,11:03:00 PM,11:33:00 PM,12:02:00 AM
EGLINTON AVE at MISSISSAUGA RD,7:05:00 AM,7:35:00 AM,8:05:00 AM,8:35:00 AM,9:05:00 AM,9:35:00 AM,10:05:00 AM,10:35:00 AM,11:05:00 AM,11:35:00 AM,12:05:00 PM,12:35:00 PM,1:05:00 PM,1:36:00 PM,2:06:00 PM,2:36:00 PM,3:06:00 PM,3:37:00 PM,4:06:00 PM,4:37:00 PM,5:06:00 PM,5:36:00 PM,6:06:00 PM,6:37:00 PM,7:07:00 PM,7:36:00 PM,8:06:00 PM,8:36:00 PM,9:05:00 PM,9:35:00 PM,10:05:00 PM,10:35:00 PM,11:05:00 PM,11:35:00 PM,12:04:00 AM
QUEEN ST at BARRY AVE,7:08:00 AM,7:38:00 AM,8:08:00 AM,8:38:00 AM,9:08:00 AM,9:38:00 AM,10:08:00 AM,10:38:00 AM,11:08:00 AM,11:38:00 AM,12:08:00 PM,12:38:00 PM,1:08:00 PM,1:39:00 PM,2:09:00 PM,2:39:00 PM,3:09:00 PM,3:40:00 PM,4:09:00 PM,4:40:00 PM,5:09:00 PM,5:39:00 PM,6:09:00 PM,6:40:00 PM,7:10:00 PM,7:39:00 PM,8:09:00 PM,8:39:00 PM,9:08:00 PM,9:38:00 PM,10:08:00 PM,10:38:00 PM,11:08:00 PM,11:38:00 PM,12:07:00 AM
VISTA BLVD at TURNEY DR,7:13:00 AM,7:43:00 AM,8:13:00 AM,8:43:00 AM,9:13:00 AM,9:43:00 AM,10:14:00 AM,10:44:00 AM,11:14:00 AM,11:44:00 AM,12:14:00 PM,12:44:00 PM,1:14:00 PM,1:44:00 PM,2:14:00 PM,2:44:00 PM,3:14:00 PM,3:45:00 PM,4:14:00 PM,4:45:00 PM,5:14:00 PM,5:44:00 PM,6:14:00 PM,6:45:00 PM,7:15:00 PM,7:44:00 PM,8:14:00 PM,8:44:00 PM,9:13:00 PM,9:43:00 PM,10:13:00 PM,10:43:00 PM,11:13:00 PM,11:43:00 PM,12:12:00 AM
ERIN MILLS PKY at VISTA BLVD,7:13:00 AM,7:43:00 AM,8:13:00 AM,8:43:00 AM,9:13:00 AM,9:43:00 AM,10:14:00 AM,10:44:00 AM,11:14:00 AM,11:44:00 AM,12:14:00 PM,12:44:00 PM,1:14:00 PM,1:44:00 PM,2:14:00 PM,2:44:00 PM,3:14:00 PM,3:45:00 PM,4:14:00 PM,4:45:00 PM,5:14:00 PM,5:44:00 PM,6:14:00 PM,6:45:00 PM,7:15:00 PM,7:44:00 PM,8:14:00 PM,8:44:00 PM,9:13:00 PM,9:43:00 PM,10:13:00 PM,10:43:00 PM,11:13:00 PM,11:43:00 PM,12:12:00 AM
WINDWOOD DR at GLEN ERIN DR,7:16:00 AM,7:46:00 AM,8:16:00 AM,8:46:00 AM,9:16:00 AM,9:46:00 AM,10:17:00 AM,10:47:00 AM,11:17:00 AM,11:47:00 AM,12:17:00 PM,12:48:00 PM,1:18:00 PM,1:48:00 PM,2:18:00 PM,2:48:00 PM,3:18:00 PM,3:49:00 PM,4:18:00 PM,4:49:00 PM,5:18:00 PM,5:48:00 PM,6:17:00 PM,6:48:00 PM,7:18:00 PM,7:47:00 PM,8:17:00 PM,8:47:00 PM,9:16:00 PM,9:46:00 PM,10:16:00 PM,10:46:00 PM,11:16:00 PM,11:46:00 PM,12:15:00 AM
