MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM J,7:05:00 AM,7:35:00 AM,8:05:00 AM,8:35:00 AM,9:05:00 AM,9:35:00 AM,10:05:00 AM,10:35:00 AM,11:05:00 AM,11:35:00 AM,12:05:00 PM,12:35:00 PM,1:05:00 PM,1:35:00 PM,2:05:00 PM,2:35:00 PM,3:05:00 PM,3:35:00 PM,4:05:00 PM,4:35:00 PM,5:05:00 PM,5:35:00 PM,6:05:00 PM,6:35:00 PM,7:05:00 PM,7:35:00 PM,8:05:00 PM,8:35:00 PM,9:05:00 PM,9:35:00 PM,10:05:00 PM,10:35:00 PM,11:05:00 PM,11:35:00 PM
MILLERS GROVE at ARNETT CRT,7:10:00 AM,7:40:00 AM,8:10:00 AM,8:40:00 AM,9:10:00 AM,9:40:00 AM,10:10:00 AM,10:40:00 AM,11:10:00 AM,11:40:00 AM,12:10:00 PM,12:40:00 PM,1:10:00 PM,1:40:00 PM,2:10:00 PM,2:40:00 PM,3:10:00 PM,3:40:00 PM,4:10:00 PM,4:40:00 PM,5:10:00 PM,5:40:00 PM,6:10:00 PM,6:40:00 PM,7:10:00 PM,7:40:00 PM,8:10:00 PM,8:40:00 PM,9:10:00 PM,9:40:00 PM,10:10:00 PM,10:40:00 PM,11:10:00 PM,11:40:00 PM
WINDWOOD DR at BUCKLEPOST CRES,7:16:00 AM,7:46:00 AM,8:16:00 AM,8:46:00 AM,9:16:00 AM,9:46:00 AM,10:16:00 AM,10:46:00 AM,11:16:00 AM,11:46:00 AM,12:16:00 PM,12:46:00 PM,1:16:00 PM,1:46:00 PM,2:16:00 PM,2:46:00 PM,3:16:00 PM,3:46:00 PM,4:16:00 PM,4:46:00 PM,5:16:00 PM,5:46:00 PM,6:16:00 PM,6:46:00 PM,7:16:00 PM,7:46:00 PM,8:16:00 PM,8:46:00 PM,9:16:00 PM,9:46:00 PM,10:16:00 PM,10:46:00 PM,11:16:00 PM,11:46:00 PM
WINDWOOD DR at GLEN ERIN DR,7:16:00 AM,7:46:00 AM,8:16:00 AM,8:46:00 AM,9:16:00 AM,9:46:00 AM,10:16:00 AM,10:46:00 AM,11:16:00 AM,11:46:00 AM,12:16:00 PM,12:46:00 PM,1:16:00 PM,1:46:00 PM,2:16:00 PM,2:46:00 PM,3:16:00 PM,3:46:00 PM,4:16:00 PM,4:46:00 PM,5:16:00 PM,5:46:00 PM,6:16:00 PM,6:46:00 PM,7:16:00 PM,7:46:00 PM,8:16:00 PM,8:46:00 PM,9:16:00 PM,9:46:00 PM,10:16:00 PM,10:46:00 PM,11:16:00 PM,11:46:00 PM
VISTA BLVD at TURNEY DR,7:20:00 AM,7:50:00 AM,8:20:00 AM,8:50:00 AM,9:20:00 AM,9:50:00 AM,10:20:00 AM,10:50:00 AM,11:20:00 AM,11:50:00 AM,12:20:00 PM,12:50:00 PM,1:20:00 PM,1:50:00 PM,2:20:00 PM,2:50:00 PM,3:20:00 PM,3:50:00 PM,4:20:00 PM,4:50:00 PM,5:20:00 PM,5:50:00 PM,6:20:00 PM,6:50:00 PM,7:20:00 PM,7:50:00 PM,8:20:00 PM,8:50:00 PM,9:20:00 PM,9:50:00 PM,10:20:00 PM,10:50:00 PM,11:20:00 PM,11:50:00 PM
QUEEN ST at BARRY AVE,7:26:00 AM,7:56:00 AM,8:26:00 AM,8:56:00 AM,9:26:00 AM,9:56:00 AM,10:26:00 AM,10:56:00 AM,11:26:00 AM,11:56:00 AM,12:26:00 PM,12:56:00 PM,1:26:00 PM,1:56:00 PM,2:26:00 PM,2:56:00 PM,3:26:00 PM,3:56:00 PM,4:26:00 PM,4:56:00 PM,5:26:00 PM,5:56:00 PM,6:26:00 PM,6:56:00 PM,7:26:00 PM,7:56:00 PM,8:26:00 PM,8:56:00 PM,9:26:00 PM,9:56:00 PM,10:26:00 PM,10:56:00 PM,11:26:00 PM,11:56:00 PM
EGLINTON AVE at MISSISSAUGA RD,7:30:00 AM,8:00:00 AM,8:30:00 AM,9:00:00 AM,9:30:00 AM,10:00:00 AM,10:30:00 AM,11:00:00 AM,11:30:00 AM,12:00:00 PM,12:30:00 PM,1:00:00 PM,1:30:00 PM,2:00:00 PM,2:30:00 PM,3:00:00 PM,3:30:00 PM,4:00:00 PM,4:30:00 PM,5:00:00 PM,5:30:00 PM,6:00:00 PM,6:30:00 PM,7:00:00 PM,7:30:00 PM,8:00:00 PM,8:30:00 PM,9:00:00 PM,9:30:00 PM,10:00:00 PM,10:30:00 PM,11:00:00 PM,11:30:00 PM,12:00:00 AM
CREDITVIEW RD at EGLINTON AVE,7:33:00 AM,8:03:00 AM,8:33:00 AM,9:03:00 AM,9:33:00 AM,10:03:00 AM,10:33:00 AM,11:03:00 AM,11:33:00 AM,12:03:00 PM,12:33:00 PM,1:03:00 PM,1:33:00 PM,2:03:00 PM,2:33:00 PM,3:03:00 PM,3:33:00 PM,4:03:00 PM,4:33:00 PM,5:03:00 PM,5:33:00 PM,6:03:00 PM,6:33:00 PM,7:03:00 PM,7:33:00 PM,8:03:00 PM,8:33:00 PM,9:03:00 PM,9:33:00 PM,10:03:00 PM,10:33:00 PM,11:03:00 PM,11:33:00 PM,12:03:00 AM
CREDITVIEW RD at MELIA DR,7:37:00 AM,8:07:00 AM,8:37:00 AM,9:07:00 AM,9:37:00 AM,10:07:00 AM,10:37:00 AM,11:06:00 AM,11:36:00 AM,12:06:00 PM,12:36:00 PM,1:06:00 PM,1:36:00 PM,2:06:00 PM,2:36:00 PM,3:06:00 PM,3:36:00 PM,4:06:00 PM,4:36:00 PM,5:06:00 PM,5:36:00 PM,6:06:00 PM,6:36:00 PM,7:06:00 PM,7:36:00 PM,8:06:00 PM,8:36:00 PM,9:06:00 PM,9:36:00 PM,10:06:00 PM,10:36:00 PM,11:06:00 PM,11:36:00 PM,12:06:00 AM
RATHBURN RD at DEER RUN (west leg),7:38:00 AM,8:08:00 AM,8:38:00 AM,9:08:00 AM,9:38:00 AM,10:08:00 AM,10:38:00 AM,11:07:00 AM,11:37:00 AM,12:07:00 PM,12:37:00 PM,1:07:00 PM,1:37:00 PM,2:07:00 PM,2:37:00 PM,3:07:00 PM,3:37:00 PM,4:07:00 PM,4:37:00 PM,5:07:00 PM,5:37:00 PM,6:07:00 PM,6:37:00 PM,7:07:00 PM,7:37:00 PM,8:07:00 PM,8:37:00 PM,9:07:00 PM,9:37:00 PM,10:07:00 PM,10:37:00 PM,11:07:00 PM,11:37:00 PM,12:07:00 AM
