SOUTH COMMON MALL BUS TERMINAL PLATFORM B,4:36 AM[d],4:56 AM[d],5:15 AM[d],5:30 AM[d],5:41 AM[d],5:56 AM[d],6:18 AM[d],6:36 AM[d],6:45:00 AM,7:03:00 AM,7:14:00 AM,7:30:00 AM,7:51:00 AM,8:11:00 AM,8:30:00 AM,8:50:00 AM,9:09:00 AM,9:28:00 AM,9:43:00 AM,9:58:00 AM,10:12:00 AM,10:26:00 AM,10:41:00 AM,10:56:00 AM,11:10:00 AM,11:25:00 AM,11:39:00 AM,11:54:00 AM,12:08:00 PM,12:23:00 PM,12:37:00 PM,12:52:00 PM,1:06:00 PM,1:21:00 PM,1:35:00 PM,1:50:00 PM,2:04:00 PM,2:19:00 PM,2:34:00 PM,2:50:00 PM,3:07:00 PM,3:27:00 PM,3:47:00 PM,4:06:00 PM,4:26:00 PM,4:44:00 PM,5:04:00 PM,5:24:00 PM,5:44:00 PM,6:04:00 PM,6:24:00 PM,6:54:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH MILLWAY at FIFTH LINE WEST,4:40 AM[d],5:00 AM[d],5:19 AM[d],5:34 AM[d],5:45 AM[d],6:00 AM[d],6:22 AM[d],6:40 AM[d],6:49:00 AM,7:07:00 AM,7:18:00 AM,7:34:00 AM,7:55:00 AM,8:15:00 AM,8:34:00 AM,8:54:00 AM,9:13:00 AM,9:32:00 AM,9:47:00 AM,10:02:00 AM,10:16:00 AM,10:30:00 AM,10:45:00 AM,11:00:00 AM,11:14:00 AM,11:29:00 AM,11:43:00 AM,11:58:00 AM,12:12:00 PM,12:27:00 PM,12:41:00 PM,12:56:00 PM,1:10:00 PM,1:25:00 PM,1:39:00 PM,1:54:00 PM,2:08:00 PM,2:23:00 PM,2:38:00 PM,2:54:00 PM,3:11:00 PM,3:31:00 PM,3:51:00 PM,4:10:00 PM,4:30:00 PM,4:48:00 PM,5:08:00 PM,5:28:00 PM,5:48:00 PM,6:08:00 PM,6:28:00 PM,6:58:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAIRD RD west of RIDGEWAY DR,4:46 AM[e],5:06 AM[e],5:26 AM[e],5:46 AM[e],6:08 AM[e],6:27 AM[e],6:48 AM[e],7:05 AM[e],7:30 AM[e],7:50 AM[e],8:10 AM[e],8:32 AM[e],8:51 AM[e],9:08 AM[e],9:24 AM[e],2:36 PM[e],2:51 PM[e],3:07 PM[e],3:25 PM[e],3:45 PM[e],4:09 PM[e],4:25 PM[e],4:43 PM[e],5:02 PM[e],5:22 PM[e],5:42 PM[e],6:03 PM[e],6:23 PM[e],6:53 PM[e],7:13 PM[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W at WINSTON CHURCHILL BLVD,4:49 AM[e],5:09 AM[e],5:29 AM[e],5:49 AM[e],6:11 AM[e],6:30 AM[e],6:51 AM[e],7:08 AM[e],7:33 AM[e],7:53 AM[e],8:13 AM[e],8:35 AM[e],8:54 AM[e],9:11 AM[e],9:27 AM[e],2:39 PM[e],2:54 PM[e],3:10 PM[e],3:28 PM[e],3:48 PM[e],4:12 PM[e],4:28 PM[e],4:46 PM[e],5:05 PM[e],5:25 PM[e],5:45 PM[e],6:06 PM[e],6:26 PM[e],6:56 PM[e],7:16 PM[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W east of ERIN MILLS PKY,4:43 AM[d],4:52 AM[e],5:03 AM[d],5:12 AM[e],5:22 AM[d],5:32 AM[e],5:37 AM[d],5:48 AM[d],5:52 AM[e],6:03 AM[d],6:14 AM[e],6:25 AM[d],6:34 AM[e],6:43 AM[d],6:55 AM[e],6:53:00 AM,7:12 AM[e],7:11:00 AM,7:22:00 AM,7:37 AM[e],7:38:00 AM,7:57 AM[e],7:59:00 AM,8:17 AM[e],8:19:00 AM,8:39 AM[e],8:38:00 AM,8:58 AM[e],8:58:00 AM,9:15 AM[e],9:16:00 AM,9:31 AM[e],9:35:00 AM,9:50:00 AM,10:05:00 AM,10:19:00 AM,10:33:00 AM,10:48:00 AM,11:03:00 AM,11:17:00 AM,11:32:00 AM,11:46:00 AM,12:01:00 PM,12:15:00 PM,12:30:00 PM,12:44:00 PM,12:59:00 PM,1:13:00 PM,1:28:00 PM,1:42:00 PM,1:57:00 PM,2:12:00 PM,2:27:00 PM,2:43 PM[e],2:42:00 PM,2:58 PM[e],2:58:00 PM,3:14 PM[e],3:15:00 PM,3:32 PM[e],3:35:00 PM,3:52 PM[e],3:55:00 PM,4:16 PM[e],4:14:00 PM,4:32 PM[e],4:34:00 PM,4:50 PM[e],4:52:00 PM,5:09 PM[e],5:12:00 PM,5:29 PM[e],5:32:00 PM,5:49 PM[e],5:52:00 PM,6:09 PM[e],6:12:00 PM,6:29 PM[e],6:32:00 PM,6:59 PM[e],7:01:00 PM,7:19 PM[e],
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,7:00:00 AM,7:18:00 AM,7:29:00 AM,7:45:00 AM,8:06:00 AM,8:26:00 AM,8:45:00 AM,9:04:00 AM,9:22:00 AM,9:41:00 AM,9:56:00 AM,10:11:00 AM,10:25:00 AM,10:39:00 AM,10:54:00 AM,11:09:00 AM,11:23:00 AM,11:38:00 AM,11:52:00 AM,12:07:00 PM,12:21:00 PM,12:36:00 PM,12:50:00 PM,1:05:00 PM,1:19:00 PM,1:34:00 PM,1:48:00 PM,2:03:00 PM,2:18:00 PM,2:33:00 PM,2:48:00 PM,3:04:00 PM,3:21:00 PM,3:41:00 PM,4:01:00 PM,4:20:00 PM,4:40:00 PM,4:58:00 PM,5:18:00 PM,5:38:00 PM,5:58:00 PM,6:18:00 PM,6:38:00 PM,7:07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST at GLENGARRY RD,4:48 AM[d],4:57 AM[e],5:08 AM[d],5:17 AM[e],5:27 AM[d],5:37 AM[e],5:42 AM[d],5:53 AM[d],5:57 AM[e],6:02:00 AM,6:08 AM[d],6:19 AM[e],6:30 AM[d],6:39 AM[e],6:48 AM[d],7:00 AM[e],7:08:00 AM,7:19 AM[e],7:26:00 AM,7:37:00 AM,7:44 AM[e],7:53:00 AM,8:04 AM[e],8:14:00 AM,8:24 AM[e],8:34:00 AM,8:44 AM[e],8:53:00 AM,9:03 AM[e],9:11:00 AM,9:20 AM[e],9:29:00 AM,9:36 AM[e],9:48:00 AM,10:03:00 AM,10:18:00 AM,10:32:00 AM,10:46:00 AM,11:01:00 AM,11:16:00 AM,11:30:00 AM,11:45:00 AM,11:59:00 AM,12:14:00 PM,12:28:00 PM,12:43:00 PM,12:57:00 PM,1:12:00 PM,1:26:00 PM,1:41:00 PM,1:55:00 PM,2:10:00 PM,2:25:00 PM,2:40:00 PM,2:48 PM[e],2:55:00 PM,3:03 PM[e],3:11:00 PM,3:19 PM[e],3:29:00 PM,3:39 PM[e],3:49:00 PM,3:59 PM[e],4:09:00 PM,4:23 PM[e],4:28:00 PM,4:39 PM[e],4:48:00 PM,4:57 PM[e],5:06:00 PM,5:16 PM[e],5:26:00 PM,5:36 PM[e],5:45:00 PM,5:56 PM[e],6:05:00 PM,6:15 PM[e],6:25:00 PM,6:35 PM[e],6:45:00 PM,7:04 PM[e],7:14:00 PM,7:24 PM[e]
DUNDAS ST at MAVIS RD,4:49 AM[d],4:58 AM[e],5:09 AM[d],5:18 AM[e],5:28 AM[d],5:38 AM[e],5:43 AM[d],5:54 AM[d],5:58 AM[e],6:03:00 AM,6:09 AM[d],6:20 AM[e],6:32 AM[d],6:41 AM[e],6:50 AM[d],7:02 AM[e],7:10:00 AM,7:21 AM[e],7:28:00 AM,7:39:00 AM,7:46 AM[e],7:55:00 AM,8:06 AM[e],8:16:00 AM,8:26 AM[e],8:36:00 AM,8:46 AM[e],8:55:00 AM,9:05 AM[e],9:13:00 AM,9:23 AM[e],9:32:00 AM,9:39 AM[e],9:51:00 AM,10:06:00 AM,10:21:00 AM,10:35:00 AM,10:49:00 AM,11:04:00 AM,11:19:00 AM,11:33:00 AM,11:48:00 AM,12:02:00 PM,12:17:00 PM,12:31:00 PM,12:46:00 PM,1:00:00 PM,1:15:00 PM,1:29:00 PM,1:44:00 PM,1:58:00 PM,2:12:00 PM,2:27:00 PM,2:42:00 PM,2:50 PM[e],2:57:00 PM,3:05 PM[e],3:13:00 PM,3:22 PM[e],3:32:00 PM,3:42 PM[e],3:52:00 PM,4:02 PM[e],4:12:00 PM,4:26 PM[e],4:31:00 PM,4:42 PM[e],4:51:00 PM,5:00 PM[e],5:09:00 PM,5:19 PM[e],5:29:00 PM,5:39 PM[e],5:47:00 PM,5:58 PM[e],6:06:00 PM,6:16 PM[e],6:26:00 PM,6:36 PM[e],6:46:00 PM,7:05 PM[e],7:15:00 PM,7:25 PM[e]
DUNDAS ST at HURONTARIO ST,4:54 AM[d],5:03 AM[e],5:14 AM[d],5:23 AM[e],5:33 AM[d],5:43 AM[e],5:48 AM[d],5:59 AM[d],6:03 AM[e],6:08:00 AM,6:14 AM[d],6:25 AM[e],6:37 AM[d],6:46 AM[e],6:55 AM[d],7:07 AM[e],7:15:00 AM,7:26 AM[e],7:34:00 AM,7:45:00 AM,7:52 AM[e],8:01:00 AM,8:12 AM[e],8:22:00 AM,8:31 AM[e],8:41:00 AM,8:51 AM[e],9:00:00 AM,9:10 AM[e],9:18:00 AM,9:27 AM[e],9:36:00 AM,9:43 AM[e],9:55:00 AM,10:10:00 AM,10:25:00 AM,10:39:00 AM,10:53:00 AM,11:08:00 AM,11:23:00 AM,11:37:00 AM,11:52:00 AM,12:06:00 PM,12:21:00 PM,12:35:00 PM,12:50:00 PM,1:04:00 PM,1:19:00 PM,1:33:00 PM,1:48:00 PM,2:03:00 PM,2:17:00 PM,2:32:00 PM,2:47:00 PM,2:55 PM[e],3:02:00 PM,3:10 PM[e],3:18:00 PM,3:27 PM[e],3:37:00 PM,3:47 PM[e],3:57:00 PM,4:07 PM[e],4:17:00 PM,4:31 PM[e],4:36:00 PM,4:47 PM[e],4:56:00 PM,5:05 PM[e],5:14:00 PM,5:24 PM[e],5:34:00 PM,5:44 PM[e],5:52:00 PM,6:03 PM[e],6:11:00 PM,6:21 PM[e],6:31:00 PM,6:41 PM[e],6:51:00 PM,7:10 PM[e],7:20:00 PM,7:30 PM[e]
DUNDAS ST east of CAWTHRA RD,4:58 AM[d],5:07 AM[e],5:18 AM[d],5:27 AM[e],5:37 AM[d],5:47 AM[e],5:52 AM[d],6:03 AM[d],6:07 AM[e],6:12:00 AM,6:18 AM[d],6:29 AM[e],6:41 AM[d],6:50 AM[e],6:59 AM[d],7:11 AM[e],7:20:00 AM,7:31 AM[e],7:39:00 AM,7:50:00 AM,7:57 AM[e],8:06:00 AM,8:17 AM[e],8:27:00 AM,8:36 AM[e],8:45:00 AM,8:55 AM[e],9:04:00 AM,9:14 AM[e],9:23:00 AM,9:32 AM[e],9:41:00 AM,9:48 AM[e],10:00:00 AM,10:15:00 AM,10:30:00 AM,10:44:00 AM,10:58:00 AM,11:13:00 AM,11:28:00 AM,11:42:00 AM,11:57:00 AM,12:11:00 PM,12:26:00 PM,12:40:00 PM,12:55:00 PM,1:09:00 PM,1:24:00 PM,1:38:00 PM,1:53:00 PM,2:07:00 PM,2:21:00 PM,2:36:00 PM,2:51:00 PM,2:59 PM[e],3:06:00 PM,3:14 PM[e],3:22:00 PM,3:31 PM[e],3:41:00 PM,3:51 PM[e],4:01:00 PM,4:11 PM[e],4:21:00 PM,4:35 PM[e],4:40:00 PM,4:51 PM[e],5:00:00 PM,5:09 PM[e],5:18:00 PM,5:28 PM[e],5:38:00 PM,5:48 PM[e],5:56:00 PM,6:07 PM[e],6:15:00 PM,6:25 PM[e],6:35:00 PM,6:45 PM[e],6:55:00 PM,7:14 PM[e],7:24:00 PM,7:34 PM[e]
