ISLINGTON SUBWAY BUS TERMINAL PLATFORM A,5:23 AM[e],5:33 AM[d],5:43 AM[e],5:54 AM[d],6:02 AM[e],6:15 AM[d],6:18 AM[e],6:32:00 AM,6:40 AM[e],6:50:00 AM,7:00 AM[e],7:10:00 AM,7:19 AM[e],7:29:00 AM,7:39 AM[e],7:49:00 AM,7:59 AM[e],8:08:00 AM,8:18 AM[e],8:28:00 AM,8:34:00 AM,8:46:00 AM,8:56:00 AM,9:05:00 AM,9:14:00 AM,9:24:00 AM,9:34:00 AM,9:44:00 AM,9:59:00 AM,10:06 AM[b],10:13:00 AM,10:27:00 AM,10:41:00 AM,10:56:00 AM,11:10:00 AM,11:25:00 AM,11:39:00 AM,11:54:00 AM,12:08:00 PM,12:23:00 PM,12:37:00 PM,12:52:00 PM,1:06:00 PM,1:21:00 PM,1:35:00 PM,1:50:00 PM,2:04:00 PM,2:25:00 PM,2:35:00 PM,2:49:00 PM,3:03:00 PM,3:18 PM[e],3:27:00 PM,3:33 PM[e],3:42:00 PM,3:52 PM[e],4:02:00 PM,4:12 PM[e],4:22:00 PM,4:31 PM[e],4:41:00 PM,4:51 PM[e],5:05:00 PM,5:11 PM[e],5:21:00 PM,5:30 PM[e],5:40:00 PM,5:48 PM[e],5:58:00 PM,6:07 PM[e],6:17:00 PM,6:27 PM[e],6:35 PM[b],6:42:00 PM,6:52 PM[b],7:01 PM[e],7:10 PM[b],7:20:00 PM,7:40 PM[e],8:00:00 PM
DUNDAS ST at BILLINGHAM RD,5:28 AM[e],5:38 AM[d],5:48 AM[e],5:59 AM[d],6:07 AM[e],6:20 AM[d],6:23 AM[e],6:38:00 AM,6:46 AM[e],6:56:00 AM,7:06 AM[e],7:16:00 AM,7:25 AM[e],7:35:00 AM,7:45 AM[e],7:55:00 AM,8:05 AM[e],8:14:00 AM,8:24 AM[e],8:34:00 AM,8:40:00 AM,8:52:00 AM,9:02:00 AM,9:11:00 AM,9:20:00 AM,9:29:00 AM,9:39:00 AM,9:49:00 AM,10:04:00 AM,10:11 AM[b],10:18:00 AM,10:32:00 AM,10:46:00 AM,11:01:00 AM,11:15:00 AM,11:30:00 AM,11:44:00 AM,11:59:00 AM,12:13:00 PM,12:28:00 PM,12:42:00 PM,12:57:00 PM,1:11:00 PM,1:26:00 PM,1:40:00 PM,1:55:00 PM,2:10:00 PM,2:31:00 PM,2:41:00 PM,2:55:00 PM,3:09:00 PM,3:24 PM[e],3:33:00 PM,3:39 PM[e],3:48:00 PM,3:58 PM[e],4:08:00 PM,4:18 PM[e],4:28:00 PM,4:37 PM[e],4:47:00 PM,4:57 PM[e],5:11:00 PM,5:17 PM[e],5:27:00 PM,5:36 PM[e],5:46:00 PM,5:54 PM[e],6:04:00 PM,6:13 PM[e],6:23:00 PM,6:33 PM[e],6:41 PM[b],6:47:00 PM,6:57 PM[b],7:06 PM[e],7:15 PM[b],7:25:00 PM,7:45 PM[e],8:05:00 PM
DUNDAS ST at DIXIE RD,5:34 AM[e],5:44 AM[d],5:54 AM[e],6:05 AM[d],6:13 AM[e],6:26 AM[d],6:29 AM[e],6:44:00 AM,6:52 AM[e],7:03:00 AM,7:13 AM[e],7:24:00 AM,7:33 AM[e],7:43:00 AM,7:53 AM[e],8:03:00 AM,8:13 AM[e],8:22:00 AM,8:32 AM[e],8:42:00 AM,8:48:00 AM,9:00:00 AM,9:10:00 AM,9:19:00 AM,9:29:00 AM,9:38:00 AM,9:48:00 AM,9:58:00 AM,10:13:00 AM,10:20 AM[b],10:27:00 AM,10:41:00 AM,10:55:00 AM,11:10:00 AM,11:24:00 AM,11:39:00 AM,11:53:00 AM,12:08:00 PM,12:22:00 PM,12:37:00 PM,12:51:00 PM,1:06:00 PM,1:20:00 PM,1:35:00 PM,1:49:00 PM,2:04:00 PM,2:18:00 PM,2:39:00 PM,2:49:00 PM,3:03:00 PM,3:17:00 PM,3:32 PM[e],3:41:00 PM,3:47 PM[e],3:56:00 PM,4:06 PM[e],4:16:00 PM,4:26 PM[e],4:36:00 PM,4:45 PM[e],4:55:00 PM,5:05 PM[e],5:19:00 PM,5:25 PM[e],5:35:00 PM,5:44 PM[e],5:54:00 PM,6:02 PM[e],6:10:00 PM,6:19 PM[e],6:29:00 PM,6:39 PM[e],6:47 PM[b],6:53:00 PM,7:03 PM[b],7:12 PM[e],7:21 PM[b],7:31:00 PM,7:51 PM[e],8:11:00 PM
DUNDAS ST FIRST STOP west of DIXIE RD,5:34 AM[e],5:44 AM[d],5:54 AM[e],6:05 AM[d],6:13 AM[e],6:26 AM[d],6:29 AM[e],6:44:00 AM,6:52 AM[e],7:03:00 AM,7:13 AM[e],7:24:00 AM,7:33 AM[e],7:43:00 AM,7:53 AM[e],8:03:00 AM,8:13 AM[e],8:22:00 AM,8:32 AM[e],8:42:00 AM,8:48:00 AM,9:00:00 AM,9:10:00 AM,9:19:00 AM,9:29:00 AM,9:38:00 AM,9:48:00 AM,9:58:00 AM,10:13:00 AM,10:20 AM[b],10:27:00 AM,10:41:00 AM,10:55:00 AM,11:10:00 AM,11:24:00 AM,11:39:00 AM,11:53:00 AM,12:08:00 PM,12:22:00 PM,12:37:00 PM,12:51:00 PM,1:06:00 PM,1:20:00 PM,1:35:00 PM,1:49:00 PM,2:04:00 PM,2:18:00 PM,2:39:00 PM,2:49:00 PM,3:03:00 PM,3:17:00 PM,3:32 PM[e],3:41:00 PM,3:47 PM[e],3:56:00 PM,4:06 PM[e],4:16:00 PM,4:26 PM[e],4:36:00 PM,4:45 PM[e],4:55:00 PM,5:05 PM[e],5:19:00 PM,5:25 PM[e],5:35:00 PM,5:44 PM[e],5:54:00 PM,6:02 PM[e],6:10:00 PM,6:19 PM[e],6:29:00 PM,6:39 PM[e],6:47 PM[b],6:53:00 PM,7:03 PM[b],7:12 PM[e],7:21 PM[b],7:31:00 PM,7:51 PM[e],8:11:00 PM
DUNDAS ST at TOMKEN RD,5:37 AM[e],5:47 AM[d],5:57 AM[e],6:08 AM[d],6:16 AM[e],6:29 AM[d],6:33 AM[e],6:48:00 AM,6:56 AM[e],7:07:00 AM,7:17 AM[e],7:28:00 AM,7:37 AM[e],7:47:00 AM,7:57 AM[e],8:07:00 AM,8:17 AM[e],8:26:00 AM,8:36 AM[e],8:46:00 AM,8:52:00 AM,9:04:00 AM,9:14:00 AM,9:22:00 AM,9:32:00 AM,9:41:00 AM,9:51:00 AM,10:01:00 AM,10:16:00 AM,10:23 AM[b],10:30:00 AM,10:44:00 AM,10:58:00 AM,11:13:00 AM,11:27:00 AM,11:42:00 AM,11:56:00 AM,12:11:00 PM,12:25:00 PM,12:40:00 PM,12:54:00 PM,1:09:00 PM,1:23:00 PM,1:38:00 PM,1:52:00 PM,2:08:00 PM,2:22:00 PM,2:43:00 PM,2:53:00 PM,3:07:00 PM,3:21:00 PM,3:36 PM[e],3:45:00 PM,3:51 PM[e],4:00:00 PM,4:10 PM[e],4:20:00 PM,4:30 PM[e],4:40:00 PM,4:49 PM[e],4:59:00 PM,5:09 PM[e],5:23:00 PM,5:29 PM[e],5:39:00 PM,5:48 PM[e],5:58:00 PM,6:06 PM[e],6:14:00 PM,6:23 PM[e],6:33:00 PM,6:42 PM[e],6:50 PM[b],6:56:00 PM,7:06 PM[b],7:15 PM[e],7:24 PM[b],7:34:00 PM,7:54 PM[e],8:14:00 PM
DUNDAS ST at CAWTHRA RD,5:39 AM[e],5:49 AM[d],5:59 AM[e],6:10 AM[d],6:18 AM[e],6:31 AM[d],6:35 AM[e],6:50:00 AM,6:58 AM[e],7:09:00 AM,7:19 AM[e],7:30:00 AM,7:39 AM[e],7:49:00 AM,7:59 AM[e],8:09:00 AM,8:19 AM[e],8:28:00 AM,8:38 AM[e],8:48:00 AM,8:54:00 AM,9:06:00 AM,9:16:00 AM,9:25:00 AM,9:35:00 AM,9:44:00 AM,9:54:00 AM,10:04:00 AM,10:19:00 AM,10:26 AM[b],10:33:00 AM,10:47:00 AM,11:01:00 AM,11:16:00 AM,11:30:00 AM,11:45:00 AM,11:59:00 AM,12:14:00 PM,12:28:00 PM,12:43:00 PM,12:57:00 PM,1:12:00 PM,1:26:00 PM,1:41:00 PM,1:55:00 PM,2:10:00 PM,2:24:00 PM,2:45:00 PM,2:55:00 PM,3:09:00 PM,3:23:00 PM,3:38 PM[e],3:47:00 PM,3:53 PM[e],4:02:00 PM,4:12 PM[e],4:22:00 PM,4:32 PM[e],4:42:00 PM,4:51 PM[e],5:01:00 PM,5:11 PM[e],5:25:00 PM,5:31 PM[e],5:41:00 PM,5:50 PM[e],6:00:00 PM,6:08 PM[e],6:16:00 PM,6:25 PM[e],6:35:00 PM,6:44 PM[e],6:52 PM[b],6:58:00 PM,7:08 PM[b],7:17 PM[e],7:26 PM[b],7:36:00 PM,7:56 PM[e],8:16:00 PM
DUNDAS ST at HURONTARIO ST,5:44 AM[e],5:54 AM[d],6:04 AM[e],6:16 AM[d],6:24 AM[e],6:37 AM[d],6:41 AM[e],6:56:00 AM,7:04 AM[e],7:15:00 AM,7:25 AM[e],7:36:00 AM,7:45 AM[e],7:55:00 AM,8:05 AM[e],8:15:00 AM,8:25 AM[e],8:34:00 AM,8:43 AM[e],8:53:00 AM,8:59:00 AM,9:11:00 AM,9:21:00 AM,9:30:00 AM,9:40:00 AM,9:49:00 AM,9:59:00 AM,10:09:00 AM,10:24:00 AM,10:31 AM[b],10:38:00 AM,10:52:00 AM,11:06:00 AM,11:21:00 AM,11:35:00 AM,11:50:00 AM,12:04:00 PM,12:19:00 PM,12:33:00 PM,12:48:00 PM,1:02:00 PM,1:17:00 PM,1:31:00 PM,1:46:00 PM,2:00:00 PM,2:15:00 PM,2:29:00 PM,2:50:00 PM,3:00:00 PM,3:14:00 PM,3:28:00 PM,3:44 PM[e],3:53:00 PM,3:59 PM[e],4:08:00 PM,4:18 PM[e],4:28:00 PM,4:38 PM[e],4:48:00 PM,4:57 PM[e],5:07:00 PM,5:17 PM[e],5:31:00 PM,5:37 PM[e],5:46:00 PM,5:55 PM[e],6:06:00 PM,6:14 PM[e],6:22:00 PM,6:31 PM[e],6:41:00 PM,6:50 PM[e],6:58 PM[b],7:04:00 PM,7:14 PM[b],7:23 PM[e],7:32 PM[b],7:42:00 PM,8:02 PM[e],8:22:00 PM
DUNDAS ST at MAVIS RD,5:49 AM[e],5:59 AM[d],6:09 AM[e],6:21 AM[d],6:29 AM[e],6:42 AM[d],6:46 AM[e],7:01:00 AM,7:09 AM[e],7:20:00 AM,7:30 AM[e],7:41:00 AM,7:50 AM[e],8:00:00 AM,8:10 AM[e],8:20:00 AM,8:30 AM[e],8:39:00 AM,8:48 AM[e],8:58:00 AM,9:04:00 AM,9:16:00 AM,9:26:00 AM,9:35:00 AM,9:45:00 AM,9:54:00 AM,10:04:00 AM,10:14:00 AM,10:29:00 AM,10:36 AM[b],10:43:00 AM,10:57:00 AM,11:11:00 AM,11:26:00 AM,11:40:00 AM,11:55:00 AM,12:09:00 PM,12:24:00 PM,12:38:00 PM,12:53:00 PM,1:07:00 PM,1:22:00 PM,1:36:00 PM,1:51:00 PM,2:05:00 PM,2:20:00 PM,2:34:00 PM,2:55:00 PM,3:05:00 PM,3:19:00 PM,3:33:00 PM,3:49 PM[e],3:58:00 PM,4:04 PM[e],4:13:00 PM,4:23 PM[e],4:33:00 PM,4:43 PM[e],4:53:00 PM,5:02 PM[e],5:12:00 PM,5:22 PM[e],5:36:00 PM,5:42 PM[e],5:51:00 PM,6:00 PM[e],6:11:00 PM,6:19 PM[e],6:27:00 PM,6:36 PM[e],6:46:00 PM,6:55 PM[e],7:03 PM[b],7:09:00 PM,7:19 PM[b],7:28 PM[e],7:37 PM[b],7:47:00 PM,8:07 PM[e],8:27:00 PM
DUNDAS ST at ERINDALE STATION RD,5:51 AM[e],6:01 AM[d],6:11 AM[e],6:23 AM[d],6:31 AM[e],6:44 AM[d],6:48 AM[e],7:03:00 AM,7:12 AM[e],7:23:00 AM,7:33 AM[e],7:44:00 AM,7:53 AM[e],8:03:00 AM,8:13 AM[e],8:23:00 AM,8:33 AM[e],8:42:00 AM,8:51 AM[e],9:01:00 AM,9:07:00 AM,9:19:00 AM,9:29:00 AM,9:38:00 AM,9:48:00 AM,9:57:00 AM,10:07:00 AM,10:17:00 AM,10:32:00 AM,10:39 AM[b],10:46:00 AM,11:00:00 AM,11:14:00 AM,11:29:00 AM,11:43:00 AM,11:58:00 AM,12:12:00 PM,12:27:00 PM,12:41:00 PM,12:56:00 PM,1:10:00 PM,1:25:00 PM,1:39:00 PM,1:54:00 PM,2:08:00 PM,2:23:00 PM,2:37:00 PM,2:58:00 PM,3:08:00 PM,3:22:00 PM,3:36:00 PM,3:52 PM[e],4:01:00 PM,4:07 PM[e],4:16:00 PM,4:26 PM[e],4:36:00 PM,4:46 PM[e],4:56:00 PM,5:05 PM[e],5:15:00 PM,5:25 PM[e],5:39:00 PM,5:45 PM[e],5:54:00 PM,6:02 PM[e],6:13:00 PM,6:21 PM[e],6:29:00 PM,6:38 PM[e],6:48:00 PM,6:57 PM[e],7:05 PM[b],7:11:00 PM,7:21 PM[b],7:30 PM[e],7:39 PM[b],7:49:00 PM,8:09 PM[e],8:29:00 PM
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,7:11:00 AM,7:31:00 AM,7:52:00 AM,8:11:00 AM,8:31:00 AM,8:50:00 AM,9:09:00 AM,9:27:00 AM,9:37:00 AM,9:46:00 AM,9:56:00 AM,10:05:00 AM,10:15:00 AM,10:25:00 AM,10:40:00 AM,10:46 AM[b],10:54:00 AM,11:08:00 AM,11:22:00 AM,11:37:00 AM,11:51:00 AM,12:06:00 PM,12:20:00 PM,12:35:00 PM,12:49:00 PM,1:04:00 PM,1:18:00 PM,1:33:00 PM,1:47:00 PM,2:02:00 PM,2:16:00 PM,2:31:00 PM,2:45:00 PM,3:06:00 PM,3:30:00 PM,3:44:00 PM,4:09:00 PM,4:24:00 PM,4:44:00 PM,5:04:00 PM,5:23:00 PM,5:47:00 PM,6:02:00 PM,6:20:00 PM,6:36:00 PM,6:55:00 PM,7:11 PM[b],7:18:00 PM,7:27 PM[b],7:45 PM[b],7:56:00 PM,8:36:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
