ARGENTIA RD at CAMPOBELLO RD (east leg),3:30:00 PM,4:00:00 PM,4:35:00 PM,5:00:00 PM,5:20:00 PM,5:40:00 PM,6:00:00 PM,6:30:00 PM,7:00:00 PM,8:00:00 PM
ARGENTIA RD at MISSISSAUGA RD,3:35:00 PM,4:05:00 PM,4:40:00 PM,5:05:00 PM,5:24:00 PM,5:44:00 PM,6:04:00 PM,6:33:00 PM,7:03:00 PM,8:03:00 PM
ARGENTIA RD at CENTURY AVE,3:36:00 PM,4:06:00 PM,4:41:00 PM,5:06:00 PM,5:25:00 PM,5:45:00 PM,6:05:00 PM,6:34:00 PM,7:04:00 PM,8:04:00 PM
SYNTEX DR at DERRY RD,3:42:00 PM,4:13:00 PM,4:48:00 PM,5:13:00 PM,5:31:00 PM,5:51:00 PM,6:11:00 PM,6:39:00 PM,7:09:00 PM,8:08:00 PM
MEADOWVALE BLVD at MISSISSAUGA RD,3:45:00 PM,4:16:00 PM,4:51:00 PM,5:16:00 PM,5:34:00 PM,5:54:00 PM,6:14:00 PM,6:42:00 PM,7:12:00 PM,8:10:00 PM
FINANCIAL DR at DERRY RD,3:48:00 PM,4:19:00 PM,4:54:00 PM,5:18:00 PM,5:36:00 PM,5:56:00 PM,6:16:00 PM,6:44:00 PM,7:14:00 PM,8:12:00 PM
FINANCIAL DR FIRST STOP south of SYNTEX CRT,3:50:00 PM,4:21:00 PM,4:56:00 PM,5:20:00 PM,5:38:00 PM,5:58:00 PM,6:18:00 PM,6:46:00 PM,7:16:00 PM,8:13:00 PM
FINANCIAL DR FOURTH STOP south of SYNTEX CRT,3:51:00 PM,4:22:00 PM,4:57:00 PM,5:21:00 PM,5:39:00 PM,5:59:00 PM,6:19:00 PM,6:47:00 PM,7:17:00 PM,8:14:00 PM
DERRY RD at FINANCIAL DR,3:54:00 PM,4:25:00 PM,5:00:00 PM,5:24:00 PM,5:42:00 PM,6:02:00 PM,6:22:00 PM,6:50:00 PM,7:20:00 PM,8:16:00 PM
DUNDAS ST at BILLINGHAM RD,4:31:00 PM,5:02:00 PM,5:34:00 PM,5:56:00 PM,6:14:00 PM,6:30:00 PM,6:48:00 PM,7:16:00 PM,7:41:00 PM,8:33:00 PM
ISLINGTON SUBWAY DROP OFF,4:42:00 PM,5:13:00 PM,5:45:00 PM,6:07:00 PM,6:23:00 PM,6:39:00 PM,6:57:00 PM,7:24:00 PM,7:49:00 PM,8:41:00 PM
ISLINGTON SUBWAY BUS TERMINAL PLATFORM A,4:43:00 PM,5:14:00 PM,5:46:00 PM,6:08:00 PM,6:24:00 PM,6:40:00 PM,6:58:00 PM,7:25:00 PM,7:50:00 PM,8:42:00 PM
