MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM J,4:27:00 AM,4:49:00 AM,5:09:00 AM,5:32:00 AM,5:44:00 AM,5:57:00 AM,6:04:00 AM,6:12:00 AM,6:20:00 AM,6:27:00 AM,6:40:00 AM,6:52:00 AM,7:04:00 AM,7:16:00 AM,7:28:00 AM,7:36:00 AM,7:51:00 AM,8:06:00 AM,8:21:00 AM,8:29:00 AM,8:41:00 AM,8:53:00 AM,9:05:00 AM,9:18:00 AM,9:30:00 AM,9:42:00 AM,9:52:00 AM,10:05:00 AM,10:20:00 AM,10:36:00 AM,10:51:00 AM,11:08:00 AM,11:22:00 AM,11:38:00 AM,11:54:00 AM,12:09:00 PM,12:24:00 PM,12:39:00 PM,12:52:00 PM,1:10:00 PM,1:26:00 PM,1:43:00 PM,1:58:00 PM,2:13:00 PM,2:27:00 PM,2:41:00 PM,2:55:00 PM,3:07:00 PM,3:20:00 PM,3:35:00 PM,3:50:00 PM,4:04:00 PM,4:17:00 PM,4:31:00 PM,4:44:00 PM,4:59:00 PM,5:14:00 PM,5:29:00 PM,5:43:00 PM,5:56:00 PM,6:10:00 PM,6:24:00 PM,6:42:00 PM,6:57:00 PM,7:17:00 PM,7:41:00 PM,8:05:00 PM,8:29:00 PM,8:54:00 PM,9:17:00 PM,9:41:00 PM,,,,,
WINSTON CHURCHILL BLVD at BRITANNIA RD,4:31:00 AM,4:53:00 AM,5:13:00 AM,5:36:00 AM,5:48:00 AM,6:01:00 AM,6:09:00 AM,6:17:00 AM,6:25:00 AM,6:32:00 AM,6:45:00 AM,6:57:00 AM,7:09:00 AM,7:21:00 AM,7:33:00 AM,7:41:00 AM,7:56:00 AM,8:11:00 AM,8:26:00 AM,8:34:00 AM,8:46:00 AM,8:58:00 AM,9:10:00 AM,9:23:00 AM,9:35:00 AM,9:47:00 AM,9:57:00 AM,10:10:00 AM,10:25:00 AM,10:41:00 AM,10:56:00 AM,11:13:00 AM,11:27:00 AM,11:43:00 AM,11:59:00 AM,12:14:00 PM,12:29:00 PM,12:44:00 PM,12:57:00 PM,1:15:00 PM,1:31:00 PM,1:48:00 PM,2:03:00 PM,2:18:00 PM,2:32:00 PM,2:46:00 PM,3:00:00 PM,3:12:00 PM,3:25:00 PM,3:41:00 PM,3:56:00 PM,4:10:00 PM,4:23:00 PM,4:37:00 PM,4:50:00 PM,5:05:00 PM,5:20:00 PM,5:35:00 PM,5:49:00 PM,6:02:00 PM,6:16:00 PM,6:30:00 PM,6:47:00 PM,7:02:00 PM,7:22:00 PM,7:46:00 PM,8:10:00 PM,8:34:00 PM,8:59:00 PM,9:22:00 PM,9:46:00 PM,,,,,
ERIN CENTRE BLVD east of WINSTON CHURCHILL BLVD,4:36:00 AM,4:58:00 AM,5:18:00 AM,5:41:00 AM,5:53:00 AM,6:06:00 AM,6:14:00 AM,6:22:00 AM,6:30:00 AM,6:37:00 AM,6:50:00 AM,7:02:00 AM,7:15:00 AM,7:27:00 AM,7:39:00 AM,7:47:00 AM,8:02:00 AM,8:17:00 AM,8:32:00 AM,8:39:00 AM,8:51:00 AM,9:03:00 AM,9:15:00 AM,9:28:00 AM,9:40:00 AM,9:52:00 AM,10:02:00 AM,10:15:00 AM,10:30:00 AM,10:46:00 AM,11:01:00 AM,11:18:00 AM,11:32:00 AM,11:48:00 AM,12:04:00 PM,12:19:00 PM,12:34:00 PM,12:49:00 PM,1:02:00 PM,1:20:00 PM,1:36:00 PM,1:53:00 PM,2:08:00 PM,2:23:00 PM,2:37:00 PM,2:51:00 PM,3:05:00 PM,3:17:00 PM,3:30:00 PM,3:46:00 PM,4:01:00 PM,4:15:00 PM,4:28:00 PM,4:43:00 PM,4:56:00 PM,5:11:00 PM,5:26:00 PM,5:41:00 PM,5:55:00 PM,6:07:00 PM,6:21:00 PM,6:35:00 PM,6:52:00 PM,7:07:00 PM,7:27:00 PM,7:51:00 PM,8:15:00 PM,8:39:00 PM,9:04:00 PM,9:27:00 PM,9:51:00 PM,,,,,
ERIN MILLS PKY south of EGLINTON AVE,4:41:00 AM,5:03:00 AM,5:23:00 AM,5:46:00 AM,5:58:00 AM,6:11:00 AM,6:19:00 AM,6:27:00 AM,6:35:00 AM,6:42:00 AM,6:55:00 AM,7:08:00 AM,7:21:00 AM,7:33:00 AM,7:45:00 AM,7:53:00 AM,8:08:00 AM,8:23:00 AM,8:38:00 AM,8:45:00 AM,8:57:00 AM,9:09:00 AM,9:21:00 AM,9:33:00 AM,9:45:00 AM,9:57:00 AM,10:07:00 AM,10:20:00 AM,10:35:00 AM,10:51:00 AM,11:06:00 AM,11:23:00 AM,11:37:00 AM,11:53:00 AM,12:09:00 PM,12:24:00 PM,12:39:00 PM,12:54:00 PM,1:07:00 PM,1:25:00 PM,1:41:00 PM,1:58:00 PM,2:13:00 PM,2:28:00 PM,2:43:00 PM,2:57:00 PM,3:11:00 PM,3:23:00 PM,3:36:00 PM,3:52:00 PM,4:07:00 PM,4:21:00 PM,4:34:00 PM,4:49:00 PM,5:02:00 PM,5:17:00 PM,5:32:00 PM,5:47:00 PM,6:01:00 PM,6:13:00 PM,6:27:00 PM,6:40:00 PM,6:57:00 PM,7:12:00 PM,7:32:00 PM,7:56:00 PM,8:20:00 PM,8:44:00 PM,9:09:00 PM,9:32:00 PM,9:56:00 PM,,,,,
CITY CENTRE BUS TERMINAL PLATFORM A,4:49:00 AM,5:11:00 AM,5:31:00 AM,5:43:00 AM,5:54:00 AM,6:08:00 AM,6:16:00 AM,6:21:00 AM,6:29:00 AM,6:37:00 AM,6:45:00 AM,6:52:00 AM,7:05:00 AM,7:19:00 AM,7:32:00 AM,7:44:00 AM,7:56:00 AM,8:04:00 AM,8:19:00 AM,8:34:00 AM,8:49:00 AM,8:56:00 AM,9:08:00 AM,9:20:00 AM,9:32:00 AM,9:43:00 AM,9:55:00 AM,10:07:00 AM,10:17:00 AM,10:30:00 AM,10:45:00 AM,11:01:00 AM,11:16:00 AM,11:33:00 AM,11:47:00 AM,12:03:00 PM,12:19:00 PM,12:34:00 PM,12:49:00 PM,1:04:00 PM,1:17:00 PM,1:25:00 PM,1:35:00 PM,1:51:00 PM,1:59:00 PM,2:08:00 PM,2:23:00 PM,2:35:00 PM,2:38:00 PM,2:53:00 PM,3:07:00 PM,3:21:00 PM,3:33:00 PM,3:46:00 PM,4:02:00 PM,4:17:00 PM,4:31:00 PM,4:45:00 PM,5:00:00 PM,5:13:00 PM,5:28:00 PM,5:43:00 PM,5:58:00 PM,6:11:00 PM,6:23:00 PM,6:37:00 PM,6:50:00 PM,7:07:00 PM,7:22:00 PM,7:40:00 PM,8:04:00 PM,8:28:00 PM,8:52:00 PM,9:17:00 PM,9:40:00 PM,10:04:00 PM
CENTRAL PARKWAY STATION EAST PLATFORM A,4:51:00 AM,5:13:00 AM,5:33:00 AM,5:45:00 AM,5:56:00 AM,6:10:00 AM,6:18:00 AM,6:23:00 AM,6:31:00 AM,6:39:00 AM,6:47:00 AM,6:54:00 AM,7:08:00 AM,7:22:00 AM,7:35:00 AM,7:47:00 AM,7:59:00 AM,8:07:00 AM,8:22:00 AM,8:36:00 AM,8:51:00 AM,8:58:00 AM,9:10:00 AM,9:22:00 AM,9:34:00 AM,9:45:00 AM,9:57:00 AM,10:09:00 AM,10:19:00 AM,10:32:00 AM,10:47:00 AM,11:03:00 AM,11:18:00 AM,11:35:00 AM,11:49:00 AM,12:05:00 PM,12:21:00 PM,12:36:00 PM,12:51:00 PM,1:06:00 PM,1:19:00 PM,1:27:00 PM,1:37:00 PM,1:53:00 PM,2:01:00 PM,2:10:00 PM,2:25:00 PM,2:37:00 PM,2:40:00 PM,2:55:00 PM,3:09:00 PM,3:23:00 PM,3:36:00 PM,3:49:00 PM,4:05:00 PM,4:20:00 PM,4:34:00 PM,4:48:00 PM,5:03:00 PM,5:16:00 PM,5:31:00 PM,5:46:00 PM,6:01:00 PM,6:13:00 PM,6:25:00 PM,6:39:00 PM,6:52:00 PM,7:09:00 PM,7:24:00 PM,7:42:00 PM,8:06:00 PM,8:30:00 PM,8:54:00 PM,9:19:00 PM,9:42:00 PM,10:06:00 PM
CAWTHRA STATION EAST PLATFORM A,4:52:00 AM,5:14:00 AM,5:34:00 AM,5:46:00 AM,5:57:00 AM,6:11:00 AM,6:19:00 AM,6:24:00 AM,6:32:00 AM,6:40:00 AM,6:48:00 AM,6:55:00 AM,7:09:00 AM,7:23:00 AM,7:36:00 AM,7:48:00 AM,8:00:00 AM,8:08:00 AM,8:23:00 AM,8:37:00 AM,8:52:00 AM,8:59:00 AM,9:11:00 AM,9:23:00 AM,9:35:00 AM,9:46:00 AM,9:58:00 AM,10:10:00 AM,10:20:00 AM,10:33:00 AM,10:48:00 AM,11:04:00 AM,11:19:00 AM,11:36:00 AM,11:50:00 AM,12:06:00 PM,12:22:00 PM,12:37:00 PM,12:52:00 PM,1:07:00 PM,1:20:00 PM,1:28:00 PM,1:38:00 PM,1:54:00 PM,2:02:00 PM,2:11:00 PM,2:26:00 PM,2:38:00 PM,2:41:00 PM,2:56:00 PM,3:10:00 PM,3:24:00 PM,3:37:00 PM,3:50:00 PM,4:06:00 PM,4:21:00 PM,4:35:00 PM,4:49:00 PM,5:04:00 PM,5:17:00 PM,5:32:00 PM,5:47:00 PM,6:02:00 PM,6:14:00 PM,6:26:00 PM,6:40:00 PM,6:53:00 PM,7:10:00 PM,7:25:00 PM,7:43:00 PM,8:07:00 PM,8:31:00 PM,8:55:00 PM,9:20:00 PM,9:43:00 PM,10:07:00 PM
TOMKEN STATION EAST PLATFORM A,4:53:00 AM,5:15:00 AM,5:35:00 AM,5:47:00 AM,5:58:00 AM,6:12:00 AM,6:20:00 AM,6:25:00 AM,6:33:00 AM,6:41:00 AM,6:49:00 AM,6:56:00 AM,7:10:00 AM,7:24:00 AM,7:37:00 AM,7:49:00 AM,8:01:00 AM,8:09:00 AM,8:24:00 AM,8:38:00 AM,8:53:00 AM,9:00:00 AM,9:12:00 AM,9:24:00 AM,9:36:00 AM,9:47:00 AM,9:59:00 AM,10:11:00 AM,10:21:00 AM,10:34:00 AM,10:49:00 AM,11:05:00 AM,11:20:00 AM,11:37:00 AM,11:51:00 AM,12:07:00 PM,12:23:00 PM,12:38:00 PM,12:53:00 PM,1:08:00 PM,1:21:00 PM,1:29:00 PM,1:39:00 PM,1:55:00 PM,2:03:00 PM,2:12:00 PM,2:27:00 PM,2:39:00 PM,2:42:00 PM,2:57:00 PM,3:11:00 PM,3:25:00 PM,3:38:00 PM,3:51:00 PM,4:07:00 PM,4:22:00 PM,4:36:00 PM,4:50:00 PM,5:05:00 PM,5:18:00 PM,5:33:00 PM,5:48:00 PM,6:03:00 PM,6:15:00 PM,6:27:00 PM,6:41:00 PM,6:54:00 PM,7:11:00 PM,7:26:00 PM,7:44:00 PM,8:08:00 PM,8:32:00 PM,8:56:00 PM,9:21:00 PM,9:44:00 PM,10:08:00 PM
DIXIE STATION EAST PLATFORM A,4:55:00 AM,5:17:00 AM,5:37:00 AM,5:49:00 AM,6:00:00 AM,6:14:00 AM,6:22:00 AM,6:27:00 AM,6:35:00 AM,6:43:00 AM,6:51:00 AM,6:58:00 AM,7:12:00 AM,7:26:00 AM,7:39:00 AM,7:51:00 AM,8:03:00 AM,8:11:00 AM,8:26:00 AM,8:40:00 AM,8:55:00 AM,9:02:00 AM,9:14:00 AM,9:26:00 AM,9:38:00 AM,9:49:00 AM,10:01:00 AM,10:13:00 AM,10:23:00 AM,10:36:00 AM,10:51:00 AM,11:07:00 AM,11:22:00 AM,11:39:00 AM,11:53:00 AM,12:09:00 PM,12:25:00 PM,12:40:00 PM,12:55:00 PM,1:10:00 PM,1:23:00 PM,1:31:00 PM,1:41:00 PM,1:57:00 PM,2:05:00 PM,2:14:00 PM,2:29:00 PM,2:41:00 PM,2:44:00 PM,2:59:00 PM,3:13:00 PM,3:27:00 PM,3:40:00 PM,3:53:00 PM,4:09:00 PM,4:24:00 PM,4:38:00 PM,4:52:00 PM,5:07:00 PM,5:20:00 PM,5:35:00 PM,5:50:00 PM,6:05:00 PM,6:17:00 PM,6:29:00 PM,6:43:00 PM,6:56:00 PM,7:13:00 PM,7:28:00 PM,7:46:00 PM,8:10:00 PM,8:34:00 PM,8:58:00 PM,9:23:00 PM,9:46:00 PM,10:10:00 PM
ORBITOR DR at SKYMARK AVE[b],5:03:00 AM,5:25:00 AM,5:45:00 AM,5:57:00 AM,6:08:00 AM,6:22:00 AM,6:30:00 AM,6:35:00 AM,6:43:00 AM,6:51:00 AM,6:59:00 AM,7:06:00 AM,7:20:00 AM,7:34:00 AM,7:47:00 AM,7:59:00 AM,8:11:00 AM,8:19:00 AM,8:34:00 AM,8:48:00 AM,9:03:00 AM,9:10:00 AM,9:22:00 AM,9:34:00 AM,9:45:00 AM,9:56:00 AM,10:08:00 AM,10:20:00 AM,10:30:00 AM,10:43:00 AM,10:58:00 AM,11:14:00 AM,11:29:00 AM,11:46:00 AM,12:00:00 PM,12:16:00 PM,12:32:00 PM,12:47:00 PM,1:02:00 PM,1:17:00 PM,1:30:00 PM,1:38:00 PM,1:48:00 PM,2:04:00 PM,2:12:00 PM,2:21:00 PM,2:37:00 PM,2:49:00 PM,2:52:00 PM,3:07:00 PM,3:21:00 PM,3:35:00 PM,3:48:00 PM,4:01:00 PM,4:17:00 PM,4:32:00 PM,4:46:00 PM,5:00:00 PM,5:15:00 PM,5:28:00 PM,5:43:00 PM,5:58:00 PM,6:13:00 PM,6:25:00 PM,6:36:00 PM,6:50:00 PM,7:03:00 PM,7:20:00 PM,7:35:00 PM,7:53:00 PM,8:17:00 PM,8:41:00 PM,9:05:00 PM,9:30:00 PM,9:53:00 PM,10:17:00 PM
