CITY CENTRE BUS TERMINAL PLATFORM H,5:34:00 AM,5:53:00 AM,6:10:00 AM,6:31:00 AM,6:49:00 AM,7:04:00 AM,7:25:00 AM,7:43:00 AM,8:02:00 AM,8:22:00 AM,8:41:00 AM,9:01:00 AM,9:20:00 AM,9:38:00 AM,9:56:00 AM,10:23:00 AM,10:49:00 AM,11:16:00 AM,11:42:00 AM,12:09:00 PM,12:35:00 PM,1:02:00 PM,1:28:00 PM,1:55:00 PM,2:21:00 PM,2:48:00 PM,3:16:00 PM,3:43:00 PM,4:03:00 PM,4:23:00 PM,4:43:00 PM,5:03:00 PM,5:23:00 PM,5:43:00 PM,6:03:00 PM,6:28:00 PM,6:43:00 PM,7:03:00 PM,7:25:00 PM,7:51:00 PM,8:26:00 PM,8:58:00 PM,9:31:00 PM,10:04:00 PM,10:36:00 PM,11:09:00 PM,11:41:00 PM,12:13:00 AM,
HURONTARIO ST at EGLINTON AVE E,5:39:00 AM,5:58:00 AM,6:16:00 AM,6:37:00 AM,6:55:00 AM,7:10:00 AM,7:31:00 AM,7:50:00 AM,8:09:00 AM,8:30:00 AM,8:49:00 AM,9:08:00 AM,9:27:00 AM,9:45:00 AM,10:03:00 AM,10:30:00 AM,10:56:00 AM,11:23:00 AM,11:49:00 AM,12:16:00 PM,12:42:00 PM,1:10:00 PM,1:36:00 PM,2:03:00 PM,2:29:00 PM,2:56:00 PM,3:24:00 PM,3:52:00 PM,4:12:00 PM,4:32:00 PM,4:52:00 PM,5:12:00 PM,5:32:00 PM,5:53:00 PM,6:13:00 PM,6:37:00 PM,6:52:00 PM,7:11:00 PM,7:33:00 PM,7:59:00 PM,8:33:00 PM,9:05:00 PM,9:38:00 PM,10:11:00 PM,10:43:00 PM,11:16:00 PM,11:48:00 PM,12:20:00 AM,
BRISTOL RD W at HURONTARIO ST,5:42:00 AM,6:01:00 AM,6:19:00 AM,6:41:00 AM,6:59:00 AM,7:14:00 AM,7:36:00 AM,7:55:00 AM,8:14:00 AM,8:34:00 AM,8:53:00 AM,9:12:00 AM,9:31:00 AM,9:49:00 AM,10:07:00 AM,10:34:00 AM,11:00:00 AM,11:27:00 AM,11:53:00 AM,12:20:00 PM,12:46:00 PM,1:14:00 PM,1:40:00 PM,2:07:00 PM,2:33:00 PM,2:36 PM[G],3:00:00 PM,3:28:00 PM,3:56:00 PM,4:16:00 PM,4:37:00 PM,4:57:00 PM,5:17:00 PM,5:37:00 PM,5:58:00 PM,6:17:00 PM,6:41:00 PM,6:56:00 PM,7:15:00 PM,7:37:00 PM,8:03:00 PM,8:36:00 PM,9:08:00 PM,9:41:00 PM,10:14:00 PM,10:46:00 PM,11:19:00 PM,11:51:00 PM,12:23:00 AM
BRISTOL RD W at MCLAUGHLIN RD,5:45:00 AM,6:04:00 AM,6:22:00 AM,6:44:00 AM,7:02:00 AM,7:17:00 AM,7:39:00 AM,7:58:00 AM,8:17:00 AM,8:37:00 AM,8:56:00 AM,9:15:00 AM,9:34:00 AM,9:52:00 AM,10:10:00 AM,10:37:00 AM,11:03:00 AM,11:30:00 AM,11:56:00 AM,12:23:00 PM,12:49:00 PM,1:17:00 PM,1:43:00 PM,2:10:00 PM,2:36:00 PM,2:39 PM[G],3:03:00 PM,3:31:00 PM,3:59:00 PM,4:19:00 PM,4:40:00 PM,5:00:00 PM,5:20:00 PM,5:40:00 PM,6:01:00 PM,6:20:00 PM,6:44:00 PM,6:59:00 PM,7:18:00 PM,7:40:00 PM,8:06:00 PM,8:39:00 PM,9:11:00 PM,9:44:00 PM,10:17:00 PM,10:49:00 PM,11:22:00 PM,11:54:00 PM,12:26:00 AM
BRISTOL RD W at MAVIS RD,5:47:00 AM,6:06:00 AM,6:24:00 AM,6:46:00 AM,7:04:00 AM,7:20:00 AM,7:42:00 AM,8:01:00 AM,8:20:00 AM,8:40:00 AM,8:58:00 AM,9:17:00 AM,9:36:00 AM,9:54:00 AM,10:12:00 AM,10:39:00 AM,11:05:00 AM,11:32:00 AM,11:58:00 AM,12:25:00 PM,12:51:00 PM,1:19:00 PM,1:45:00 PM,2:13:00 PM,2:39:00 PM,2:42 PM[G],3:06:00 PM,3:34:00 PM,4:02:00 PM,4:22:00 PM,4:43:00 PM,5:03:00 PM,5:23:00 PM,5:43:00 PM,6:04:00 PM,6:23:00 PM,6:47:00 PM,7:02:00 PM,7:21:00 PM,7:43:00 PM,8:09:00 PM,8:42:00 PM,9:14:00 PM,9:47:00 PM,10:20:00 PM,10:52:00 PM,11:25:00 PM,11:57:00 PM,12:29:00 AM
BRISTOL RD W at CREDITVIEW RD,5:51:00 AM,6:10:00 AM,6:28:00 AM,6:50:00 AM,7:08:00 AM,7:24:00 AM,7:47:00 AM,8:06:00 AM,8:25:00 AM,8:45:00 AM,9:03:00 AM,9:22:00 AM,9:41:00 AM,9:59:00 AM,10:17:00 AM,10:44:00 AM,11:10:00 AM,11:37:00 AM,12:03:00 PM,12:30:00 PM,12:56:00 PM,1:24:00 PM,1:50:00 PM,2:18:00 PM,2:44:00 PM,2:47 PM[G],3:11:00 PM,3:39:00 PM,4:07:00 PM,4:27:00 PM,4:48:00 PM,5:08:00 PM,5:28:00 PM,5:48:00 PM,6:09:00 PM,6:28:00 PM,6:52:00 PM,7:07:00 PM,7:26:00 PM,7:48:00 PM,8:13:00 PM,8:46:00 PM,9:18:00 PM,9:51:00 PM,10:24:00 PM,10:56:00 PM,11:29:00 PM,12:01:00 AM,12:33:00 AM
BRISTOL RD W at BATHGATE RD,5:51:00 AM,6:10:00 AM,6:28:00 AM,6:50:00 AM,7:08:00 AM,7:24:00 AM,7:48:00 AM,8:07:00 AM,8:25:00 AM,8:45:00 AM,9:03:00 AM,9:22:00 AM,9:41:00 AM,9:59:00 AM,10:17:00 AM,10:44:00 AM,11:10:00 AM,11:37:00 AM,12:03:00 PM,12:30:00 PM,12:56:00 PM,1:25:00 PM,1:51:00 PM,2:19:00 PM,2:45:00 PM,2:48 PM[G],3:12:00 PM,3:40:00 PM,4:08:00 PM,4:28:00 PM,4:49:00 PM,5:09:00 PM,5:29:00 PM,5:49:00 PM,6:10:00 PM,6:29:00 PM,6:53:00 PM,7:07:00 PM,7:26:00 PM,7:48:00 PM,8:13:00 PM,8:46:00 PM,9:18:00 PM,9:51:00 PM,10:24:00 PM,10:56:00 PM,11:29:00 PM,12:01:00 AM,12:33:00 AM
BRITANNIA RD at QUEEN ST N,5:58:00 AM,6:17:00 AM,6:35:00 AM,6:57:00 AM,7:15:00 AM,7:31:00 AM,7:55:00 AM,8:14:00 AM,8:32:00 AM,8:52:00 AM,9:10:00 AM,9:29:00 AM,9:48:00 AM,10:06:00 AM,10:24:00 AM,10:51:00 AM,11:17:00 AM,11:44:00 AM,12:10:00 PM,12:37:00 PM,1:03:00 PM,1:32:00 PM,1:58:00 PM,2:26:00 PM,2:52:00 PM,2:55 PM[G],3:19:00 PM,3:48:00 PM,4:16:00 PM,4:36:00 PM,4:57:00 PM,5:17:00 PM,5:37:00 PM,5:57:00 PM,6:17:00 PM,6:36:00 PM,7:00:00 PM,7:14:00 PM,7:33:00 PM,7:55:00 PM,8:20:00 PM,8:53:00 PM,9:25:00 PM,9:58:00 PM,10:31:00 PM,11:03:00 PM,11:36:00 PM,12:08:00 AM,12:40:00 AM
BRITANNIA RD at ERIN MILLS PKY,6:01:00 AM,6:20:00 AM,6:38:00 AM,7:00:00 AM,7:18:00 AM,7:34:00 AM,7:58:00 AM,8:17:00 AM,8:35:00 AM,8:54:00 AM,9:12:00 AM,9:31:00 AM,9:50:00 AM,10:08:00 AM,10:26:00 AM,10:53:00 AM,11:19:00 AM,11:46:00 AM,12:12:00 PM,12:39:00 PM,1:05:00 PM,1:34:00 PM,2:00:00 PM,2:28:00 PM,2:54:00 PM,2:57 PM[G],3:21:00 PM,3:51:00 PM,4:20:00 PM,4:40:00 PM,5:01:00 PM,5:21:00 PM,5:41:00 PM,6:00:00 PM,6:20:00 PM,6:38:00 PM,7:02:00 PM,7:16:00 PM,7:35:00 PM,7:57:00 PM,8:22:00 PM,8:55:00 PM,9:27:00 PM,10:00:00 PM,10:33:00 PM,11:05:00 PM,11:38:00 PM,12:10:00 AM,12:42:00 AM
BRITANNIA RD FIRST STOP west of ERIN MILLS PKY,6:01:00 AM,6:20:00 AM,6:38:00 AM,7:00:00 AM,7:18:00 AM,7:34:00 AM,7:58:00 AM,8:17:00 AM,8:35:00 AM,8:54:00 AM,9:12:00 AM,9:31:00 AM,9:50:00 AM,10:08:00 AM,10:26:00 AM,10:53:00 AM,11:19:00 AM,11:46:00 AM,12:12:00 PM,12:39:00 PM,1:05:00 PM,1:34:00 PM,2:00:00 PM,2:28:00 PM,2:54:00 PM,2:57 PM[G],3:21:00 PM,3:51:00 PM,4:20:00 PM,4:40:00 PM,5:01:00 PM,5:21:00 PM,5:41:00 PM,6:00:00 PM,6:20:00 PM,6:38:00 PM,7:02:00 PM,7:16:00 PM,7:35:00 PM,7:57:00 PM,8:22:00 PM,8:55:00 PM,9:27:00 PM,10:00:00 PM,10:33:00 PM,11:05:00 PM,11:38:00 PM,12:10:00 AM,12:42:00 AM
