MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM I,5:15:00 AM,5:34:00 AM,5:51:00 AM,6:08:00 AM,6:25:00 AM,6:43:00 AM,7:03:00 AM,7:22:00 AM,7:42:00 AM,8:03:00 AM,8:21:00 AM,8:42:00 AM,9:03:00 AM,9:30:00 AM,9:56:00 AM,10:23:00 AM,10:49:00 AM,11:16:00 AM,11:42:00 AM,12:09:00 PM,12:35:00 PM,1:02:00 PM,1:28:00 PM,1:55:00 PM,2:21:00 PM,2:48:00 PM,3:02:00 PM,3:22:00 PM,3:42:00 PM,4:02:00 PM,4:22:00 PM,4:42:00 PM,5:07:00 PM,5:32:00 PM,5:47:00 PM,6:09:00 PM,6:26:00 PM,6:44:00 PM,7:00:00 PM,7:21:00 PM,7:38:00 PM,7:59:00 PM,8:20:00 PM,8:41:00 PM,9:14:00 PM,9:47:00 PM,10:19:00 PM,10:52:00 PM,11:24:00 PM,11:56:00 PM
TRELAWNY CIR at BISHOP STRACHAN CRT,5:20:00 AM,5:39:00 AM,5:56:00 AM,6:13:00 AM,6:30:00 AM,6:48:00 AM,7:08:00 AM,7:28:00 AM,7:48:00 AM,8:09:00 AM,8:27:00 AM,8:47:00 AM,9:08:00 AM,9:35:00 AM,10:01:00 AM,10:28:00 AM,10:54:00 AM,11:21:00 AM,11:47:00 AM,12:14:00 PM,12:40:00 PM,1:07:00 PM,1:33:00 PM,2:00:00 PM,2:26:00 PM,2:54:00 PM,3:08:00 PM,3:28:00 PM,3:48:00 PM,4:08:00 PM,4:28:00 PM,4:48:00 PM,5:13:00 PM,5:38:00 PM,5:52:00 PM,6:14:00 PM,6:31:00 PM,6:49:00 PM,7:05:00 PM,7:26:00 PM,7:43:00 PM,8:04:00 PM,8:25:00 PM,8:46:00 PM,9:19:00 PM,9:52:00 PM,10:24:00 PM,10:57:00 PM,11:29:00 PM,12:01:00 AM
OSPREY BLVD at GROSSBEAK DR,5:25:00 AM,5:44:00 AM,6:01:00 AM,6:18:00 AM,6:35:00 AM,6:53:00 AM,7:13:00 AM,7:33:00 AM,7:53:00 AM,8:14:00 AM,8:32:00 AM,8:52:00 AM,9:12:00 AM,9:39:00 AM,10:05:00 AM,10:32:00 AM,10:58:00 AM,11:25:00 AM,11:51:00 AM,12:18:00 PM,12:44:00 PM,1:11:00 PM,1:37:00 PM,2:05:00 PM,2:31:00 PM,2:59:00 PM,3:13:00 PM,3:33:00 PM,3:53:00 PM,4:13:00 PM,4:33:00 PM,4:53:00 PM,5:18:00 PM,5:43:00 PM,5:57:00 PM,6:19:00 PM,6:36:00 PM,6:53:00 PM,7:09:00 PM,7:47:00 PM,8:08:00 PM,8:29:00 PM,8:50:00 PM,9:23:00 PM,9:56:00 PM,10:28:00 PM,11:01:00 PM,11:33:00 PM,12:05:00 AM,
GROSSBEAK DR at PRAIRIE CIRCLE (north leg),5:25:00 AM,5:44:00 AM,6:01:00 AM,6:18:00 AM,6:35:00 AM,6:53:00 AM,7:13:00 AM,7:33:00 AM,7:53:00 AM,8:14:00 AM,8:32:00 AM,8:52:00 AM,9:12:00 AM,9:39:00 AM,10:05:00 AM,10:32:00 AM,10:58:00 AM,11:25:00 AM,11:51:00 AM,12:18:00 PM,12:44:00 PM,1:11:00 PM,1:37:00 PM,2:05:00 PM,2:31:00 PM,2:59:00 PM,3:13:00 PM,3:33:00 PM,3:53:00 PM,4:13:00 PM,4:33:00 PM,4:53:00 PM,5:18:00 PM,5:43:00 PM,5:57:00 PM,6:19:00 PM,6:36:00 PM,6:53:00 PM,7:09:00 PM,7:47:00 PM,8:08:00 PM,8:29:00 PM,8:50:00 PM,9:23:00 PM,9:56:00 PM,10:28:00 PM,11:01:00 PM,11:33:00 PM,12:05:00 AM,
BRITANNIA RD at WINSTON CHURCHILL BLVD,5:30:00 AM,5:49:00 AM,6:06:00 AM,6:23:00 AM,6:40:00 AM,6:58:00 AM,7:18:00 AM,7:38:00 AM,7:58:00 AM,8:19:00 AM,8:37:00 AM,8:57:00 AM,9:17:00 AM,9:44:00 AM,10:10:00 AM,10:37:00 AM,11:03:00 AM,11:30:00 AM,11:56:00 AM,12:23:00 PM,12:49:00 PM,1:16:00 PM,1:42:00 PM,2:10:00 PM,2:36:00 PM,3:04:00 PM,3:18:00 PM,3:38:00 PM,3:58:00 PM,4:18:00 PM,4:38:00 PM,4:58:00 PM,5:23:00 PM,5:49:00 PM,6:03:00 PM,6:25:00 PM,6:42:00 PM,6:58:00 PM,7:14:00 PM,7:51:00 PM,8:12:00 PM,8:33:00 PM,8:54:00 PM,9:27:00 PM,10:00:00 PM,10:32:00 PM,11:05:00 PM,11:37:00 PM,12:09:00 AM,
BRITANNIA RD at ERIN MILLS PKY,5:33:00 AM,5:52:00 AM,6:09:00 AM,6:26:00 AM,6:43:00 AM,7:02:00 AM,7:22:00 AM,7:42:00 AM,8:02:00 AM,8:23:00 AM,8:41:00 AM,9:01:00 AM,9:20:00 AM,9:47:00 AM,10:13:00 AM,10:40:00 AM,11:06:00 AM,11:33:00 AM,11:59:00 AM,12:26:00 PM,12:52:00 PM,1:19:00 PM,1:45:00 PM,2:13:00 PM,2:39:00 PM,3:07:00 PM,3:21:00 PM,3:41:00 PM,4:01:00 PM,4:21:00 PM,4:41:00 PM,5:01:00 PM,5:26:00 PM,5:52:00 PM,6:06:00 PM,6:28:00 PM,6:45:00 PM,7:01:00 PM,7:17:00 PM,7:53:00 PM,8:14:00 PM,8:35:00 PM,8:56:00 PM,9:29:00 PM,10:02:00 PM,10:34:00 PM,11:07:00 PM,11:39:00 PM,12:11:00 AM,
BRITANNIA RD at BROOKSIDE DR,5:35:00 AM,5:54:00 AM,6:11:00 AM,6:28:00 AM,6:45:00 AM,7:04:00 AM,7:25:00 AM,7:45:00 AM,8:05:00 AM,8:26:00 AM,8:43:00 AM,9:03:00 AM,9:49:00 AM,10:15:00 AM,10:42:00 AM,11:08:00 AM,11:35:00 AM,12:01:00 PM,12:28:00 PM,12:54:00 PM,1:21:00 PM,1:47:00 PM,2:15:00 PM,2:41:00 PM,3:09:00 PM,3:23:00 PM,3:43:00 PM,4:03:00 PM,4:23:00 PM,4:43:00 PM,5:03:00 PM,5:28:00 PM,5:54:00 PM,6:08:00 PM,6:30:00 PM,6:47:00 PM,7:03:00 PM,7:19:00 PM,7:55:00 PM,8:16:00 PM,8:37:00 PM,8:58:00 PM,9:31:00 PM,10:04:00 PM,10:36:00 PM,11:09:00 PM,11:41:00 PM,12:13:00 AM,,
BRITANNIA RD at ARCH RD,5:36:00 AM,5:55:00 AM,6:12:00 AM,6:29:00 AM,6:46:00 AM,7:05:00 AM,7:26:00 AM,7:46:00 AM,8:06:00 AM,8:27:00 AM,8:44:00 AM,9:04:00 AM,9:50:00 AM,10:16:00 AM,10:43:00 AM,11:09:00 AM,11:36:00 AM,12:02:00 PM,12:29:00 PM,12:55:00 PM,1:22:00 PM,1:48:00 PM,2:16:00 PM,2:42:00 PM,3:10:00 PM,3:24:00 PM,3:44:00 PM,4:04:00 PM,4:24:00 PM,4:44:00 PM,5:04:00 PM,5:29:00 PM,5:55:00 PM,6:09:00 PM,6:31:00 PM,6:48:00 PM,7:04:00 PM,7:20:00 PM,7:56:00 PM,8:17:00 PM,8:38:00 PM,8:59:00 PM,9:32:00 PM,10:05:00 PM,10:37:00 PM,11:10:00 PM,11:42:00 PM,12:14:00 AM,,
BRISTOL RD W at CREDITVIEW RD,5:42:00 AM,6:01:00 AM,6:18:00 AM,6:36:00 AM,6:53:00 AM,7:12:00 AM,7:33:00 AM,7:53:00 AM,8:13:00 AM,8:34:00 AM,8:51:00 AM,9:11:00 AM,9:30:00 AM,9:57:00 AM,10:23:00 AM,10:50:00 AM,11:16:00 AM,11:43:00 AM,12:09:00 PM,12:36:00 PM,1:02:00 PM,1:29:00 PM,1:55:00 PM,2:24:00 PM,2:50:00 PM,3:18:00 PM,3:32:00 PM,3:52:00 PM,4:12:00 PM,4:32:00 PM,4:52:00 PM,5:11:00 PM,5:36:00 PM,6:02:00 PM,6:16:00 PM,6:37:00 PM,6:54:00 PM,7:10:00 PM,7:26:00 PM,8:02:00 PM,8:23:00 PM,8:44:00 PM,9:05:00 PM,9:38:00 PM,10:11:00 PM,10:43:00 PM,11:16:00 PM,11:48:00 PM,12:20:00 AM,
BRISTOL RD W east of CREDITVIEW RD,5:42:00 AM,6:01:00 AM,6:18:00 AM,6:36:00 AM,6:53:00 AM,7:12:00 AM,7:33:00 AM,7:53:00 AM,8:13:00 AM,8:34:00 AM,8:51:00 AM,9:11:00 AM,9:30:00 AM,9:57:00 AM,10:23:00 AM,10:50:00 AM,11:16:00 AM,11:43:00 AM,12:09:00 PM,12:36:00 PM,1:02:00 PM,1:29:00 PM,1:55:00 PM,2:24:00 PM,2:50:00 PM,3:18:00 PM,3:32:00 PM,3:52:00 PM,4:12:00 PM,4:32:00 PM,4:52:00 PM,5:11:00 PM,5:36:00 PM,6:02:00 PM,6:16:00 PM,6:37:00 PM,6:54:00 PM,7:10:00 PM,7:26:00 PM,8:02:00 PM,8:23:00 PM,8:44:00 PM,9:05:00 PM,9:38:00 PM,10:11:00 PM,10:43:00 PM,11:16:00 PM,11:48:00 PM,12:20:00 AM,
