ISLINGTON SUBWAY BUS TERMINAL PLATFORM E,5:31 AM[c],5:54:00 AM,6:17 AM[c],6:28:00 AM,6:39 AM[c],6:50:00 AM,7:02 AM[c],7:13:00 AM,7:24 AM[c],7:36:00 AM,7:47 AM[c],7:58:00 AM,8:09 AM[c],8:21:00 AM,8:32 AM[c],8:43:00 AM,8:55:00 AM,9:06 AM[c],9:18:00 AM,9:30:00 AM,9:40:00 AM,9:56:00 AM,10:17:00 AM,10:39:00 AM,11:01:00 AM,11:24:00 AM,11:47:00 AM,12:10:00 PM,12:33:00 PM,12:56:00 PM,1:19:00 PM,1:42:00 PM,2:05:00 PM,2:28:00 PM,2:45:00 PM,3:01 PM[b],3:15:00 PM,3:26 PM[b],3:38:00 PM,3:48 PM[b],4:00:00 PM,4:12 PM[b],4:24:00 PM,4:34 PM[b],4:46:00 PM,4:57 PM[b],5:09:00 PM,5:20 PM[b],5:32:00 PM,5:44 PM[b],5:54:00 PM,6:06 PM[b],6:18:00 PM,6:28 PM[b],6:41 PM[b],6:52:00 PM,7:02 PM[b],7:15:00 PM,7:26 PM[b],7:48:00 PM,8:07 PM[b],8:41 PM[b],9:14 PM[b],9:49 PM[b],10:23 PM[b],10:59 PM[b],11:32 PM[b],12:09 AM[b],12:42 AM[b],1:18 AM[b],1:48 AM[b],2:23 AM[b]
DUNDAS ST at AUKLAND RD,5:35 AM[c],5:58:00 AM,6:21 AM[c],6:32:00 AM,6:43 AM[c],6:54:00 AM,7:06 AM[c],7:17:00 AM,7:28 AM[c],7:40:00 AM,7:51 AM[c],8:02:00 AM,8:13 AM[c],8:25:00 AM,8:36 AM[c],8:47:00 AM,8:59:00 AM,9:10 AM[c],9:22:00 AM,9:33:00 AM,9:43:00 AM,9:59:00 AM,10:20:00 AM,10:42:00 AM,11:04:00 AM,11:27:00 AM,11:50:00 AM,12:13:00 PM,12:36:00 PM,12:59:00 PM,1:22:00 PM,1:45:00 PM,2:08:00 PM,2:31:00 PM,2:48:00 PM,3:05 PM[b],3:19:00 PM,3:30 PM[b],3:42:00 PM,3:52 PM[b],4:04:00 PM,4:16 PM[b],4:28:00 PM,4:38 PM[b],4:50:00 PM,5:01 PM[b],5:13:00 PM,5:24 PM[b],5:36:00 PM,5:48 PM[b],5:58:00 PM,6:10 PM[b],6:22:00 PM,6:32 PM[b],6:45 PM[b],6:56:00 PM,7:06 PM[b],7:18:00 PM,7:29 PM[b],7:51:00 PM,8:10 PM[b],8:44 PM[b],9:17 PM[b],9:52 PM[b],10:26 PM[b],11:02 PM[b],11:35 PM[b],12:12 AM[b],12:45 AM[b],1:21 AM[b],1:51 AM[b],2:26 AM[b]
DUNDAS ST at BILLINGHAM RD,5:39 AM[c],6:02:00 AM,6:25 AM[c],6:36:00 AM,6:47 AM[c],6:58:00 AM,7:10 AM[c],7:21:00 AM,7:32 AM[c],7:44:00 AM,7:55 AM[c],8:06:00 AM,8:17 AM[c],8:29:00 AM,8:40 AM[c],8:51:00 AM,9:03:00 AM,9:14 AM[c],9:26:00 AM,9:37:00 AM,9:47:00 AM,10:03:00 AM,10:24:00 AM,10:46:00 AM,11:08:00 AM,11:31:00 AM,11:54:00 AM,12:17:00 PM,12:40:00 PM,1:03:00 PM,1:26:00 PM,1:49:00 PM,2:12:00 PM,2:35:00 PM,2:52:00 PM,3:09 PM[b],3:23:00 PM,3:34 PM[b],3:46:00 PM,3:56 PM[b],4:08:00 PM,4:20 PM[b],4:32:00 PM,4:42 PM[b],4:54:00 PM,5:05 PM[b],5:17:00 PM,5:28 PM[b],5:40:00 PM,5:52 PM[b],6:02:00 PM,6:14 PM[b],6:26:00 PM,6:36 PM[b],6:49 PM[b],7:00:00 PM,7:10 PM[b],7:21:00 PM,7:32 PM[b],7:54:00 PM,8:13 PM[b],8:47 PM[b],9:20 PM[b],9:55 PM[b],10:29 PM[b],11:05 PM[b],11:38 PM[b],12:15 AM[b],12:48 AM[b],1:24 AM[b],1:54 AM[b],2:29 AM[b]
REXDALE BLVD at WOODBINE CENTRE,5:51 AM[c],6:14:00 AM,6:37 AM[c],6:48:00 AM,6:59 AM[c],7:10:00 AM,7:22 AM[c],7:33:00 AM,7:44 AM[c],7:56:00 AM,8:07 AM[c],8:18:00 AM,8:29 AM[c],8:41:00 AM,8:52 AM[c],9:03:00 AM,9:15:00 AM,9:26 AM[c],9:38:00 AM,9:49:00 AM,9:59:00 AM,10:15:00 AM,10:36:00 AM,10:58:00 AM,11:20:00 AM,11:43:00 AM,12:06:00 PM,12:29:00 PM,12:52:00 PM,1:15:00 PM,1:38:00 PM,2:01:00 PM,2:24:00 PM,2:47:00 PM,3:04:00 PM,3:22 PM[b],3:36:00 PM,3:47 PM[b],3:59:00 PM,4:09 PM[b],4:21:00 PM,4:33 PM[b],4:45:00 PM,4:55 PM[b],5:07:00 PM,5:18 PM[b],5:30:00 PM,5:41 PM[b],5:53:00 PM,6:05 PM[b],6:15:00 PM,6:27 PM[b],6:39:00 PM,6:49 PM[b],7:02 PM[b],7:13:00 PM,7:22 PM[b],7:33:00 PM,7:44 PM[b],8:06:00 PM,8:25 PM[b],8:59 PM[b],9:32 PM[b],10:07 PM[b],10:41 PM[b],11:17 PM[b],11:50 PM[b],12:27 AM[b],1:00 AM[b],1:36 AM[b],2:06 AM[b],2:41 AM[b]
REXWOOD RD south of DERRY RD,5:57 AM[c],6:43 AM[c],7:05 AM[c],7:28 AM[c],7:50 AM[c],8:13 AM[c],8:35 AM[c],8:58 AM[c],9:32 AM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOREWAY DR at NASHUA DR (n leg),5:59 AM[c],6:45 AM[c],7:07 AM[c],7:30 AM[c],7:52 AM[c],8:15 AM[c],8:37 AM[c],9:00 AM[c],9:34 AM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERRY RD at REXWOOD RD,6:20:00 AM,6:54:00 AM,7:16:00 AM,7:39:00 AM,8:02:00 AM,8:24:00 AM,8:47:00 AM,9:09:00 AM,9:21:00 AM,9:43:00 AM,9:54:00 AM,10:04:00 AM,10:20:00 AM,10:41:00 AM,11:03:00 AM,11:25:00 AM,11:48:00 AM,12:11:00 PM,12:34:00 PM,12:57:00 PM,1:20:00 PM,1:43:00 PM,2:06:00 PM,2:29:00 PM,2:52:00 PM,3:10:00 PM,3:42:00 PM,4:05:00 PM,4:27:00 PM,4:51:00 PM,5:13:00 PM,5:36:00 PM,5:59:00 PM,6:21:00 PM,6:45:00 PM,7:18:00 PM,7:38:00 PM,8:11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOREWAY DR at ETUDE DR,6:03 AM[c],6:23:00 AM,6:49 AM[c],6:57:00 AM,7:11 AM[c],7:19:00 AM,7:34 AM[c],7:42:00 AM,7:56 AM[c],8:05:00 AM,8:19 AM[c],8:27:00 AM,8:41 AM[c],8:50:00 AM,9:04 AM[c],9:12:00 AM,9:24:00 AM,9:38 AM[c],9:46:00 AM,9:57:00 AM,10:07:00 AM,10:23:00 AM,10:44:00 AM,11:06:00 AM,11:28:00 AM,11:51:00 AM,12:14:00 PM,12:37:00 PM,1:00:00 PM,1:23:00 PM,1:46:00 PM,2:09:00 PM,2:32:00 PM,2:55:00 PM,3:13:00 PM,3:45:00 PM,4:08:00 PM,4:30:00 PM,4:54:00 PM,5:16:00 PM,5:39:00 PM,6:02:00 PM,6:24:00 PM,6:48:00 PM,7:21:00 PM,7:41:00 PM,8:14:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
DERRY RD at REXWOOD RD,3:27 PM[b],3:52 PM[b],4:14 PM[b],4:38 PM[b],5:00 PM[b],5:23 PM[b],5:46 PM[b],6:10 PM[b],6:32 PM[b],6:54 PM[b],7:07 PM[b],7:26 PM[b],7:48 PM[b],8:29 PM[b],9:03 PM[b],9:36 PM[b],10:11 PM[b],10:45 PM[b],11:21 PM[b],11:54 PM[b],12:31 AM[b],1:04 AM[b],1:40 AM[b],2:10 AM[b],2:45 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REXWOOD RD west of NETHERBRAE RD,3:28 PM[b],3:53 PM[b],4:15 PM[b],4:39 PM[b],5:01 PM[b],5:24 PM[b],5:47 PM[b],6:11 PM[b],6:33 PM[b],6:55 PM[b],7:08 PM[b],7:27 PM[b],7:49 PM[b],8:30 PM[b],9:04 PM[b],9:37 PM[b],10:12 PM[b],10:46 PM[b],11:22 PM[b],11:55 PM[b],12:32 AM[b],1:05 AM[b],1:41 AM[b],2:11 AM[b],2:46 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
