WESTWOOD MALL BUS TERMINAL PLATFORM J,5:01 AM[b],5:23:00 AM,5:46 AM[b],6:00:00 AM,6:08 AM[b],6:20:00 AM,6:31 AM[b],6:42:00 AM,6:54 AM[b],7:05:00 AM,7:16 AM[b],7:27:00 AM,7:39 AM[b],7:50:00 AM,8:01 AM[b],8:12:00 AM,8:24 AM[b],8:35:00 AM,8:46 AM[b],9:00:00 AM,9:20 AM[b],9:42:00 AM,10:04:00 AM,10:27:00 AM,10:50:00 AM,11:13:00 AM,11:36:00 AM,11:59:00 AM,12:22:00 PM,12:45:00 PM,1:08:00 PM,1:31:00 PM,1:54:00 PM,2:06:00 PM,2:18:00 PM,2:39:00 PM,2:48:00 PM,2:56 PM[c],3:07:00 PM,3:18 PM[c],3:30:00 PM,3:42 PM[c],3:53:00 PM,4:04 PM[c],4:16:00 PM,4:27 PM[c],4:38:00 PM,4:50 PM[c],5:02:00 PM,5:13 PM[c],5:24:00 PM,5:36 PM[c],5:47:00 PM,5:58 PM[c],6:10 PM[b],6:22:00 PM,6:33 PM[b],6:44:00 PM,7:07 PM[b],7:30:00 PM,8:04 PM[b],8:40:00 PM,9:13 PM[b],9:49:00 PM,10:22 PM[b],10:56:00 PM,11:32 PM[b],12:10:00 AM,12:44:00 AM,1:14:00 AM,1:50:00 AM
GOREWAY DR at ETUDE DR,5:26:00 AM,6:03:00 AM,6:23:00 AM,6:45:00 AM,7:08:00 AM,7:30:00 AM,7:53:00 AM,8:15:00 AM,8:38:00 AM,9:02:00 AM,9:44:00 AM,10:06:00 AM,10:29:00 AM,10:52:00 AM,11:15:00 AM,11:38:00 AM,12:01:00 PM,12:24:00 PM,12:47:00 PM,1:10:00 PM,1:33:00 PM,1:56:00 PM,2:08:00 PM,2:21:00 PM,2:42:00 PM,2:51:00 PM,2:59 PM[c],3:10:00 PM,3:21 PM[c],3:33:00 PM,3:45 PM[c],3:56:00 PM,4:07 PM[c],4:19:00 PM,4:30 PM[c],4:41:00 PM,4:53 PM[c],5:05:00 PM,5:16 PM[c],5:27:00 PM,5:39 PM[c],5:50:00 PM,6:01 PM[c],6:25:00 PM,6:47:00 PM,7:32:00 PM,8:42:00 PM,9:51:00 PM,10:58:00 PM,12:12:00 AM,12:46:00 AM,1:16:00 AM,1:52:00 AM,,,,,,,,,,,,,,,,,,
GOREWAY DR south of NASHUA DR (north leg),3:01 PM[c],3:23 PM[c],3:47 PM[c],4:09 PM[c],4:32 PM[c],4:55 PM[c],5:18 PM[c],5:41 PM[c],6:03 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERRY RD at REXWOOD RD,5:29:00 AM,6:06:00 AM,6:26:00 AM,6:48:00 AM,7:11:00 AM,7:33:00 AM,7:56:00 AM,8:18:00 AM,8:41:00 AM,9:05:00 AM,9:47:00 AM,10:09:00 AM,10:32:00 AM,10:55:00 AM,11:18:00 AM,11:41:00 AM,12:04:00 PM,12:27:00 PM,12:50:00 PM,1:13:00 PM,1:36:00 PM,1:59:00 PM,2:11:00 PM,2:24:00 PM,2:45:00 PM,2:54:00 PM,3:04 PM[c],3:13:00 PM,3:26 PM[c],3:36:00 PM,3:50 PM[c],3:59:00 PM,4:12 PM[c],4:22:00 PM,4:35 PM[c],4:44:00 PM,4:58 PM[c],5:08:00 PM,5:21 PM[c],5:30:00 PM,5:44 PM[c],5:53:00 PM,6:06 PM[c],6:28:00 PM,6:50:00 PM,7:35:00 PM,8:45:00 PM,9:54:00 PM,11:01:00 PM,12:15:00 AM,12:49:00 AM,1:19:00 AM,1:55:00 AM,,,,,,,,,,,,,,,,,,
MORNING STAR DR at BRANDON GATE DR,5:05 AM[b],5:50 AM[b],6:12 AM[b],6:35 AM[b],6:58 AM[b],7:20 AM[b],7:43 AM[b],8:05 AM[b],8:28 AM[b],8:50 AM[b],9:24 AM[b],6:14 PM[b],6:37 PM[b],7:11 PM[b],8:07 PM[b],9:16 PM[b],10:25 PM[b],11:35 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARCEL AVE at NETHERBRAE RD,5:08 AM[b],5:53 AM[b],6:15 AM[b],6:38 AM[b],7:01 AM[b],7:23 AM[b],7:46 AM[b],8:08 AM[b],8:31 AM[b],8:53 AM[b],9:26 AM[b],6:17 PM[b],6:40 PM[b],7:14 PM[b],8:09 PM[b],9:18 PM[b],10:27 PM[b],11:37 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETHERBRAE RD at DARCEL AVE,5:08 AM[b],5:53 AM[b],6:15 AM[b],6:38 AM[b],7:01 AM[b],7:23 AM[b],7:46 AM[b],8:08 AM[b],8:31 AM[b],8:53 AM[b],9:26 AM[b],6:17 PM[b],6:40 PM[b],7:14 PM[b],8:09 PM[b],9:18 PM[b],10:27 PM[b],11:37 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REXDALE BLVD at 27 HWY,5:15 AM[b],5:35:00 AM,6:00 AM[b],6:12:00 AM,6:22 AM[b],6:32:00 AM,6:45 AM[b],6:54:00 AM,7:08 AM[b],7:17:00 AM,7:30 AM[b],7:39:00 AM,7:53 AM[b],8:02:00 AM,8:15 AM[b],8:24:00 AM,8:38 AM[b],8:47:00 AM,9:00 AM[b],9:11:00 AM,9:33 AM[b],9:53:00 AM,10:15:00 AM,10:38:00 AM,11:01:00 AM,11:24:00 AM,11:47:00 AM,12:10:00 PM,12:33:00 PM,12:56:00 PM,1:19:00 PM,1:42:00 PM,2:05:00 PM,2:17:00 PM,2:30:00 PM,2:51:00 PM,3:00:00 PM,3:10 PM[c],3:19:00 PM,3:32 PM[c],3:42:00 PM,3:56 PM[c],4:05:00 PM,4:18 PM[c],4:28:00 PM,4:41 PM[c],4:50:00 PM,5:04 PM[c],5:14:00 PM,5:27 PM[c],5:36:00 PM,5:50 PM[c],5:59:00 PM,6:12 PM[c],6:24 PM[b],6:34:00 PM,6:47 PM[b],6:56:00 PM,7:21 PM[b],7:40:00 PM,8:15 PM[b],8:50:00 PM,9:24 PM[b],9:59:00 PM,10:33 PM[b],11:06:00 PM,11:43 PM[b],12:20:00 AM,12:54:00 AM,1:24:00 AM,2:00:00 AM
DUNDAS ST at CLOVERDALE MALL,5:28 AM[b],6:13 AM[b],6:35 AM[b],6:58 AM[b],7:21 AM[b],7:43 AM[b],8:06 AM[b],8:28 AM[b],8:51 AM[b],9:12 AM[b],9:45 AM[b],3:23 PM[c],3:45 PM[c],4:09 PM[c],4:31 PM[c],4:54 PM[c],5:17 PM[c],5:40 PM[c],6:03 PM[c],6:25 PM[c],6:37 PM[b],7:00 PM[b],7:34 PM[b],8:27 PM[b],9:36 PM[b],10:45 PM[b],11:55 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST at AUKLAND RD,5:33 AM[b],6:18 AM[b],6:40 AM[b],7:03 AM[b],7:26 AM[b],7:48 AM[b],8:11 AM[b],8:33 AM[b],8:56 AM[b],9:17 AM[b],9:50 AM[b],3:28 PM[c],3:50 PM[c],4:14 PM[c],4:36 PM[c],4:59 PM[c],5:22 PM[c],5:45 PM[c],6:08 PM[c],6:30 PM[c],6:42 PM[b],7:05 PM[b],7:38 PM[b],8:31 PM[b],9:40 PM[b],10:49 PM[b],11:59 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
