WESTWOOD MALL BUS TERMINAL PLATFORM A,6:00:00 AM,6:30 AM[b],7:00 AM[b],7:30 AM[b],7:57 AM[b],8:30:00 AM,8:58:00 AM,9:23 AM[b],2:32:00 PM,3:00:00 PM,3:29:00 PM,3:58:00 PM,4:30:00 PM,5:05:00 PM,5:38:00 PM,6:07:00 PM,6:37:00 PM
GOREWAY DR at ETUDE DR,6:02:00 AM,6:32 AM[b],7:02 AM[b],7:32 AM[b],7:59 AM[b],8:32:00 AM,9:00:00 AM,9:25 AM[b],2:35:00 PM,3:03:00 PM,3:32:00 PM,4:01:00 PM,4:33:00 PM,5:08:00 PM,5:41:00 PM,6:10:00 PM,6:40:00 PM
MALTON GO STATION ACRD,6:37 AM[b],7:07 AM[b],7:37 AM[b],8:04 AM[b],9:30 AM[b],,,,,,,,,,,,
DERRY RD at MALTON GO STATION ACRD,6:38 AM[b],7:08 AM[b],7:38 AM[b],8:05 AM[b],9:31 AM[b],,,,,,,,,,,,
DERRY RD at REXWOOD RD,6:04:00 AM,6:42 AM[b],7:12 AM[b],7:42 AM[b],8:09 AM[b],8:35:00 AM,9:03:00 AM,9:35 AM[b],2:38:00 PM,3:06:00 PM,3:35:00 PM,4:04:00 PM,4:36:00 PM,5:11:00 PM,5:44:00 PM,6:13:00 PM,6:43:00 PM
REXDALE BLVD at HUMBERWOOD BLVD,6:06:00 AM,6:44 AM[b],7:14 AM[b],7:44 AM[b],8:11 AM[b],8:37:00 AM,9:05:00 AM,9:37 AM[b],2:40:00 PM,3:08:00 PM,3:37:00 PM,4:06:00 PM,4:38:00 PM,5:13:00 PM,5:46:00 PM,6:15:00 PM,6:45:00 PM
REXDALE BLVD at 27 HWY,6:08:00 AM,6:47 AM[b],7:17 AM[b],7:47 AM[b],8:14 AM[b],8:40:00 AM,9:08:00 AM,9:40 AM[b],2:43:00 PM,3:11:00 PM,3:40:00 PM,4:09:00 PM,4:41:00 PM,5:16:00 PM,5:49:00 PM,6:18:00 PM,6:48:00 PM
REXDALE BLVD at MARTIN GROVE RD,6:11:00 AM,6:50 AM[b],7:20 AM[b],7:50 AM[b],8:17 AM[b],8:43:00 AM,9:11:00 AM,9:43 AM[b],2:46:00 PM,3:14:00 PM,3:43:00 PM,4:12:00 PM,4:44:00 PM,5:19:00 PM,5:52:00 PM,6:21:00 PM,6:51:00 PM
REXDALE BLVD at KIPLING AVE,6:14:00 AM,6:53 AM[b],7:23 AM[b],7:53 AM[b],8:20 AM[b],8:46:00 AM,9:14:00 AM,9:46 AM[b],2:49:00 PM,3:17:00 PM,3:46:00 PM,4:15:00 PM,4:47:00 PM,5:22:00 PM,5:55:00 PM,6:24:00 PM,6:54:00 PM
REXDALE BLVD at BERGAMOT AVE,6:15:00 AM,6:54 AM[b],7:24 AM[b],7:54 AM[b],8:21 AM[b],8:47:00 AM,9:15:00 AM,9:47 AM[b],2:50:00 PM,3:18:00 PM,3:47:00 PM,4:16:00 PM,4:48:00 PM,5:23:00 PM,5:56:00 PM,6:25:00 PM,6:55:00 PM
BERGAMOT AVE at REXDALE BLVD,6:16:00 AM,6:55 AM[b],7:25 AM[b],7:55 AM[b],8:22 AM[b],8:48:00 AM,9:16:00 AM,9:48 AM[b],2:51:00 PM,3:19:00 PM,3:48:00 PM,4:17:00 PM,4:49:00 PM,5:24:00 PM,5:57:00 PM,6:26:00 PM,6:56:00 PM
REXDALE BLVD at ISLINGTON AVE,6:18:00 AM,6:57 AM[b],7:27 AM[b],7:57 AM[b],8:24 AM[b],8:50:00 AM,9:18:00 AM,9:50 AM[b],2:54:00 PM,3:22:00 PM,3:51:00 PM,4:20:00 PM,4:52:00 PM,5:27:00 PM,6:00:00 PM,6:29:00 PM,6:59:00 PM
