REXDALE BLVD at ISLINGTON AVE,6:22:00 AM,7:04:00 AM,7:34:00 AM,8:05:00 AM,8:32:00 AM,8:58:00 AM,9:31:00 AM,9:53:00 AM,3:00:00 PM,3:28:00 PM,3:57:00 PM,4:35 PM[b],4:57:00 PM,5:36 PM[b],6:06 PM[b],6:34:00 PM,7:06 PM[b],,
REXDALE BLVD at KIPLING AVE,6:24:00 AM,7:07:00 AM,7:37:00 AM,8:08:00 AM,8:35:00 AM,9:01:00 AM,9:33:00 AM,9:55:00 AM,3:03:00 PM,3:31:00 PM,4:00:00 PM,4:38 PM[b],5:00:00 PM,5:39 PM[b],6:09 PM[b],6:37:00 PM,7:09 PM[b],,
REXDALE BLVD at MARTIN GROVE RD,6:26:00 AM,7:10:00 AM,7:40:00 AM,8:11:00 AM,8:38:00 AM,9:04:00 AM,9:35:00 AM,9:57:00 AM,3:06:00 PM,3:34:00 PM,4:03:00 PM,4:41 PM[b],5:03:00 PM,5:42 PM[b],6:12 PM[b],6:40:00 PM,7:12 PM[b],,
REXDALE BLVD at WOODBINE CENTRE,6:30:00 AM,7:14:00 AM,7:44:00 AM,8:15:00 AM,8:42:00 AM,9:08:00 AM,9:39:00 AM,10:01:00 AM,2:40:00 PM,3:10:00 PM,3:38:00 PM,4:07:00 PM,4:45 PM[b],5:07:00 PM,5:46 PM[b],6:16 PM[b],6:44:00 PM,7:16 PM[b],
REXDALE BLVD at HUMBERWOOD BLVD,6:32:00 AM,7:16:00 AM,7:46:00 AM,8:17:00 AM,8:44:00 AM,9:10:00 AM,9:41:00 AM,10:03:00 AM,2:42:00 PM,3:12:00 PM,3:40:00 PM,4:09:00 PM,4:47 PM[b],5:09:00 PM,5:48 PM[b],6:18 PM[b],6:46:00 PM,7:18 PM[b],
DERRY RD at REXWOOD RD,6:35:00 AM,7:19:00 AM,7:49:00 AM,8:20:00 AM,8:46:00 AM,9:12:00 AM,9:43:00 AM,10:05:00 AM,2:44:00 PM,3:15:00 PM,3:43:00 PM,4:12:00 PM,4:50 PM[b],5:12:00 PM,5:51 PM[b],6:21 PM[b],6:49:00 PM,7:21 PM[b],
MALTON GO STATION ACRD,4:55 PM[b],5:26 PM[b],5:56 PM[b],6:26 PM[b],7:26 PM[b],,,,,,,,,,,,,,
DERRY RD at MALTON GO STATION ACRD,4:56 PM[b],5:27 PM[b],5:57 PM[b],6:27 PM[b],7:27 PM[b],,,,,,,,,,,,,,
GOREWAY DR at ETUDE DR,6:37:00 AM,7:21:00 AM,7:51:00 AM,8:22:00 AM,8:48:00 AM,9:14:00 AM,9:45:00 AM,10:07:00 AM,2:47:00 PM,3:18:00 PM,3:46:00 PM,4:15:00 PM,5:00 PM[b],5:15:00 PM,5:31 PM[b],6:01 PM[b],6:30 PM[b],6:52:00 PM,7:30 PM[b]
WESTWOOD MALL BUS TERMINAL PLATFORM A,6:39:00 AM,7:23:00 AM,7:53:00 AM,8:24:00 AM,8:50:00 AM,9:16:00 AM,9:47:00 AM,10:09:00 AM,2:49:00 PM,3:20:00 PM,3:48:00 PM,4:17:00 PM,5:02 PM[b],5:17:00 PM,5:33 PM[b],6:03 PM[b],6:32 PM[b],6:54:00 PM,7:32 PM[b]
