CLARKSON GO STATION PLATFORM A,5:24:00 AM,5:41:00 AM,6:00:00 AM,6:16:00 AM,6:34:00 AM,6:52:00 AM,7:10:00 AM,7:30:00 AM,7:46:00 AM,8:04:00 AM,8:26:00 AM,8:40:00 AM,8:58:00 AM,9:23:00 AM,9:49:00 AM,10:14:00 AM,10:40:00 AM,11:05:00 AM,11:31:00 AM,11:56:00 AM,12:22:00 PM,12:47:00 PM,1:13:00 PM,1:38:00 PM,2:04:00 PM,2:17:00 PM,2:28:00 PM,2:46:00 PM,3:04:00 PM,3:22:00 PM,3:40:00 PM,3:58:00 PM,4:18:00 PM,4:36:00 PM,4:59:00 PM,5:10:00 PM,5:28:00 PM,5:50:00 PM,6:06:00 PM,6:22:00 PM,6:44:00 PM,7:03:00 PM,7:25:00 PM,7:58:00 PM,8:31:00 PM,9:04:00 PM,9:43:00 PM,10:19:00 PM,10:49:00 PM,11:22:00 PM,11:55:00 PM,12:28:00 AM,1:02:00 AM,1:42:00 AM,2:12:00 AM,,,
SOUTHDOWN RD at TRUSCOTT DR,5:27:00 AM,5:44:00 AM,6:03:00 AM,6:19:00 AM,6:37:00 AM,6:55:00 AM,7:13:00 AM,7:33:00 AM,7:49:00 AM,8:07:00 AM,8:29:00 AM,8:43:00 AM,9:01:00 AM,9:26:00 AM,9:52:00 AM,10:17:00 AM,10:43:00 AM,11:08:00 AM,11:34:00 AM,11:59:00 AM,12:25:00 PM,12:50:00 PM,1:16:00 PM,1:41:00 PM,2:07:00 PM,2:20 PM[bG],2:20:00 PM,2:31:00 PM,2:49:00 PM,3:07:00 PM,3:25:00 PM,3:43:00 PM,4:01:00 PM,4:21:00 PM,4:39:00 PM,5:02:00 PM,5:13:00 PM,5:31:00 PM,5:53:00 PM,6:09:00 PM,6:25:00 PM,6:47:00 PM,7:06:00 PM,7:28:00 PM,8:01:00 PM,8:34:00 PM,9:07:00 PM,9:46:00 PM,10:22:00 PM,10:52:00 PM,11:25:00 PM,11:58:00 PM,12:31:00 AM,1:05:00 AM,1:45:00 AM,2:15:00 AM,,
ERIN MILLS PKY at FOWLER DR,5:30:00 AM,5:47:00 AM,6:06:00 AM,6:22:00 AM,6:40:00 AM,6:58:00 AM,7:16:00 AM,7:36:00 AM,7:52:00 AM,8:10:00 AM,8:32:00 AM,8:46:00 AM,9:04:00 AM,9:29:00 AM,9:55:00 AM,10:20:00 AM,10:46:00 AM,11:11:00 AM,11:37:00 AM,12:02:00 PM,12:28:00 PM,12:53:00 PM,1:19:00 PM,1:44:00 PM,2:10:00 PM,2:23 PM[bG],2:23:00 PM,2:34:00 PM,2:52:00 PM,3:10:00 PM,3:28:00 PM,3:46:00 PM,4:04:00 PM,4:24:00 PM,4:42:00 PM,5:05:00 PM,5:16:00 PM,5:34:00 PM,5:56:00 PM,6:12:00 PM,6:28:00 PM,6:50:00 PM,7:09:00 PM,7:31:00 PM,8:04:00 PM,8:37:00 PM,9:10:00 PM,9:49:00 PM,10:25:00 PM,10:55:00 PM,11:28:00 PM,12:01:00 AM,12:34:00 AM,1:08:00 AM,1:48:00 AM,2:18:00 AM,,
ERIN MILLS PKY at DUNDAS ST W,5:34:00 AM,5:51:00 AM,6:11:00 AM,6:27:00 AM,6:45:00 AM,7:03:00 AM,7:21:00 AM,7:41:00 AM,7:57:00 AM,8:15:00 AM,8:37:00 AM,8:51:00 AM,9:08:00 AM,9:33:00 AM,9:59:00 AM,10:24:00 AM,10:50:00 AM,11:15:00 AM,11:41:00 AM,12:06:00 PM,12:32:00 PM,12:57:00 PM,1:23:00 PM,1:48:00 PM,2:15:00 PM,2:28 PM[bG],2:28:00 PM,2:39:00 PM,2:57:00 PM,3:15:00 PM,3:33:00 PM,3:51:00 PM,4:09:00 PM,4:29:00 PM,4:47:00 PM,5:10:00 PM,5:21:00 PM,5:39:00 PM,6:01:00 PM,6:17:00 PM,6:33:00 PM,6:55:00 PM,7:13:00 PM,7:35:00 PM,8:08:00 PM,8:41:00 PM,9:14:00 PM,9:53:00 PM,10:29:00 PM,10:59:00 PM,11:32:00 PM,12:05:00 AM,12:38:00 AM,1:12:00 AM,1:52:00 AM,2:22:00 AM,,
SOUTH MILLWAY at FIFTH LINE W,5:36:00 AM,5:53:00 AM,6:13:00 AM,6:29:00 AM,6:47:00 AM,7:05:00 AM,7:23:00 AM,7:43:00 AM,7:59:00 AM,8:17:00 AM,8:39:00 AM,8:53:00 AM,9:10:00 AM,9:35:00 AM,10:01:00 AM,10:26:00 AM,10:52:00 AM,11:17:00 AM,11:43:00 AM,12:08:00 PM,12:34:00 PM,12:59:00 PM,1:25:00 PM,1:50:00 PM,2:17:00 PM,2:30 PM[bG],2:30:00 PM,2:41:00 PM,2:59:00 PM,3:17:00 PM,3:35:00 PM,3:53:00 PM,4:11:00 PM,4:31:00 PM,4:49:00 PM,5:12:00 PM,5:23:00 PM,5:41:00 PM,6:03:00 PM,6:19:00 PM,6:35:00 PM,6:57:00 PM,7:15:00 PM,7:37:00 PM,8:10:00 PM,8:43:00 PM,9:16:00 PM,9:55:00 PM,10:31:00 PM,11:01:00 PM,11:34:00 PM,12:07:00 AM,12:40:00 AM,1:14:00 AM,1:54:00 AM,2:24:00 AM,,
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM D,5:03:00 AM,5:42:00 AM,5:59:00 AM,6:18:00 AM,6:34:00 AM,6:52:00 AM,7:10:00 AM,7:28:00 AM,7:48:00 AM,8:04:00 AM,8:22:00 AM,8:44:00 AM,8:58:00 AM,9:16:00 AM,9:41:00 AM,10:07:00 AM,10:32:00 AM,10:58:00 AM,11:23:00 AM,11:49:00 AM,12:14:00 PM,12:40:00 PM,1:05:00 PM,1:31:00 PM,1:56:00 PM,2:22:00 PM,2:33 PM[bG],2:35:00 PM,2:46:00 PM,3:04:00 PM,3:22:00 PM,3:40:00 PM,3:58:00 PM,4:16:00 PM,4:36:00 PM,4:54:00 PM,5:17:00 PM,5:28:00 PM,5:46:00 PM,6:08:00 PM,6:24:00 PM,6:40:00 PM,7:02:00 PM,7:20:00 PM,7:42:00 PM,8:15:00 PM,8:48:00 PM,9:21:00 PM,9:58:00 PM,10:34:00 PM,11:04:00 PM,11:37:00 PM,12:10:00 AM,12:43:00 AM,1:17:00 AM,1:57:00 AM,2:27:00 AM,
GLEN ERIN DR at FOLKWAY DR,5:06:00 AM,5:45:00 AM,6:03:00 AM,6:22:00 AM,6:38:00 AM,6:56:00 AM,7:14:00 AM,7:32:00 AM,7:52:00 AM,8:08:00 AM,8:26:00 AM,8:48:00 AM,9:02:00 AM,9:19:00 AM,9:44:00 AM,10:10:00 AM,10:35:00 AM,11:01:00 AM,11:26:00 AM,11:52:00 AM,12:17:00 PM,12:43:00 PM,1:08:00 PM,1:34:00 PM,1:59:00 PM,2:26:00 PM,2:39:00 PM,2:50:00 PM,3:08:00 PM,3:26:00 PM,3:44:00 PM,4:02:00 PM,4:20:00 PM,4:40:00 PM,4:58:00 PM,5:21:00 PM,5:32:00 PM,5:50:00 PM,6:12:00 PM,6:28:00 PM,6:44:00 PM,7:05:00 PM,7:23:00 PM,7:45:00 PM,8:18:00 PM,8:51:00 PM,9:24:00 PM,10:01:00 PM,10:37:00 PM,11:07:00 PM,11:40:00 PM,12:13:00 AM,12:46:00 AM,1:20:00 AM,2:00:00 AM,2:30:00 AM,,
GLEN ERIN DR at EGLINTON AVE,5:09:00 AM,5:48:00 AM,6:06:00 AM,6:25:00 AM,6:41:00 AM,6:59:00 AM,7:17:00 AM,7:35:00 AM,7:55:00 AM,8:11:00 AM,8:29:00 AM,8:51:00 AM,9:05:00 AM,9:22:00 AM,9:47:00 AM,10:13:00 AM,10:38:00 AM,11:04:00 AM,11:29:00 AM,11:55:00 AM,12:20:00 PM,12:46:00 PM,1:11:00 PM,1:37:00 PM,2:02:00 PM,2:29:00 PM,2:30 PM[G],2:35 PM[G],2:42:00 PM,2:53:00 PM,3:11:00 PM,3:29:00 PM,3:47:00 PM,4:05:00 PM,4:23:00 PM,4:43:00 PM,5:01:00 PM,5:24:00 PM,5:35:00 PM,5:53:00 PM,6:15:00 PM,6:31:00 PM,6:47:00 PM,7:08:00 PM,7:26:00 PM,7:48:00 PM,8:21:00 PM,8:54:00 PM,9:27:00 PM,10:04:00 PM,10:40:00 PM,11:10:00 PM,11:43:00 PM,12:16:00 AM,12:49:00 AM,1:23:00 AM,2:03:00 AM,2:33:00 AM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM A,5:15:00 AM,5:54:00 AM,6:12:00 AM,6:31:00 AM,6:47:00 AM,7:05:00 AM,7:23:00 AM,7:41:00 AM,8:01:00 AM,8:17:00 AM,8:35:00 AM,8:57:00 AM,9:11:00 AM,9:28:00 AM,9:53:00 AM,10:19:00 AM,10:44:00 AM,11:10:00 AM,11:35:00 AM,12:01:00 PM,12:26:00 PM,12:52:00 PM,1:17:00 PM,1:43:00 PM,2:08:00 PM,2:35:00 PM,2:36 PM[G],2:41 PM[G],2:48:00 PM,2:59:00 PM,3:17:00 PM,3:35:00 PM,3:53:00 PM,4:11:00 PM,4:29:00 PM,4:49:00 PM,5:07:00 PM,5:30:00 PM,5:41:00 PM,5:59:00 PM,6:21:00 PM,6:37:00 PM,6:53:00 PM,7:13:00 PM,7:31:00 PM,7:53:00 PM,8:26:00 PM,8:59:00 PM,9:32:00 PM,10:09:00 PM,10:45:00 PM,11:15:00 PM,11:48:00 PM,12:21:00 AM,12:54:00 AM,1:28:00 AM,2:08:00 AM,2:38:00 AM
GLEN ERIN DR at THOMAS ST,5:20:00 AM,5:59:00 AM,6:17:00 AM,6:36:00 AM,6:52:00 AM,7:10:00 AM,7:28:00 AM,7:46:00 AM,8:06:00 AM,8:22:00 AM,8:40:00 AM,9:02:00 AM,9:16:00 AM,9:33:00 AM,9:58:00 AM,10:24:00 AM,10:49:00 AM,11:15:00 AM,11:40:00 AM,12:06:00 PM,12:31:00 PM,12:57:00 PM,1:22:00 PM,1:48:00 PM,2:13:00 PM,2:40:00 PM,2:41 PM[G],2:46 PM[G],2:53:00 PM,3:04:00 PM,3:22:00 PM,3:40:00 PM,3:58:00 PM,4:16:00 PM,4:34:00 PM,4:54:00 PM,5:12:00 PM,5:35:00 PM,5:46:00 PM,6:04:00 PM,6:26:00 PM,6:42:00 PM,6:58:00 PM,7:18:00 PM,7:36:00 PM,7:58:00 PM,8:31:00 PM,9:04:00 PM,9:37:00 PM,10:14:00 PM,10:50:00 PM,11:20:00 PM,11:53:00 PM,12:26:00 AM,12:59:00 AM,1:33:00 AM,2:13:00 AM,2:43:00 AM
