PORT CREDIT GO STATION PLATFORM D,5:09 AM[a],5:41 AM[a],6:11 AM[a],6:50 AM[a],7:20 AM[a],7:49 AM[a],8:02 AM[a],8:36:00 AM,9:17:00 AM,10:05:00 AM,10:50:00 AM,11:35:00 AM,12:20:00 PM,1:05:00 PM,1:50:00 PM,2:38:00 PM,2:39:00 PM,2:57 PM[a],3:25 PM[G],3:34 PM[a],4:09 PM[a],4:48 PM[a],5:22 PM[a],5:58 PM[a],6:45:00 PM,7:15:00 PM,8:00:00 PM,8:45:00 PM,9:30:00 PM,10:15:00 PM
FRONT ST at JOHN ST,5:10 AM[a],5:42 AM[a],6:13 AM[a],6:52 AM[a],7:22 AM[a],7:51 AM[a],8:04 AM[a],8:38:00 AM,9:19:00 AM,10:07:00 AM,10:52:00 AM,11:37:00 AM,12:22:00 PM,1:07:00 PM,1:52:00 PM,2:40:00 PM,2:41:00 PM,2:59 PM[a],3:27 PM[G],3:36 PM[a],4:11 PM[a],4:50 PM[a],5:24 PM[a],6:00 PM[a],6:47:00 PM,7:16:00 PM,8:01:00 PM,8:47:00 PM,9:32:00 PM,10:17:00 PM
INDIAN RD at KANE RD,5:13 AM[a],5:45 AM[a],6:16 AM[a],6:55 AM[a],7:26 AM[a],7:55 AM[a],8:07 AM[a],8:41:00 AM,9:22:00 AM,10:10:00 AM,10:55:00 AM,11:40:00 AM,12:25:00 PM,1:10:00 PM,1:55:00 PM,2:44:00 PM,2:45:00 PM,3:03 PM[a],3:31 PM[G],3:40 PM[a],4:15 PM[a],4:54 PM[a],5:28 PM[a],6:04 PM[a],6:50:00 PM,7:19:00 PM,8:04:00 PM,8:49:00 PM,9:34:00 PM,10:19:00 PM
LORNE PARK RD at INDIAN RD,5:19 AM[a],5:51 AM[a],6:22 AM[a],7:01 AM[a],7:32 AM[a],8:01 AM[a],8:13 AM[a],8:47:00 AM,9:28:00 AM,10:16:00 AM,11:01:00 AM,11:46:00 AM,12:31:00 PM,1:16:00 PM,2:01:00 PM,2:50:00 PM,2:51:00 PM,3:09 PM[a],3:37 PM[G],3:46 PM[a],4:21 PM[a],5:00 PM[a],5:34 PM[a],6:10 PM[a],6:56:00 PM,7:25:00 PM,8:10:00 PM,8:56:00 PM,9:41:00 PM,10:26:00 PM
TRUSCOTT DR at DAVEBROOK RD,5:25 AM[a],5:57 AM[a],6:28 AM[a],7:08 AM[a],7:39 AM[a],8:08 AM[a],8:20 AM[a],8:53:00 AM,9:34:00 AM,10:22:00 AM,11:07:00 AM,11:52:00 AM,12:37:00 PM,1:22:00 PM,2:07:00 PM,2:57:00 PM,2:58:00 PM,3:16 PM[a],3:44 PM[G],3:53 PM[a],4:28 PM[a],5:07 PM[a],5:41 PM[a],6:16 PM[a],7:02:00 PM,7:31:00 PM,8:16:00 PM,9:01:00 PM,9:46:00 PM,10:31:00 PM
SOUTHDOWN RD at TRUSCOTT DR,5:25 AM[a],5:57 AM[a],6:28 AM[a],7:08 AM[a],7:39 AM[a],8:08 AM[a],8:20 AM[a],8:53:00 AM,9:34:00 AM,10:22:00 AM,11:07:00 AM,11:52:00 AM,12:37:00 PM,1:22:00 PM,2:07:00 PM,2:57:00 PM,2:58:00 PM,3:16 PM[a],3:44 PM[G],3:53 PM[a],4:28 PM[a],5:07 PM[a],5:41 PM[a],6:16 PM[a],7:02:00 PM,7:31:00 PM,8:16:00 PM,9:01:00 PM,9:46:00 PM,10:31:00 PM
CLARKSON GO STATION PLATFORM C,5:27 AM[a],5:59 AM[a],6:31 AM[a],7:11 AM[a],7:48 AM[a],8:11 AM[a],8:30 AM[a],3:19 PM[a],3:56 PM[a],4:31 PM[a],5:10 PM[a],5:44 PM[a],6:19 PM[a],,,,,,,,,,,,,,,,,
SOUTHDOWN RD south of ROYAL WINDSOR DR,5:28 AM[a],6:00 AM[a],6:32 AM[a],7:12 AM[a],7:49 AM[a],8:12 AM[a],8:31 AM[a],3:20 PM[a],3:57 PM[a],4:32 PM[a],5:11 PM[a],5:45 PM[a],6:20 PM[a],,,,,,,,,,,,,,,,,
SOUTHDOWN RD at LAKESHORE RD,5:31 AM[a],6:03 AM[a],6:35 AM[a],7:15 AM[a],7:52 AM[a],8:15 AM[a],8:34 AM[a],3:23 PM[a],4:00 PM[a],4:35 PM[a],5:14 PM[a],5:48 PM[a],6:23 PM[a],,,,,,,,,,,,,,,,,
WINSTON CHURCHILL BLVD at ROYAL WINDSOR DR,5:38 AM[a],6:10 AM[a],6:42 AM[a],7:22 AM[a],7:58 AM[a],8:22 AM[a],8:41 AM[a],3:30 PM[a],4:07 PM[a],4:42 PM[a],5:21 PM[a],5:55 PM[a],6:30 PM[a],,,,,,,,,,,,,,,,,
