WESTWOOD MALL BUS TERMINAL PLATFORM H,5:05 AM[b],5:29 AM[b],6:05 AM[b],6:30:00 AM,7:05:00 AM,7:40:00 AM,8:15:00 AM,8:50:00 AM,9:25:00 AM,10:00:00 AM,10:35:00 AM,11:10:00 AM,11:45:00 AM,12:20:00 PM,12:55:00 PM,1:30:00 PM,2:05:00 PM,2:40:00 PM,3:15:00 PM,3:50:00 PM,4:25:00 PM,5:00:00 PM,5:35:00 PM,6:10:00 PM,6:45:00 PM,7:20:00 PM
DARCEL AVE at WOODRUFF CRES,5:08 AM[b],5:32 AM[b],6:08 AM[b],6:34:00 AM,7:09:00 AM,7:44:00 AM,8:19:00 AM,8:54:00 AM,9:29:00 AM,10:03:00 AM,10:38:00 AM,11:13:00 AM,11:48:00 AM,12:23:00 PM,12:58:00 PM,1:34:00 PM,2:09:00 PM,2:44:00 PM,3:19:00 PM,3:54:00 PM,4:29:00 PM,5:04:00 PM,5:39:00 PM,6:14:00 PM,6:48:00 PM,7:23:00 PM
REXWOOD RD south of DERRY RD,6:37:00 AM,7:12:00 AM,7:47:00 AM,8:22:00 AM,8:57:00 AM,9:32:00 AM,10:06:00 AM,10:41:00 AM,11:16:00 AM,11:51:00 AM,12:26:00 PM,1:01:00 PM,1:37:00 PM,2:12:00 PM,2:47:00 PM,3:22:00 PM,3:57:00 PM,4:32:00 PM,5:07:00 PM,5:42:00 PM,6:17:00 PM,6:51:00 PM,7:26:00 PM,,,
NASHUA DR SECOND STOP east of REXWOOD RD,6:39:00 AM,7:14:00 AM,7:49:00 AM,8:24:00 AM,8:59:00 AM,9:34:00 AM,10:08:00 AM,10:43:00 AM,11:18:00 AM,11:53:00 AM,12:28:00 PM,1:03:00 PM,1:39:00 PM,2:14:00 PM,2:49:00 PM,3:24:00 PM,3:59:00 PM,4:34:00 PM,5:09:00 PM,5:44:00 PM,6:19:00 PM,6:53:00 PM,7:28:00 PM,,,
GOREWAY DR at NASHUA DR (n leg),6:41:00 AM,7:16:00 AM,7:51:00 AM,8:26:00 AM,9:01:00 AM,9:36:00 AM,10:10:00 AM,10:45:00 AM,11:20:00 AM,11:55:00 AM,12:30:00 PM,1:05:00 PM,1:41:00 PM,2:16:00 PM,2:51:00 PM,3:26:00 PM,4:01:00 PM,4:36:00 PM,5:11:00 PM,5:46:00 PM,6:21:00 PM,6:55:00 PM,7:30:00 PM,,,
REXWOOD RD at DERRY RD,6:43:00 AM,7:19:00 AM,7:54:00 AM,8:29:00 AM,9:03:00 AM,9:38:00 AM,10:12:00 AM,10:47:00 AM,11:22:00 AM,11:57:00 AM,12:32:00 PM,1:07:00 PM,1:43:00 PM,2:18:00 PM,2:54:00 PM,3:29:00 PM,4:04:00 PM,4:39:00 PM,5:14:00 PM,5:48:00 PM,6:23:00 PM,6:57:00 PM,7:32:00 PM,,,
REXWOOD RD west of NETHERBRAE RD,6:44:00 AM,7:20:00 AM,7:55:00 AM,8:30:00 AM,9:04:00 AM,9:39:00 AM,10:13:00 AM,10:48:00 AM,11:23:00 AM,11:58:00 AM,12:33:00 PM,1:08:00 PM,1:44:00 PM,2:19:00 PM,2:55:00 PM,3:30:00 PM,4:05:00 PM,4:40:00 PM,5:15:00 PM,5:49:00 PM,6:24:00 PM,6:58:00 PM,7:33:00 PM,,,
MORNING STAR DR at BRANDON GATE DR,5:15 AM[b],5:39 AM[b],6:15 AM[b],6:46:00 AM,7:22:00 AM,7:57:00 AM,8:32:00 AM,9:06:00 AM,9:41:00 AM,10:15:00 AM,10:50:00 AM,11:25:00 AM,12:00:00 PM,12:35:00 PM,1:10:00 PM,1:46:00 PM,2:21:00 PM,2:57:00 PM,3:32:00 PM,4:07:00 PM,4:42:00 PM,5:17:00 PM,5:51:00 PM,6:26:00 PM,7:00:00 PM,7:35:00 PM
BRANDON GATE DR at DARCEL AVE,5:20 AM[b],5:44 AM[b],6:20 AM[b],6:51:00 AM,7:27:00 AM,8:02:00 AM,8:37:00 AM,9:11:00 AM,9:46:00 AM,10:20:00 AM,10:55:00 AM,11:30:00 AM,12:05:00 PM,12:40:00 PM,1:15:00 PM,1:51:00 PM,2:26:00 PM,3:02:00 PM,3:37:00 PM,4:12:00 PM,4:47:00 PM,5:22:00 PM,5:56:00 PM,6:31:00 PM,7:05:00 PM,7:40:00 PM
WESTWOOD MALL BUS TERMINAL PLATFORM H,5:28 AM[b],5:52 AM[b],6:28 AM[b],7:01:00 AM,7:37:00 AM,8:12:00 AM,8:47:00 AM,9:21:00 AM,9:56:00 AM,10:30:00 AM,11:05:00 AM,11:40:00 AM,12:15:00 PM,12:50:00 PM,1:25:00 PM,2:01:00 PM,2:36:00 PM,3:12:00 PM,3:47:00 PM,4:22:00 PM,4:57:00 PM,5:32:00 PM,6:06:00 PM,6:41:00 PM,7:15:00 PM,7:50:00 PM
