PORT CREDIT GO STATION PLATFORM C,4:22:00 AM,4:37:00 AM,4:51:00 AM,5:08:00 AM,5:23:00 AM,5:40:00 AM,5:57:00 AM,6:07:00 AM,6:19:00 AM,6:30:00 AM,6:41:00 AM,6:53:00 AM,7:02:00 AM,7:14:00 AM,7:26:00 AM,7:38:00 AM,7:49:00 AM,8:02:00 AM,8:16:00 AM,8:29:00 AM,8:41:00 AM,8:52:00 AM,9:03:00 AM,9:17:00 AM,9:29:00 AM,9:45:00 AM,10:00:00 AM,10:16:00 AM,10:31:00 AM,10:47:00 AM,11:03:00 AM,11:19:00 AM,11:35:00 AM,11:51:00 AM,12:07:00 PM,12:23:00 PM,12:39:00 PM,12:55:00 PM,1:11:00 PM,1:27:00 PM,1:37:00 PM,1:49:00 PM,2:01:00 PM,2:12:00 PM,2:23:00 PM,2:35:00 PM,2:48:00 PM,2:50:00 PM,2:57:00 PM,3:08:00 PM,3:21:00 PM,3:33:00 PM,3:47:00 PM,4:00:00 PM,4:12:00 PM,4:24:00 PM,4:36:00 PM,4:48:00 PM,5:01:00 PM,5:12:00 PM,5:25:00 PM,5:36:00 PM,5:47:00 PM,6:00:00 PM,6:12:00 PM,6:25:00 PM,6:39:00 PM,6:53:00 PM,7:05:00 PM,7:23:00 PM,7:35:00 PM,7:47:00 PM,8:01:00 PM,8:13:00 PM,8:25:00 PM,8:37:00 PM,8:49:00 PM,9:01:00 PM,9:13:00 PM,9:25:00 PM,9:37:00 PM,9:49:00 PM,10:01:00 PM,10:12:00 PM,10:25:00 PM,10:37:00 PM,10:46:00 PM,11:04:00 PM,11:22:00 PM,11:36:00 PM,11:50:00 PM,12:03:00 AM,12:22:00 AM,12:41:00 AM,1:00 AM[g],1:23 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at MINEOLA RD E,4:26:00 AM,4:41:00 AM,4:55:00 AM,5:12:00 AM,5:27:00 AM,5:44:00 AM,6:02:00 AM,6:12:00 AM,6:24:00 AM,6:35:00 AM,6:46:00 AM,6:58:00 AM,7:09:00 AM,7:21:00 AM,7:33:00 AM,7:45:00 AM,7:56:00 AM,8:09:00 AM,8:23:00 AM,8:36:00 AM,8:48:00 AM,8:59:00 AM,9:09:00 AM,9:23:00 AM,9:35:00 AM,9:51:00 AM,10:06:00 AM,10:22:00 AM,10:37:00 AM,10:53:00 AM,11:09:00 AM,11:25:00 AM,11:41:00 AM,11:57:00 AM,12:13:00 PM,12:29:00 PM,12:45:00 PM,1:01:00 PM,1:17:00 PM,1:33:00 PM,1:43:00 PM,1:55:00 PM,2:07:00 PM,2:18:00 PM,2:29:00 PM,2:41:00 PM,2:54:00 PM,2:53 PM[G],2:56:00 PM,2:55 PM[G],3:04:00 PM,3:15:00 PM,3:28:00 PM,3:40:00 PM,3:54:00 PM,4:06:00 PM,4:18:00 PM,4:30:00 PM,4:42:00 PM,4:54:00 PM,5:07:00 PM,5:18:00 PM,5:31:00 PM,5:42:00 PM,5:53:00 PM,6:06:00 PM,6:18:00 PM,6:31:00 PM,6:45:00 PM,6:59:00 PM,7:11:00 PM,7:29:00 PM,7:41:00 PM,7:53:00 PM,8:07:00 PM,8:18:00 PM,8:30:00 PM,8:42:00 PM,8:54:00 PM,9:06:00 PM,9:18:00 PM,9:30:00 PM,9:42:00 PM,9:54:00 PM,10:06:00 PM,10:17:00 PM,10:30:00 PM,10:42:00 PM,10:51:00 PM,11:09:00 PM,11:27:00 PM,11:41:00 PM,11:55:00 PM,12:08:00 AM,12:27:00 AM,12:46:00 AM,1:05 AM[g],1:28 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at NORTH SERVICE RD,4:29:00 AM,4:44:00 AM,4:58:00 AM,5:15:00 AM,5:30:00 AM,5:47:00 AM,6:05:00 AM,6:15:00 AM,6:27:00 AM,6:38:00 AM,6:49:00 AM,7:01:00 AM,7:13:00 AM,7:25:00 AM,7:37:00 AM,7:49:00 AM,8:00:00 AM,8:13:00 AM,8:27:00 AM,8:40:00 AM,8:52:00 AM,9:04:00 AM,9:14:00 AM,9:27:00 AM,9:39:00 AM,9:54:00 AM,10:09:00 AM,10:25:00 AM,10:40:00 AM,10:56:00 AM,11:12:00 AM,11:28:00 AM,11:44:00 AM,12:00:00 PM,12:16:00 PM,12:32:00 PM,12:48:00 PM,1:04:00 PM,1:20:00 PM,1:36:00 PM,1:46:00 PM,1:58:00 PM,2:10:00 PM,2:21:00 PM,2:32:00 PM,2:44:00 PM,2:57:00 PM,2:57 PM[G],2:59:00 PM,2:59 PM[G],3:08:00 PM,3:19:00 PM,3:32:00 PM,3:44:00 PM,3:58:00 PM,4:10:00 PM,4:22:00 PM,4:34:00 PM,4:46:00 PM,4:58:00 PM,5:11:00 PM,5:22:00 PM,5:35:00 PM,5:46:00 PM,5:57:00 PM,6:10:00 PM,6:22:00 PM,6:34:00 PM,6:48:00 PM,7:02:00 PM,7:14:00 PM,7:32:00 PM,7:44:00 PM,7:56:00 PM,8:10:00 PM,8:21:00 PM,8:33:00 PM,8:45:00 PM,8:57:00 PM,9:09:00 PM,9:21:00 PM,9:33:00 PM,9:45:00 PM,9:57:00 PM,10:09:00 PM,10:20:00 PM,10:33:00 PM,10:45:00 PM,10:54:00 PM,11:12:00 PM,11:30:00 PM,11:44:00 PM,11:58:00 PM,12:11:00 AM,12:30:00 AM,12:49:00 AM,1:08 AM[g],1:31 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRILLIUM HOSPITAL BUS TERMINAL,4:38 AM[k],4:51 AM[d],5:08 AM[k],5:22 AM[d],5:39 AM[k],5:55 AM[d],6:10 AM[k],6:21 AM[d],6:33 AM[k],6:44 AM[d],6:55 AM[k],7:07 AM[d],7:19 AM[k],7:31 AM[d],7:43 AM[k],7:54 AM[d],8:08 AM[k],8:21 AM[d],8:34 AM[k],8:46 AM[d],8:59 AM[k],9:10 AM[d],9:22 AM[k],9:34 AM[d],9:45 AM[k],10:01 AM[d],10:18 AM[k],10:32 AM[d],10:48 AM[k],11:02 AM[d],11:20 AM[k],11:36 AM[d],11:52 AM[k],12:08 PM[d],12:24 PM[k],12:40 PM[d],12:56 PM[k],1:12 PM[d],1:28 PM[k],1:43 PM[n],1:54 PM[k],2:04 PM[n],2:17 PM[k],2:27 PM[n],2:38 PM[k],2:51 PM[n],3:04 PM[k],3:14 PM[n],3:26 PM[k],3:38 PM[n],3:50 PM[k],4:04 PM[n],4:15 PM[k],4:28 PM[n],4:40 PM[k],4:50 PM[n],5:04 PM[k],5:15 PM[n],5:27 PM[k],5:39 PM[n],5:51 PM[k],6:02 PM[n],6:15 PM[k],6:28 PM[n],6:41 PM[k],6:55 PM[n],7:11 PM[k],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at DUNDAS ST E,4:34:00 AM,4:43 AM[k],4:49:00 AM,4:56 AM[d],5:03:00 AM,5:13 AM[k],5:20:00 AM,5:27 AM[d],5:35:00 AM,5:44 AM[k],5:52:00 AM,6:00 AM[d],6:10:00 AM,6:15 AM[k],6:21:00 AM,6:27 AM[d],6:33:00 AM,6:39 AM[k],6:44:00 AM,6:50 AM[d],6:55:00 AM,7:01 AM[k],7:07:00 AM,7:13 AM[d],7:19:00 AM,7:25 AM[k],7:31:00 AM,7:37 AM[d],7:43:00 AM,7:49 AM[k],7:55:00 AM,8:00 AM[d],8:06:00 AM,8:14 AM[k],8:19:00 AM,8:27 AM[d],8:33:00 AM,8:40 AM[k],8:46:00 AM,8:52 AM[d],8:58:00 AM,9:05 AM[k],9:10:00 AM,9:16 AM[d],9:20:00 AM,9:28 AM[k],9:33:00 AM,9:40 AM[d],9:45:00 AM,9:51 AM[k],10:00:00 AM,10:07 AM[d],10:15:00 AM,10:24 AM[k],10:31:00 AM,10:38 AM[d],10:46:00 AM,10:54 AM[k],11:02:00 AM,11:08 AM[d],11:18:00 AM,11:26 AM[k],11:34:00 AM,11:42 AM[d],11:50:00 AM,11:58 AM[k],12:06:00 PM,12:14 PM[d],12:22:00 PM,12:30 PM[k],12:38:00 PM,12:46 PM[d],12:54:00 PM,1:02 PM[k],1:10:00 PM,1:18 PM[d],1:26:00 PM,1:34 PM[k],1:42:00 PM,1:49 PM[n],1:52:00 PM,2:00 PM[k],2:04:00 PM,2:10 PM[n],2:16:00 PM,2:23 PM[k],2:27:00 PM,2:33 PM[n],2:38:00 PM,2:44 PM[k],2:50:00 PM,2:57 PM[n],3:03:00 PM,3:03 PM[G],3:05:00 PM,3:05 PM[G],3:10 PM[k],3:14:00 PM,3:20 PM[n],3:25:00 PM,3:32 PM[k],3:38:00 PM,3:44 PM[n],3:50:00 PM,3:56 PM[k],4:04:00 PM,4:10 PM[n],4:16:00 PM,4:21 PM[k],4:28:00 PM,4:34 PM[n],4:40:00 PM,4:46 PM[k],4:52:00 PM,4:56 PM[n],5:04:00 PM,5:10 PM[k],5:17:00 PM,5:21 PM[n],5:28:00 PM,5:33 PM[k],5:41:00 PM,5:45 PM[n],5:52:00 PM,5:57 PM[k],6:03:00 PM,6:08 PM[n],6:16:00 PM,6:21 PM[k],6:28:00 PM,6:34 PM[n],6:40:00 PM,6:47 PM[k],6:54:00 PM,7:01 PM[n],7:08:00 PM,7:17 PM[k],7:20:00 PM,7:38:00 PM,7:50:00 PM,8:02:00 PM,8:16:00 PM,8:26:00 PM,8:38:00 PM,8:50:00 PM,9:02:00 PM,9:14:00 PM,9:26:00 PM,9:38:00 PM,9:50:00 PM,10:02:00 PM,10:14:00 PM,10:25:00 PM,10:38:00 PM,10:50:00 PM,10:59:00 PM,11:17:00 PM,11:34:00 PM,11:48:00 PM,12:02:00 AM,12:15:00 AM,12:34:00 AM,12:53:00 AM,1:12 AM[g],1:35 AM[g]
HURONTARIO ST at BURNHAMTHORPE RD E,4:40:00 AM,4:49 AM[k],4:55:00 AM,5:02 AM[d],5:09:00 AM,5:19 AM[k],5:26:00 AM,5:33 AM[d],5:41:00 AM,5:50 AM[k],5:58:00 AM,6:06 AM[d],6:16:00 AM,6:22 AM[k],6:28:00 AM,6:34 AM[d],6:40:00 AM,6:46 AM[k],6:51:00 AM,6:57 AM[d],7:02:00 AM,7:08 AM[k],7:15:00 AM,7:20 AM[d],7:27:00 AM,7:32 AM[k],7:39:00 AM,7:44 AM[d],7:51:00 AM,7:57 AM[k],8:03:00 AM,8:08 AM[d],8:14:00 AM,8:22 AM[k],8:27:00 AM,8:35 AM[d],8:41:00 AM,8:48 AM[k],8:54:00 AM,9:00 AM[d],9:05:00 AM,9:12 AM[k],9:17:00 AM,9:23 AM[d],9:27:00 AM,9:35 AM[k],9:40:00 AM,9:47 AM[d],9:52:00 AM,9:58 AM[k],10:07:00 AM,10:14 AM[d],10:22:00 AM,10:31 AM[k],10:38:00 AM,10:45 AM[d],10:53:00 AM,11:01 AM[k],11:09:00 AM,11:15 AM[d],11:25:00 AM,11:33 AM[k],11:41:00 AM,11:50 AM[d],11:58:00 AM,12:06 PM[k],12:14:00 PM,12:22 PM[d],12:30:00 PM,12:38 PM[k],12:46:00 PM,12:54 PM[d],1:02:00 PM,1:10 PM[k],1:18:00 PM,1:26 PM[d],1:34:00 PM,1:42 PM[k],1:50:00 PM,1:57 PM[n],2:00:00 PM,2:08 PM[k],2:12:00 PM,2:18 PM[n],2:24:00 PM,2:31 PM[k],2:35:00 PM,2:41 PM[n],2:46:00 PM,2:52 PM[k],2:58:00 PM,3:05 PM[n],3:11:00 PM,3:11 PM[G],3:13:00 PM,3:13 PM[G],3:18 PM[k],3:22:00 PM,3:28 PM[n],3:33:00 PM,3:40 PM[k],3:46:00 PM,3:52 PM[n],3:58:00 PM,4:04 PM[k],4:12:00 PM,4:18 PM[n],4:24:00 PM,4:29 PM[k],4:36:00 PM,4:42 PM[n],4:48:00 PM,4:54 PM[k],5:00:00 PM,5:04 PM[n],5:12:00 PM,5:18 PM[k],5:25:00 PM,5:30 PM[n],5:36:00 PM,5:42 PM[k],5:49:00 PM,5:54 PM[n],6:00:00 PM,6:06 PM[k],6:11:00 PM,6:17 PM[n],6:24:00 PM,6:30 PM[k],6:36:00 PM,6:42 PM[n],6:48:00 PM,6:55 PM[k],7:02:00 PM,7:09 PM[n],7:16:00 PM,7:25 PM[k],7:28:00 PM,7:46:00 PM,7:58:00 PM,8:10:00 PM,8:23:00 PM,8:33:00 PM,8:45:00 PM,8:57:00 PM,9:09:00 PM,9:21:00 PM,9:33:00 PM,9:45:00 PM,9:56:00 PM,10:08:00 PM,10:20:00 PM,10:31:00 PM,10:44:00 PM,10:56:00 PM,11:05:00 PM,11:22:00 PM,11:39:00 PM,11:53:00 PM,12:07:00 AM,12:20:00 AM,12:39:00 AM,12:58:00 AM,1:17 AM[g],1:40 AM[g]
CITY CENTRE BUS TERMINAL PLATFORM F,4:45:00 AM,4:54 AM[k],5:00:00 AM,5:07 AM[d],5:14:00 AM,5:24 AM[k],5:31:00 AM,5:38 AM[d],5:47:00 AM,5:56 AM[k],6:05:00 AM,6:13 AM[d],6:23:00 AM,6:29 AM[k],6:35:00 AM,6:41 AM[d],6:47:00 AM,6:53 AM[k],6:58:00 AM,7:04 AM[d],7:09:00 AM,7:15 AM[k],7:22:00 AM,7:27 AM[d],7:34:00 AM,7:39 AM[k],7:46:00 AM,7:51 AM[d],7:58:00 AM,8:04 AM[k],8:10:00 AM,8:15 AM[d],8:21:00 AM,8:29 AM[k],8:34:00 AM,8:42 AM[d],8:48:00 AM,8:55 AM[k],9:01:00 AM,9:08 AM[d],9:13:00 AM,9:20 AM[k],9:25:00 AM,9:31 AM[d],9:35:00 AM,9:43 AM[k],9:48:00 AM,9:55 AM[d],10:00:00 AM,10:06 AM[k],10:15:00 AM,10:22 AM[d],10:30:00 AM,10:39 AM[k],10:46:00 AM,10:53 AM[d],11:01:00 AM,11:09 AM[k],11:17:00 AM,11:23 AM[d],11:33:00 AM,11:41 AM[k],11:49:00 AM,11:58 AM[d],12:06:00 PM,12:14 PM[k],12:23:00 PM,12:31 PM[d],12:39:00 PM,12:47 PM[k],12:55:00 PM,1:03 PM[d],1:11:00 PM,1:19 PM[k],1:27:00 PM,1:35 PM[d],1:43:00 PM,1:51 PM[k],1:59:00 PM,2:06 PM[n],2:09:00 PM,2:17 PM[k],2:21:00 PM,2:27 PM[n],2:33:00 PM,2:40 PM[k],2:44:00 PM,2:50 PM[n],2:55:00 PM,3:01 PM[k],3:07:00 PM,3:14 PM[n],3:20:00 PM,3:22:00 PM,3:27 PM[k],3:31:00 PM,3:37 PM[n],3:42:00 PM,3:49 PM[k],3:55:00 PM,4:01 PM[n],4:07:00 PM,4:13 PM[k],4:21:00 PM,4:27 PM[n],4:33:00 PM,4:38 PM[k],4:45:00 PM,4:51 PM[n],4:57:00 PM,5:03 PM[k],5:09:00 PM,5:13 PM[n],5:21:00 PM,5:27 PM[k],5:34:00 PM,5:39 PM[n],5:45:00 PM,5:50 PM[k],5:58:00 PM,6:02 PM[n],6:09:00 PM,6:14 PM[k],6:20:00 PM,6:25 PM[n],6:33:00 PM,6:38 PM[k],6:44:00 PM,6:50 PM[n],6:56:00 PM,7:03 PM[k],7:10:00 PM,7:17 PM[n],7:24:00 PM,7:33 PM[k],7:36:00 PM,7:54:00 PM,8:06:00 PM,8:18:00 PM,8:31:00 PM,8:41:00 PM,8:53:00 PM,9:05:00 PM,9:17:00 PM,9:28:00 PM,9:40:00 PM,9:52:00 PM,10:03:00 PM,10:15:00 PM,10:27:00 PM,10:38:00 PM,10:51:00 PM,11:03:00 PM,11:12:00 PM,11:28:00 PM,11:45:00 PM,11:59:00 PM,12:12:00 AM,12:25:00 AM,12:44:00 AM,1:03:00 AM,1:22 AM[g],1:45 AM[g],,
HURONTARIO ST at EGLINTON AVE E,4:50:00 AM,4:59 AM[k],5:05:00 AM,5:12 AM[d],5:19:00 AM,5:29 AM[k],5:36:00 AM,5:43 AM[d],5:53:00 AM,6:02 AM[k],6:12:00 AM,6:21 AM[d],6:31:00 AM,6:37 AM[k],6:43:00 AM,6:49 AM[d],6:55:00 AM,7:01 AM[k],7:08:00 AM,7:12 AM[d],7:19:00 AM,7:23 AM[k],7:32:00 AM,7:36 AM[d],7:44:00 AM,7:49 AM[k],7:56:00 AM,8:01 AM[d],8:08:00 AM,8:14 AM[k],8:20:00 AM,8:25 AM[d],8:31:00 AM,8:38 AM[k],8:44:00 AM,8:52 AM[d],8:58:00 AM,9:04 AM[k],9:09:00 AM,9:16 AM[d],9:21:00 AM,9:28 AM[k],9:33:00 AM,9:39 AM[d],9:43:00 AM,9:51 AM[k],9:56:00 AM,10:03 AM[d],10:08:00 AM,10:14 AM[k],10:23:00 AM,10:30 AM[d],10:38:00 AM,10:47 AM[k],10:54:00 AM,11:01 AM[d],11:09:00 AM,11:17 AM[k],11:26:00 AM,11:32 AM[d],11:42:00 AM,11:50 AM[k],11:58:00 AM,12:07 PM[d],12:15:00 PM,12:23 PM[k],12:32:00 PM,12:40 PM[d],12:48:00 PM,12:56 PM[k],1:04:00 PM,1:12 PM[d],1:20:00 PM,1:28 PM[k],1:36:00 PM,1:44 PM[d],1:52:00 PM,2:00 PM[k],2:08:00 PM,2:15 PM[n],2:18:00 PM,2:26 PM[k],2:30:00 PM,2:36 PM[n],2:42:00 PM,2:49 PM[k],2:53:00 PM,2:59 PM[n],3:04:00 PM,3:10 PM[k],3:16:00 PM,3:23 PM[n],3:29:00 PM,3:31:00 PM,3:36 PM[k],3:40:00 PM,3:46 PM[n],3:51:00 PM,3:58 PM[k],4:04:00 PM,4:10 PM[n],4:17:00 PM,4:22 PM[k],4:31:00 PM,4:37 PM[n],4:43:00 PM,4:48 PM[k],4:55:00 PM,5:01 PM[n],5:07:00 PM,5:13 PM[k],5:19:00 PM,5:23 PM[n],5:31:00 PM,5:37 PM[k],5:44:00 PM,5:49 PM[n],5:55:00 PM,6:00 PM[k],6:07:00 PM,6:11 PM[n],6:18:00 PM,6:23 PM[k],6:29:00 PM,6:34 PM[n],6:42:00 PM,6:47 PM[k],6:53:00 PM,6:59 PM[n],7:05:00 PM,7:12 PM[k],7:19:00 PM,7:26 PM[n],7:33:00 PM,7:42 PM[k],7:45:00 PM,8:03:00 PM,8:15:00 PM,8:27:00 PM,8:39:00 PM,8:49:00 PM,9:00:00 PM,9:12:00 PM,9:24:00 PM,9:35:00 PM,9:47:00 PM,9:59:00 PM,10:10:00 PM,10:22:00 PM,10:34:00 PM,10:45:00 PM,10:58:00 PM,11:10:00 PM,11:18:00 PM,11:34:00 PM,11:51:00 PM,12:05:00 AM,12:18:00 AM,12:31:00 AM,12:50:00 AM,1:09:00 AM,,,,
HURONTARIO ST at MATHESON BLVD E,4:54:00 AM,5:03 AM[k],5:09:00 AM,5:16 AM[d],5:23:00 AM,5:33 AM[k],5:40:00 AM,5:47 AM[d],5:57:00 AM,6:06 AM[k],6:16:00 AM,6:25 AM[d],6:35:00 AM,6:41 AM[k],6:48:00 AM,6:54 AM[d],7:00:00 AM,7:06 AM[k],7:13:00 AM,7:17 AM[d],7:24:00 AM,7:28 AM[k],7:37:00 AM,7:41 AM[d],7:49:00 AM,7:54 AM[k],8:01:00 AM,8:06 AM[d],8:13:00 AM,8:19 AM[k],8:25:00 AM,8:30 AM[d],8:36:00 AM,8:43 AM[k],8:49:00 AM,8:57 AM[d],9:02:00 AM,9:08 AM[k],9:13:00 AM,9:20 AM[d],9:25:00 AM,9:32 AM[k],9:37:00 AM,9:43 AM[d],9:47:00 AM,9:55 AM[k],10:00:00 AM,10:07 AM[d],10:12:00 AM,10:18 AM[k],10:27:00 AM,10:35 AM[d],10:43:00 AM,10:52 AM[k],10:59:00 AM,11:06 AM[d],11:14:00 AM,11:22 AM[k],11:31:00 AM,11:37 AM[d],11:47:00 AM,11:55 AM[k],12:03:00 PM,12:12 PM[d],12:20:00 PM,12:28 PM[k],12:37:00 PM,12:45 PM[d],12:53:00 PM,1:01 PM[k],1:09:00 PM,1:17 PM[d],1:25:00 PM,1:33 PM[k],1:41:00 PM,1:49 PM[d],1:57:00 PM,2:05 PM[k],2:13:00 PM,2:20 PM[n],2:23:00 PM,2:31 PM[k],2:35:00 PM,2:41 PM[n],2:47:00 PM,2:54 PM[k],2:58:00 PM,3:04 PM[n],3:09:00 PM,3:15 PM[k],3:21:00 PM,3:28 PM[n],3:34:00 PM,3:36:00 PM,3:41 PM[k],3:45:00 PM,3:51 PM[n],3:56:00 PM,4:03 PM[k],4:09:00 PM,4:15 PM[n],4:22:00 PM,4:27 PM[k],4:36:00 PM,4:42 PM[n],4:48:00 PM,4:53 PM[k],5:00:00 PM,5:06 PM[n],5:12:00 PM,5:18 PM[k],5:24:00 PM,5:28 PM[n],5:36:00 PM,5:42 PM[k],5:49:00 PM,5:54 PM[n],6:00:00 PM,6:05 PM[k],6:12:00 PM,6:16 PM[n],6:23:00 PM,6:28 PM[k],6:34:00 PM,6:39 PM[n],6:47:00 PM,6:52 PM[k],6:58:00 PM,7:04 PM[n],7:10:00 PM,7:17 PM[k],7:24:00 PM,7:31 PM[n],7:38:00 PM,7:47 PM[k],7:50:00 PM,8:08:00 PM,8:20:00 PM,8:32:00 PM,8:43:00 PM,8:53:00 PM,9:04:00 PM,9:16:00 PM,9:28:00 PM,9:39:00 PM,9:51:00 PM,10:03:00 PM,10:14:00 PM,10:26:00 PM,10:38:00 PM,10:49:00 PM,11:02:00 PM,11:14:00 PM,11:22:00 PM,11:38:00 PM,11:55:00 PM,12:09:00 AM,12:22:00 AM,12:35:00 AM,12:54:00 AM,1:13:00 AM,,,,
HURONTARIO ST at BRITANNIA RD E,4:56:00 AM,5:11:00 AM,5:19 AM[d],5:26:00 AM,5:43:00 AM,5:50 AM[d],6:00:00 AM,6:20:00 AM,6:29 AM[d],6:39:00 AM,6:52:00 AM,6:58 AM[d],7:04:00 AM,7:17:00 AM,7:21 AM[d],7:28:00 AM,7:41:00 AM,7:45 AM[d],7:53:00 AM,8:05:00 AM,8:10 AM[d],8:17:00 AM,8:29:00 AM,8:34 AM[d],8:40:00 AM,8:53:00 AM,9:01 AM[d],9:05:00 AM,9:16:00 AM,9:23 AM[d],9:28:00 AM,9:40:00 AM,9:46 AM[d],9:50:00 AM,10:03:00 AM,10:10 AM[d],10:15:00 AM,10:30:00 AM,10:38 AM[d],10:46:00 AM,11:02:00 AM,11:09 AM[d],11:17:00 AM,11:34:00 AM,11:40 AM[d],11:50:00 AM,12:06:00 PM,12:15 PM[d],12:23:00 PM,12:40:00 PM,12:48 PM[d],12:56:00 PM,1:12:00 PM,1:20 PM[d],1:28:00 PM,1:44:00 PM,1:52 PM[d],2:00:00 PM,2:16:00 PM,2:26:00 PM,2:38:00 PM,2:50:00 PM,3:01:00 PM,3:13:00 PM,3:25:00 PM,3:38:00 PM,3:40:00 PM,3:50:00 PM,4:01:00 PM,4:15:00 PM,4:28:00 PM,4:42:00 PM,4:54:00 PM,5:06:00 PM,5:18:00 PM,5:30:00 PM,5:42:00 PM,5:55:00 PM,6:05:00 PM,6:17:00 PM,6:28:00 PM,6:38:00 PM,6:51:00 PM,7:02:00 PM,7:14:00 PM,7:27:00 PM,7:41:00 PM,7:53:00 PM,8:11:00 PM,8:23:00 PM,8:35:00 PM,8:46:00 PM,8:56:00 PM,9:07:00 PM,9:19:00 PM,9:31:00 PM,9:42:00 PM,9:54:00 PM,10:06:00 PM,10:17:00 PM,10:29:00 PM,10:41:00 PM,10:51:00 PM,11:04:00 PM,11:16:00 PM,11:24:00 PM,11:40:00 PM,11:57:00 PM,12:11:00 AM,12:24:00 AM,12:37:00 AM,12:56:00 AM,1:15:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
