HURONTARIO & 407 PARK and RIDE PLATFORM A,4:32:00 AM,4:51:00 AM,5:07:00 AM,5:22:00 AM,5:37:00 AM,5:51:00 AM,6:02:00 AM,6:15:00 AM,6:24:00 AM,6:34:00 AM,6:45:00 AM,6:55:00 AM,7:06:00 AM,7:18:00 AM,7:31:00 AM,7:43:00 AM,7:55:00 AM,8:07:00 AM,8:19:00 AM,8:31:00 AM,8:43:00 AM,8:55:00 AM,9:08:00 AM,9:20:00 AM,9:32:00 AM,9:46:00 AM,10:03:00 AM,10:17:00 AM,10:33:00 AM,10:49:00 AM,11:05:00 AM,11:21:00 AM,11:37:00 AM,11:53:00 AM,12:09:00 PM,12:25:00 PM,12:42:00 PM,12:58:00 PM,1:14:00 PM,1:30:00 PM,1:46:00 PM,2:02:00 PM,2:18:00 PM,2:30:00 PM,2:41:00 PM,2:53:00 PM,3:04:00 PM,3:15:00 PM,3:27:00 PM,3:39:00 PM,3:52:00 PM,4:03:00 PM,4:16:00 PM,4:25:00 PM,4:37:00 PM,4:51:00 PM,5:03:00 PM,5:15:00 PM,5:27:00 PM,5:38:00 PM,5:48:00 PM,6:01:00 PM,6:12:00 PM,6:23:00 PM,6:35:00 PM,6:45:00 PM,7:05:00 PM,7:16:00 PM,7:29:00 PM,7:40:00 PM,7:53:00 PM,8:05:00 PM,8:16:00 PM,8:28:00 PM,8:40:00 PM,8:57:00 PM,9:08:00 PM,9:20:00 PM,9:32:00 PM,9:44:00 PM,9:56:00 PM,10:08:00 PM,10:20:00 PM,10:32:00 PM,10:44:00 PM,10:53:00 PM,11:04:00 PM,11:17:00 PM,11:36:00 PM,11:55:00 PM,12:11:00 AM,12:25:00 AM,12:37:00 AM,12:52:00 AM,1:10 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at DERRY RD W,4:35:00 AM,4:54:00 AM,5:10:00 AM,5:25:00 AM,5:40:00 AM,5:54:00 AM,6:05:00 AM,6:18:00 AM,6:27:00 AM,6:37:00 AM,6:48:00 AM,6:58:00 AM,7:09:00 AM,7:21:00 AM,7:34:00 AM,7:46:00 AM,7:58:00 AM,8:10:00 AM,8:22:00 AM,8:34:00 AM,8:46:00 AM,8:58:00 AM,9:11:00 AM,9:23:00 AM,9:35:00 AM,9:49:00 AM,10:06:00 AM,10:20:00 AM,10:36:00 AM,10:52:00 AM,11:08:00 AM,11:24:00 AM,11:40:00 AM,11:56:00 AM,12:12:00 PM,12:28:00 PM,12:45:00 PM,1:01:00 PM,1:17:00 PM,1:33:00 PM,1:49:00 PM,2:05:00 PM,2:21:00 PM,2:33:00 PM,2:44:00 PM,2:56:00 PM,3:07:00 PM,3:18:00 PM,3:30:00 PM,3:42:00 PM,3:55:00 PM,4:06:00 PM,4:19:00 PM,4:28:00 PM,4:40:00 PM,4:54:00 PM,5:06:00 PM,5:18:00 PM,5:30:00 PM,5:41:00 PM,5:51:00 PM,6:04:00 PM,6:15:00 PM,6:26:00 PM,6:38:00 PM,6:48:00 PM,7:08:00 PM,7:19:00 PM,7:32:00 PM,7:43:00 PM,7:56:00 PM,8:08:00 PM,8:19:00 PM,8:31:00 PM,8:43:00 PM,9:00:00 PM,9:11:00 PM,9:23:00 PM,9:35:00 PM,9:47:00 PM,9:59:00 PM,10:11:00 PM,10:23:00 PM,10:35:00 PM,10:47:00 PM,10:56:00 PM,11:07:00 PM,11:20:00 PM,11:39:00 PM,11:58:00 PM,12:14:00 AM,12:28:00 AM,12:40:00 AM,12:55:00 AM,1:13 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST south of DERRY RD W,4:35:00 AM,4:54:00 AM,5:10:00 AM,5:25:00 AM,5:40:00 AM,5:54:00 AM,6:05:00 AM,6:18:00 AM,6:27:00 AM,6:37:00 AM,6:48:00 AM,6:59:00 AM,7:10:00 AM,7:22:00 AM,7:35:00 AM,7:47:00 AM,7:59:00 AM,8:11:00 AM,8:23:00 AM,8:35:00 AM,8:47:00 AM,8:58:00 AM,9:11:00 AM,9:23:00 AM,9:35:00 AM,9:49:00 AM,10:06:00 AM,10:20:00 AM,10:36:00 AM,10:52:00 AM,11:08:00 AM,11:24:00 AM,11:40:00 AM,11:56:00 AM,12:12:00 PM,12:28:00 PM,12:45:00 PM,1:01:00 PM,1:17:00 PM,1:33:00 PM,1:49:00 PM,2:05:00 PM,2:21:00 PM,2:33:00 PM,2:44:00 PM,2:56:00 PM,3:07:00 PM,3:18:00 PM,3:30:00 PM,3:42:00 PM,3:55:00 PM,4:06:00 PM,4:19:00 PM,4:28:00 PM,4:40:00 PM,4:54:00 PM,5:06:00 PM,5:18:00 PM,5:30:00 PM,5:41:00 PM,5:51:00 PM,6:04:00 PM,6:15:00 PM,6:26:00 PM,6:38:00 PM,6:48:00 PM,7:08:00 PM,7:19:00 PM,7:32:00 PM,7:43:00 PM,7:56:00 PM,8:08:00 PM,8:19:00 PM,8:31:00 PM,8:43:00 PM,9:00:00 PM,9:11:00 PM,9:23:00 PM,9:35:00 PM,9:47:00 PM,9:59:00 PM,10:11:00 PM,10:23:00 PM,10:35:00 PM,10:47:00 PM,10:56:00 PM,11:07:00 PM,11:20:00 PM,11:39:00 PM,11:58:00 PM,12:14:00 AM,12:28:00 AM,12:40:00 AM,12:55:00 AM,1:13 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at COURTNEYPARK DR W,4:38:00 AM,4:57:00 AM,5:13:00 AM,5:29:00 AM,5:44:00 AM,5:58:00 AM,6:09:00 AM,6:22:00 AM,6:31:00 AM,6:41:00 AM,6:52:00 AM,7:03:00 AM,7:14:00 AM,7:26:00 AM,7:39:00 AM,7:51:00 AM,8:03:00 AM,8:15:00 AM,8:27:00 AM,8:39:00 AM,8:51:00 AM,9:02:00 AM,9:14:00 AM,9:26:00 AM,9:38:00 AM,9:52:00 AM,10:09:00 AM,10:23:00 AM,10:39:00 AM,10:55:00 AM,11:11:00 AM,11:27:00 AM,11:43:00 AM,11:59:00 AM,12:15:00 PM,12:31:00 PM,12:48:00 PM,1:04:00 PM,1:20:00 PM,1:36:00 PM,1:52:00 PM,2:08:00 PM,2:24:00 PM,2:36:00 PM,2:48:00 PM,3:00:00 PM,3:11:00 PM,3:22:00 PM,3:34:00 PM,3:46:00 PM,3:59:00 PM,4:10:00 PM,4:23:00 PM,4:32:00 PM,4:44:00 PM,4:58:00 PM,5:10:00 PM,5:22:00 PM,5:34:00 PM,5:45:00 PM,5:55:00 PM,6:08:00 PM,6:19:00 PM,6:30:00 PM,6:42:00 PM,6:52:00 PM,7:11:00 PM,7:22:00 PM,7:35:00 PM,7:46:00 PM,7:59:00 PM,8:11:00 PM,8:22:00 PM,8:34:00 PM,8:46:00 PM,9:03:00 PM,9:14:00 PM,9:26:00 PM,9:38:00 PM,9:50:00 PM,10:02:00 PM,10:14:00 PM,10:26:00 PM,10:38:00 PM,10:50:00 PM,10:59:00 PM,11:10:00 PM,11:23:00 PM,11:42:00 PM,12:01:00 AM,12:17:00 AM,12:31:00 AM,12:43:00 AM,12:58:00 AM,1:16 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST south of BRITANNIA RD,4:42:00 AM,4:51 AM[d],5:01:00 AM,5:08 AM[d],5:17:00 AM,5:22 AM[d],5:33:00 AM,5:36 AM[d],5:48:00 AM,5:55 AM[d],6:02:00 AM,6:07 AM[d],6:14:00 AM,6:22 AM[d],6:27:00 AM,6:32 AM[d],6:36:00 AM,6:41 AM[d],6:46:00 AM,6:56 AM[d],6:57:00 AM,7:05 AM[d],7:09:00 AM,7:15:00 AM,7:20:00 AM,7:24 AM[d],7:32:00 AM,7:37 AM[d],7:45:00 AM,7:49 AM[d],7:57:00 AM,8:01 AM[d],8:09:00 AM,8:14 AM[d],8:21:00 AM,8:27 AM[d],8:33:00 AM,8:38 AM[d],8:45:00 AM,8:51 AM[d],8:57:00 AM,9:03 AM[d],9:09:00 AM,9:15 AM[d],9:21:00 AM,9:26 AM[d],9:32:00 AM,9:37 AM[d],9:43:00 AM,9:49 AM[d],9:57:00 AM,10:05 AM[d],10:14:00 AM,10:21 AM[d],10:28:00 AM,10:36 AM[d],10:44:00 AM,10:52 AM[d],11:00:00 AM,11:08 AM[d],11:16:00 AM,11:24 AM[d],11:32:00 AM,11:40 AM[d],11:48:00 AM,11:56 AM[d],12:04:00 PM,12:12 PM[d],12:20:00 PM,12:28 PM[d],12:36:00 PM,12:44 PM[d],12:53:00 PM,1:01 PM[d],1:09:00 PM,1:17 PM[d],1:25:00 PM,1:33 PM[d],1:41:00 PM,1:49 PM[d],1:57:00 PM,2:05 PM[d],2:13:00 PM,2:21 PM[d],2:29:00 PM,2:41:00 PM,2:48 PM[d],2:54:00 PM,3:06:00 PM,3:12 PM[d],3:17:00 PM,3:29:00 PM,3:35 PM[d],3:41:00 PM,3:53:00 PM,3:59 PM[d],4:06:00 PM,4:17:00 PM,4:23 PM[d],4:30:00 PM,4:39:00 PM,4:46 PM[d],4:51:00 PM,5:05:00 PM,5:11 PM[d],5:17:00 PM,5:29:00 PM,5:35 PM[d],5:41:00 PM,5:52:00 PM,5:57 PM[d],6:02:00 PM,6:14:00 PM,6:20 PM[d],6:24:00 PM,6:35:00 PM,6:41 PM[d],6:47:00 PM,6:57:00 PM,7:06 PM[d],7:16:00 PM,7:27:00 PM,7:32 PM[d],7:40:00 PM,7:51:00 PM,8:04:00 PM,8:16:00 PM,8:27:00 PM,8:39:00 PM,8:51:00 PM,9:07:00 PM,9:18:00 PM,9:30:00 PM,9:42:00 PM,9:54:00 PM,10:06:00 PM,10:18:00 PM,10:30:00 PM,10:42:00 PM,10:54:00 PM,11:03:00 PM,11:14:00 PM,11:27:00 PM,11:46:00 PM,12:05:00 AM,12:21:00 AM,12:35:00 AM,12:47:00 AM,1:02:00 AM,1:20 AM[g],,,,,,,,,,,,,,,,,
SANDSTONE DR west of HURONTARIO ST,2:26 PM[n],2:50 PM[n],3:13 PM[n],3:37 PM[n],4:01 PM[n],4:24 PM[n],4:48 PM[n],5:13 PM[n],5:37 PM[n],6:00 PM[n],6:21 PM[n],6:44 PM[n],7:09 PM[n],7:37 PM[n],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDSTONE DR at AVEBURY RD,2:26 PM[n],2:50 PM[n],3:13 PM[n],3:37 PM[n],4:01 PM[n],4:24 PM[n],4:48 PM[n],5:13 PM[n],5:37 PM[n],6:00 PM[n],6:21 PM[n],6:44 PM[n],7:09 PM[n],7:37 PM[n],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA RD W west of HURONTARIO ST,2:28 PM[n],2:52 PM[n],3:15 PM[n],3:39 PM[n],4:03 PM[n],4:26 PM[n],4:50 PM[n],5:15 PM[n],5:39 PM[n],6:02 PM[n],6:23 PM[n],6:46 PM[n],7:11 PM[n],7:39 PM[n],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA RD E east of HURONTARIO ST,2:28 PM[n],2:52 PM[n],3:16 PM[n],3:40 PM[n],4:04 PM[n],4:27 PM[n],4:51 PM[n],5:16 PM[n],5:40 PM[n],6:02 PM[n],6:23 PM[n],6:46 PM[n],7:11 PM[n],7:39 PM[n],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA RD E at KENNEDY RD,2:31 PM[n],2:55 PM[n],3:19 PM[n],3:43 PM[n],4:07 PM[n],4:30 PM[n],4:54 PM[n],5:19 PM[n],5:43 PM[n],6:05 PM[n],6:26 PM[n],6:49 PM[n],7:14 PM[n],7:42 PM[n],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
