LAIRD RD west of RIDGEWAY DR,4:19:00 AM,4:30:00 AM,4:39:00 AM,4:52:00 AM,5:10:00 AM,5:24:00 AM,5:40:00 AM,6:00:00 AM,6:20:00 AM,6:39:00 AM,6:59:00 AM,7:21:00 AM,7:46:00 AM,8:08:00 AM,8:29:00 AM,8:49:00 AM,9:09:00 AM,9:29:00 AM,9:59:00 AM,10:26:00 AM,10:56:00 AM,11:25:00 AM,11:54:00 AM,12:23:00 PM,12:51:00 PM,1:20:00 PM,1:49:00 PM,2:14:00 PM,2:30:00 PM,2:49:00 PM,3:12:00 PM,3:29:00 PM,3:48:00 PM,4:08:00 PM,4:29:00 PM,4:50:00 PM,5:10:00 PM,5:30:00 PM,5:50:00 PM,6:10:00 PM,6:30:00 PM,6:52:00 PM,7:23:00 PM,7:44:00 PM,8:14:00 PM,8:42:00 PM,9:10:00 PM,9:38:00 PM,10:06:00 PM,10:34:00 PM,11:02:00 PM,11:30:00 PM,11:58:00 PM,12:22 AM[e],12:39:00 AM,12:50 AM[e],1:07:00 AM,1:18 AM[e],1:35:00 AM,1:46 AM[e],2:06 AM[e],2:28 AM[e],2:56 AM[e],3:24 AM[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W at WINSTON CHURCHILL BLVD,4:22:00 AM,4:33:00 AM,4:42:00 AM,4:55:00 AM,5:13:00 AM,5:27:00 AM,5:43:00 AM,6:04:00 AM,6:24:00 AM,6:43:00 AM,7:03:00 AM,7:25:00 AM,7:50:00 AM,8:12:00 AM,8:33:00 AM,8:53:00 AM,9:12:00 AM,9:32:00 AM,10:02:00 AM,10:29:00 AM,10:59:00 AM,11:28:00 AM,11:57:00 AM,12:26:00 PM,12:54:00 PM,1:23:00 PM,1:52:00 PM,2:17:00 PM,2:34:00 PM,2:53:00 PM,3:16:00 PM,3:33:00 PM,3:52:00 PM,4:12:00 PM,4:33:00 PM,4:54:00 PM,5:14:00 PM,5:34:00 PM,5:54:00 PM,6:14:00 PM,6:34:00 PM,6:56:00 PM,7:26:00 PM,7:47:00 PM,8:17:00 PM,8:45:00 PM,9:13:00 PM,9:41:00 PM,10:09:00 PM,10:37:00 PM,11:05:00 PM,11:33:00 PM,12:01:00 AM,12:25 AM[e],12:42:00 AM,12:53 AM[e],1:10:00 AM,1:21 AM[e],1:38:00 AM,1:49 AM[e],2:09 AM[e],2:31 AM[e],2:59 AM[e],3:27 AM[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W west of ERIN MILLS PKY,4:26:00 AM,4:37:00 AM,4:46:00 AM,4:59:00 AM,5:17:00 AM,5:31:00 AM,5:47:00 AM,6:08:00 AM,6:28:00 AM,6:48:00 AM,7:08:00 AM,7:30:00 AM,7:55:00 AM,8:17:00 AM,8:38:00 AM,8:58:00 AM,9:17:00 AM,9:36:00 AM,10:06:00 AM,10:33:00 AM,11:03:00 AM,11:32:00 AM,12:01:00 PM,12:30:00 PM,12:58:00 PM,1:27:00 PM,1:56:00 PM,2:21:00 PM,2:38:00 PM,2:57:00 PM,3:20:00 PM,3:38:00 PM,3:57:00 PM,4:17:00 PM,4:38:00 PM,4:58:00 PM,5:18:00 PM,5:38:00 PM,5:58:00 PM,6:18:00 PM,6:38:00 PM,7:00:00 PM,7:30:00 PM,7:51:00 PM,8:21:00 PM,8:49:00 PM,9:17:00 PM,9:45:00 PM,10:13:00 PM,10:41:00 PM,11:09:00 PM,11:37:00 PM,12:05:00 AM,12:46:00 AM,1:14:00 AM,1:42:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W east of ERIN MILLS PKY,3:53:00 AM,4:16:00 AM,4:27:00 AM,4:38:00 AM,4:47:00 AM,5:00:00 AM,5:18:00 AM,5:32:00 AM,5:48:00 AM,6:09:00 AM,6:29:00 AM,6:49:00 AM,7:09:00 AM,7:31:00 AM,7:56:00 AM,8:18:00 AM,8:39:00 AM,8:59:00 AM,9:18:00 AM,9:37:00 AM,10:07:00 AM,10:34:00 AM,11:04:00 AM,11:33:00 AM,12:02:00 PM,12:31:00 PM,12:59:00 PM,1:28:00 PM,1:57:00 PM,2:22:00 PM,2:39:00 PM,2:58:00 PM,3:21:00 PM,3:39:00 PM,3:58:00 PM,4:18:00 PM,4:39:00 PM,4:59:00 PM,5:19:00 PM,5:39:00 PM,5:59:00 PM,6:19:00 PM,6:39:00 PM,7:01:00 PM,7:31:00 PM,7:52:00 PM,8:22:00 PM,8:50:00 PM,9:18:00 PM,9:46:00 PM,10:14:00 PM,10:42:00 PM,11:10:00 PM,11:38:00 PM,12:06:00 AM,12:47:00 AM,1:15:00 AM,1:43:00 AM,3:53:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM A,4:59 AM[b],5:19 AM[b],5:34 AM[b],5:51 AM[b],6:10 AM[b],6:30 AM[b],6:50 AM[b],7:10 AM[b],7:30 AM[b],7:39 AM[b],7:59 AM[b],8:19 AM[b],8:24 AM[b],8:40 AM[b],9:00 AM[b],9:20 AM[b],9:42 AM[b],10:13 AM[b],10:40 AM[b],11:09 AM[b],11:39 AM[b],12:09 PM[b],12:38 PM[b],1:06 PM[b],1:35 PM[b],2:04 PM[b],2:23 PM[b],2:39 PM[b],3:02 PM[b],3:20 PM[b],3:36 PM[b],3:59 PM[b],4:20 PM[b],4:40 PM[b],5:00 PM[b],5:20 PM[b],5:40 PM[b],5:59 PM[b],6:19 PM[b],6:40 PM[b],7:04 PM[b],7:33 PM[b],7:58 PM[b],8:27 PM[b],8:56 PM[b],9:24 PM[b],9:52 PM[b],10:20 PM[b],10:48 PM[b],11:16 PM[b],11:44 PM[b],12:16 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH MILLWAY at SANDERLING CRES (north leg),5:01 AM[b],5:21 AM[b],5:36 AM[b],5:53 AM[b],6:13 AM[b],6:33 AM[b],6:53 AM[b],7:13 AM[b],7:33 AM[b],7:42 AM[b],8:02 AM[b],8:22 AM[b],8:27 AM[b],8:43 AM[b],9:03 AM[b],9:22 AM[b],9:44 AM[b],10:15 AM[b],10:42 AM[b],11:11 AM[b],11:41 AM[b],12:11 PM[b],12:40 PM[b],1:08 PM[b],1:37 PM[b],2:06 PM[b],2:25 PM[b],2:42 PM[b],3:05 PM[b],3:23 PM[b],3:39 PM[b],4:02 PM[b],4:23 PM[b],4:43 PM[b],5:03 PM[b],5:23 PM[b],5:43 PM[b],6:02 PM[b],6:22 PM[b],6:43 PM[b],7:07 PM[b],7:36 PM[b],8:00 PM[b],8:29 PM[b],8:58 PM[b],9:26 PM[b],9:54 PM[b],10:22 PM[b],10:50 PM[b],11:18 PM[b],11:46 PM[b],12:18 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,5:06 AM[b],5:26 AM[b],5:41 AM[b],5:58 AM[b],6:18 AM[b],6:39 AM[b],6:59 AM[b],7:19 AM[b],7:39 AM[b],7:48 AM[b],8:08 AM[b],8:28 AM[b],8:33 AM[b],8:49 AM[b],9:08 AM[b],9:27 AM[b],9:49 AM[b],10:20 AM[b],10:47 AM[b],11:16 AM[b],11:46 AM[b],12:16 PM[b],12:45 PM[b],1:13 PM[b],1:42 PM[b],2:11 PM[b],2:30 PM[b],2:47 PM[b],3:10 PM[b],3:28 PM[b],3:44 PM[b],4:07 PM[b],4:28 PM[b],4:48 PM[b],5:08 PM[b],5:28 PM[b],5:48 PM[b],6:08 PM[b],6:28 PM[b],6:48 PM[b],7:12 PM[b],7:41 PM[b],8:05 PM[b],8:34 PM[b],9:03 PM[b],9:31 PM[b],9:59 PM[b],10:27 PM[b],10:55 PM[b],11:23 PM[b],11:51 PM[b],12:23 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSISSAUGA RD at THE COLLEGEWAY,5:08 AM[b],5:28 AM[b],5:43 AM[b],6:00 AM[b],6:20 AM[b],6:41 AM[b],7:01 AM[b],7:21 AM[b],7:41 AM[b],7:50 AM[b],8:10 AM[b],8:30 AM[b],8:35 AM[b],8:51 AM[b],9:10 AM[b],9:29 AM[b],9:51 AM[b],10:22 AM[b],10:49 AM[b],11:18 AM[b],11:48 AM[b],12:18 PM[b],12:47 PM[b],1:15 PM[b],1:44 PM[b],2:13 PM[b],2:32 PM[b],2:49 PM[b],3:12 PM[b],3:30 PM[b],3:46 PM[b],4:09 PM[b],4:30 PM[b],4:50 PM[b],5:10 PM[b],5:30 PM[b],5:50 PM[b],6:10 PM[b],6:30 PM[b],6:50 PM[b],7:14 PM[b],7:43 PM[b],8:07 PM[b],8:36 PM[b],9:05 PM[b],9:33 PM[b],10:01 PM[b],10:29 PM[b],10:57 PM[b],11:25 PM[b],11:53 PM[b],12:25 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST at GLENGARRY RD,4:00:00 AM,4:23:00 AM,4:34:00 AM,4:45:00 AM,4:54:00 AM,5:07:00 AM,5:14 AM[b],5:25:00 AM,5:30 AM[b],5:35 AM[b],5:40:00 AM,5:45:00 AM,5:50 AM[b],5:56:00 AM,6:08 AM[b],6:18:00 AM,6:28 AM[b],6:38:00 AM,6:49 AM[b],6:59:00 AM,7:09 AM[b],7:14 AM[b],7:19:00 AM,7:29 AM[b],7:41:00 AM,7:49 AM[b],7:58 AM[b],8:06:00 AM,8:18 AM[b],8:28:00 AM,8:38 AM[b],8:43 AM[b],8:48:00 AM,8:59 AM[b],9:07:00 AM,9:17 AM[b],9:26:00 AM,9:36 AM[b],9:45:00 AM,9:58 AM[b],10:15:00 AM,10:29 AM[b],10:42:00 AM,10:56 AM[b],11:12:00 AM,11:25 AM[b],11:41:00 AM,11:55 AM[b],12:10:00 PM,12:25 PM[b],12:39:00 PM,12:54 PM[b],1:07:00 PM,1:22 PM[b],1:36:00 PM,1:51 PM[b],1:58:00 PM,2:05:00 PM,2:13 PM[b],2:20 PM[b],2:30:00 PM,2:39 PM[b],2:48:00 PM,2:56 PM[b],3:07:00 PM,3:19 PM[b],3:30:00 PM,3:37 PM[b],3:48:00 PM,3:54 PM[b],4:07:00 PM,4:17 PM[b],4:27:00 PM,4:38 PM[b],4:48:00 PM,4:58 PM[b],5:08:00 PM,5:18 PM[b],5:28:00 PM,5:38 PM[b],5:48:00 PM,5:58 PM[b],6:08:00 PM,6:18 PM[b],6:28:00 PM,6:38 PM[b],6:47:00 PM,6:58 PM[b],7:09:00 PM,7:21 PM[b],7:38:00 PM,7:49 PM[b],7:59:00 PM,8:13 PM[b],8:29:00 PM,8:42 PM[b],8:57:00 PM,9:11 PM[b],9:25:00 PM,9:39 PM[b],9:53:00 PM,10:07 PM[b],10:21:00 PM,10:35 PM[b],10:49:00 PM,11:03 PM[b],11:17:00 PM,11:31 PM[b],11:45:00 PM,11:59 PM[b],12:13:00 AM,12:31 AM[b],12:54:00 AM,1:22:00 AM,1:50:00 AM,4:00:00 AM
DUNDAS ST at MAVIS RD,4:03:00 AM,4:26:00 AM,4:37:00 AM,4:48:00 AM,4:57:00 AM,5:10:00 AM,5:17 AM[b],5:28:00 AM,5:33 AM[b],5:38 AM[b],5:43:00 AM,5:48:00 AM,5:53 AM[b],5:59:00 AM,6:11 AM[b],6:21:00 AM,6:31 AM[b],6:41:00 AM,6:52 AM[b],7:02:00 AM,7:12 AM[b],7:17 AM[b],7:22:00 AM,7:32 AM[b],7:44:00 AM,7:52 AM[b],8:01 AM[b],8:09:00 AM,8:21 AM[b],8:31:00 AM,8:41 AM[b],8:46 AM[b],8:51:00 AM,9:02 AM[b],9:10:00 AM,9:20 AM[b],9:29:00 AM,9:39 AM[b],9:48:00 AM,10:01 AM[b],10:18:00 AM,10:32 AM[b],10:45:00 AM,10:59 AM[b],11:15:00 AM,11:28 AM[b],11:44:00 AM,11:58 AM[b],12:13:00 PM,12:28 PM[b],12:42:00 PM,12:57 PM[b],1:10:00 PM,1:25 PM[b],1:39:00 PM,1:54 PM[b],2:01:00 PM,2:08:00 PM,2:16 PM[b],2:23 PM[b],2:33:00 PM,2:42 PM[b],2:51:00 PM,2:59 PM[b],3:10:00 PM,3:22 PM[b],3:33:00 PM,3:40 PM[b],3:51:00 PM,3:57 PM[b],4:10:00 PM,4:20 PM[b],4:30:00 PM,4:41 PM[b],4:51:00 PM,5:01 PM[b],5:11:00 PM,5:21 PM[b],5:31:00 PM,5:41 PM[b],5:51:00 PM,6:01 PM[b],6:11:00 PM,6:21 PM[b],6:31:00 PM,6:41 PM[b],6:50:00 PM,7:01 PM[b],7:12:00 PM,7:24 PM[b],7:41:00 PM,7:52 PM[b],8:02:00 PM,8:16 PM[b],8:32:00 PM,8:45 PM[b],9:00:00 PM,9:14 PM[b],9:28:00 PM,9:42 PM[b],9:56:00 PM,10:10 PM[b],10:24:00 PM,10:38 PM[b],10:52:00 PM,11:06 PM[b],11:20:00 PM,11:34 PM[b],11:48:00 PM,12:02 AM[b],12:16:00 AM,12:34 AM[b],12:57:00 AM,1:25:00 AM,1:53:00 AM,4:03:00 AM
DUNDAS ST at HURONTARIO ST,4:08:00 AM,4:31:00 AM,4:42:00 AM,4:53:00 AM,5:03:00 AM,5:17:00 AM,5:24 AM[b],5:35:00 AM,5:40 AM[b],5:45 AM[b],5:50:00 AM,5:55:00 AM,6:00 AM[b],6:06:00 AM,6:18 AM[b],6:28:00 AM,6:38 AM[b],6:48:00 AM,6:59 AM[b],7:09:00 AM,7:19 AM[b],7:24 AM[b],7:29:00 AM,7:39 AM[b],7:51:00 AM,7:59 AM[b],8:08 AM[b],8:16:00 AM,8:28 AM[b],8:38:00 AM,8:48 AM[b],8:53 AM[b],8:58:00 AM,9:09 AM[b],9:17:00 AM,9:27 AM[b],9:36:00 AM,9:46 AM[b],9:55:00 AM,10:08 AM[b],10:25:00 AM,10:39 AM[b],10:52:00 AM,11:06 AM[b],11:22:00 AM,11:35 AM[b],11:51:00 AM,12:05 PM[b],12:20:00 PM,12:35 PM[b],12:49:00 PM,1:04 PM[b],1:17:00 PM,1:32 PM[b],1:46:00 PM,2:01 PM[b],2:08:00 PM,2:15:00 PM,2:23 PM[b],2:30 PM[b],2:40:00 PM,2:49 PM[b],2:58:00 PM,3:06 PM[b],3:17:00 PM,3:29 PM[b],3:41:00 PM,3:48 PM[b],3:59:00 PM,4:05 PM[b],4:18:00 PM,4:28 PM[b],4:38:00 PM,4:49 PM[b],4:59:00 PM,5:09 PM[b],5:19:00 PM,5:29 PM[b],5:39:00 PM,5:49 PM[b],5:59:00 PM,6:08 PM[b],6:18:00 PM,6:28 PM[b],6:38:00 PM,6:48 PM[b],6:57:00 PM,7:08 PM[b],7:19:00 PM,7:31 PM[b],7:48:00 PM,7:58 PM[b],8:08:00 PM,8:22 PM[b],8:38:00 PM,8:51 PM[b],9:06:00 PM,9:20 PM[b],9:34:00 PM,9:48 PM[b],10:02:00 PM,10:16 PM[b],10:30:00 PM,10:44 PM[b],10:58:00 PM,11:12 PM[b],11:26:00 PM,11:40 PM[b],11:54:00 PM,12:08 AM[b],12:22:00 AM,12:40 AM[b],1:03:00 AM,1:31:00 AM,1:59:00 AM,4:08:00 AM
