ISLINGTON SUBWAY BUS TERMINAL PLATFORM D,4:40:00 AM,5:04:00 AM,5:20:00 AM,5:30 AM[b],5:39:00 AM,5:50 AM[b],6:00:00 AM,6:10 AM[b],6:20:00 AM,6:27 AM[b],6:34 AM[b],6:40:00 AM,6:50 AM[b],7:00:00 AM,7:10 AM[b],7:20:00 AM,7:30 AM[b],7:40:00 AM,7:50 AM[b],8:00:00 AM,8:10 AM[b],8:20:00 AM,8:30 AM[b],8:42:00 AM,8:55:00 AM,9:07 AM[b],9:18:00 AM,9:28 AM[b],9:38:00 AM,9:48 AM[b],9:56:00 AM,10:05 AM[b],10:14 AM[b],10:19:00 AM,10:26 AM[b],10:33 AM[b],10:48:00 AM,11:02 AM[b],11:17:00 AM,11:31 AM[b],11:46:00 AM,12:00 PM[b],12:15:00 PM,12:29 PM[b],12:44:00 PM,12:58 PM[b],1:13:00 PM,1:29 PM[b],1:43:00 PM,1:56 PM[b],2:09:00 PM,2:23 PM[b],2:38:00 PM,2:50 PM[b],3:00:00 PM,3:10 PM[b],3:20:00 PM,3:30 PM[b],3:40:00 PM,3:50 PM[b],4:00:00 PM,4:10 PM[b],4:22:00 PM,4:30 PM[b],4:40:00 PM,4:50 PM[b],5:00:00 PM,5:10 PM[b],5:20:00 PM,5:25 PM[b],5:30 PM[b],5:40:00 PM,5:45 PM[b],5:50:00 PM,5:55 PM[b],6:00:00 PM,6:10 PM[b],6:20:00 PM,6:30 PM[b],6:40:00 PM,6:50 PM[b],6:55 PM[b],7:00:00 PM,7:10 PM[b],7:18:00 PM,7:28 PM[b],7:44:00 PM,7:59 PM[b],8:12:00 PM,8:28 PM[b],8:42:00 PM,8:57 PM[b],9:11:00 PM,9:25 PM[b],9:39:00 PM,9:53 PM[b],10:07:00 PM,10:21 PM[b],10:35:00 PM,10:49 PM[b],11:03:00 PM,11:17 PM[b],11:31:00 PM,11:45:00 PM,11:59:00 PM,12:13:00 AM,12:27:00 AM,12:41:00 AM,12:55:00 AM,1:15:00 AM,1:37:00 AM,2:05:00 AM,2:33:00 AM,,,
DUNDAS ST at BILLINGHAM RD,4:47:00 AM,5:11:00 AM,5:27:00 AM,5:37 AM[b],5:46:00 AM,5:57 AM[b],6:07:00 AM,6:17 AM[b],6:27:00 AM,6:34 AM[b],6:41 AM[b],6:47:00 AM,6:57 AM[b],7:07:00 AM,7:18 AM[b],7:28:00 AM,7:38 AM[b],7:48:00 AM,7:58 AM[b],8:08:00 AM,8:18 AM[b],8:28:00 AM,8:38 AM[b],8:50:00 AM,9:03:00 AM,9:14 AM[b],9:25:00 AM,9:35 AM[b],9:45:00 AM,9:55 AM[b],10:03:00 AM,10:12 AM[b],10:21 AM[b],10:26:00 AM,10:33 AM[b],10:40 AM[b],10:55:00 AM,11:09 AM[b],11:24:00 AM,11:38 AM[b],11:53:00 AM,12:07 PM[b],12:22:00 PM,12:36 PM[b],12:51:00 PM,1:05 PM[b],1:20:00 PM,1:36 PM[b],1:50:00 PM,2:03 PM[b],2:16:00 PM,2:30 PM[b],2:44:00 PM,2:57 PM[b],3:07:00 PM,3:17 PM[b],3:28:00 PM,3:38 PM[b],3:48:00 PM,3:58 PM[b],4:08:00 PM,4:18 PM[b],4:30:00 PM,4:38 PM[b],4:48:00 PM,4:58 PM[b],5:08:00 PM,5:18 PM[b],5:28:00 PM,5:33 PM[b],5:38 PM[b],5:48:00 PM,5:53 PM[b],5:58:00 PM,6:03 PM[b],6:08:00 PM,6:18 PM[b],6:28:00 PM,6:38 PM[b],6:48:00 PM,6:58 PM[b],7:03 PM[b],7:08:00 PM,7:18 PM[b],7:25:00 PM,7:35 PM[b],7:51:00 PM,8:06 PM[b],8:19:00 PM,8:35 PM[b],8:49:00 PM,9:04 PM[b],9:18:00 PM,9:32 PM[b],9:46:00 PM,10:00 PM[b],10:14:00 PM,10:28 PM[b],10:42:00 PM,10:56 PM[b],11:10:00 PM,11:24 PM[b],11:38:00 PM,11:52:00 PM,12:06:00 AM,12:20:00 AM,12:34:00 AM,12:48:00 AM,1:02:00 AM,1:22:00 AM,1:44:00 AM,2:12:00 AM,2:40:00 AM,,,
DUNDAS ST at WHARTON WAY,4:52:00 AM,5:16:00 AM,5:32:00 AM,5:42 AM[b],5:51:00 AM,6:02 AM[b],6:12:00 AM,6:22 AM[b],6:32:00 AM,6:39 AM[b],6:46 AM[b],6:53:00 AM,7:04 AM[b],7:14:00 AM,7:25 AM[b],7:35:00 AM,7:45 AM[b],7:55:00 AM,8:05 AM[b],8:15:00 AM,8:25 AM[b],8:35:00 AM,8:45 AM[b],8:56:00 AM,9:09:00 AM,9:20 AM[b],9:31:00 AM,9:41 AM[b],9:51:00 AM,10:01 AM[b],10:09:00 AM,10:18 AM[b],10:27 AM[b],10:32:00 AM,10:39 AM[b],10:46 AM[b],11:01:00 AM,11:15 AM[b],11:30:00 AM,11:44 AM[b],11:59:00 AM,12:13 PM[b],12:28:00 PM,12:42 PM[b],12:57:00 PM,1:11 PM[b],1:26:00 PM,1:42 PM[b],1:56:00 PM,2:09 PM[b],2:22:00 PM,2:36 PM[b],2:51:00 PM,3:04 PM[b],3:14:00 PM,3:24 PM[b],3:35:00 PM,3:45 PM[b],3:55:00 PM,4:05 PM[b],4:15:00 PM,4:25 PM[b],4:37:00 PM,4:45 PM[b],4:55:00 PM,5:05 PM[b],5:15:00 PM,5:25 PM[b],5:35:00 PM,5:40 PM[b],5:45 PM[b],5:55:00 PM,6:00 PM[b],6:05:00 PM,6:10 PM[b],6:15:00 PM,6:24 PM[b],6:34:00 PM,6:44 PM[b],6:54:00 PM,7:04 PM[b],7:09 PM[b],7:14:00 PM,7:24 PM[b],7:31:00 PM,7:41 PM[b],7:57:00 PM,8:12 PM[b],8:25:00 PM,8:40 PM[b],8:54:00 PM,9:09 PM[b],9:23:00 PM,9:37 PM[b],9:51:00 PM,10:05 PM[b],10:19:00 PM,10:33 PM[b],10:47:00 PM,11:01 PM[b],11:15:00 PM,11:29 PM[b],11:43:00 PM,11:57:00 PM,12:11:00 AM,12:25:00 AM,12:39:00 AM,12:53:00 AM,1:07:00 AM,1:27:00 AM,1:49:00 AM,2:17:00 AM,2:45:00 AM,,,
DUNDAS ST at DIXIE RD,4:55:00 AM,5:19:00 AM,5:35:00 AM,5:45 AM[b],5:54:00 AM,6:05 AM[b],6:15:00 AM,6:25 AM[b],6:36:00 AM,6:43 AM[b],6:50 AM[b],6:57:00 AM,7:08 AM[b],7:18:00 AM,7:29 AM[b],7:39:00 AM,7:49 AM[b],7:59:00 AM,8:09 AM[b],8:19:00 AM,8:29 AM[b],8:39:00 AM,8:49 AM[b],9:00:00 AM,9:13:00 AM,9:24 AM[b],9:35:00 AM,9:45 AM[b],9:55:00 AM,10:05 AM[b],10:13:00 AM,10:22 AM[b],10:31 AM[b],10:36:00 AM,10:43 AM[b],10:50 AM[b],11:05:00 AM,11:19 AM[b],11:34:00 AM,11:48 AM[b],12:03:00 PM,12:17 PM[b],12:32:00 PM,12:46 PM[b],1:01:00 PM,1:15 PM[b],1:30:00 PM,1:46 PM[b],2:00:00 PM,2:13 PM[b],2:26:00 PM,2:40 PM[b],2:55:00 PM,3:08 PM[b],3:18:00 PM,3:28 PM[b],3:39:00 PM,3:49 PM[b],3:59:00 PM,4:09 PM[b],4:19:00 PM,4:29 PM[b],4:41:00 PM,4:49 PM[b],4:59:00 PM,5:09 PM[b],5:19:00 PM,5:29 PM[b],5:39:00 PM,5:44 PM[b],5:49 PM[b],5:59:00 PM,6:04 PM[b],6:09:00 PM,6:14 PM[b],6:19:00 PM,6:28 PM[b],6:38:00 PM,6:48 PM[b],6:58:00 PM,7:08 PM[b],7:13 PM[b],7:18:00 PM,7:27 PM[b],7:34:00 PM,7:44 PM[b],8:00:00 PM,8:15 PM[b],8:28:00 PM,8:43 PM[b],8:57:00 PM,9:12 PM[b],9:26:00 PM,9:40 PM[b],9:54:00 PM,10:08 PM[b],10:22:00 PM,10:36 PM[b],10:50:00 PM,11:04 PM[b],11:18:00 PM,11:32 PM[b],11:46:00 PM,12:00:00 AM,12:14:00 AM,12:28:00 AM,12:42:00 AM,12:56:00 AM,1:10:00 AM,1:30:00 AM,1:52:00 AM,2:20:00 AM,2:48:00 AM,,,
DUNDAS ST FIRST STOP west of DIXIE RD,4:55:00 AM,5:19:00 AM,5:35:00 AM,5:45 AM[b],5:54:00 AM,6:05 AM[b],6:15:00 AM,6:25 AM[b],6:36:00 AM,6:43 AM[b],6:50 AM[b],6:57:00 AM,7:08 AM[b],7:18:00 AM,7:29 AM[b],7:39:00 AM,7:49 AM[b],7:59:00 AM,8:09 AM[b],8:19:00 AM,8:29 AM[b],8:39:00 AM,8:49 AM[b],9:00:00 AM,9:13:00 AM,9:24 AM[b],9:35:00 AM,9:45 AM[b],9:55:00 AM,10:05 AM[b],10:13:00 AM,10:22 AM[b],10:31 AM[b],10:36:00 AM,10:43 AM[b],10:50 AM[b],11:05:00 AM,11:19 AM[b],11:34:00 AM,11:48 AM[b],12:03:00 PM,12:17 PM[b],12:32:00 PM,12:46 PM[b],1:01:00 PM,1:15 PM[b],1:30:00 PM,1:46 PM[b],2:00:00 PM,2:13 PM[b],2:26:00 PM,2:40 PM[b],2:55:00 PM,3:08 PM[b],3:18:00 PM,3:28 PM[b],3:39:00 PM,3:49 PM[b],3:59:00 PM,4:09 PM[b],4:19:00 PM,4:29 PM[b],4:41:00 PM,4:49 PM[b],4:59:00 PM,5:09 PM[b],5:19:00 PM,5:29 PM[b],5:39:00 PM,5:44 PM[b],5:49 PM[b],5:59:00 PM,6:04 PM[b],6:09:00 PM,6:14 PM[b],6:19:00 PM,6:28 PM[b],6:38:00 PM,6:48 PM[b],6:58:00 PM,7:08 PM[b],7:13 PM[b],7:18:00 PM,7:27 PM[b],7:34:00 PM,7:44 PM[b],8:00:00 PM,8:15 PM[b],8:28:00 PM,8:43 PM[b],8:57:00 PM,9:12 PM[b],9:26:00 PM,9:40 PM[b],9:54:00 PM,10:08 PM[b],10:22:00 PM,10:36 PM[b],10:50:00 PM,11:04 PM[b],11:18:00 PM,11:32 PM[b],11:46:00 PM,12:00:00 AM,12:14:00 AM,12:28:00 AM,12:42:00 AM,12:56:00 AM,1:10:00 AM,1:30:00 AM,1:52:00 AM,2:20:00 AM,2:48:00 AM,,,
DUNDAS ST at TOMKEN RD,4:58:00 AM,5:22:00 AM,5:38:00 AM,5:48 AM[b],5:57:00 AM,6:08 AM[b],6:18:00 AM,6:28 AM[b],6:40:00 AM,6:47 AM[b],6:54 AM[b],7:01:00 AM,7:12 AM[b],7:22:00 AM,7:33 AM[b],7:43:00 AM,7:53 AM[b],8:03:00 AM,8:13 AM[b],8:23:00 AM,8:33 AM[b],8:43:00 AM,8:52 AM[b],9:03:00 AM,9:16:00 AM,9:27 AM[b],9:38:00 AM,9:48 AM[b],9:58:00 AM,10:08 AM[b],10:16:00 AM,10:25 AM[b],10:34 AM[b],10:39:00 AM,10:46 AM[b],10:53 AM[b],11:08:00 AM,11:22 AM[b],11:37:00 AM,11:51 AM[b],12:06:00 PM,12:20 PM[b],12:35:00 PM,12:49 PM[b],1:04:00 PM,1:18 PM[b],1:33:00 PM,1:49 PM[b],2:03:00 PM,2:16 PM[b],2:29:00 PM,2:43 PM[b],2:58:00 PM,3:11 PM[b],3:22:00 PM,3:32 PM[b],3:43:00 PM,3:53 PM[b],4:03:00 PM,4:13 PM[b],4:23:00 PM,4:33 PM[b],4:45:00 PM,4:53 PM[b],5:03:00 PM,5:13 PM[b],5:23:00 PM,5:33 PM[b],5:43:00 PM,5:48 PM[b],5:53 PM[b],6:03:00 PM,6:08 PM[b],6:13:00 PM,6:18 PM[b],6:23:00 PM,6:32 PM[b],6:42:00 PM,6:52 PM[b],7:02:00 PM,7:12 PM[b],7:17 PM[b],7:22:00 PM,7:30 PM[b],7:37:00 PM,7:47 PM[b],8:03:00 PM,8:18 PM[b],8:31:00 PM,8:46 PM[b],9:00:00 PM,9:15 PM[b],9:29:00 PM,9:43 PM[b],9:57:00 PM,10:11 PM[b],10:25:00 PM,10:39 PM[b],10:53:00 PM,11:07 PM[b],11:21:00 PM,11:35 PM[b],11:49:00 PM,12:03:00 AM,12:17:00 AM,12:31:00 AM,12:45:00 AM,12:59:00 AM,1:13:00 AM,1:33:00 AM,1:55:00 AM,2:23:00 AM,2:51:00 AM,,,
DUNDAS ST at CAWTHRA RD,5:00:00 AM,5:24:00 AM,5:40:00 AM,5:50 AM[b],5:59:00 AM,6:10 AM[b],6:20:00 AM,6:30 AM[b],6:42:00 AM,6:49 AM[b],6:56 AM[b],7:03:00 AM,7:15 AM[b],7:25:00 AM,7:36 AM[b],7:46:00 AM,7:56 AM[b],8:06:00 AM,8:16 AM[b],8:26:00 AM,8:36 AM[b],8:46:00 AM,8:55 AM[b],9:06:00 AM,9:19:00 AM,9:30 AM[b],9:41:00 AM,9:51 AM[b],10:01:00 AM,10:11 AM[b],10:19:00 AM,10:28 AM[b],10:37 AM[b],10:42:00 AM,10:49 AM[b],10:56 AM[b],11:11:00 AM,11:25 AM[b],11:40:00 AM,11:54 AM[b],12:09:00 PM,12:23 PM[b],12:38:00 PM,12:52 PM[b],1:07:00 PM,1:21 PM[b],1:36:00 PM,1:52 PM[b],2:06:00 PM,2:19 PM[b],2:32:00 PM,2:46 PM[b],3:01:00 PM,3:14 PM[b],3:25:00 PM,3:35 PM[b],3:46:00 PM,3:56 PM[b],4:06:00 PM,4:16 PM[b],4:26:00 PM,4:36 PM[b],4:48:00 PM,4:56 PM[b],5:06:00 PM,5:16 PM[b],5:26:00 PM,5:36 PM[b],5:46:00 PM,5:51 PM[b],5:56 PM[b],6:06:00 PM,6:11 PM[b],6:16:00 PM,6:21 PM[b],6:26:00 PM,6:35 PM[b],6:45:00 PM,6:55 PM[b],7:05:00 PM,7:15 PM[b],7:20 PM[b],7:25:00 PM,7:33 PM[b],7:40:00 PM,7:50 PM[b],8:06:00 PM,8:21 PM[b],8:34:00 PM,8:49 PM[b],9:03:00 PM,9:18 PM[b],9:32:00 PM,9:46 PM[b],10:00:00 PM,10:14 PM[b],10:28:00 PM,10:42 PM[b],10:56:00 PM,11:10 PM[b],11:24:00 PM,11:38 PM[b],11:52:00 PM,12:06:00 AM,12:20:00 AM,12:34:00 AM,12:48:00 AM,1:02:00 AM,1:16:00 AM,1:36:00 AM,1:58:00 AM,2:26:00 AM,2:54:00 AM,,,
DUNDAS ST at HURONTARIO ST,5:07:00 AM,5:31:00 AM,5:47:00 AM,5:57 AM[b],6:06:00 AM,6:17 AM[b],6:27:00 AM,6:37 AM[b],6:49:00 AM,6:57 AM[b],7:04 AM[b],7:11:00 AM,7:23 AM[b],7:33:00 AM,7:43 AM[b],7:53:00 AM,8:03 AM[b],8:13:00 AM,8:23 AM[b],8:33:00 AM,8:43 AM[b],8:53:00 AM,9:02 AM[b],9:13:00 AM,9:26:00 AM,9:37 AM[b],9:48:00 AM,9:58 AM[b],10:08:00 AM,10:18 AM[b],10:26:00 AM,10:35 AM[b],10:44 AM[b],10:49:00 AM,10:56 AM[b],11:03 AM[b],11:18:00 AM,11:32 AM[b],11:47:00 AM,12:01 PM[b],12:16:00 PM,12:30 PM[b],12:45:00 PM,12:59 PM[b],1:14:00 PM,1:28 PM[b],1:43:00 PM,1:59 PM[b],2:13:00 PM,2:26 PM[b],2:39:00 PM,2:53 PM[b],3:08:00 PM,3:22 PM[b],3:33:00 PM,3:43 PM[b],3:54:00 PM,4:04 PM[b],4:14:00 PM,4:24 PM[b],4:33:00 PM,4:43 PM[b],4:55:00 PM,5:03 PM[b],5:13:00 PM,5:23 PM[b],5:33:00 PM,5:43 PM[b],5:53:00 PM,5:58 PM[b],6:03 PM[b],6:13:00 PM,6:18 PM[b],6:23:00 PM,6:28 PM[b],6:33:00 PM,6:42 PM[b],6:52:00 PM,7:02 PM[b],7:12:00 PM,7:22 PM[b],7:27 PM[b],7:32:00 PM,7:40 PM[b],7:47:00 PM,7:56 PM[b],8:12:00 PM,8:27 PM[b],8:40:00 PM,8:55 PM[b],9:09:00 PM,9:24 PM[b],9:38:00 PM,9:52 PM[b],10:06:00 PM,10:20 PM[b],10:34:00 PM,10:48 PM[b],11:02:00 PM,11:16 PM[b],11:30:00 PM,11:44 PM[b],11:58:00 PM,12:12:00 AM,12:26:00 AM,12:40:00 AM,12:54:00 AM,1:08:00 AM,1:22:00 AM,1:42:00 AM,2:04:00 AM,2:32:00 AM,3:00:00 AM,,,
DUNDAS ST at MAVIS RD,5:13:00 AM,5:37:00 AM,5:53:00 AM,6:03 AM[b],6:12:00 AM,6:23 AM[b],6:33:00 AM,6:43 AM[b],6:55:00 AM,7:03 AM[b],7:10 AM[b],7:17:00 AM,7:29 AM[b],7:39:00 AM,7:49 AM[b],7:59:00 AM,8:09 AM[b],8:19:00 AM,8:29 AM[b],8:39:00 AM,8:49 AM[b],8:59:00 AM,9:08 AM[b],9:19:00 AM,9:32:00 AM,9:43 AM[b],9:54:00 AM,10:04 AM[b],10:14:00 AM,10:24 AM[b],10:32:00 AM,10:41 AM[b],10:50 AM[b],10:55:00 AM,11:02 AM[b],11:09 AM[b],11:24:00 AM,11:38 AM[b],11:53:00 AM,12:07 PM[b],12:22:00 PM,12:36 PM[b],12:51:00 PM,1:05 PM[b],1:20:00 PM,1:34 PM[b],1:49:00 PM,2:05 PM[b],2:19:00 PM,2:32 PM[b],2:45:00 PM,2:59 PM[b],3:14:00 PM,3:28 PM[b],3:39:00 PM,3:49 PM[b],4:00:00 PM,4:10 PM[b],4:20:00 PM,4:30 PM[b],4:39:00 PM,4:49 PM[b],5:01:00 PM,5:09 PM[b],5:19:00 PM,5:29 PM[b],5:39:00 PM,5:49 PM[b],5:59:00 PM,6:04 PM[b],6:09 PM[b],6:19:00 PM,6:24 PM[b],6:29:00 PM,6:34 PM[b],6:39:00 PM,6:48 PM[b],6:58:00 PM,7:08 PM[b],7:18:00 PM,7:28 PM[b],7:33 PM[b],7:38:00 PM,7:46 PM[b],7:53:00 PM,8:01 PM[b],8:17:00 PM,8:32 PM[b],8:45:00 PM,9:00 PM[b],9:14:00 PM,9:29 PM[b],9:43:00 PM,9:57 PM[b],10:11:00 PM,10:25 PM[b],10:39:00 PM,10:53 PM[b],11:07:00 PM,11:21 PM[b],11:35:00 PM,11:49 PM[b],12:03:00 AM,12:17:00 AM,12:31:00 AM,12:45:00 AM,12:59:00 AM,1:13:00 AM,1:27:00 AM,1:47:00 AM,2:09:00 AM,2:37:00 AM,3:05:00 AM,,,
DUNDAS ST W west of MAVIS RD,5:13:00 AM,5:37:00 AM,5:53:00 AM,6:03 AM[b],6:12:00 AM,6:23 AM[b],6:33:00 AM,6:43 AM[b],6:55:00 AM,7:03 AM[b],7:10 AM[b],7:17:00 AM,7:29 AM[b],7:39:00 AM,7:49 AM[b],7:59:00 AM,8:09 AM[b],8:19:00 AM,8:29 AM[b],8:39:00 AM,8:49 AM[b],8:59:00 AM,9:08 AM[b],9:19:00 AM,9:32:00 AM,9:43 AM[b],9:54:00 AM,10:04 AM[b],10:14:00 AM,10:24 AM[b],10:32:00 AM,10:41 AM[b],10:50 AM[b],10:55:00 AM,11:02 AM[b],11:09 AM[b],11:24:00 AM,11:38 AM[b],11:53:00 AM,12:07 PM[b],12:22:00 PM,12:36 PM[b],12:51:00 PM,1:05 PM[b],1:20:00 PM,1:34 PM[b],1:49:00 PM,2:05 PM[b],2:19:00 PM,2:32 PM[b],2:45:00 PM,2:59 PM[b],3:14:00 PM,3:28 PM[b],3:39:00 PM,3:49 PM[b],4:00:00 PM,4:10 PM[b],4:20:00 PM,4:30 PM[b],4:39:00 PM,4:49 PM[b],5:01:00 PM,5:09 PM[b],5:19:00 PM,5:29 PM[b],5:39:00 PM,5:49 PM[b],5:59:00 PM,6:04 PM[b],6:09 PM[b],6:19:00 PM,6:24 PM[b],6:29:00 PM,6:34 PM[b],6:39:00 PM,6:48 PM[b],6:58:00 PM,7:08 PM[b],7:18:00 PM,7:28 PM[b],7:33 PM[b],7:38:00 PM,7:46 PM[b],7:53:00 PM,8:01 PM[b],8:17:00 PM,8:32 PM[b],8:45:00 PM,9:00 PM[b],9:14:00 PM,9:29 PM[b],9:43:00 PM,9:57 PM[b],10:11:00 PM,10:25 PM[b],10:39:00 PM,10:53 PM[b],11:07:00 PM,11:21 PM[b],11:35:00 PM,11:49 PM[b],12:03:00 AM,12:17:00 AM,12:31:00 AM,12:45:00 AM,12:59:00 AM,1:13:00 AM,1:27:00 AM,1:47:00 AM,2:09:00 AM,2:37:00 AM,3:05:00 AM,,,
