ERINDALE GO STATION PLATFORM A,5:10:00 AM,5:28:00 AM,5:46:00 AM,5:56:00 AM,6:04:00 AM,6:22:00 AM,6:40:00 AM,6:56:00 AM,7:22:00 AM,7:31:00 AM,7:37:00 AM,7:55:00 AM,8:19:00 AM,8:35:00 AM,8:55:00 AM,9:22:00 AM,9:50:00 AM,10:18:00 AM,10:46:00 AM,11:14:00 AM,11:42:00 AM,12:08:00 PM,12:38:00 PM,1:06:00 PM,1:34:00 PM,2:00:00 PM,2:30:00 PM,2:59:00 PM,3:15:00 PM,3:34:00 PM,3:53:00 PM,4:06:00 PM,4:25:00 PM,4:52:00 PM,5:14:00 PM,5:30:00 PM,5:43:00 PM,5:47:00 PM,6:02:00 PM,6:23:00 PM,6:44:00 PM,7:03:00 PM,7:16:00 PM,7:44:00 PM,8:05:00 PM,8:30:00 PM,8:54:00 PM,9:22:00 PM,9:43:00 PM,10:07:00 PM,10:30:00 PM,10:57:00 PM,11:19:00 PM,11:43:00 PM,12:08:00 AM
RATHBURN RD at DEER RUN (west leg),5:12:00 AM,5:30:00 AM,5:48:00 AM,5:58:00 AM,6:06:00 AM,6:24:00 AM,6:42:00 AM,6:59:00 AM,7:25:00 AM,7:34:00 AM,7:40:00 AM,7:58:00 AM,8:22:00 AM,8:38:00 AM,8:58:00 AM,9:24:00 AM,9:52:00 AM,10:20:00 AM,10:48:00 AM,11:16:00 AM,11:44:00 AM,12:10:00 PM,12:40:00 PM,1:08:00 PM,1:36:00 PM,2:02:00 PM,2:32:00 PM,3:01:00 PM,3:17:00 PM,3:36:00 PM,3:55:00 PM,4:08:00 PM,4:27:00 PM,4:55:00 PM,5:17:00 PM,5:33:00 PM,5:46:00 PM,5:50:00 PM,6:05:00 PM,6:26:00 PM,6:47:00 PM,7:06:00 PM,7:19:00 PM,7:47:00 PM,8:08:00 PM,8:33:00 PM,8:57:00 PM,9:24:00 PM,9:45:00 PM,10:09:00 PM,10:32:00 PM,10:59:00 PM,11:21:00 PM,11:45:00 PM,12:10:00 AM
RATHBURN RD at MAVIS RD,5:17:00 AM,5:35:00 AM,5:53:00 AM,6:03:00 AM,6:11:00 AM,6:29:00 AM,6:47:00 AM,7:04:00 AM,7:30:00 AM,7:39:00 AM,7:45:00 AM,8:03:00 AM,8:27:00 AM,8:43:00 AM,9:03:00 AM,9:29:00 AM,9:57:00 AM,10:25:00 AM,10:53:00 AM,11:21:00 AM,11:49:00 AM,12:15:00 PM,12:45:00 PM,1:13:00 PM,1:41:00 PM,2:07:00 PM,2:37:00 PM,3:06:00 PM,3:22:00 PM,3:41:00 PM,4:00:00 PM,4:13:00 PM,4:32:00 PM,5:00:00 PM,5:22:00 PM,5:38:00 PM,5:51:00 PM,5:55:00 PM,6:10:00 PM,6:31:00 PM,6:52:00 PM,7:11:00 PM,7:24:00 PM,7:52:00 PM,8:13:00 PM,8:38:00 PM,9:02:00 PM,9:29:00 PM,9:50:00 PM,10:14:00 PM,10:37:00 PM,11:04:00 PM,11:26:00 PM,11:50:00 PM,12:15:00 AM
CITY CENTRE BUS TERMINAL PLATFORM L,5:23:00 AM,5:41:00 AM,5:59:00 AM,6:09:00 AM,6:17:00 AM,6:35:00 AM,6:53:00 AM,7:10:00 AM,7:36:00 AM,7:45:00 AM,7:51:00 AM,8:09:00 AM,8:33:00 AM,8:49:00 AM,9:09:00 AM,9:35:00 AM,10:03:00 AM,10:31:00 AM,10:59:00 AM,11:27:00 AM,11:55:00 AM,12:21:00 PM,12:51:00 PM,1:19:00 PM,1:47:00 PM,2:13:00 PM,2:43:00 PM,3:12:00 PM,3:28:00 PM,3:47:00 PM,4:06:00 PM,4:19:00 PM,4:38:00 PM,5:06:00 PM,5:28:00 PM,5:44:00 PM,5:57:00 PM,6:01:00 PM,6:16:00 PM,6:37:00 PM,6:58:00 PM,7:17:00 PM,7:30:00 PM,7:58:00 PM,8:19:00 PM,8:44:00 PM,9:08:00 PM,9:35:00 PM,9:55:00 PM,10:19:00 PM,10:42:00 PM,11:09:00 PM,11:31:00 PM,11:55:00 PM,12:20:00 AM
RATHBURN RD at CENTRAL PKY E,5:28:00 AM,5:46:00 AM,6:04:00 AM,6:14:00 AM,6:22:00 AM,6:40:00 AM,6:58:00 AM,7:15:00 AM,7:42:00 AM,7:51:00 AM,7:57:00 AM,8:15:00 AM,8:38:00 AM,8:54:00 AM,9:14:00 AM,9:40:00 AM,10:08:00 AM,10:36:00 AM,11:04:00 AM,11:32:00 AM,12:00:00 PM,12:26:00 PM,12:56:00 PM,1:24:00 PM,1:52:00 PM,2:18:00 PM,2:48:00 PM,3:17:00 PM,3:33:00 PM,3:52:00 PM,4:11:00 PM,4:24:00 PM,4:43:00 PM,5:11:00 PM,5:33:00 PM,5:49:00 PM,6:02:00 PM,6:06:00 PM,6:21:00 PM,6:42:00 PM,7:03:00 PM,7:22:00 PM,7:35:00 PM,8:03:00 PM,8:24:00 PM,8:49:00 PM,9:13:00 PM,9:40:00 PM,9:59:00 PM,10:23:00 PM,10:46:00 PM,11:13:00 PM,11:35:00 PM,11:59:00 PM,12:24:00 AM
RATHBURN RD east of CENTRAL PKY,5:28:00 AM,5:46:00 AM,6:04:00 AM,6:14:00 AM,6:22:00 AM,6:40:00 AM,6:58:00 AM,7:15:00 AM,7:42:00 AM,7:51:00 AM,7:57:00 AM,8:15:00 AM,8:38:00 AM,8:54:00 AM,9:14:00 AM,9:40:00 AM,10:08:00 AM,10:36:00 AM,11:04:00 AM,11:32:00 AM,12:00:00 PM,12:26:00 PM,12:56:00 PM,1:24:00 PM,1:52:00 PM,2:18:00 PM,2:48:00 PM,3:17:00 PM,3:33:00 PM,3:52:00 PM,4:11:00 PM,4:24:00 PM,4:43:00 PM,5:11:00 PM,5:33:00 PM,5:49:00 PM,6:02:00 PM,6:06:00 PM,6:21:00 PM,6:42:00 PM,7:03:00 PM,7:22:00 PM,7:35:00 PM,8:03:00 PM,8:24:00 PM,8:49:00 PM,9:13:00 PM,9:40:00 PM,9:59:00 PM,10:23:00 PM,10:46:00 PM,11:13:00 PM,11:35:00 PM,11:59:00 PM,12:24:00 AM
RATHBURN RD at WILCOX RD,5:30:00 AM,5:48:00 AM,6:06:00 AM,6:16:00 AM,6:24:00 AM,6:43:00 AM,7:01:00 AM,7:18:00 AM,7:45:00 AM,7:54:00 AM,8:00:00 AM,8:18:00 AM,8:41:00 AM,8:57:00 AM,9:17:00 AM,9:43:00 AM,10:11:00 AM,10:39:00 AM,11:07:00 AM,11:35:00 AM,12:03:00 PM,12:29:00 PM,12:59:00 PM,1:27:00 PM,1:55:00 PM,2:21:00 PM,2:51:00 PM,3:20:00 PM,3:36:00 PM,3:55:00 PM,4:14:00 PM,4:27:00 PM,4:46:00 PM,5:14:00 PM,5:36:00 PM,5:52:00 PM,6:05:00 PM,6:09:00 PM,6:24:00 PM,6:45:00 PM,7:05:00 PM,7:24:00 PM,7:37:00 PM,8:05:00 PM,8:26:00 PM,8:51:00 PM,9:15:00 PM,9:42:00 PM,10:01:00 PM,10:25:00 PM,10:48:00 PM,11:15:00 PM,11:37:00 PM,12:01:00 AM,12:26:00 AM
RATHBURN RD at CAWTHRA RD,5:30:00 AM,5:48:00 AM,6:06:00 AM,6:16:00 AM,6:24:00 AM,6:44:00 AM,7:02:00 AM,7:19:00 AM,7:46:00 AM,7:55:00 AM,8:01:00 AM,8:19:00 AM,8:42:00 AM,8:58:00 AM,9:18:00 AM,9:44:00 AM,10:12:00 AM,10:40:00 AM,11:08:00 AM,11:36:00 AM,12:04:00 PM,12:30:00 PM,1:00:00 PM,1:28:00 PM,1:55:00 PM,2:21:00 PM,2:51:00 PM,3:20:00 PM,3:36:00 PM,3:55:00 PM,4:14:00 PM,4:27:00 PM,4:46:00 PM,5:14:00 PM,5:36:00 PM,5:52:00 PM,6:05:00 PM,6:09:00 PM,6:24:00 PM,6:45:00 PM,7:05:00 PM,7:24:00 PM,7:37:00 PM,8:05:00 PM,8:26:00 PM,8:51:00 PM,9:15:00 PM,9:42:00 PM,10:01:00 PM,10:25:00 PM,10:48:00 PM,11:15:00 PM,11:37:00 PM,12:01:00 AM,12:26:00 AM
RATHBURN RD at TOMKEN RD,5:33:00 AM,5:51:00 AM,6:09:00 AM,6:19:00 AM,6:27:00 AM,6:47:00 AM,7:05:00 AM,7:22:00 AM,7:49:00 AM,7:58:00 AM,8:04:00 AM,8:22:00 AM,8:45:00 AM,9:01:00 AM,9:21:00 AM,9:47:00 AM,10:15:00 AM,10:43:00 AM,11:11:00 AM,11:39:00 AM,12:07:00 PM,12:33:00 PM,1:03:00 PM,1:31:00 PM,1:58:00 PM,2:24:00 PM,2:54:00 PM,3:23:00 PM,3:39:00 PM,3:58:00 PM,4:17:00 PM,4:30:00 PM,4:49:00 PM,5:17:00 PM,5:39:00 PM,5:55:00 PM,6:08:00 PM,6:12:00 PM,6:27:00 PM,6:48:00 PM,7:08:00 PM,7:27:00 PM,7:40:00 PM,8:08:00 PM,8:29:00 PM,8:54:00 PM,9:18:00 PM,9:45:00 PM,10:04:00 PM,10:28:00 PM,10:51:00 PM,11:18:00 PM,11:40:00 PM,12:04:00 AM,12:29:00 AM
RATHBURN RD at DIXIE RD[b],5:36:00 AM,5:54:00 AM,6:12:00 AM,6:22:00 AM,6:30:00 AM,6:51:00 AM,7:09:00 AM,7:26:00 AM,7:53:00 AM,8:02:00 AM,8:08:00 AM,8:26:00 AM,8:49:00 AM,9:04:00 AM,9:24:00 AM,9:50:00 AM,10:18:00 AM,10:46:00 AM,11:14:00 AM,11:42:00 AM,12:10:00 PM,12:36:00 PM,1:06:00 PM,1:34:00 PM,2:02:00 PM,2:28:00 PM,2:58:00 PM,3:27:00 PM,3:43:00 PM,4:02:00 PM,4:21:00 PM,4:34:00 PM,4:53:00 PM,5:21:00 PM,5:43:00 PM,5:59:00 PM,6:11:00 PM,6:15:00 PM,6:30:00 PM,6:51:00 PM,7:11:00 PM,7:30:00 PM,7:43:00 PM,8:11:00 PM,8:32:00 PM,8:57:00 PM,9:21:00 PM,9:48:00 PM,10:07:00 PM,10:31:00 PM,10:54:00 PM,11:21:00 PM,11:43:00 PM,12:07:00 AM,12:32:00 AM
