CLARKSON GO STATION PLATFORM F,5:12:00 AM,5:31:00 AM,6:02:00 AM,6:25:00 AM,6:52:00 AM,7:18:00 AM,7:43:00 AM,8:12:00 AM,8:33:00 AM,8:59:00 AM,9:24:00 AM,9:49:00 AM,10:13:00 AM,10:37:00 AM,11:01:00 AM,11:25:00 AM,11:49:00 AM,12:13:00 PM,12:37:00 PM,1:01:00 PM,1:25:00 PM,1:49:00 PM,2:12:00 PM,2:37:00 PM,3:03:00 PM,3:28:00 PM,3:53:00 PM,4:20:00 PM,4:45:00 PM,5:12:00 PM,5:35:00 PM,6:01:00 PM,6:27:00 PM,6:53:00 PM,7:20:00 PM,7:38:00 PM,8:06:00 PM,8:39:00 PM,9:19:00 PM,9:51:00 PM,10:21:00 PM,10:54:00 PM,11:29:00 PM,12:00:00 AM,12:37:00 AM,1:21:00 AM,
BROMSGROVE RD at CONSTABLE RD,5:17:00 AM,5:36:00 AM,6:08:00 AM,6:31:00 AM,6:58:00 AM,7:24:00 AM,7:49:00 AM,8:18:00 AM,8:39:00 AM,9:04:00 AM,9:29:00 AM,9:54:00 AM,10:18:00 AM,10:42:00 AM,11:06:00 AM,11:30:00 AM,11:54:00 AM,12:18:00 PM,12:42:00 PM,1:06:00 PM,1:30:00 PM,1:54:00 PM,2:18:00 PM,2:41 PM[G],2:43:00 PM,3:09:00 PM,3:34:00 PM,3:59:00 PM,4:26:00 PM,4:51:00 PM,5:18:00 PM,5:41:00 PM,6:07:00 PM,6:33:00 PM,6:59:00 PM,7:25:00 PM,7:43:00 PM,8:11:00 PM,8:44:00 PM,9:24:00 PM,9:56:00 PM,10:26:00 PM,10:59:00 PM,11:34:00 PM,12:05:00 AM,12:42:00 AM,1:26:00 AM
BROMSGROVE RD at WINSTON CHURCHILL BLVD,5:18:00 AM,5:37:00 AM,6:09:00 AM,6:32:00 AM,6:59:00 AM,7:25:00 AM,7:50:00 AM,8:19:00 AM,8:40:00 AM,9:05:00 AM,9:30:00 AM,9:55:00 AM,10:19:00 AM,10:43:00 AM,11:07:00 AM,11:31:00 AM,11:55:00 AM,12:19:00 PM,12:43:00 PM,1:07:00 PM,1:31:00 PM,1:55:00 PM,2:19:00 PM,2:42 PM[G],2:44:00 PM,3:10:00 PM,3:35:00 PM,4:00:00 PM,4:27:00 PM,4:52:00 PM,5:19:00 PM,5:42:00 PM,6:08:00 PM,6:34:00 PM,7:00:00 PM,7:26:00 PM,7:44:00 PM,8:12:00 PM,8:45:00 PM,9:25:00 PM,9:57:00 PM,10:27:00 PM,11:00:00 PM,11:35:00 PM,12:06:00 AM,12:43:00 AM,1:27:00 AM
TRUSCOTT DR at THETFORD CRT,5:25:00 AM,5:44:00 AM,6:16:00 AM,6:39:00 AM,7:06:00 AM,7:32:00 AM,7:57:00 AM,8:26:00 AM,8:47:00 AM,9:12:00 AM,9:37:00 AM,10:02:00 AM,10:26:00 AM,10:50:00 AM,11:14:00 AM,11:38:00 AM,12:02:00 PM,12:26:00 PM,12:50:00 PM,1:14:00 PM,1:38:00 PM,2:02:00 PM,2:26:00 PM,2:48 PM[G],2:51:00 PM,3:17:00 PM,3:42:00 PM,4:07:00 PM,4:34:00 PM,4:59:00 PM,5:26:00 PM,5:49:00 PM,6:15:00 PM,6:41:00 PM,7:07:00 PM,7:33:00 PM,7:51:00 PM,8:19:00 PM,8:52:00 PM,9:32:00 PM,10:04:00 PM,10:34:00 PM,11:07:00 PM,11:42:00 PM,12:13:00 AM,12:50:00 AM,1:34:00 AM
ERIN MILLS PKY north of FOWLER DR,5:29:00 AM,5:48:00 AM,6:21:00 AM,6:44:00 AM,7:11:00 AM,7:37:00 AM,8:02:00 AM,8:31:00 AM,8:52:00 AM,9:16:00 AM,9:41:00 AM,10:06:00 AM,10:30:00 AM,10:54:00 AM,11:18:00 AM,11:42:00 AM,12:06:00 PM,12:30:00 PM,12:54:00 PM,1:18:00 PM,1:42:00 PM,2:07:00 PM,2:31:00 PM,2:52 PM[G],2:56:00 PM,3:22:00 PM,3:47:00 PM,4:12:00 PM,4:39:00 PM,5:04:00 PM,5:31:00 PM,5:54:00 PM,6:20:00 PM,6:46:00 PM,7:10:00 PM,7:36:00 PM,7:54:00 PM,8:22:00 PM,8:55:00 PM,9:35:00 PM,10:07:00 PM,10:37:00 PM,11:10:00 PM,11:45:00 PM,12:16:00 AM,12:53:00 AM,1:37:00 AM
ERIN MILLS PKY at DUNDAS ST W,5:33:00 AM,5:52:00 AM,6:24:00 AM,6:47:00 AM,7:14:00 AM,7:40:00 AM,8:05:00 AM,8:34:00 AM,8:55:00 AM,9:20:00 AM,9:45:00 AM,10:10:00 AM,10:34:00 AM,10:58:00 AM,11:22:00 AM,11:46:00 AM,12:10:00 PM,12:34:00 PM,12:58:00 PM,1:22:00 PM,1:46:00 PM,2:10:00 PM,2:34:00 PM,2:56 PM[G],2:59:00 PM,3:25:00 PM,3:50:00 PM,4:15:00 PM,4:42:00 PM,5:07:00 PM,5:34:00 PM,5:57:00 PM,6:23:00 PM,6:49:00 PM,7:14:00 PM,7:40:00 PM,7:58:00 PM,8:26:00 PM,8:59:00 PM,9:39:00 PM,10:11:00 PM,10:41:00 PM,11:14:00 PM,11:49:00 PM,12:20:00 AM,12:57:00 AM,1:41:00 AM
SOUTH MILLWAY at FIFTH LINE W,5:35:00 AM,5:54:00 AM,6:27:00 AM,6:50:00 AM,7:17:00 AM,7:43:00 AM,8:08:00 AM,8:37:00 AM,8:58:00 AM,9:22:00 AM,9:47:00 AM,10:12:00 AM,10:36:00 AM,11:00:00 AM,11:24:00 AM,11:48:00 AM,12:12:00 PM,12:36:00 PM,1:00:00 PM,1:24:00 PM,1:48:00 PM,2:13:00 PM,2:37:00 PM,2:59 PM[G],3:02:00 PM,3:28:00 PM,3:53:00 PM,4:18:00 PM,4:45:00 PM,5:10:00 PM,5:37:00 PM,6:00:00 PM,6:26:00 PM,6:52:00 PM,7:16:00 PM,7:42:00 PM,8:00:00 PM,8:28:00 PM,9:01:00 PM,9:41:00 PM,10:13:00 PM,10:43:00 PM,11:16:00 PM,11:51:00 PM,12:22:00 AM,12:59:00 AM,1:43:00 AM
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM G,5:40:00 AM,5:59:00 AM,6:32:00 AM,6:55:00 AM,7:22:00 AM,7:48:00 AM,8:13:00 AM,8:42:00 AM,9:03:00 AM,9:27:00 AM,9:52:00 AM,10:17:00 AM,10:41:00 AM,11:05:00 AM,11:29:00 AM,11:53:00 AM,12:17:00 PM,12:41:00 PM,1:05:00 PM,1:29:00 PM,1:53:00 PM,2:18:00 PM,2:42:00 PM,3:03 PM[G],3:07:00 PM,3:33:00 PM,3:58:00 PM,4:23:00 PM,4:50:00 PM,5:15:00 PM,5:42:00 PM,6:05:00 PM,6:31:00 PM,6:57:00 PM,7:21:00 PM,7:47:00 PM,8:05:00 PM,8:33:00 PM,9:06:00 PM,9:46:00 PM,10:18:00 PM,10:48:00 PM,11:21:00 PM,11:56:00 PM,12:27:00 AM,1:04:00 AM,1:48:00 AM
GLEN ERIN DR at FOLKWAY DR,5:44:00 AM,6:03:00 AM,6:36:00 AM,6:59:00 AM,7:26:00 AM,7:52:00 AM,8:17:00 AM,8:46:00 AM,9:07:00 AM,9:31:00 AM,9:56:00 AM,10:21:00 AM,10:45:00 AM,11:09:00 AM,11:33:00 AM,11:57:00 AM,12:21:00 PM,12:45:00 PM,1:09:00 PM,1:33:00 PM,1:57:00 PM,2:22:00 PM,2:46:00 PM,3:11:00 PM,3:37:00 PM,4:02:00 PM,4:27:00 PM,4:54:00 PM,5:19:00 PM,5:46:00 PM,6:09:00 PM,6:35:00 PM,7:01:00 PM,7:25:00 PM,7:51:00 PM,8:09:00 PM,8:37:00 PM,9:10:00 PM,9:50:00 PM,10:22:00 PM,10:52:00 PM,11:25:00 PM,12:00:00 AM,12:31:00 AM,1:08:00 AM,1:52:00 AM,
ERIN MILLS PKY north of CREDIT VALLEY RD,5:48:00 AM,6:07:00 AM,6:40:00 AM,7:03:00 AM,7:30:00 AM,7:56:00 AM,8:21:00 AM,8:50:00 AM,9:11:00 AM,9:35:00 AM,10:00:00 AM,10:25:00 AM,10:49:00 AM,11:13:00 AM,11:37:00 AM,12:01:00 PM,12:25:00 PM,12:49:00 PM,1:13:00 PM,1:37:00 PM,2:01:00 PM,2:26:00 PM,2:50:00 PM,3:15:00 PM,3:41:00 PM,4:06:00 PM,4:31:00 PM,4:58:00 PM,5:23:00 PM,5:50:00 PM,6:13:00 PM,6:39:00 PM,7:04:00 PM,7:28:00 PM,7:54:00 PM,8:12:00 PM,8:40:00 PM,9:13:00 PM,9:53:00 PM,10:25:00 PM,10:55:00 PM,11:28:00 PM,12:03:00 AM,12:34:00 AM,1:11:00 AM,1:55:00 AM,
