ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM A,5:05:00 AM,5:30:00 AM,5:55:00 AM,6:14:00 AM,6:46:00 AM,7:08:00 AM,7:36:00 AM,8:02:00 AM,8:27:00 AM,8:55:00 AM,9:19:00 AM,9:43:00 AM,10:07:00 AM,10:31:00 AM,10:55:00 AM,11:19:00 AM,11:43:00 AM,12:07:00 PM,12:31:00 PM,12:55:00 PM,1:19:00 PM,1:43:00 PM,2:07:00 PM,2:31:00 PM,2:55:00 PM,3:23:00 PM,3:49:00 PM,4:15:00 PM,4:40:00 PM,5:06:00 PM,5:31:00 PM,5:56:00 PM,6:21:00 PM,6:46:00 PM,7:12:00 PM,7:45:00 PM,8:18:00 PM,8:51:00 PM,9:24:00 PM,10:00:00 PM,10:33:00 PM,11:06:00 PM,11:39:00 PM,12:12:00 AM,12:41:00 AM,1:18:00 AM,
ERIN MILLS PKY at CREDIT VALLEY RD,5:09:00 AM,5:34:00 AM,5:59:00 AM,6:19:00 AM,6:51:00 AM,7:13:00 AM,7:41:00 AM,8:07:00 AM,8:32:00 AM,9:00:00 AM,9:23:00 AM,9:47:00 AM,10:11:00 AM,10:35:00 AM,10:59:00 AM,11:23:00 AM,11:47:00 AM,12:11:00 PM,12:35:00 PM,12:59:00 PM,1:23:00 PM,1:47:00 PM,2:12:00 PM,2:36:00 PM,3:00:00 PM,3:28:00 PM,3:54:00 PM,4:20:00 PM,4:45:00 PM,5:11:00 PM,5:36:00 PM,6:01:00 PM,6:26:00 PM,6:51:00 PM,7:16:00 PM,7:49:00 PM,8:22:00 PM,8:55:00 PM,9:28:00 PM,10:04:00 PM,10:37:00 PM,11:10:00 PM,11:43:00 PM,12:16:00 AM,12:45:00 AM,1:22:00 AM,
GLEN ERIN DR at FOLKWAY DR,5:13:00 AM,5:38:00 AM,6:03:00 AM,6:23:00 AM,6:55:00 AM,7:17:00 AM,7:45:00 AM,8:11:00 AM,8:36:00 AM,9:04:00 AM,9:27:00 AM,9:51:00 AM,10:15:00 AM,10:39:00 AM,11:03:00 AM,11:27:00 AM,11:51:00 AM,12:15:00 PM,12:39:00 PM,1:03:00 PM,1:27:00 PM,1:51:00 PM,2:16:00 PM,2:40:00 PM,3:04:00 PM,3:32:00 PM,3:58:00 PM,4:24:00 PM,4:49:00 PM,5:15:00 PM,5:40:00 PM,6:05:00 PM,6:30:00 PM,6:55:00 PM,7:20:00 PM,7:53:00 PM,8:26:00 PM,8:59:00 PM,9:32:00 PM,10:08:00 PM,10:41:00 PM,11:14:00 PM,11:47:00 PM,12:20:00 AM,12:49:00 AM,1:26:00 AM,
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM I,5:19:00 AM,5:44:00 AM,6:08:00 AM,6:28:00 AM,7:00:00 AM,7:22:00 AM,7:50:00 AM,8:16:00 AM,8:41:00 AM,9:10:00 AM,9:33:00 AM,9:57:00 AM,10:21:00 AM,10:45:00 AM,11:09:00 AM,11:33:00 AM,11:57:00 AM,12:21:00 PM,12:45:00 PM,1:09:00 PM,1:33:00 PM,1:57:00 PM,2:21:00 PM,2:45:00 PM,3:09:00 PM,3:37:00 PM,4:03:00 PM,4:29:00 PM,4:54:00 PM,5:20:00 PM,5:45:00 PM,6:10:00 PM,6:35:00 PM,7:00:00 PM,7:25:00 PM,7:58:00 PM,8:31:00 PM,9:04:00 PM,9:37:00 PM,10:13:00 PM,10:46:00 PM,11:19:00 PM,11:52:00 PM,12:25:00 AM,12:54:00 AM,1:31:00 AM,
SOUTH MILLWAY at FIFTH LINE WEST,5:22:00 AM,5:47:00 AM,6:12:00 AM,6:32:00 AM,7:04:00 AM,7:26:00 AM,7:54:00 AM,8:20:00 AM,8:45:00 AM,9:13:00 AM,9:36:00 AM,10:00:00 AM,10:24:00 AM,10:48:00 AM,11:12:00 AM,11:36:00 AM,12:00:00 PM,12:24:00 PM,12:48:00 PM,1:12:00 PM,1:36:00 PM,2:00:00 PM,2:25:00 PM,2:49:00 PM,3:13:00 PM,3:41:00 PM,4:07:00 PM,4:33:00 PM,4:58:00 PM,5:24:00 PM,5:49:00 PM,6:14:00 PM,6:39:00 PM,7:03:00 PM,7:28:00 PM,8:01:00 PM,8:34:00 PM,9:07:00 PM,9:40:00 PM,10:16:00 PM,10:49:00 PM,11:22:00 PM,11:55:00 PM,12:28:00 AM,12:57:00 AM,1:34:00 AM,
ERIN MILLS PKY FIRST STOP south of DUNDAS ST W,5:24:00 AM,5:49:00 AM,6:14:00 AM,6:34:00 AM,7:06:00 AM,7:28:00 AM,7:56:00 AM,8:22:00 AM,8:47:00 AM,9:15:00 AM,9:38:00 AM,10:02:00 AM,10:26:00 AM,10:50:00 AM,11:14:00 AM,11:38:00 AM,12:02:00 PM,12:26:00 PM,12:50:00 PM,1:14:00 PM,1:38:00 PM,2:02:00 PM,2:27:00 PM,2:51:00 PM,3:15:00 PM,3:43:00 PM,4:09:00 PM,4:35:00 PM,5:00:00 PM,5:26:00 PM,5:51:00 PM,6:16:00 PM,6:41:00 PM,7:05:00 PM,7:30:00 PM,8:03:00 PM,8:36:00 PM,9:09:00 PM,9:42:00 PM,10:18:00 PM,10:51:00 PM,11:24:00 PM,11:57:00 PM,12:30:00 AM,12:59:00 AM,1:36:00 AM,
SHERIDAN CENTRE BUS TERMINAL PLATFORM B,5:28:00 AM,5:53:00 AM,6:19:00 AM,6:39:00 AM,7:11:00 AM,7:33:00 AM,8:01:00 AM,8:27:00 AM,8:52:00 AM,9:19:00 AM,9:42:00 AM,10:06:00 AM,10:30:00 AM,10:54:00 AM,11:18:00 AM,11:42:00 AM,12:06:00 PM,12:30:00 PM,12:54:00 PM,1:18:00 PM,1:42:00 PM,2:07:00 PM,2:21 PM[G],2:32:00 PM,2:56:00 PM,3:20:00 PM,3:48:00 PM,4:14:00 PM,4:40:00 PM,5:05:00 PM,5:31:00 PM,5:56:00 PM,6:21:00 PM,6:46:00 PM,7:10:00 PM,7:35:00 PM,8:08:00 PM,8:41:00 PM,9:14:00 PM,9:47:00 PM,10:23:00 PM,10:56:00 PM,11:29:00 PM,12:02:00 AM,12:35:00 AM,1:04:00 AM,1:41:00 AM
TRUSCOTT DR at THETFORD CRT,5:33:00 AM,5:58:00 AM,6:23:00 AM,6:43:00 AM,7:15:00 AM,7:37:00 AM,8:05:00 AM,8:31:00 AM,8:56:00 AM,9:24:00 AM,9:47:00 AM,10:11:00 AM,10:35:00 AM,10:59:00 AM,11:23:00 AM,11:47:00 AM,12:11:00 PM,12:35:00 PM,12:59:00 PM,1:23:00 PM,1:47:00 PM,2:11:00 PM,2:25 PM[G],2:36:00 PM,3:00:00 PM,3:24:00 PM,3:52:00 PM,4:18:00 PM,4:44:00 PM,5:09:00 PM,5:35:00 PM,6:00:00 PM,6:25:00 PM,6:50:00 PM,7:14:00 PM,7:39:00 PM,8:12:00 PM,8:45:00 PM,9:18:00 PM,9:51:00 PM,10:27:00 PM,11:00:00 PM,11:33:00 PM,12:06:00 AM,12:39:00 AM,1:08:00 AM,1:45:00 AM
BROMSGROVE RD at CRAMER ST,5:40:00 AM,6:06:00 AM,6:31:00 AM,6:51:00 AM,7:23:00 AM,7:45:00 AM,8:13:00 AM,8:39:00 AM,9:04:00 AM,9:31:00 AM,9:54:00 AM,10:18:00 AM,10:42:00 AM,11:06:00 AM,11:30:00 AM,11:54:00 AM,12:18:00 PM,12:42:00 PM,1:06:00 PM,1:30:00 PM,1:54:00 PM,2:19:00 PM,2:33 PM[G],2:44:00 PM,3:08:00 PM,3:32:00 PM,4:00:00 PM,4:26:00 PM,4:52:00 PM,5:17:00 PM,5:43:00 PM,6:08:00 PM,6:33:00 PM,6:58:00 PM,7:20:00 PM,7:45:00 PM,8:18:00 PM,8:51:00 PM,9:24:00 PM,9:57:00 PM,10:33:00 PM,11:06:00 PM,11:39:00 PM,12:12:00 AM,12:45:00 AM,1:14:00 AM,1:51:00 AM
CLARKSON GO STATION PLATFORM F,5:47:00 AM,6:13:00 AM,6:38:00 AM,6:58:00 AM,7:30:00 AM,7:52:00 AM,8:20:00 AM,8:46:00 AM,9:11:00 AM,9:38:00 AM,10:01:00 AM,10:25:00 AM,10:49:00 AM,11:13:00 AM,11:37:00 AM,12:01:00 PM,12:25:00 PM,12:49:00 PM,1:13:00 PM,1:37:00 PM,2:01:00 PM,2:26:00 PM,2:40 PM[G],2:51:00 PM,3:15:00 PM,3:39:00 PM,4:07:00 PM,4:33:00 PM,4:59:00 PM,5:24:00 PM,5:50:00 PM,6:15:00 PM,6:40:00 PM,7:05:00 PM,7:27:00 PM,7:52:00 PM,8:25:00 PM,8:58:00 PM,9:31:00 PM,10:04:00 PM,10:40:00 PM,11:18:00 PM,11:46:00 PM,12:19:00 AM,12:52:00 AM,1:21:00 AM,1:58:00 AM
