WESTWOOD MALL BUS TERMINAL PLATFORM A,9:32:00 AM,10:02:00 AM,10:32:00 AM,11:02:00 AM,11:32:00 AM,12:02:00 PM,12:32:00 PM,1:02:00 PM,1:32:00 PM,2:02:00 PM,6:34:00 PM,7:03:00 PM,7:32:00 PM,8:32:00 PM,9:32:00 PM,10:32:00 PM
CATALPA RD at BRANDON GATE DR,9:35:00 AM,10:05:00 AM,10:35:00 AM,11:05:00 AM,11:35:00 AM,12:05:00 PM,12:35:00 PM,1:05:00 PM,1:35:00 PM,2:05:00 PM,6:37:00 PM,7:06:00 PM,7:35:00 PM,8:35:00 PM,9:35:00 PM,10:35:00 PM
BRANDON GATE DR west of CATALPA RD,9:35:00 AM,10:05:00 AM,10:35:00 AM,11:05:00 AM,11:35:00 AM,12:05:00 PM,12:35:00 PM,1:05:00 PM,1:35:00 PM,2:05:00 PM,6:37:00 PM,7:06:00 PM,7:35:00 PM,8:35:00 PM,9:35:00 PM,10:35:00 PM
NETHERWOOD RD at BENAVON RD,9:39:00 AM,10:09:00 AM,10:39:00 AM,11:09:00 AM,11:39:00 AM,12:09:00 PM,12:39:00 PM,1:09:00 PM,1:39:00 PM,2:09:00 PM,6:41:00 PM,7:10:00 PM,7:39:00 PM,8:39:00 PM,9:39:00 PM,10:39:00 PM
BENAVON RD at REDSTONE RD,9:39:00 AM,10:09:00 AM,10:39:00 AM,11:09:00 AM,11:39:00 AM,12:09:00 PM,12:39:00 PM,1:09:00 PM,1:39:00 PM,2:09:00 PM,6:41:00 PM,7:10:00 PM,7:39:00 PM,8:39:00 PM,9:39:00 PM,10:39:00 PM
BEVERLEY ST at AIRPORT RD,9:45:00 AM,10:15:00 AM,10:45:00 AM,11:15:00 AM,11:45:00 AM,12:15:00 PM,12:45:00 PM,1:15:00 PM,1:45:00 PM,2:15:00 PM,6:47:00 PM,7:16:00 PM,7:45:00 PM,8:45:00 PM,9:45:00 PM,10:45:00 PM
HULL ST at AIRPORT RD,9:48:00 AM,10:18:00 AM,10:48:00 AM,11:18:00 AM,11:48:00 AM,12:18:00 PM,12:48:00 PM,1:18:00 PM,1:48:00 PM,2:18:00 PM,6:50:00 PM,7:19:00 PM,7:48:00 PM,8:48:00 PM,9:48:00 PM,10:48:00 PM
HULL ST at DERRY RD,9:48:00 AM,10:18:00 AM,10:48:00 AM,11:18:00 AM,11:48:00 AM,12:18:00 PM,12:48:00 PM,1:18:00 PM,1:48:00 PM,2:18:00 PM,6:50:00 PM,7:19:00 PM,7:48:00 PM,8:48:00 PM,9:48:00 PM,10:48:00 PM
DERRY RD at GOREWAY DR,9:51:00 AM,10:21:00 AM,10:51:00 AM,11:21:00 AM,11:51:00 AM,12:21:00 PM,12:51:00 PM,1:21:00 PM,1:51:00 PM,2:21:00 PM,6:53:00 PM,7:22:00 PM,7:51:00 PM,8:51:00 PM,9:51:00 PM,10:51:00 PM
DERRY RD east of GOREWAY DR,9:51:00 AM,10:21:00 AM,10:51:00 AM,11:21:00 AM,11:51:00 AM,12:21:00 PM,12:51:00 PM,1:21:00 PM,1:51:00 PM,2:21:00 PM,6:53:00 PM,7:22:00 PM,7:51:00 PM,8:51:00 PM,9:51:00 PM,10:51:00 PM
REXDALE BLVD at HUMBERWOOD BLVD,9:54:00 AM,10:24:00 AM,10:54:00 AM,11:24:00 AM,11:54:00 AM,12:24:00 PM,12:54:00 PM,1:24:00 PM,1:54:00 PM,2:24:00 PM,6:56:00 PM,7:25:00 PM,7:54:00 PM,8:54:00 PM,9:54:00 PM,10:54:00 PM
WOODBINE CENTRE BUS TERMINAL PLATFORM A,9:55:00 AM,10:25:00 AM,10:55:00 AM,11:25:00 AM,11:55:00 AM,12:25:00 PM,12:55:00 PM,1:25:00 PM,1:55:00 PM,2:25:00 PM,6:57:00 PM,7:26:00 PM,7:55:00 PM,8:55:00 PM,9:55:00 PM,10:55:00 PM
