SHERIDAN CENTRE BUS TERMINAL PLATFORM D,4:59:00 AM,5:31:00 AM,6:01:00 AM,6:31:00 AM,7:01:00 AM,7:20:00 AM,7:39:00 AM,8:01:00 AM,8:23:00 AM,8:45:00 AM,9:05:00 AM,9:34:00 AM,10:04:00 AM,10:34:00 AM,11:04:00 AM,11:31:00 AM,12:04:00 PM,12:34:00 PM,1:04:00 PM,1:32:00 PM,2:01:00 PM,2:32:00 PM,2:52:00 PM,3:13:00 PM,3:33:00 PM,3:56:00 PM,4:20:00 PM,4:42:00 PM,5:04:00 PM,5:25:00 PM,5:48:00 PM,6:23:00 PM,6:51:00 PM,7:21:00 PM,7:51:00 PM,8:21:00 PM,8:51:00 PM,9:21:00 PM,9:51:00 PM,10:21:00 PM,10:51:00 PM,11:21:00 PM
SHERIDAN PARK DR west of FIFTH LINE WEST,5:03:00 AM,5:35:00 AM,6:05:00 AM,6:36:00 AM,7:06:00 AM,7:25:00 AM,7:43:00 AM,8:05:00 AM,8:27:00 AM,8:49:00 AM,9:09:00 AM,9:38:00 AM,10:08:00 AM,10:38:00 AM,11:08:00 AM,11:35:00 AM,12:08:00 PM,12:38:00 PM,1:08:00 PM,1:36:00 PM,2:05:00 PM,2:37:00 PM,2:57:00 PM,3:18:00 PM,3:38:00 PM,4:01:00 PM,4:25:00 PM,4:47:00 PM,5:09:00 PM,5:30:00 PM,5:52:00 PM,6:27:00 PM,6:55:00 PM,7:25:00 PM,7:55:00 PM,8:25:00 PM,8:55:00 PM,9:25:00 PM,9:55:00 PM,10:25:00 PM,10:55:00 PM,11:25:00 PM
HOMELANDS DR at PYRAMID CRES,5:04:00 AM,5:36:00 AM,6:06:00 AM,6:37:00 AM,7:07:00 AM,7:26:00 AM,7:44:00 AM,8:06:00 AM,8:28:00 AM,8:50:00 AM,9:10:00 AM,9:39:00 AM,10:09:00 AM,10:39:00 AM,11:09:00 AM,11:36:00 AM,12:09:00 PM,12:39:00 PM,1:09:00 PM,1:37:00 PM,2:06:00 PM,2:38:00 PM,2:58:00 PM,3:19:00 PM,3:39:00 PM,4:02:00 PM,4:26:00 PM,4:48:00 PM,5:10:00 PM,5:31:00 PM,5:53:00 PM,6:28:00 PM,6:56:00 PM,7:26:00 PM,7:56:00 PM,8:26:00 PM,8:56:00 PM,9:26:00 PM,9:56:00 PM,10:26:00 PM,10:56:00 PM,11:26:00 PM
WOODCHESTER DR at DUNDAS ST,5:08:00 AM,5:40:00 AM,6:10:00 AM,6:42:00 AM,7:12:00 AM,7:31:00 AM,7:48:00 AM,8:10:00 AM,8:32:00 AM,8:54:00 AM,9:14:00 AM,9:43:00 AM,10:13:00 AM,10:43:00 AM,11:13:00 AM,11:40:00 AM,12:13:00 PM,12:43:00 PM,1:13:00 PM,1:42:00 PM,2:11:00 PM,2:43:00 PM,3:03:00 PM,3:24:00 PM,3:44:00 PM,4:07:00 PM,4:31:00 PM,4:53:00 PM,5:15:00 PM,5:36:00 PM,5:57:00 PM,6:32:00 PM,6:59:00 PM,7:29:00 PM,7:59:00 PM,8:29:00 PM,8:59:00 PM,9:29:00 PM,9:59:00 PM,10:29:00 PM,10:59:00 PM,11:29:00 PM
DUNDAS ST at WOODCHESTER DR,5:08:00 AM,5:40:00 AM,6:10:00 AM,6:42:00 AM,7:12:00 AM,7:31:00 AM,7:48:00 AM,8:10:00 AM,8:32:00 AM,8:54:00 AM,9:14:00 AM,9:43:00 AM,10:13:00 AM,10:43:00 AM,11:13:00 AM,11:40:00 AM,12:13:00 PM,12:43:00 PM,1:13:00 PM,1:42:00 PM,2:11:00 PM,2:43:00 PM,3:03:00 PM,3:24:00 PM,3:44:00 PM,4:07:00 PM,4:31:00 PM,4:53:00 PM,5:15:00 PM,5:36:00 PM,5:57:00 PM,6:32:00 PM,6:59:00 PM,7:29:00 PM,7:59:00 PM,8:29:00 PM,8:59:00 PM,9:29:00 PM,9:59:00 PM,10:29:00 PM,10:59:00 PM,11:29:00 PM
THE COLLEGEWAY at GLEN ERIN DR,5:12:00 AM,5:44:00 AM,6:14:00 AM,6:47:00 AM,7:17:00 AM,7:36:00 AM,7:52:00 AM,8:14:00 AM,8:36:00 AM,8:58:00 AM,9:18:00 AM,9:47:00 AM,10:17:00 AM,10:47:00 AM,11:17:00 AM,11:44:00 AM,12:17:00 PM,12:47:00 PM,1:17:00 PM,1:46:00 PM,2:15:00 PM,2:48:00 PM,3:08:00 PM,3:29:00 PM,3:49:00 PM,4:12:00 PM,4:36:00 PM,4:58:00 PM,5:20:00 PM,5:41:00 PM,6:01:00 PM,6:36:00 PM,7:02:00 PM,7:32:00 PM,8:02:00 PM,8:32:00 PM,9:02:00 PM,9:32:00 PM,10:02:00 PM,10:32:00 PM,11:02:00 PM,11:32:00 PM
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM G,5:15:00 AM,5:47:00 AM,6:17:00 AM,6:50:00 AM,7:20:00 AM,7:39:00 AM,7:55:00 AM,8:17:00 AM,8:39:00 AM,9:01:00 AM,9:21:00 AM,9:50:00 AM,10:20:00 AM,10:50:00 AM,11:20:00 AM,11:47:00 AM,12:20:00 PM,12:50:00 PM,1:20:00 PM,1:49:00 PM,2:18:00 PM,2:51:00 PM,3:11:00 PM,3:32:00 PM,3:52:00 PM,4:15:00 PM,4:39:00 PM,5:01:00 PM,5:23:00 PM,5:44:00 PM,6:04:00 PM,6:39:00 PM,7:05:00 PM,7:35:00 PM,8:05:00 PM,8:35:00 PM,9:05:00 PM,9:35:00 PM,10:05:00 PM,10:35:00 PM,11:05:00 PM,11:35:00 PM
FOLKWAY DR at UNITY GATE,5:20:00 AM,5:52:00 AM,6:22:00 AM,6:55:00 AM,7:25:00 AM,7:44:00 AM,8:00:00 AM,8:22:00 AM,8:44:00 AM,9:06:00 AM,9:26:00 AM,9:55:00 AM,10:25:00 AM,10:55:00 AM,11:25:00 AM,11:52:00 AM,12:25:00 PM,12:55:00 PM,1:25:00 PM,1:54:00 PM,2:23:00 PM,2:56:00 PM,3:16:00 PM,3:37:00 PM,3:57:00 PM,4:20:00 PM,4:44:00 PM,5:06:00 PM,5:28:00 PM,5:49:00 PM,6:09:00 PM,6:44:00 PM,7:10:00 PM,7:40:00 PM,8:10:00 PM,8:40:00 PM,9:10:00 PM,9:40:00 PM,10:10:00 PM,10:40:00 PM,11:10:00 PM,11:40:00 PM
FOLKWAY DR at TAFFEY CRES (east leg),5:21:00 AM,5:53:00 AM,6:23:00 AM,6:56:00 AM,7:26:00 AM,7:45:00 AM,8:01:00 AM,8:23:00 AM,8:45:00 AM,9:07:00 AM,9:27:00 AM,9:56:00 AM,10:26:00 AM,10:56:00 AM,11:26:00 AM,11:53:00 AM,12:26:00 PM,12:56:00 PM,1:26:00 PM,1:55:00 PM,2:24:00 PM,2:57:00 PM,3:17:00 PM,3:38:00 PM,3:58:00 PM,4:21:00 PM,4:45:00 PM,5:07:00 PM,5:29:00 PM,5:50:00 PM,6:10:00 PM,6:45:00 PM,7:11:00 PM,7:41:00 PM,8:11:00 PM,8:41:00 PM,9:11:00 PM,9:41:00 PM,10:11:00 PM,10:41:00 PM,11:11:00 PM,11:41:00 PM
FOLKWAY DR at SAWMILL VALLEY DR,5:25:00 AM,5:57:00 AM,6:27:00 AM,7:00:00 AM,7:30:00 AM,7:49:00 AM,8:05:00 AM,8:27:00 AM,8:49:00 AM,9:11:00 AM,9:31:00 AM,10:00:00 AM,10:30:00 AM,11:00:00 AM,11:30:00 AM,11:57:00 AM,12:30:00 PM,1:00:00 PM,1:30:00 PM,1:59:00 PM,2:28:00 PM,3:01:00 PM,3:21:00 PM,3:42:00 PM,4:02:00 PM,4:25:00 PM,4:49:00 PM,5:11:00 PM,5:33:00 PM,5:54:00 PM,6:14:00 PM,6:49:00 PM,7:15:00 PM,7:45:00 PM,8:15:00 PM,8:45:00 PM,9:15:00 PM,9:45:00 PM,10:15:00 PM,10:45:00 PM,11:15:00 PM,11:45:00 PM
FOLKWAY DR at COPPERSMITH CRT,5:26:00 AM,5:58:00 AM,6:28:00 AM,7:01:00 AM,7:31:00 AM,7:50:00 AM,8:06:00 AM,8:28:00 AM,8:50:00 AM,9:12:00 AM,9:32:00 AM,10:01:00 AM,10:31:00 AM,11:01:00 AM,11:31:00 AM,11:58:00 AM,12:31:00 PM,1:01:00 PM,1:31:00 PM,2:00:00 PM,2:29:00 PM,3:02:00 PM,3:22:00 PM,3:43:00 PM,4:03:00 PM,4:26:00 PM,4:50:00 PM,5:12:00 PM,5:34:00 PM,5:55:00 PM,6:15:00 PM,6:50:00 PM,7:16:00 PM,7:46:00 PM,8:16:00 PM,8:46:00 PM,9:16:00 PM,9:46:00 PM,10:16:00 PM,10:46:00 PM,11:16:00 PM,11:46:00 PM
FOLKWAY DR at SAWMILL VALLEY DR,5:30:00 AM,6:02:00 AM,6:32:00 AM,7:05:00 AM,7:35:00 AM,7:54:00 AM,8:10:00 AM,8:32:00 AM,8:54:00 AM,9:16:00 AM,9:36:00 AM,10:05:00 AM,10:35:00 AM,11:05:00 AM,11:35:00 AM,12:02:00 PM,12:35:00 PM,1:05:00 PM,1:35:00 PM,2:04:00 PM,2:33:00 PM,3:06:00 PM,3:26:00 PM,3:47:00 PM,4:07:00 PM,4:30:00 PM,4:54:00 PM,5:16:00 PM,5:38:00 PM,5:59:00 PM,6:19:00 PM,6:54:00 PM,7:20:00 PM,7:50:00 PM,8:20:00 PM,8:50:00 PM,9:20:00 PM,9:50:00 PM,10:20:00 PM,10:50:00 PM,11:20:00 PM,11:50:00 PM
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM I,5:34:00 AM,6:07:00 AM,6:37:00 AM,7:11:00 AM,7:41:00 AM,8:00:00 AM,8:14:00 AM,8:36:00 AM,8:58:00 AM,9:20:00 AM,9:40:00 AM,10:09:00 AM,10:39:00 AM,11:09:00 AM,11:39:00 AM,12:06:00 PM,12:39:00 PM,1:09:00 PM,1:39:00 PM,2:10:00 PM,2:39:00 PM,3:12:00 PM,3:32:00 PM,3:53:00 PM,4:13:00 PM,4:36:00 PM,5:00:00 PM,5:22:00 PM,5:44:00 PM,6:04:00 PM,6:23:00 PM,6:58:00 PM,7:24:00 PM,7:54:00 PM,8:24:00 PM,8:54:00 PM,9:24:00 PM,9:54:00 PM,10:24:00 PM,10:54:00 PM,11:24:00 PM,11:54:00 PM
