CITY CENTRE BUS TERMINAL PLATFORM J,4:57:00 AM,5:20:00 AM,5:43:00 AM,6:06:00 AM,6:29:00 AM,6:52:00 AM,7:15:00 AM,7:38:00 AM,8:01:00 AM,8:24:00 AM,8:47:00 AM,9:10:00 AM,9:33:00 AM,9:56:00 AM,10:19:00 AM,10:42:00 AM,11:05:00 AM,11:28:00 AM,11:51:00 AM,12:14:00 PM,12:37:00 PM,1:00:00 PM,1:23:00 PM,1:45:00 PM,2:09:00 PM,2:32:00 PM,2:55:00 PM,3:18:00 PM,3:41:00 PM,4:04:00 PM,4:27:00 PM,4:50:00 PM,5:13:00 PM,5:36:00 PM,5:59:00 PM,6:22:00 PM,6:45:00 PM,7:03:00 PM,7:26:00 PM,7:50:00 PM,8:16:00 PM,8:43:00 PM,9:10:00 PM,9:37:00 PM,10:04:00 PM,10:31:00 PM,10:57:00 PM,11:25:00 PM,11:52:00 PM,12:19:00 AM,12:46:00 AM,1:13:00 AM
KINGSBRIDGE GARDEN CIRCLE at TUCANA CRT,5:02:00 AM,5:25:00 AM,5:48:00 AM,6:12:00 AM,6:35:00 AM,6:58:00 AM,7:22:00 AM,7:45:00 AM,8:08:00 AM,8:31:00 AM,8:53:00 AM,9:16:00 AM,9:39:00 AM,10:02:00 AM,10:25:00 AM,10:48:00 AM,11:11:00 AM,11:34:00 AM,11:57:00 AM,12:20:00 PM,12:43:00 PM,1:06:00 PM,1:29:00 PM,1:51:00 PM,2:15:00 PM,2:38:00 PM,3:01:00 PM,3:25:00 PM,3:49:00 PM,4:12:00 PM,4:35:00 PM,4:58:00 PM,5:21:00 PM,5:44:00 PM,6:06:00 PM,6:29:00 PM,6:52:00 PM,7:10:00 PM,7:33:00 PM,7:57:00 PM,8:23:00 PM,8:50:00 PM,9:17:00 PM,9:44:00 PM,10:11:00 PM,10:38:00 PM,11:04:00 PM,11:32:00 PM,11:59:00 PM,12:26:00 AM,12:53:00 AM,1:20:00 AM
EGLINTON AVE at MCLAUGHLIN RD,5:07:00 AM,5:30:00 AM,5:53:00 AM,6:17:00 AM,6:40:00 AM,7:03:00 AM,7:27:00 AM,7:50:00 AM,8:13:00 AM,8:36:00 AM,8:58:00 AM,9:21:00 AM,9:44:00 AM,10:07:00 AM,10:30:00 AM,10:53:00 AM,11:16:00 AM,11:39:00 AM,12:02:00 PM,12:25:00 PM,12:48:00 PM,1:11:00 PM,1:34:00 PM,1:56:00 PM,2:20:00 PM,2:43:00 PM,3:07:00 PM,3:31:00 PM,3:55:00 PM,4:18:00 PM,4:41:00 PM,5:04:00 PM,5:27:00 PM,5:49:00 PM,6:11:00 PM,6:34:00 PM,6:57:00 PM,7:15:00 PM,7:38:00 PM,8:02:00 PM,8:28:00 PM,8:55:00 PM,9:22:00 PM,9:49:00 PM,10:16:00 PM,10:43:00 PM,11:09:00 PM,11:37:00 PM,12:04:00 AM,12:31:00 AM,12:58:00 AM,1:25:00 AM
EGLINTON AVE at MAVIS RD,5:09:00 AM,5:32:00 AM,5:55:00 AM,6:20:00 AM,6:43:00 AM,7:06:00 AM,7:30:00 AM,7:53:00 AM,8:16:00 AM,8:39:00 AM,9:01:00 AM,9:24:00 AM,9:47:00 AM,10:10:00 AM,10:33:00 AM,10:56:00 AM,11:19:00 AM,11:42:00 AM,12:05:00 PM,12:28:00 PM,12:51:00 PM,1:14:00 PM,1:37:00 PM,1:59:00 PM,2:23:00 PM,2:46:00 PM,3:10:00 PM,3:34:00 PM,3:58:00 PM,4:21:00 PM,4:44:00 PM,5:07:00 PM,5:30:00 PM,5:52:00 PM,6:14:00 PM,6:36:00 PM,6:59:00 PM,7:17:00 PM,7:40:00 PM,8:04:00 PM,8:30:00 PM,8:57:00 PM,9:24:00 PM,9:51:00 PM,10:18:00 PM,10:45:00 PM,11:11:00 PM,11:39:00 PM,12:06:00 AM,12:33:00 AM,1:00:00 AM,1:27:00 AM
EGLINTON AVE at CREDITVIEW RD,5:14:00 AM,5:37:00 AM,6:00:00 AM,6:25:00 AM,6:48:00 AM,7:11:00 AM,7:35:00 AM,7:58:00 AM,8:21:00 AM,8:44:00 AM,9:06:00 AM,9:29:00 AM,9:52:00 AM,10:15:00 AM,10:38:00 AM,11:01:00 AM,11:24:00 AM,11:47:00 AM,12:10:00 PM,12:33:00 PM,12:56:00 PM,1:19:00 PM,1:42:00 PM,2:05:00 PM,2:29:00 PM,2:52:00 PM,3:16:00 PM,3:40:00 PM,4:04:00 PM,4:27:00 PM,4:50:00 PM,5:13:00 PM,5:36:00 PM,5:58:00 PM,6:20:00 PM,6:42:00 PM,7:05:00 PM,7:23:00 PM,7:45:00 PM,8:09:00 PM,8:35:00 PM,9:02:00 PM,9:29:00 PM,9:56:00 PM,10:23:00 PM,10:50:00 PM,11:16:00 PM,11:44:00 PM,12:11:00 AM,12:38:00 AM,1:05:00 AM,1:32:00 AM
EGLINTON AVE west of CREDITVIEW RD,5:14:00 AM,5:37:00 AM,6:00:00 AM,6:25:00 AM,6:48:00 AM,7:11:00 AM,7:35:00 AM,7:58:00 AM,8:21:00 AM,8:44:00 AM,9:06:00 AM,9:29:00 AM,9:52:00 AM,10:15:00 AM,10:38:00 AM,11:01:00 AM,11:24:00 AM,11:47:00 AM,12:10:00 PM,12:33:00 PM,12:56:00 PM,1:19:00 PM,1:42:00 PM,2:05:00 PM,2:29:00 PM,2:52:00 PM,3:16:00 PM,3:40:00 PM,4:04:00 PM,4:27:00 PM,4:50:00 PM,5:13:00 PM,5:36:00 PM,5:58:00 PM,6:20:00 PM,6:42:00 PM,7:05:00 PM,7:23:00 PM,7:45:00 PM,8:09:00 PM,8:35:00 PM,9:02:00 PM,9:29:00 PM,9:56:00 PM,10:23:00 PM,10:50:00 PM,11:16:00 PM,11:44:00 PM,12:11:00 AM,12:38:00 AM,1:05:00 AM,1:32:00 AM
EGLINTON AVE at MISSISSAUGA RD,5:17:00 AM,5:40:00 AM,6:03:00 AM,6:28:00 AM,6:51:00 AM,7:14:00 AM,7:38:00 AM,8:01:00 AM,8:24:00 AM,8:47:00 AM,9:09:00 AM,9:32:00 AM,9:55:00 AM,10:18:00 AM,10:41:00 AM,11:04:00 AM,11:27:00 AM,11:50:00 AM,12:13:00 PM,12:36:00 PM,12:59:00 PM,1:22:00 PM,1:45:00 PM,2:08:00 PM,2:32:00 PM,2:55:00 PM,3:19:00 PM,3:43:00 PM,4:07:00 PM,4:30:00 PM,4:53:00 PM,5:16:00 PM,5:39:00 PM,6:01:00 PM,6:23:00 PM,6:45:00 PM,7:08:00 PM,7:26:00 PM,7:48:00 PM,8:12:00 PM,8:38:00 PM,9:05:00 PM,9:32:00 PM,9:59:00 PM,10:26:00 PM,10:53:00 PM,11:19:00 PM,11:47:00 PM,12:14:00 AM,12:41:00 AM,1:08:00 AM,1:35:00 AM
CREDIT VALLEY HOSPITAL[c],5:21:00 AM,5:44:00 AM,6:07:00 AM,6:33:00 AM,6:56:00 AM,7:19:00 AM,7:43:00 AM,8:06:00 AM,8:29:00 AM,8:52:00 AM,9:14:00 AM,9:37:00 AM,10:00:00 AM,10:23:00 AM,10:46:00 AM,11:09:00 AM,11:32:00 AM,11:55:00 AM,12:18:00 PM,12:41:00 PM,1:04:00 PM,1:27:00 PM,1:50:00 PM,2:13:00 PM,2:37:00 PM,3:00:00 PM,3:24:00 PM,3:48:00 PM,4:12:00 PM,4:34:00 PM,4:57:00 PM,5:20:00 PM,5:43:00 PM,6:05:00 PM,6:27:00 PM,6:49:00 PM,7:12:00 PM,7:30:00 PM,7:52:00 PM,8:16:00 PM,8:42:00 PM,9:09:00 PM,9:36:00 PM,10:03:00 PM,10:30:00 PM,10:57:00 PM,11:23:00 PM,11:51:00 PM,12:18:00 AM,12:45:00 AM,1:12:00 AM,1:39:00 AM
EGLINTON AVE at ERIN MILLS TOWN CENTRE SOUTH GATE,5:23:00 AM,5:46:00 AM,6:09:00 AM,6:36:00 AM,6:59:00 AM,7:22:00 AM,7:46:00 AM,8:09:00 AM,8:32:00 AM,8:55:00 AM,9:17:00 AM,9:40:00 AM,10:03:00 AM,10:26:00 AM,10:49:00 AM,11:12:00 AM,11:35:00 AM,11:58:00 AM,12:21:00 PM,12:44:00 PM,1:07:00 PM,1:30:00 PM,1:53:00 PM,2:16:00 PM,2:40:00 PM,3:03:00 PM,3:27:00 PM,3:51:00 PM,4:15:00 PM,4:37:00 PM,5:00:00 PM,5:23:00 PM,5:46:00 PM,6:08:00 PM,6:30:00 PM,6:52:00 PM,7:15:00 PM,7:32:00 PM,7:54:00 PM,8:18:00 PM,8:44:00 PM,9:11:00 PM,9:38:00 PM,10:05:00 PM,10:32:00 PM,10:59:00 PM,11:25:00 PM,11:53:00 PM,12:20:00 AM,12:47:00 AM,1:14:00 AM,1:41:00 AM
EGLINTON AVE at WINSTON CHURCHILL BLVD,5:26:00 AM,5:49:00 AM,6:12:00 AM,6:39:00 AM,7:02:00 AM,7:25:00 AM,7:49:00 AM,8:12:00 AM,8:35:00 AM,8:58:00 AM,9:20:00 AM,9:43:00 AM,10:06:00 AM,10:29:00 AM,10:52:00 AM,11:15:00 AM,11:38:00 AM,12:01:00 PM,12:24:00 PM,12:47:00 PM,1:10:00 PM,1:33:00 PM,1:56:00 PM,2:19:00 PM,2:43:00 PM,3:06:00 PM,3:30:00 PM,3:54:00 PM,4:18:00 PM,4:40:00 PM,5:03:00 PM,5:26:00 PM,5:49:00 PM,6:11:00 PM,6:33:00 PM,6:55:00 PM,7:18:00 PM,7:35:00 PM,7:57:00 PM,8:21:00 PM,8:47:00 PM,9:14:00 PM,9:41:00 PM,10:08:00 PM,10:35:00 PM,11:02:00 PM,11:28:00 PM,11:56:00 PM,12:23:00 AM,12:50:00 AM,1:17:00 AM,1:44:00 AM
