SOUTH COMMON CENTRE BUS TERMINAL PLATFORM F,5:01:00 AM,5:15:00 AM,5:29:00 AM,5:43:00 AM,5:57:00 AM,6:11:00 AM,6:25:00 AM,6:34:00 AM,6:53:00 AM,7:07:00 AM,7:21:00 AM,7:35:00 AM,7:49:00 AM,8:03:00 AM,8:17:00 AM,8:31:00 AM,8:45:00 AM,8:59:00 AM,9:19:00 AM,9:39:00 AM,9:59:00 AM,10:19:00 AM,10:39:00 AM,10:59:00 AM,11:19:00 AM,11:39:00 AM,11:59:00 AM,12:19:00 PM,12:39:00 PM,12:59:00 PM,1:19:00 PM,1:36:00 PM,1:46:00 PM,2:00:00 PM,2:14:00 PM,2:28:00 PM,2:42:00 PM,2:56:00 PM,3:10:00 PM,3:24:00 PM,3:38:00 PM,3:52:00 PM,4:06:00 PM,4:20:00 PM,4:34:00 PM,4:48:00 PM,5:02:00 PM,5:16:00 PM,5:30:00 PM,5:44:00 PM,5:58:00 PM,6:12:00 PM,6:29:00 PM,6:40:00 PM,6:54:00 PM,7:08:00 PM,7:22:00 PM,7:36:00 PM,7:50:00 PM,8:27:00 PM,9:04:00 PM,9:41:00 PM,10:16:00 PM,10:55:00 PM,11:28:00 PM,12:00:00 AM,12:32:00 AM,1:04:00 AM,1:36:00 AM,2:08:00 AM,,,
BURNHAMTHORPE RD W at WINSTON CHURCHILL BLVD,4:22:00 AM,4:38:00 AM,4:52:00 AM,5:06:00 AM,5:20:00 AM,5:34:00 AM,5:48:00 AM,6:02:00 AM,6:16:00 AM,6:30:00 AM,6:39:00 AM,6:58:00 AM,7:12:00 AM,7:26:00 AM,7:40:00 AM,7:54:00 AM,8:08:00 AM,8:22:00 AM,8:36:00 AM,8:50:00 AM,9:04:00 AM,9:24:00 AM,9:44:00 AM,10:04:00 AM,10:24:00 AM,10:44:00 AM,11:04:00 AM,11:24:00 AM,11:44:00 AM,12:04:00 PM,12:24:00 PM,12:44:00 PM,1:04:00 PM,1:24:00 PM,1:41:00 PM,1:51:00 PM,2:05:00 PM,2:19:00 PM,2:33:00 PM,2:47:00 PM,3:01:00 PM,3:15:00 PM,3:29:00 PM,3:43:00 PM,3:57:00 PM,4:11:00 PM,4:25:00 PM,4:39:00 PM,4:53:00 PM,5:07:00 PM,5:21:00 PM,5:35:00 PM,5:49:00 PM,6:03:00 PM,6:17:00 PM,6:34:00 PM,6:45:00 PM,6:59:00 PM,7:13:00 PM,7:27:00 PM,7:41:00 PM,7:55:00 PM,8:32:00 PM,9:09:00 PM,9:45:00 PM,10:20:00 PM,10:59:00 PM,11:32:00 PM,12:04:00 AM,12:36:00 AM,1:08:00 AM,1:40:00 AM,2:12:00 AM
BURNHAMTHORPE RD west of WINSTON CHURCHILL BLVD,4:23:00 AM,4:39:00 AM,4:53:00 AM,5:07:00 AM,5:21:00 AM,5:35:00 AM,5:49:00 AM,6:03:00 AM,6:17:00 AM,6:31:00 AM,6:40:00 AM,6:59:00 AM,7:13:00 AM,7:27:00 AM,7:41:00 AM,7:55:00 AM,8:09:00 AM,8:23:00 AM,8:37:00 AM,8:51:00 AM,9:05:00 AM,9:25:00 AM,9:45:00 AM,10:05:00 AM,10:25:00 AM,10:45:00 AM,11:05:00 AM,11:25:00 AM,11:45:00 AM,12:05:00 PM,12:25:00 PM,12:45:00 PM,1:05:00 PM,1:25:00 PM,1:42:00 PM,1:52:00 PM,2:06:00 PM,2:20:00 PM,2:34:00 PM,2:48:00 PM,3:02:00 PM,3:16:00 PM,3:30:00 PM,3:44:00 PM,3:58:00 PM,4:12:00 PM,4:26:00 PM,4:40:00 PM,4:54:00 PM,5:08:00 PM,5:22:00 PM,5:36:00 PM,5:50:00 PM,6:04:00 PM,6:18:00 PM,6:35:00 PM,6:46:00 PM,7:00:00 PM,7:14:00 PM,7:28:00 PM,7:42:00 PM,7:56:00 PM,8:33:00 PM,9:10:00 PM,9:46:00 PM,10:21:00 PM,11:00:00 PM,11:33:00 PM,12:05:00 AM,12:37:00 AM,1:09:00 AM,1:41:00 AM,2:13:00 AM
LOYALIST DR at OSBOURNE RD,4:26:00 AM,4:42:00 AM,4:56:00 AM,5:10:00 AM,5:24:00 AM,5:38:00 AM,5:52:00 AM,6:06:00 AM,6:20:00 AM,6:34:00 AM,6:43:00 AM,7:02:00 AM,7:16:00 AM,7:30:00 AM,7:44:00 AM,7:58:00 AM,8:12:00 AM,8:26:00 AM,8:40:00 AM,8:54:00 AM,9:08:00 AM,9:28:00 AM,9:48:00 AM,10:08:00 AM,10:28:00 AM,10:48:00 AM,11:08:00 AM,11:28:00 AM,11:48:00 AM,12:08:00 PM,12:28:00 PM,12:48:00 PM,1:08:00 PM,1:28:00 PM,1:45:00 PM,1:55:00 PM,2:09:00 PM,2:23:00 PM,2:37:00 PM,2:51:00 PM,3:05:00 PM,3:19:00 PM,3:33:00 PM,3:47:00 PM,4:01:00 PM,4:15:00 PM,4:29:00 PM,4:43:00 PM,4:57:00 PM,5:11:00 PM,5:25:00 PM,5:39:00 PM,5:53:00 PM,6:07:00 PM,6:21:00 PM,6:38:00 PM,6:49:00 PM,7:03:00 PM,7:17:00 PM,7:31:00 PM,7:45:00 PM,7:59:00 PM,8:36:00 PM,9:13:00 PM,9:49:00 PM,10:24:00 PM,11:03:00 PM,11:36:00 PM,12:08:00 AM,12:40:00 AM,1:12:00 AM,1:44:00 AM,2:16:00 AM
UNITY DR FIRST STOP west of PEPPER MILL CRT,4:27:00 AM,4:43:00 AM,4:57:00 AM,5:11:00 AM,5:25:00 AM,5:39:00 AM,5:53:00 AM,6:07:00 AM,6:21:00 AM,6:35:00 AM,6:44:00 AM,7:03:00 AM,7:17:00 AM,7:31:00 AM,7:45:00 AM,7:59:00 AM,8:13:00 AM,8:27:00 AM,8:41:00 AM,8:55:00 AM,9:09:00 AM,9:29:00 AM,9:49:00 AM,10:09:00 AM,10:29:00 AM,10:49:00 AM,11:09:00 AM,11:29:00 AM,11:49:00 AM,12:09:00 PM,12:29:00 PM,12:49:00 PM,1:09:00 PM,1:29:00 PM,1:46:00 PM,1:56:00 PM,2:10:00 PM,2:24:00 PM,2:38:00 PM,2:52:00 PM,3:06:00 PM,3:20:00 PM,3:34:00 PM,3:48:00 PM,4:02:00 PM,4:16:00 PM,4:30:00 PM,4:44:00 PM,4:58:00 PM,5:12:00 PM,5:26:00 PM,5:40:00 PM,5:54:00 PM,6:08:00 PM,6:22:00 PM,6:39:00 PM,6:50:00 PM,7:04:00 PM,7:18:00 PM,7:32:00 PM,7:46:00 PM,8:00:00 PM,8:37:00 PM,9:14:00 PM,9:50:00 PM,10:25:00 PM,11:04:00 PM,11:37:00 PM,12:09:00 AM,12:41:00 AM,1:13:00 AM,1:45:00 AM,2:17:00 AM
COLONIAL DR south of HUXLEY DR,4:31:00 AM,4:47:00 AM,5:01:00 AM,5:15:00 AM,5:29:00 AM,5:43:00 AM,5:57:00 AM,6:11:00 AM,6:25:00 AM,6:39:00 AM,6:48:00 AM,7:07:00 AM,7:21:00 AM,7:35:00 AM,7:49:00 AM,8:03:00 AM,8:17:00 AM,8:31:00 AM,8:45:00 AM,8:59:00 AM,9:13:00 AM,9:33:00 AM,9:53:00 AM,10:13:00 AM,10:33:00 AM,10:53:00 AM,11:13:00 AM,11:33:00 AM,11:53:00 AM,12:13:00 PM,12:33:00 PM,12:53:00 PM,1:13:00 PM,1:33:00 PM,1:50:00 PM,2:00:00 PM,2:14:00 PM,2:28:00 PM,2:42:00 PM,2:56:00 PM,3:10:00 PM,3:24:00 PM,3:38:00 PM,3:52:00 PM,4:06:00 PM,4:20:00 PM,4:34:00 PM,4:48:00 PM,5:02:00 PM,5:16:00 PM,5:30:00 PM,5:44:00 PM,5:58:00 PM,6:12:00 PM,6:26:00 PM,6:43:00 PM,6:54:00 PM,7:08:00 PM,7:22:00 PM,7:36:00 PM,7:50:00 PM,8:04:00 PM,8:41:00 PM,9:18:00 PM,9:54:00 PM,10:29:00 PM,11:08:00 PM,11:41:00 PM,12:13:00 AM,12:45:00 AM,1:17:00 AM,1:49:00 AM,2:21:00 AM
COLONIAL DR at THE COLLEGEWAY,4:32:00 AM,4:48:00 AM,5:02:00 AM,5:16:00 AM,5:30:00 AM,5:44:00 AM,5:58:00 AM,6:12:00 AM,6:26:00 AM,6:40:00 AM,6:49:00 AM,7:08:00 AM,7:22:00 AM,7:36:00 AM,7:50:00 AM,8:04:00 AM,8:18:00 AM,8:32:00 AM,8:46:00 AM,9:00:00 AM,9:14:00 AM,9:34:00 AM,9:54:00 AM,10:14:00 AM,10:34:00 AM,10:54:00 AM,11:14:00 AM,11:34:00 AM,11:54:00 AM,12:14:00 PM,12:34:00 PM,12:54:00 PM,1:14:00 PM,1:34:00 PM,1:51:00 PM,2:01:00 PM,2:15:00 PM,2:29:00 PM,2:43:00 PM,2:57:00 PM,3:11:00 PM,3:25:00 PM,3:39:00 PM,3:53:00 PM,4:07:00 PM,4:21:00 PM,4:35:00 PM,4:49:00 PM,5:03:00 PM,5:17:00 PM,5:31:00 PM,5:45:00 PM,5:59:00 PM,6:13:00 PM,6:27:00 PM,6:44:00 PM,6:55:00 PM,7:09:00 PM,7:23:00 PM,7:37:00 PM,7:51:00 PM,8:05:00 PM,8:42:00 PM,9:19:00 PM,9:54:00 PM,10:29:00 PM,11:08:00 PM,11:41:00 PM,12:13:00 AM,12:45:00 AM,1:17:00 AM,1:49:00 AM,2:21:00 AM
VEGA BLVD at LAIRD RD,4:38:00 AM,4:54:00 AM,5:08:00 AM,5:22:00 AM,5:36:00 AM,5:50:00 AM,6:04:00 AM,6:18:00 AM,6:32:00 AM,6:46:00 AM,6:55:00 AM,7:14:00 AM,7:28:00 AM,7:42:00 AM,7:56:00 AM,8:10:00 AM,8:24:00 AM,8:38:00 AM,8:52:00 AM,9:06:00 AM,9:20:00 AM,9:40:00 AM,10:00:00 AM,10:20:00 AM,10:40:00 AM,11:00:00 AM,11:20:00 AM,11:40:00 AM,12:00:00 PM,12:20:00 PM,12:40:00 PM,1:00:00 PM,1:20:00 PM,1:40:00 PM,1:57:00 PM,2:07:00 PM,2:21:00 PM,2:35:00 PM,2:49:00 PM,3:03:00 PM,3:17:00 PM,3:31:00 PM,3:45:00 PM,3:59:00 PM,4:13:00 PM,4:27:00 PM,4:41:00 PM,4:55:00 PM,5:09:00 PM,5:23:00 PM,5:37:00 PM,5:51:00 PM,6:05:00 PM,6:19:00 PM,6:33:00 PM,6:50:00 PM,7:01:00 PM,7:15:00 PM,7:29:00 PM,7:43:00 PM,7:57:00 PM,8:11:00 PM,8:48:00 PM,9:25:00 PM,9:59:00 PM,10:34:00 PM,11:13:00 PM,11:46:00 PM,12:18:00 AM,12:50:00 AM,1:22:00 AM,1:54:00 AM,2:26:00 AM
LAIRD RD west of RIDGEWAY DR,4:38:00 AM,4:54:00 AM,5:08:00 AM,5:22:00 AM,5:36:00 AM,5:50:00 AM,6:04:00 AM,6:18:00 AM,6:32:00 AM,6:46:00 AM,6:55:00 AM,7:14:00 AM,7:28:00 AM,7:42:00 AM,7:56:00 AM,8:10:00 AM,8:24:00 AM,8:38:00 AM,8:52:00 AM,9:06:00 AM,9:20:00 AM,9:40:00 AM,10:00:00 AM,10:20:00 AM,10:40:00 AM,11:00:00 AM,11:20:00 AM,11:40:00 AM,12:00:00 PM,12:20:00 PM,12:40:00 PM,1:00:00 PM,1:20:00 PM,1:40:00 PM,1:57:00 PM,2:07:00 PM,2:21:00 PM,2:35:00 PM,2:49:00 PM,3:03:00 PM,3:17:00 PM,3:31:00 PM,3:45:00 PM,3:59:00 PM,4:13:00 PM,4:27:00 PM,4:41:00 PM,4:55:00 PM,5:09:00 PM,5:23:00 PM,5:37:00 PM,5:51:00 PM,6:05:00 PM,6:19:00 PM,6:33:00 PM,6:50:00 PM,7:01:00 PM,7:15:00 PM,7:29:00 PM,7:43:00 PM,7:57:00 PM,8:11:00 PM,8:48:00 PM,9:25:00 PM,9:59:00 PM,10:34:00 PM,11:13:00 PM,11:46:00 PM,12:18:00 AM,12:50:00 AM,1:22:00 AM,1:54:00 AM,2:26:00 AM
COLONIAL DR at McMASTER RD,4:41:00 AM,4:57:00 AM,5:11:00 AM,5:25:00 AM,5:39:00 AM,5:53:00 AM,6:07:00 AM,6:21:00 AM,6:35:00 AM,6:49:00 AM,6:58:00 AM,7:17:00 AM,7:31:00 AM,7:45:00 AM,7:59:00 AM,8:13:00 AM,8:27:00 AM,8:41:00 AM,8:55:00 AM,9:09:00 AM,9:23:00 AM,9:43:00 AM,10:03:00 AM,10:23:00 AM,10:43:00 AM,11:03:00 AM,11:23:00 AM,11:43:00 AM,12:03:00 PM,12:23:00 PM,12:43:00 PM,1:03:00 PM,1:23:00 PM,1:43:00 PM,2:00:00 PM,2:10:00 PM,2:24:00 PM,2:38:00 PM,2:52:00 PM,3:06:00 PM,3:20:00 PM,3:34:00 PM,3:48:00 PM,4:02:00 PM,4:16:00 PM,4:30:00 PM,4:44:00 PM,4:58:00 PM,5:12:00 PM,5:26:00 PM,5:40:00 PM,5:54:00 PM,6:08:00 PM,6:22:00 PM,6:36:00 PM,6:53:00 PM,7:04:00 PM,7:18:00 PM,7:32:00 PM,7:46:00 PM,8:00:00 PM,8:14:00 PM,8:51:00 PM,9:28:00 PM,10:02:00 PM,10:37:00 PM,11:16:00 PM,11:49:00 PM,12:21:00 AM,12:53:00 AM,1:25:00 AM,1:57:00 AM,2:29:00 AM
