MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM D,5:26:00 AM,5:47:00 AM,6:09:00 AM,6:28:00 AM,6:48:00 AM,7:09:00 AM,7:38:00 AM,8:00:00 AM,8:22:00 AM,8:41:00 AM,9:17:00 AM,9:52:00 AM,10:32:00 AM,11:08:00 AM,11:44:00 AM,12:20:00 PM,12:56:00 PM,1:30:00 PM,1:52:00 PM,2:10:00 PM,2:32:00 PM,2:54:00 PM,3:18:00 PM,3:40:00 PM,4:02:00 PM,4:24:00 PM,4:46:00 PM,5:08:00 PM,5:30:00 PM,5:52:00 PM,6:14:00 PM,6:36:00 PM,6:55:00 PM,7:39:00 PM,8:24:00 PM,9:10:00 PM,9:56:00 PM,10:42:00 PM,11:28:00 PM,12:14:00 AM,,,,,,,
WINSTON CHURCHILL BLVD north of VANDERBILT RD,5:29:00 AM,5:50:00 AM,6:12:00 AM,6:31:00 AM,6:52:00 AM,7:13:00 AM,7:42:00 AM,8:04:00 AM,8:26:00 AM,8:45:00 AM,9:20:00 AM,9:55:00 AM,10:35:00 AM,11:11:00 AM,11:47:00 AM,12:23:00 PM,12:59:00 PM,1:33:00 PM,1:55:00 PM,2:13:00 PM,2:35:00 PM,2:58:00 PM,3:22:00 PM,3:44:00 PM,4:06:00 PM,4:28:00 PM,4:50:00 PM,5:12:00 PM,5:34:00 PM,5:56:00 PM,6:18:00 PM,6:40:00 PM,6:58:00 PM,7:42:00 PM,8:27:00 PM,9:13:00 PM,9:59:00 PM,10:45:00 PM,11:31:00 PM,12:17:00 AM,,,,,,,
WINSTON CHURCHILL BLVD at DERRY RD,5:29:00 AM,5:50:00 AM,6:12:00 AM,6:31:00 AM,6:52:00 AM,7:13:00 AM,7:42:00 AM,8:04:00 AM,8:26:00 AM,8:45:00 AM,9:20:00 AM,9:55:00 AM,10:35:00 AM,11:11:00 AM,11:47:00 AM,12:23:00 PM,12:59:00 PM,1:33:00 PM,1:55:00 PM,2:13:00 PM,2:35:00 PM,2:58:00 PM,3:22:00 PM,3:44:00 PM,4:06:00 PM,4:28:00 PM,4:50:00 PM,5:12:00 PM,5:34:00 PM,5:56:00 PM,6:18:00 PM,6:40:00 PM,6:58:00 PM,7:42:00 PM,8:27:00 PM,9:13:00 PM,9:59:00 PM,10:45:00 PM,11:31:00 PM,12:17:00 AM,,,,,,,
LISGAR GO STATION PLATFORM A,5:37:00 AM,5:58:00 AM,6:20:00 AM,6:39:00 AM,7:00:00 AM,7:21:00 AM,7:50:00 AM,8:12:00 AM,8:34:00 AM,8:53:00 AM,9:28:00 AM,10:03:00 AM,10:43:00 AM,11:19:00 AM,11:55:00 AM,12:31:00 PM,1:07:00 PM,1:41:00 PM,2:03:00 PM,2:21:00 PM,2:43:00 PM,3:06:00 PM,3:30:00 PM,3:52:00 PM,4:14:00 PM,4:36:00 PM,4:58:00 PM,5:20:00 PM,5:42:00 PM,6:04:00 PM,6:26:00 PM,6:48:00 PM,7:06:00 PM,7:50:00 PM,8:35:00 PM,9:21:00 PM,10:07:00 PM,10:53:00 PM,11:39:00 PM,12:25:00 AM,,,,,,,
MEADOWPINE BLVD east of WINSTON CHURCHILL BLVD,5:41:00 AM,6:02:00 AM,6:24:00 AM,6:44:00 AM,7:05:00 AM,7:26:00 AM,7:55:00 AM,8:17:00 AM,8:39:00 AM,8:57:00 AM,9:32:00 AM,10:07:00 AM,10:47:00 AM,11:23:00 AM,11:59:00 AM,12:35:00 PM,1:11:00 PM,1:45:00 PM,2:07:00 PM,2:25:00 PM,2:48:00 PM,3:11:00 PM,3:35:00 PM,3:57:00 PM,4:19:00 PM,4:41:00 PM,5:03:00 PM,5:25:00 PM,5:47:00 PM,6:09:00 PM,6:31:00 PM,6:53:00 PM,7:10:00 PM,7:54:00 PM,8:39:00 PM,9:25:00 PM,10:11:00 PM,10:57:00 PM,11:43:00 PM,12:29:00 AM,,,,,,,
MEADOWPINE BLVD at MEADOWVALE BLVD,5:44:00 AM,6:05:00 AM,6:27:00 AM,6:47:00 AM,7:08:00 AM,7:29:00 AM,7:58:00 AM,8:20:00 AM,8:42:00 AM,9:00:00 AM,9:35:00 AM,10:10:00 AM,10:50:00 AM,11:26:00 AM,12:02:00 PM,12:38:00 PM,1:14:00 PM,1:48:00 PM,2:10:00 PM,2:28:00 PM,2:51:00 PM,3:14:00 PM,3:38:00 PM,4:00:00 PM,4:22:00 PM,4:44:00 PM,5:06:00 PM,5:28:00 PM,5:50:00 PM,6:12:00 PM,6:34:00 PM,6:56:00 PM,7:13:00 PM,7:57:00 PM,8:42:00 PM,9:28:00 PM,10:14:00 PM,11:00:00 PM,11:46:00 PM,12:32:00 AM,,,,,,,
SYNTEX DR at DERRY RD,5:47:00 AM,6:08:00 AM,6:30:00 AM,6:50:00 AM,7:11:00 AM,7:32:00 AM,8:01:00 AM,8:23:00 AM,8:45:00 AM,9:03:00 AM,9:38:00 AM,10:13:00 AM,10:53:00 AM,11:29:00 AM,12:05:00 PM,12:41:00 PM,1:17:00 PM,1:51:00 PM,2:13:00 PM,2:31:00 PM,2:54:00 PM,3:17:00 PM,3:41:00 PM,4:03:00 PM,4:25:00 PM,4:47:00 PM,5:09:00 PM,5:31:00 PM,5:53:00 PM,6:15:00 PM,6:37:00 PM,6:59:00 PM,7:16:00 PM,8:00:00 PM,8:45:00 PM,9:31:00 PM,10:17:00 PM,11:03:00 PM,11:49:00 PM,12:35:00 AM,,,,,,,
ARGENTIA RD at DERRY RD,5:48:00 AM,6:09:00 AM,6:31:00 AM,6:51:00 AM,7:12:00 AM,7:33:00 AM,8:02:00 AM,8:24:00 AM,8:46:00 AM,9:04:00 AM,9:39:00 AM,10:14:00 AM,10:54:00 AM,11:30:00 AM,12:06:00 PM,12:42:00 PM,1:18:00 PM,1:52:00 PM,2:14:00 PM,2:32:00 PM,2:55:00 PM,3:18:00 PM,3:42:00 PM,4:04:00 PM,4:26:00 PM,4:48:00 PM,5:10:00 PM,5:32:00 PM,5:54:00 PM,6:16:00 PM,6:38:00 PM,7:00:00 PM,7:17:00 PM,8:01:00 PM,8:46:00 PM,9:32:00 PM,10:18:00 PM,11:04:00 PM,11:50:00 PM,12:36:00 AM,,,,,,,
ARGENTIA RD at MISSISSAUGA RD,5:51:00 AM,6:12:00 AM,6:34:00 AM,6:55:00 AM,7:16:00 AM,7:37:00 AM,8:06:00 AM,8:28:00 AM,8:49:00 AM,9:07:00 AM,9:42:00 AM,10:17:00 AM,10:57:00 AM,11:33:00 AM,12:09:00 PM,12:45:00 PM,1:21:00 PM,1:55:00 PM,2:17:00 PM,2:35:00 PM,2:59:00 PM,3:22:00 PM,3:46:00 PM,4:08:00 PM,4:30:00 PM,4:52:00 PM,5:14:00 PM,5:36:00 PM,5:58:00 PM,6:20:00 PM,6:42:00 PM,7:03:00 PM,7:20:00 PM,8:04:00 PM,8:49:00 PM,9:35:00 PM,10:21:00 PM,11:07:00 PM,11:53:00 PM,12:39:00 AM,,,,,,,
ARGENTIA RD at CREDITVIEW RD,5:55:00 AM,6:09:00 AM,6:16:00 AM,6:38:00 AM,6:58:00 AM,7:19:00 AM,7:40:00 AM,8:09:00 AM,8:31:00 AM,8:52:00 AM,9:11:00 AM,9:46:00 AM,10:21:00 AM,11:01:00 AM,11:37:00 AM,12:13:00 PM,12:49:00 PM,1:25:00 PM,1:59:00 PM,2:21:00 PM,2:38:00 PM,3:02:00 PM,3:25:00 PM,3:49:00 PM,4:11:00 PM,4:33:00 PM,4:55:00 PM,5:17:00 PM,5:39:00 PM,6:01:00 PM,6:23:00 PM,6:45:00 PM,7:07:00 PM,7:24:00 PM,8:07:00 PM,8:52:00 PM,9:38:00 PM,10:24:00 PM,11:10:00 PM,11:56:00 PM,12:42:00 AM,,,,,,
BANCROFT DR at EMERSON LANE,5:58:00 AM,6:12:00 AM,6:19:00 AM,6:29:00 AM,6:41:00 AM,7:02:00 AM,7:23:00 AM,7:44:00 AM,8:13:00 AM,8:35:00 AM,8:56:00 AM,9:14:00 AM,9:49:00 AM,10:24:00 AM,11:04:00 AM,11:40:00 AM,12:16:00 PM,12:52:00 PM,1:28:00 PM,2:02:00 PM,2:24:00 PM,2:42:00 PM,3:06:00 PM,3:29:00 PM,3:53:00 PM,4:15:00 PM,4:37:00 PM,4:59:00 PM,5:21:00 PM,5:43:00 PM,6:05:00 PM,6:27:00 PM,6:49:00 PM,7:10:00 PM,7:27:00 PM,8:10:00 PM,8:55:00 PM,9:41:00 PM,10:27:00 PM,11:13:00 PM,11:59:00 PM,12:45:00 AM,,,,,
SILKEN LAUMANN WAY at BRITANNIA RD W,6:03:00 AM,6:17:00 AM,6:24:00 AM,6:34:00 AM,6:46:00 AM,7:07:00 AM,7:28:00 AM,7:49:00 AM,8:18:00 AM,8:40:00 AM,9:01:00 AM,9:19:00 AM,9:54:00 AM,10:29:00 AM,11:09:00 AM,11:45:00 AM,12:21:00 PM,12:57:00 PM,1:33:00 PM,2:07:00 PM,2:29:00 PM,2:47:00 PM,3:11:00 PM,3:34:00 PM,3:58:00 PM,4:20:00 PM,4:42:00 PM,5:04:00 PM,5:26:00 PM,5:48:00 PM,6:10:00 PM,6:32:00 PM,6:54:00 PM,7:15:00 PM,7:32:00 PM,8:15:00 PM,9:00:00 PM,9:46:00 PM,10:32:00 PM,11:18:00 PM,12:04:00 AM,12:50:00 AM,,,,,
CREDITVIEW RD at HIGHBROOK AVE,6:06:00 AM,6:20:00 AM,6:27:00 AM,6:37:00 AM,6:50:00 AM,7:11:00 AM,7:32:00 AM,7:53:00 AM,8:22:00 AM,8:44:00 AM,9:05:00 AM,9:22:00 AM,9:57:00 AM,10:32:00 AM,11:12:00 AM,11:48:00 AM,12:24:00 PM,1:00:00 PM,1:36:00 PM,2:10:00 PM,2:24 PM[G],2:32:00 PM,2:51:00 PM,3:15:00 PM,3:38:00 PM,4:02:00 PM,4:24:00 PM,4:46:00 PM,5:08:00 PM,5:30:00 PM,5:52:00 PM,6:14:00 PM,6:36:00 PM,6:57:00 PM,7:18:00 PM,7:35:00 PM,8:18:00 PM,9:03:00 PM,9:49:00 PM,10:35:00 PM,11:21:00 PM,12:07:00 AM,12:53:00 AM,,,,
