HURON PARK ACCESS RD at QUEENSWAY,4:57:00 AM,5:19:00 AM,5:39:00 AM,5:58:00 AM,6:21:00 AM,6:43:00 AM,7:02:00 AM,7:27:00 AM,7:52:00 AM,8:16:00 AM,8:36:00 AM,8:58:00 AM,9:21:00 AM,9:55:00 AM,10:33:00 AM,11:09:00 AM,11:45:00 AM,12:21:00 PM,12:57:00 PM,1:33:00 PM,2:06:00 PM,2:23:00 PM,2:45:00 PM,3:07:00 PM,3:30:00 PM,3:52:00 PM,4:14:00 PM,4:36:00 PM,5:01:00 PM,5:21:00 PM,5:42:00 PM,6:03:00 PM,6:25:00 PM,6:46:00 PM,7:15:00 PM,8:05:00 PM,8:49:00 PM,9:38:00 PM,10:21:00 PM,11:07:00 PM,11:55:00 PM,12:29 AM[i],1:15 AM[i]
DUNDAS ST at WOLFEDALE RD,5:03:00 AM,5:25:00 AM,5:45:00 AM,6:04:00 AM,6:27:00 AM,6:49:00 AM,7:08:00 AM,7:33:00 AM,7:58:00 AM,8:22:00 AM,8:42:00 AM,9:04:00 AM,9:27:00 AM,10:01:00 AM,10:39:00 AM,11:15:00 AM,11:51:00 AM,12:27:00 PM,1:03:00 PM,1:39:00 PM,2:12:00 PM,2:29:00 PM,2:51:00 PM,3:13:00 PM,3:36:00 PM,3:58:00 PM,4:20:00 PM,4:42:00 PM,5:07:00 PM,5:27:00 PM,5:48:00 PM,6:09:00 PM,6:31:00 PM,6:52:00 PM,7:21:00 PM,8:11:00 PM,8:55:00 PM,9:44:00 PM,10:27:00 PM,11:13:00 PM,12:01:00 AM,12:35 AM[i],1:21 AM[i]
WOLFEDALE RD at DUNDAS ST,5:03:00 AM,5:25:00 AM,5:45:00 AM,6:04:00 AM,6:27:00 AM,6:49:00 AM,7:08:00 AM,7:33:00 AM,7:58:00 AM,8:22:00 AM,8:42:00 AM,9:04:00 AM,9:27:00 AM,10:01:00 AM,10:39:00 AM,11:15:00 AM,11:51:00 AM,12:27:00 PM,1:03:00 PM,1:39:00 PM,2:12:00 PM,2:29:00 PM,2:51:00 PM,3:13:00 PM,3:36:00 PM,3:58:00 PM,4:20:00 PM,4:42:00 PM,5:07:00 PM,5:27:00 PM,5:48:00 PM,6:09:00 PM,6:31:00 PM,6:52:00 PM,7:21:00 PM,8:11:00 PM,8:55:00 PM,9:44:00 PM,10:27:00 PM,11:13:00 PM,12:01:00 AM,,
CENTRAL PKY W at SEMENYK CRT,5:09:00 AM,5:31:00 AM,5:51:00 AM,6:10:00 AM,6:33:00 AM,6:55:00 AM,7:14:00 AM,7:39:00 AM,8:04:00 AM,8:28:00 AM,8:48:00 AM,9:10:00 AM,9:33:00 AM,10:07:00 AM,10:45:00 AM,11:21:00 AM,11:57:00 AM,12:33:00 PM,1:09:00 PM,1:45:00 PM,2:18:00 PM,2:35:00 PM,2:57:00 PM,3:19:00 PM,3:42:00 PM,4:04:00 PM,4:26:00 PM,4:48:00 PM,5:13:00 PM,5:33:00 PM,5:54:00 PM,6:15:00 PM,6:37:00 PM,6:58:00 PM,7:27:00 PM,8:17:00 PM,9:01:00 PM,9:50:00 PM,10:33:00 PM,11:19:00 PM,12:07:00 AM,,
CENTRAL PKY W at BURNHAMTHORPE RD W,5:12:00 AM,5:34:00 AM,5:54:00 AM,6:13:00 AM,6:36:00 AM,6:58:00 AM,7:17:00 AM,7:42:00 AM,8:07:00 AM,8:31:00 AM,8:51:00 AM,9:13:00 AM,9:36:00 AM,10:10:00 AM,10:48:00 AM,11:24:00 AM,12:00:00 PM,12:36:00 PM,1:12:00 PM,1:48:00 PM,2:21:00 PM,2:38:00 PM,3:00:00 PM,3:22:00 PM,3:45:00 PM,4:07:00 PM,4:29:00 PM,4:51:00 PM,5:16:00 PM,5:36:00 PM,5:57:00 PM,6:18:00 PM,6:40:00 PM,7:01:00 PM,7:29:00 PM,8:19:00 PM,9:03:00 PM,9:52:00 PM,10:35:00 PM,11:21:00 PM,12:09:00 AM,,
CREDITVIEW RD at RATHBURN RD,5:13:00 AM,5:35:00 AM,5:55:00 AM,6:14:00 AM,6:37:00 AM,6:59:00 AM,7:18:00 AM,7:43:00 AM,8:08:00 AM,8:32:00 AM,8:52:00 AM,9:14:00 AM,9:37:00 AM,10:11:00 AM,10:49:00 AM,11:25:00 AM,12:01:00 PM,12:37:00 PM,1:13:00 PM,1:49:00 PM,2:22:00 PM,2:39:00 PM,3:01:00 PM,3:23:00 PM,3:46:00 PM,4:08:00 PM,4:30:00 PM,4:52:00 PM,5:17:00 PM,5:30 PM[h],5:37:00 PM,5:58:00 PM,6:19:00 PM,6:41:00 PM,7:02:00 PM,7:30:00 PM,8:20:00 PM,9:04:00 PM,9:53:00 PM,10:36:00 PM,11:22:00 PM,12:10:00 AM,
CREDITVIEW RD at EGLINTON AVE,5:17:00 AM,5:39:00 AM,5:59:00 AM,6:18:00 AM,6:41:00 AM,7:03:00 AM,7:22:00 AM,7:47:00 AM,8:12:00 AM,8:36:00 AM,8:56:00 AM,9:18:00 AM,9:41:00 AM,10:15:00 AM,10:53:00 AM,11:29:00 AM,12:05:00 PM,12:41:00 PM,1:17:00 PM,1:53:00 PM,2:26:00 PM,2:43:00 PM,3:05:00 PM,3:27:00 PM,3:50:00 PM,4:12:00 PM,4:34:00 PM,4:56:00 PM,5:21:00 PM,5:34 PM[h],5:41:00 PM,6:02:00 PM,6:23:00 PM,6:45:00 PM,7:06:00 PM,7:34:00 PM,8:24:00 PM,9:08:00 PM,9:57:00 PM,10:40:00 PM,11:26:00 PM,12:14:00 AM,
CREDITVIEW RD at CUTHBERT AVE,5:17:00 AM,5:39:00 AM,5:59:00 AM,6:18:00 AM,6:41:00 AM,7:03:00 AM,7:22:00 AM,7:47:00 AM,8:12:00 AM,8:36:00 AM,8:56:00 AM,9:18:00 AM,9:41:00 AM,10:15:00 AM,10:53:00 AM,11:29:00 AM,12:05:00 PM,12:41:00 PM,1:17:00 PM,1:53:00 PM,2:26:00 PM,2:43:00 PM,3:05:00 PM,3:27:00 PM,3:50:00 PM,4:12:00 PM,4:34:00 PM,4:56:00 PM,5:21:00 PM,5:34 PM[h],5:41:00 PM,6:02:00 PM,6:23:00 PM,6:45:00 PM,7:06:00 PM,7:34:00 PM,8:24:00 PM,9:08:00 PM,9:57:00 PM,10:40:00 PM,11:26:00 PM,12:14:00 AM,
CREDITVIEW RD at CAROLYN DR,5:20:00 AM,5:42:00 AM,6:02:00 AM,6:21:00 AM,6:44:00 AM,7:06:00 AM,7:25:00 AM,7:50:00 AM,8:15:00 AM,8:39:00 AM,8:59:00 AM,9:21:00 AM,9:44:00 AM,10:18:00 AM,10:56:00 AM,11:32:00 AM,12:08:00 PM,12:44:00 PM,1:20:00 PM,1:56:00 PM,2:29:00 PM,2:46:00 PM,3:08:00 PM,3:30:00 PM,3:53:00 PM,4:15:00 PM,4:37:00 PM,4:59:00 PM,5:24:00 PM,5:37 PM[h],5:44:00 PM,6:05:00 PM,6:26:00 PM,6:48:00 PM,7:09:00 PM,7:37:00 PM,8:27:00 PM,9:11:00 PM,10:00:00 PM,10:43:00 PM,11:29:00 PM,12:17:00 AM,
CREDITVIEW RD at BRISTOL RD,5:20:00 AM,5:42:00 AM,6:02:00 AM,6:21:00 AM,6:44:00 AM,7:06:00 AM,7:25:00 AM,7:50:00 AM,8:15:00 AM,8:39:00 AM,8:59:00 AM,9:21:00 AM,9:44:00 AM,10:18:00 AM,10:56:00 AM,11:32:00 AM,12:08:00 PM,12:44:00 PM,1:20:00 PM,1:56:00 PM,2:29:00 PM,2:46:00 PM,3:08:00 PM,3:30:00 PM,3:53:00 PM,4:15:00 PM,4:37:00 PM,4:59:00 PM,5:24:00 PM,5:37 PM[h],5:44:00 PM,6:05:00 PM,6:26:00 PM,6:48:00 PM,7:09:00 PM,7:37:00 PM,8:27:00 PM,9:11:00 PM,10:00:00 PM,10:43:00 PM,11:29:00 PM,12:17:00 AM,
