MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM E,6:02:00 AM,6:29:00 AM,6:57:00 AM,7:22:00 AM,7:51:00 AM,8:18:00 AM,8:53 AM[b],9:31 AM[b],10:06 AM[b],10:41 AM[b],11:16 AM[b],11:51 AM[b],12:26 PM[b],1:01 PM[b],1:36 PM[b],2:11 PM[b],2:46 PM[b],3:22:00 PM,3:45:00 PM,4:12:00 PM,4:41:00 PM,5:08:00 PM,5:35:00 PM,6:02:00 PM,6:29:00 PM,7:03 PM[b],7:38 PM[b],8:13 PM[b],8:48 PM[b],9:23 PM[b],9:58 PM[b],10:33 PM[b],11:08 PM[b],,
WINSTON CHURCHILL BLVD north of VANDERBILT RD,6:06:00 AM,6:33:00 AM,7:01:00 AM,7:26:00 AM,7:55:00 AM,8:22:00 AM,8:57 AM[b],9:35 AM[b],10:10 AM[b],10:45 AM[b],11:20 AM[b],11:55 AM[b],12:30 PM[b],1:05 PM[b],1:40 PM[b],2:15 PM[b],2:50 PM[b],3:26:00 PM,3:49:00 PM,4:16:00 PM,4:45:00 PM,5:12:00 PM,5:39:00 PM,6:06:00 PM,6:33:00 PM,7:07 PM[b],7:42 PM[b],8:17 PM[b],8:52 PM[b],9:27 PM[b],10:02 PM[b],10:37 PM[b],11:12 PM[b],,
DERRY RD west of TERRAGAR BLVD,6:10:00 AM,6:37:00 AM,7:05:00 AM,7:30:00 AM,7:59:00 AM,8:26:00 AM,9:01 AM[b],9:39 AM[b],10:14 AM[b],10:49 AM[b],11:24 AM[b],11:59 AM[b],12:34 PM[b],1:09 PM[b],1:44 PM[b],2:19 PM[b],2:54 PM[b],3:30:00 PM,3:53:00 PM,4:20:00 PM,4:49:00 PM,5:16:00 PM,5:43:00 PM,6:10:00 PM,6:37:00 PM,7:10 PM[b],7:45 PM[b],8:20 PM[b],8:55 PM[b],9:30 PM[b],10:05 PM[b],10:40 PM[b],11:15 PM[b],,
LISGAR DR at DOUG LEAVENS BLVD,6:13:00 AM,6:40:00 AM,7:09:00 AM,7:34:00 AM,8:03:00 AM,8:30:00 AM,9:04 AM[b],9:42 AM[b],10:17 AM[b],10:52 AM[b],11:27 AM[b],12:02 PM[b],12:37 PM[b],1:12 PM[b],1:47 PM[b],2:22 PM[b],2:58 PM[b],3:34:00 PM,3:57:00 PM,4:24:00 PM,4:53:00 PM,5:20:00 PM,5:47:00 PM,6:14:00 PM,6:41:00 PM,7:13 PM[b],7:48 PM[b],8:23 PM[b],8:58 PM[b],9:33 PM[b],10:08 PM[b],10:43 PM[b],11:18 PM[b],,
BRITANNIA RD at NINTH LINE,6:18:00 AM,6:45:00 AM,7:14:00 AM,7:39:00 AM,8:08:00 AM,8:35:00 AM,9:09 AM[b],9:47 AM[b],10:22 AM[b],10:57 AM[b],11:32 AM[b],12:07 PM[b],12:42 PM[b],1:17 PM[b],1:52 PM[b],2:27 PM[b],3:03 PM[b],3:39:00 PM,4:02:00 PM,4:29:00 PM,4:58:00 PM,5:25:00 PM,5:52:00 PM,6:19:00 PM,6:46:00 PM,7:19 PM[b],7:54 PM[b],8:29 PM[b],9:04 PM[b],9:39 PM[b],10:14 PM[b],10:49 PM[b],11:24 PM[b],,
BRITANNIA RD at WINSTON CHURCHILL BLVD,5:56:00 AM,6:23:00 AM,6:50:00 AM,7:19:00 AM,7:44:00 AM,8:13:00 AM,8:40:00 AM,9:14 AM[b],9:52 AM[b],10:27 AM[b],11:02 AM[b],11:37 AM[b],12:12 PM[b],12:47 PM[b],1:22 PM[b],1:57 PM[b],2:32 PM[b],3:08 PM[b],3:44:00 PM,4:07:00 PM,4:34:00 PM,5:03:00 PM,5:30:00 PM,5:57:00 PM,6:24:00 PM,6:50:00 PM,7:23 PM[b],7:58 PM[b],8:33 PM[b],9:08 PM[b],9:43 PM[b],10:18 PM[b],10:53 PM[b],11:28 PM[b],
BRITANNIA RD at ERIN MILLS PKY,6:00:00 AM,6:27:00 AM,6:54:00 AM,7:23:00 AM,7:48:00 AM,8:17:00 AM,8:44:00 AM,9:18 AM[b],9:56 AM[b],10:31 AM[b],11:06 AM[b],11:41 AM[b],12:16 PM[b],12:51 PM[b],1:26 PM[b],2:01 PM[b],2:36 PM[b],3:12 PM[b],3:48:00 PM,4:11:00 PM,4:38:00 PM,5:07:00 PM,5:34:00 PM,6:01:00 PM,6:28:00 PM,6:54:00 PM,7:27 PM[b],8:02 PM[b],8:37 PM[b],9:12 PM[b],9:47 PM[b],10:22 PM[b],10:57 PM[b],11:32 PM[b],
BRITANNIA RD at BROOKSIDE DR,6:03:00 AM,6:30:00 AM,6:58:00 AM,7:27:00 AM,7:52:00 AM,8:21:00 AM,8:47:00 AM,9:21 AM[b],9:59 AM[b],10:34 AM[b],11:09 AM[b],11:44 AM[b],12:19 PM[b],12:54 PM[b],1:29 PM[b],2:04 PM[b],2:40 PM[b],3:16 PM[b],3:52:00 PM,4:15:00 PM,4:42:00 PM,5:11:00 PM,5:38:00 PM,6:05:00 PM,6:32:00 PM,6:57:00 PM,7:30 PM[b],8:05 PM[b],8:40 PM[b],9:15 PM[b],9:50 PM[b],10:25 PM[b],11:00 PM[b],11:35 PM[b],
BRITANNIA RD at ARCH RD,6:04:00 AM,6:31:00 AM,6:59:00 AM,7:28:00 AM,7:53:00 AM,8:22:00 AM,8:48:00 AM,9:22 AM[b],10:00 AM[b],10:35 AM[b],11:10 AM[b],11:45 AM[b],12:20 PM[b],12:55 PM[b],1:30 PM[b],2:05 PM[b],2:41 PM[b],3:17 PM[b],3:53:00 PM,4:16:00 PM,4:43:00 PM,5:12:00 PM,5:39:00 PM,6:06:00 PM,6:33:00 PM,6:58:00 PM,7:31 PM[b],8:06 PM[b],8:41 PM[b],9:16 PM[b],9:51 PM[b],10:26 PM[b],11:01 PM[b],11:36 PM[b],
BRITANNIA RD at CREDITVIEW RD,6:06:00 AM,6:33:00 AM,7:02:00 AM,7:31:00 AM,7:56:00 AM,8:25:00 AM,8:50:00 AM,9:24 AM[b],10:02 AM[b],10:37 AM[b],11:12 AM[b],11:47 AM[b],12:22 PM[b],12:57 PM[b],1:32 PM[b],2:07 PM[b],2:25 PM[b],2:43 PM[b],3:19 PM[b],3:55:00 PM,4:18:00 PM,4:45:00 PM,5:14:00 PM,5:41:00 PM,6:08:00 PM,6:35:00 PM,7:00:00 PM,7:33 PM[b],8:08 PM[b],8:43 PM[b],9:18 PM[b],9:53 PM[b],10:28 PM[b],11:03 PM[b],11:38 PM[b]
