ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM G,8:42:00 AM,9:02:00 AM,9:42:00 AM,10:27:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27:00 PM,2:12:00 PM,2:57:00 PM,3:22:00 PM,3:45:00 PM,4:07:00 PM,4:31:00 PM,4:51:00 PM,7:14:00 PM,8:38:00 PM,9:23:00 PM,10:08:00 PM,10:53:00 PM,,,,,,,,,,,,,,,,,,
GLEN ERIN DR at ERIN CENTRE BLVD,8:46:00 AM,9:06:00 AM,9:46:00 AM,10:31:00 AM,11:16:00 AM,12:01:00 PM,12:46:00 PM,1:31:00 PM,2:16:00 PM,3:01:00 PM,3:26:00 PM,3:49:00 PM,4:11:00 PM,4:35:00 PM,4:55:00 PM,7:18:00 PM,8:42:00 PM,9:27:00 PM,10:12:00 PM,10:57:00 PM,,,,,,,,,,,,,,,,,,
STREETSVILLE GO STATION PLATFORM A,6:44 AM[b],6:52 AM[b],7:09 AM[b],7:19 AM[b],7:32 AM[b],7:57 AM[b],8:10 AM[b],4:25 PM[b],4:58 PM[b],5:20 PM[b],5:37 PM[b],5:51 PM[b],6:10 PM[b],6:27 PM[b],7:08 PM[b],7:53 PM[b],,,,,,,,,,,,,,,,,,,,,,
THOMAS ST at ERIN MILLS PKY,6:48 AM[b],6:56 AM[b],7:13 AM[b],7:23 AM[b],7:36 AM[b],8:01 AM[b],8:14 AM[b],4:29 PM[b],5:02 PM[b],5:24 PM[b],5:41 PM[b],5:55 PM[b],6:14 PM[b],6:31 PM[b],7:12 PM[b],7:57 PM[b],,,,,,,,,,,,,,,,,,,,,,
THOMAS ST west of ERIN MILLS PKY,6:49 AM[b],6:57 AM[b],7:14 AM[b],7:24 AM[b],7:37 AM[b],8:02 AM[b],8:15 AM[b],4:30 PM[b],5:03 PM[b],5:25 PM[b],5:42 PM[b],5:56 PM[b],6:15 PM[b],6:32 PM[b],7:13 PM[b],7:58 PM[b],,,,,,,,,,,,,,,,,,,,,,
THOMAS ST at GLEN ERIN DR,6:50 AM[b],6:58 AM[b],7:15 AM[b],7:25 AM[b],7:38 AM[b],8:03 AM[b],8:16 AM[b],4:31 PM[b],5:04 PM[b],5:26 PM[b],5:43 PM[b],5:57 PM[b],6:16 PM[b],6:33 PM[b],7:14 PM[b],7:59 PM[b],,,,,,,,,,,,,,,,,,,,,,
THOMAS ST west of GLEN ERIN DR,6:51 AM[b],6:59 AM[b],7:16 AM[b],7:26 AM[b],7:39 AM[b],8:04 AM[b],8:17 AM[b],8:50:00 AM,9:09:00 AM,9:49:00 AM,10:34:00 AM,11:19:00 AM,12:04:00 PM,12:49:00 PM,1:34:00 PM,2:19:00 PM,3:05:00 PM,3:30:00 PM,3:53:00 PM,4:15:00 PM,4:32 PM[b],4:39:00 PM,4:59:00 PM,5:05 PM[b],5:27 PM[b],5:44 PM[b],5:58 PM[b],6:17 PM[b],6:34 PM[b],7:15 PM[b],7:21:00 PM,8:00 PM[b],8:45:00 PM,9:30:00 PM,10:15:00 PM,11:00:00 PM,,
THOMAS ST at TENTH LINE,6:54 AM[b],7:02 AM[b],7:19 AM[b],7:29 AM[b],7:42 AM[b],8:07 AM[b],8:20 AM[b],8:53:00 AM,9:13:00 AM,9:53:00 AM,10:38:00 AM,11:23:00 AM,12:08:00 PM,12:53:00 PM,1:38:00 PM,2:23:00 PM,3:08:00 PM,3:33:00 PM,3:56:00 PM,4:18:00 PM,4:35 PM[b],4:42:00 PM,5:02:00 PM,5:08 PM[b],5:30 PM[b],5:47 PM[b],6:01 PM[b],6:20 PM[b],6:37 PM[b],7:18 PM[b],7:24:00 PM,8:03 PM[b],8:48:00 PM,9:33:00 PM,10:18:00 PM,11:03:00 PM,,
THOMAS ST west of TENTH LINE,6:54 AM[b],7:02 AM[b],7:19 AM[b],7:29 AM[b],7:42 AM[b],8:07 AM[b],8:20 AM[b],8:53:00 AM,9:13:00 AM,9:53:00 AM,10:38:00 AM,11:23:00 AM,12:08:00 PM,12:53:00 PM,1:38:00 PM,2:23:00 PM,3:08:00 PM,3:33:00 PM,3:56:00 PM,4:18:00 PM,4:35 PM[b],4:42:00 PM,5:02:00 PM,5:08 PM[b],5:30 PM[b],5:47 PM[b],6:01 PM[b],6:20 PM[b],6:37 PM[b],7:18 PM[b],7:24:00 PM,8:03 PM[b],8:48:00 PM,9:33:00 PM,10:18:00 PM,11:03:00 PM,,
CHURCHILL MEADOWS BLVD south of ARBOURVIEW TERRACE,6:58 AM[b],7:06 AM[b],7:23 AM[b],7:33 AM[b],7:46 AM[b],8:11 AM[b],8:24 AM[b],8:57:00 AM,9:16:00 AM,9:56:00 AM,10:41:00 AM,11:26:00 AM,12:11:00 PM,12:56:00 PM,1:41:00 PM,2:26:00 PM,3:12:00 PM,3:37:00 PM,4:00:00 PM,4:22:00 PM,4:39 PM[b],4:46:00 PM,5:06:00 PM,5:12 PM[b],5:34 PM[b],5:51 PM[b],6:05 PM[b],6:24 PM[b],6:41 PM[b],7:22 PM[b],7:27:00 PM,8:07 PM[b],8:51:00 PM,9:36:00 PM,10:21:00 PM,11:06:00 PM,,
CHURCHILL MEADOWS BLVD south of ROSANNA DR,6:10 AM[b],6:28 AM[b],7:00 AM[b],7:08 AM[b],7:25 AM[b],7:35 AM[b],7:48 AM[b],8:13 AM[b],8:26 AM[b],8:59:00 AM,9:18:00 AM,9:58:00 AM,10:43:00 AM,11:28:00 AM,12:13:00 PM,12:58:00 PM,1:43:00 PM,2:28:00 PM,3:14:00 PM,3:39:00 PM,4:02:00 PM,4:24:00 PM,4:41 PM[b],4:48:00 PM,5:08:00 PM,5:14 PM[b],5:36 PM[b],5:53 PM[b],6:07 PM[b],6:26 PM[b],6:43 PM[b],7:24 PM[b],7:29:00 PM,8:09 PM[b],8:53:00 PM,9:38:00 PM,10:23:00 PM,11:08:00 PM
CHURCHILL MEADOWS BLVD at ERIN CENTRE BLVD,6:10 AM[b],6:28 AM[b],7:00 AM[b],7:08 AM[b],7:25 AM[b],7:35 AM[b],7:48 AM[b],8:13 AM[b],8:26 AM[b],8:59:00 AM,9:18:00 AM,9:58:00 AM,10:43:00 AM,11:28:00 AM,12:13:00 PM,12:58:00 PM,1:43:00 PM,2:28:00 PM,3:14:00 PM,3:39:00 PM,4:02:00 PM,4:24:00 PM,4:41 PM[b],4:48:00 PM,5:08:00 PM,5:14 PM[b],5:36 PM[b],5:53 PM[b],6:07 PM[b],6:26 PM[b],6:43 PM[b],7:24 PM[b],7:29:00 PM,8:09 PM[b],8:53:00 PM,9:38:00 PM,10:23:00 PM,11:08:00 PM
NINTH LINE north of SKYVIEW ST,6:14 AM[b],6:32 AM[b],7:04 AM[b],7:12 AM[b],7:29 AM[b],7:39 AM[b],7:52 AM[b],8:17 AM[b],8:30 AM[b],9:03:00 AM,9:22:00 AM,10:02:00 AM,10:47:00 AM,11:32:00 AM,12:17:00 PM,1:02:00 PM,1:47:00 PM,2:32:00 PM,3:18:00 PM,3:43:00 PM,4:06:00 PM,4:28:00 PM,4:45 PM[b],4:52:00 PM,5:12:00 PM,5:18 PM[b],5:40 PM[b],5:57 PM[b],6:11 PM[b],6:30 PM[b],6:47 PM[b],7:28 PM[b],7:33:00 PM,8:13 PM[b],8:57:00 PM,9:42:00 PM,10:27:00 PM,11:12:00 PM
