SKYMARK HUB,6:01:00 AM,6:23:00 AM,6:34:00 AM,6:55:00 AM,7:17:00 AM,7:39:00 AM,8:01:00 AM,8:22:00 AM,8:42:00 AM,9:03:00 AM,9:29:00 AM,9:42:00 AM,10:11:00 AM
MATHESON BLVD at SPECTRUM WAY,6:07:00 AM,6:29:00 AM,6:40:00 AM,7:01:00 AM,7:23:00 AM,7:45:00 AM,8:07:00 AM,8:28:00 AM,8:48:00 AM,9:09:00 AM,9:35:00 AM,9:48:00 AM,10:17:00 AM
MATHESON BLVD east of DIXIE RD,6:10:00 AM,6:32:00 AM,6:43:00 AM,7:05:00 AM,7:27:00 AM,7:49:00 AM,8:11:00 AM,8:32:00 AM,8:52:00 AM,9:12:00 AM,9:38:00 AM,9:51:00 AM,10:20:00 AM
MATHESON BLVD at DIXIE RD,6:10:00 AM,6:32:00 AM,6:43:00 AM,7:05:00 AM,7:27:00 AM,7:49:00 AM,8:11:00 AM,8:32:00 AM,8:52:00 AM,9:12:00 AM,9:38:00 AM,9:51:00 AM,10:20:00 AM
MATHESON BLVD at TOMKEN RD,6:12:00 AM,6:34:00 AM,6:45:00 AM,7:07:00 AM,7:29:00 AM,7:52:00 AM,8:14:00 AM,8:35:00 AM,8:55:00 AM,9:15:00 AM,9:41:00 AM,9:53:00 AM,10:22:00 AM
MATHESON BLVD E west of WHITTLE RD,6:17:00 AM,6:40:00 AM,6:51:00 AM,7:13:00 AM,7:35:00 AM,7:58:00 AM,8:20:00 AM,8:41:00 AM,9:01:00 AM,9:20:00 AM,9:46:00 AM,9:58:00 AM,10:27:00 AM
MATHESON BLVD FIRST STOP west of HURONTARIO ST,6:18:00 AM,6:41:00 AM,6:52:00 AM,7:14:00 AM,7:36:00 AM,7:59:00 AM,8:21:00 AM,8:42:00 AM,9:02:00 AM,9:21:00 AM,9:47:00 AM,9:59:00 AM,10:28:00 AM
BRITANNIA RD at MAVIS RD,6:24:00 AM,6:47:00 AM,6:58:00 AM,7:21:00 AM,7:43:00 AM,8:06:00 AM,8:28:00 AM,8:49:00 AM,9:08:00 AM,9:27:00 AM,9:53:00 AM,10:05:00 AM,10:34:00 AM
BRITANNIA RD at CREDITVIEW RD,6:29:00 AM,6:52:00 AM,7:03:00 AM,7:26:00 AM,7:48:00 AM,8:11:00 AM,8:32:00 AM,8:53:00 AM,9:12:00 AM,9:31:00 AM,9:57:00 AM,10:09:00 AM,10:38:00 AM
BRITANNIA RD at QUEEN ST N,6:31:00 AM,6:54:00 AM,7:06:00 AM,7:29:00 AM,7:51:00 AM,8:14:00 AM,8:35:00 AM,8:56:00 AM,9:14:00 AM,9:33:00 AM,9:59:00 AM,10:11:00 AM,10:40:00 AM
ARGENTIA RD west of KITIMAT RD,6:36:00 AM,6:59:00 AM,7:11:00 AM,7:34:00 AM,7:56:00 AM,8:19:00 AM,8:40:00 AM,9:01:00 AM,9:19:00 AM,9:38:00 AM,10:04:00 AM,10:16:00 AM,10:45:00 AM
ARGENTIA RD at DERRY RD,6:41:00 AM,7:04:00 AM,7:16:00 AM,7:39:00 AM,8:01:00 AM,8:24:00 AM,8:45:00 AM,9:06:00 AM,9:24:00 AM,9:43:00 AM,10:09:00 AM,10:21:00 AM,10:50:00 AM
ARGENTIA RD east of WINSTON CHURCHILL BLVD,6:46:00 AM,7:09:00 AM,7:21:00 AM,7:44:00 AM,8:06:00 AM,8:29:00 AM,8:50:00 AM,9:11:00 AM,9:29:00 AM,9:48:00 AM,10:14:00 AM,10:26:00 AM,10:55:00 AM
MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM I,6:53:00 AM,7:16:00 AM,7:28:00 AM,7:51:00 AM,8:13:00 AM,8:37:00 AM,8:58:00 AM,9:18:00 AM,9:36:00 AM,9:55:00 AM,10:21:00 AM,10:33:00 AM,11:02:00 AM
