MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM I,3:05:00 PM,3:24:00 PM,3:43:00 PM,4:01:00 PM,4:25:00 PM,4:45:00 PM,5:03:00 PM,5:33:00 PM,5:55:00 PM,6:16:00 PM,6:37:00 PM,7:00:00 PM
ARGENTIA RD FIRST STOP east of WINSTON CHURCHILL,3:11:00 PM,3:30:00 PM,3:50:00 PM,4:08:00 PM,4:32:00 PM,4:52:00 PM,5:10:00 PM,5:40:00 PM,6:02:00 PM,6:23:00 PM,6:43:00 PM,7:06:00 PM
ARGENTIA RD at DERRY RD,3:15:00 PM,3:34:00 PM,3:54:00 PM,4:12:00 PM,4:37:00 PM,4:57:00 PM,5:15:00 PM,5:45:00 PM,6:07:00 PM,6:28:00 PM,6:48:00 PM,7:10:00 PM
ARGENTIA RD at KITIMAT RD,3:19:00 PM,3:38:00 PM,3:59:00 PM,4:17:00 PM,4:42:00 PM,5:02:00 PM,5:20:00 PM,5:50:00 PM,6:12:00 PM,6:33:00 PM,6:53:00 PM,7:15:00 PM
BRITANNIA RD at ARCH RD,3:23:00 PM,3:42:00 PM,4:03:00 PM,4:21:00 PM,4:47:00 PM,5:07:00 PM,5:25:00 PM,5:55:00 PM,6:17:00 PM,6:38:00 PM,6:58:00 PM,7:19:00 PM
BRITANNIA RD at CREDITVIEW RD,3:26:00 PM,3:45:00 PM,4:06:00 PM,4:24:00 PM,4:50:00 PM,5:10:00 PM,5:28:00 PM,5:58:00 PM,6:20:00 PM,6:41:00 PM,7:01:00 PM,7:22:00 PM
BRITANNIA RD at MAVIS RD,3:31:00 PM,3:50:00 PM,4:11:00 PM,4:29:00 PM,4:55:00 PM,5:15:00 PM,5:33:00 PM,6:03:00 PM,6:25:00 PM,6:46:00 PM,7:06:00 PM,7:27:00 PM
MATHESON BLVD at HURONTARIO ST,3:37:00 PM,3:56:00 PM,4:17:00 PM,4:35:00 PM,5:01:00 PM,5:21:00 PM,5:39:00 PM,6:09:00 PM,6:31:00 PM,6:52:00 PM,7:11:00 PM,7:32:00 PM
MATHESON BLVD E east of HURONTARIO ST,3:37:00 PM,3:56:00 PM,4:17:00 PM,4:35:00 PM,5:01:00 PM,5:21:00 PM,5:39:00 PM,6:09:00 PM,6:31:00 PM,6:52:00 PM,7:11:00 PM,7:32:00 PM
MATHESON BLVD at TOMKEN RD,3:44:00 PM,4:03:00 PM,4:24:00 PM,4:42:00 PM,5:08:00 PM,5:28:00 PM,5:46:00 PM,6:16:00 PM,6:37:00 PM,6:58:00 PM,7:17:00 PM,7:38:00 PM
MATHESON BLVD east of TOMKEN RD,3:44:00 PM,4:03:00 PM,4:24:00 PM,4:42:00 PM,5:08:00 PM,5:28:00 PM,5:46:00 PM,6:16:00 PM,6:37:00 PM,6:58:00 PM,7:17:00 PM,7:38:00 PM
MATHESON BLVD at DIXIE RD,3:47:00 PM,4:06:00 PM,4:27:00 PM,4:45:00 PM,5:11:00 PM,5:31:00 PM,5:49:00 PM,6:19:00 PM,6:40:00 PM,7:01:00 PM,7:20:00 PM,7:41:00 PM
MATHESON BLVD at SPECTRUM WAY,3:51:00 PM,4:10:00 PM,4:31:00 PM,4:49:00 PM,5:15:00 PM,5:35:00 PM,5:53:00 PM,6:23:00 PM,6:44:00 PM,7:05:00 PM,7:24:00 PM,7:45:00 PM
SKYMARK HUB,3:56:00 PM,4:15:00 PM,4:36:00 PM,4:54:00 PM,5:20:00 PM,5:40:00 PM,5:58:00 PM,6:28:00 PM,6:49:00 PM,7:10:00 PM,7:29:00 PM,7:50:00 PM
