MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM H,4:47:00 AM,5:28:00 AM,6:01:00 AM,6:18 AM[b],6:35 AM[b],7:01 AM[b],7:14 AM[b],7:37 AM[b],7:49 AM[b],8:15:00 AM,8:30 AM[b],8:56:00 AM,9:06:00 AM,9:39:00 AM,10:12:00 AM,10:15:00 AM,10:45:00 AM,11:18:00 AM,11:51:00 AM,12:24:00 PM,12:56:00 PM,1:29:00 PM,2:03:00 PM,2:33:00 PM,3:06:00 PM,3:44:00 PM,4:17:00 PM,4:39:00 PM,4:56 PM[b],5:22 PM[b],5:37 PM[b],5:54 PM[b],6:12 PM[b],6:28 PM[b],7:00:00 PM,7:09 PM[b],7:26:00 PM,7:52 PM[b],8:17:00 PM,8:47:00 PM,9:22:00 PM,9:47:00 PM,10:17:00 PM,10:51:00 PM,11:17:00 PM,11:47:00 PM,12:20:00 AM,,
MEADOWVALE GO STATION PLATFORM A,6:22 AM[b],6:39 AM[b],7:05 AM[b],7:18 AM[b],7:41 AM[b],7:53 AM[b],8:34 AM[b],5:00 PM[b],5:26 PM[b],5:41 PM[b],5:58 PM[b],6:16 PM[b],6:32 PM[b],7:13 PM[b],7:56 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLCREEK DR at SURVEYOR RD,4:54:00 AM,5:35:00 AM,6:09:00 AM,6:28 AM[b],6:45 AM[b],7:11 AM[b],7:24 AM[b],7:47 AM[b],7:59 AM[b],8:23:00 AM,8:40 AM[b],9:04:00 AM,9:14:00 AM,9:47:00 AM,10:20:00 AM,10:23:00 AM,10:53:00 AM,11:26:00 AM,11:59:00 AM,12:32:00 PM,1:04:00 PM,1:37:00 PM,2:11:00 PM,2:41:00 PM,3:14:00 PM,3:52:00 PM,4:25:00 PM,4:47:00 PM,5:06 PM[b],5:32 PM[b],5:47 PM[b],6:04 PM[b],6:22 PM[b],6:38 PM[b],7:08:00 PM,7:19 PM[b],7:34:00 PM,8:02 PM[b],8:24:00 PM,8:54:00 PM,9:29:00 PM,9:54:00 PM,10:24:00 PM,10:58:00 PM,11:24:00 PM,11:54:00 PM,12:27:00 AM,,
ERIN MILLS PKY at MILLCREEK DR,4:54:00 AM,5:35:00 AM,6:09:00 AM,6:28 AM[b],6:45 AM[b],7:11 AM[b],7:24 AM[b],7:47 AM[b],7:59 AM[b],8:23:00 AM,8:40 AM[b],9:04:00 AM,9:14:00 AM,9:47:00 AM,10:20:00 AM,10:23:00 AM,10:53:00 AM,11:26:00 AM,11:59:00 AM,12:32:00 PM,1:04:00 PM,1:37:00 PM,2:11:00 PM,2:41:00 PM,3:14:00 PM,3:52:00 PM,4:25:00 PM,4:47:00 PM,5:06 PM[b],5:32 PM[b],5:47 PM[b],6:04 PM[b],6:22 PM[b],6:38 PM[b],7:08:00 PM,7:19 PM[b],7:34:00 PM,8:02 PM[b],8:24:00 PM,8:54:00 PM,9:29:00 PM,9:54:00 PM,10:24:00 PM,10:58:00 PM,11:24:00 PM,11:54:00 PM,12:27:00 AM,,
ARGENTIA RD at MISSISSAUGA RD,4:57:00 AM,5:38:00 AM,6:12:00 AM,6:31 AM[b],6:48 AM[b],7:14 AM[b],7:27 AM[b],7:50 AM[b],8:02 AM[b],8:26:00 AM,8:43 AM[b],9:07:00 AM,9:17:00 AM,9:49:00 AM,10:22:00 AM,10:25:00 AM,10:55:00 AM,11:28:00 AM,12:01:00 PM,12:34:00 PM,1:06:00 PM,1:39:00 PM,2:13:00 PM,2:43:00 PM,3:17:00 PM,3:55:00 PM,4:28:00 PM,4:50:00 PM,5:09 PM[b],5:35 PM[b],5:50 PM[b],6:07 PM[b],6:25 PM[b],6:41 PM[b],7:11:00 PM,7:22 PM[b],7:36:00 PM,8:04 PM[b],8:26:00 PM,8:56:00 PM,9:31:00 PM,9:56:00 PM,10:26:00 PM,11:00:00 PM,11:26:00 PM,11:56:00 PM,12:29:00 AM,,
ARGENTIA RD at KINSMEN GATE,5:00:00 AM,5:41:00 AM,6:15:00 AM,6:34 AM[b],6:51 AM[b],7:17 AM[b],7:30 AM[b],7:53 AM[b],8:05 AM[b],8:29:00 AM,8:46 AM[b],9:10:00 AM,9:20:00 AM,9:52:00 AM,10:25:00 AM,10:28:00 AM,10:58:00 AM,11:31:00 AM,12:04:00 PM,12:37:00 PM,1:09:00 PM,1:42:00 PM,2:16:00 PM,2:46:00 PM,3:20:00 PM,3:58:00 PM,4:31:00 PM,4:53:00 PM,5:12 PM[b],5:38 PM[b],5:53 PM[b],6:10 PM[b],6:28 PM[b],6:44 PM[b],7:14:00 PM,7:25 PM[b],7:38:00 PM,8:06 PM[b],8:28:00 PM,8:58:00 PM,9:33:00 PM,9:58:00 PM,10:28:00 PM,11:02:00 PM,11:28:00 PM,11:58:00 PM,12:31:00 AM,,
QUEEN ST S south of BRITANNIA RD,5:06:00 AM,5:47:00 AM,6:21:00 AM,6:40 AM[b],6:57 AM[b],7:23 AM[b],7:36 AM[b],7:59 AM[b],8:11 AM[b],8:35:00 AM,8:52 AM[b],9:16:00 AM,9:26:00 AM,9:58:00 AM,10:31:00 AM,10:34:00 AM,11:04:00 AM,11:37:00 AM,12:10:00 PM,12:43:00 PM,1:15:00 PM,1:48:00 PM,2:22:00 PM,2:52:00 PM,3:26:00 PM,4:04:00 PM,4:37:00 PM,4:59:00 PM,5:18 PM[b],5:44 PM[b],5:59 PM[b],6:16 PM[b],6:34 PM[b],6:50 PM[b],7:20:00 PM,7:31 PM[b],7:44:00 PM,8:12 PM[b],8:34:00 PM,9:04:00 PM,9:39:00 PM,10:04:00 PM,10:34:00 PM,11:08:00 PM,11:34:00 PM,12:04:00 AM,12:37:00 AM,,
QUEEN ST at BARRY AVE,5:12:00 AM,5:55:00 AM,6:29:00 AM,6:48 AM[b],7:05 AM[b],7:31 AM[b],7:44 AM[b],8:07 AM[b],8:19 AM[b],8:24 AM[G],8:41 AM[G],8:43:00 AM,9:00 AM[b],9:22:00 AM,9:32:00 AM,10:04:00 AM,10:37:00 AM,10:40:00 AM,11:10:00 AM,11:43:00 AM,12:16:00 PM,12:49:00 PM,1:21:00 PM,1:54:00 PM,2:28:00 PM,2:58:00 PM,3:35:00 PM,4:13:00 PM,4:46:00 PM,5:08:00 PM,5:27 PM[b],5:53 PM[b],6:08 PM[b],6:25 PM[b],6:43 PM[b],6:59 PM[b],7:29:00 PM,7:37 PM[b],7:50:00 PM,8:18 PM[b],8:40:00 PM,9:10:00 PM,9:45:00 PM,10:10:00 PM,10:40:00 PM,11:14:00 PM,11:40:00 PM,12:10:00 AM,12:43:00 AM
MISSISSAUGA RD at EGLINTON AVE,5:16:00 AM,5:59:00 AM,6:34:00 AM,6:52 AM[b],7:09 AM[b],7:35 AM[b],7:48 AM[b],8:11 AM[b],8:23 AM[b],8:28 AM[G],8:45 AM[G],8:47:00 AM,9:04 AM[b],9:25:00 AM,9:35:00 AM,10:07:00 AM,10:40:00 AM,10:43:00 AM,11:13:00 AM,11:46:00 AM,12:19:00 PM,12:52:00 PM,1:24:00 PM,1:57:00 PM,2:31:00 PM,3:01:00 PM,3:39:00 PM,4:17:00 PM,4:50:00 PM,5:12:00 PM,5:31 PM[b],5:57 PM[b],6:12 PM[b],6:29 PM[b],6:47 PM[b],7:03 PM[b],7:33:00 PM,7:40 PM[b],7:53:00 PM,8:21 PM[b],8:43:00 PM,9:13:00 PM,9:48:00 PM,10:13:00 PM,10:43:00 PM,11:17:00 PM,11:43:00 PM,12:13:00 AM,12:46:00 AM
MISSISSAUGA RD at THORNY - BRAE PLACE,5:16:00 AM,5:59:00 AM,6:34:00 AM,6:52 AM[b],7:09 AM[b],7:35 AM[b],7:48 AM[b],8:11 AM[b],8:23 AM[b],8:28 AM[G],8:45 AM[G],8:47:00 AM,9:04 AM[b],9:25:00 AM,9:35:00 AM,10:07:00 AM,10:40:00 AM,10:43:00 AM,11:13:00 AM,11:46:00 AM,12:19:00 PM,12:52:00 PM,1:24:00 PM,1:57:00 PM,2:31:00 PM,3:01:00 PM,3:39:00 PM,4:17:00 PM,4:50:00 PM,5:12:00 PM,5:31 PM[b],5:57 PM[b],6:12 PM[b],6:29 PM[b],6:47 PM[b],7:03 PM[b],7:33:00 PM,7:40 PM[b],7:53:00 PM,8:21 PM[b],8:43:00 PM,9:13:00 PM,9:48:00 PM,10:13:00 PM,10:43:00 PM,11:17:00 PM,11:43:00 PM,12:13:00 AM,12:46:00 AM
