CLARKSON GO STATION PLATFORM B,5:36 AM[c],5:45:00 AM,6:08 AM[c],6:21:00 AM,6:39 AM[c],6:49:00 AM,7:07 AM[c],7:21:00 AM,7:43 AM[c],7:56:00 AM,8:19 AM[c],8:31:00 AM,8:52 AM[c],8:58:00 AM,9:28:00 AM,9:58:00 AM,10:28:00 AM,10:58:00 AM,11:28:00 AM,11:58:00 AM,12:28:00 PM,12:58:00 PM,1:28:00 PM,1:58:00 PM,2:19 PM[c],2:29:00 PM,2:47 PM[c],3:00:00 PM,3:19 PM[c],3:34:00 PM,3:52 PM[c],4:07:00 PM,4:26 PM[c],4:39:00 PM,5:00 PM[c],5:15:00 PM,5:34 PM[c],5:52:00 PM,6:06 PM[c],6:21:00 PM,6:39:00 PM,7:10:00 PM,7:33:00 PM,8:21:00 PM,9:01:00 PM,9:52:00 PM,10:27:00 PM,
ROYAL WINDSOR DR SECOND STOP west of AVONHEAD RD,5:50:00 AM,6:26:00 AM,6:54:00 AM,7:27:00 AM,8:02:00 AM,8:36:00 AM,9:03:00 AM,9:33:00 AM,10:03:00 AM,10:33:00 AM,11:03:00 AM,11:33:00 AM,12:03:00 PM,12:33:00 PM,1:03:00 PM,1:33:00 PM,2:03:00 PM,2:34:00 PM,3:05:00 PM,3:39:00 PM,4:13:00 PM,4:45:00 PM,5:21:00 PM,5:58:00 PM,6:26:00 PM,6:44:00 PM,7:15:00 PM,7:38:00 PM,8:26:00 PM,9:06:00 PM,9:57:00 PM,10:32:00 PM,,,,,,,,,,,,,,,,
ROYAL WINDSOR DR THIRD STOP west of AVONHEAD RD,5:50:00 AM,6:26:00 AM,6:54:00 AM,7:27:00 AM,8:02:00 AM,8:36:00 AM,9:03:00 AM,9:33:00 AM,10:03:00 AM,10:33:00 AM,11:03:00 AM,11:33:00 AM,12:03:00 PM,12:33:00 PM,1:03:00 PM,1:33:00 PM,2:03:00 PM,2:34:00 PM,3:05:00 PM,3:39:00 PM,4:13:00 PM,4:45:00 PM,5:21:00 PM,5:58:00 PM,6:26:00 PM,6:44:00 PM,7:15:00 PM,7:38:00 PM,8:26:00 PM,9:06:00 PM,9:57:00 PM,10:32:00 PM,,,,,,,,,,,,,,,,
ROYAL WINDSOR DR at WINSTON CHURCHILL BLVD,5:51:00 AM,6:27:00 AM,6:55:00 AM,7:28:00 AM,8:03:00 AM,8:37:00 AM,9:04:00 AM,9:34:00 AM,10:04:00 AM,10:34:00 AM,11:04:00 AM,11:34:00 AM,12:04:00 PM,12:34:00 PM,1:04:00 PM,1:34:00 PM,2:04:00 PM,2:35:00 PM,3:06:00 PM,3:40:00 PM,4:14:00 PM,4:46:00 PM,5:22:00 PM,5:59:00 PM,6:27:00 PM,6:45:00 PM,7:16:00 PM,7:39:00 PM,8:27:00 PM,9:07:00 PM,9:58:00 PM,10:33:00 PM,,,,,,,,,,,,,,,,
WINSTON CHURCHILL BLVD at TRUSCOTT DR,5:53:00 AM,6:29:00 AM,6:57:00 AM,7:30:00 AM,8:05:00 AM,8:39:00 AM,9:06:00 AM,9:36:00 AM,10:06:00 AM,10:36:00 AM,11:06:00 AM,11:36:00 AM,12:06:00 PM,12:36:00 PM,1:06:00 PM,1:36:00 PM,2:06:00 PM,2:37:00 PM,3:08:00 PM,3:42:00 PM,4:16:00 PM,4:48:00 PM,5:24:00 PM,6:01:00 PM,6:29:00 PM,6:47:00 PM,7:18:00 PM,7:41:00 PM,8:29:00 PM,9:09:00 PM,10:00:00 PM,10:35:00 PM,,,,,,,,,,,,,,,,
PLYMOUTH DR at WINSTON CHURCHILL BLVD,5:56:00 AM,6:33:00 AM,7:01:00 AM,7:34:00 AM,8:09:00 AM,8:43:00 AM,9:10:00 AM,9:40:00 AM,10:10:00 AM,10:40:00 AM,11:10:00 AM,11:40:00 AM,12:10:00 PM,12:40:00 PM,1:10:00 PM,1:40:00 PM,2:10:00 PM,2:41:00 PM,3:12:00 PM,3:46:00 PM,4:20:00 PM,4:52:00 PM,5:28:00 PM,6:05:00 PM,6:33:00 PM,6:51:00 PM,7:22:00 PM,7:45:00 PM,8:32:00 PM,9:12:00 PM,10:03:00 PM,10:38:00 PM,,,,,,,,,,,,,,,,
BRISTOL CIRCLE at LONDON LANE,5:58:00 AM,6:35:00 AM,7:03:00 AM,7:36:00 AM,8:11:00 AM,8:45:00 AM,9:12:00 AM,9:42:00 AM,10:12:00 AM,10:42:00 AM,11:12:00 AM,11:42:00 AM,12:12:00 PM,12:42:00 PM,1:12:00 PM,1:42:00 PM,2:12:00 PM,2:43:00 PM,3:14:00 PM,3:48:00 PM,4:22:00 PM,4:54:00 PM,5:30:00 PM,6:07:00 PM,6:35:00 PM,6:53:00 PM,7:24:00 PM,7:47:00 PM,8:34:00 PM,9:14:00 PM,10:05:00 PM,10:40:00 PM,,,,,,,,,,,,,,,,
BRISTOL CIRCLE at WINSTON PARK DR,5:58:00 AM,6:35:00 AM,7:03:00 AM,7:36:00 AM,8:11:00 AM,8:45:00 AM,9:12:00 AM,9:42:00 AM,10:12:00 AM,10:42:00 AM,11:12:00 AM,11:42:00 AM,12:12:00 PM,12:42:00 PM,1:12:00 PM,1:42:00 PM,2:12:00 PM,2:43:00 PM,3:14:00 PM,3:48:00 PM,4:22:00 PM,4:54:00 PM,5:30:00 PM,6:07:00 PM,6:35:00 PM,6:53:00 PM,7:24:00 PM,7:47:00 PM,8:34:00 PM,9:14:00 PM,10:05:00 PM,10:40:00 PM,,,,,,,,,,,,,,,,
LEANNE BLVD at ERIN MILLS PKY,5:41 AM[c],6:14 AM[c],6:45 AM[c],7:13 AM[c],7:49 AM[c],8:25 AM[c],8:58 AM[c],2:25 PM[c],2:53 PM[c],3:25 PM[c],3:58 PM[c],4:32 PM[c],5:06 PM[c],5:40 PM[c],6:12 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEAKMAN DR at HADWEN RD,5:44 AM[c],6:17 AM[c],6:48 AM[c],7:16 AM[c],7:52 AM[c],8:28 AM[c],9:01 AM[c],2:28 PM[c],2:56 PM[c],3:28 PM[c],4:01 PM[c],4:35 PM[c],5:09 PM[c],5:43 PM[c],6:15 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHERIDAN PARK DR at WINSTON CHURCHILL BLVD,5:48 AM[c],6:21 AM[c],6:52 AM[c],7:20 AM[c],7:57 AM[c],8:32 AM[c],9:05 AM[c],2:32 PM[c],3:01 PM[c],3:33 PM[c],4:06 PM[c],4:40 PM[c],5:14 PM[c],5:48 PM[c],6:19 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
