MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM C,5:21:00 AM,5:49:00 AM,6:15:00 AM,6:29 AM[c],6:52:00 AM,7:09 AM[c],7:28:00 AM,7:40 AM[c],7:54:00 AM,8:12 AM[c],8:33:00 AM,8:46 AM[c],9:07:00 AM,9:17 AM[c],9:35:00 AM,9:43:00 AM,10:13:00 AM,10:43:00 AM,11:13:00 AM,11:43:00 AM,12:13:00 PM,12:43:00 PM,1:13:00 PM,1:43:00 PM,2:13:00 PM,2:45:00 PM,3:02:00 PM,3:18 PM[c],3:34:00 PM,3:50 PM[c],4:09:00 PM,4:27 PM[c],4:43:00 PM,5:02 PM[c],5:15:00 PM,5:31 PM[c],5:49:00 PM,6:06 PM[c],6:22:00 PM,6:45:00 PM,6:58:00 PM,7:31:00 PM,8:19:00 PM,9:05:00 PM,9:45:00 PM,
WINSTON CHURCHILL BLVD at BATTLEFORD RD,5:24:00 AM,5:52:00 AM,6:18:00 AM,6:32 AM[c],6:55:00 AM,7:12 AM[c],7:31:00 AM,7:43 AM[c],7:57:00 AM,8:15 AM[c],8:36:00 AM,8:49 AM[c],9:10:00 AM,9:20 AM[c],9:38:00 AM,9:46:00 AM,10:16:00 AM,10:46:00 AM,11:16:00 AM,11:46:00 AM,12:16:00 PM,12:46:00 PM,1:16:00 PM,1:46:00 PM,2:16:00 PM,2:48:00 PM,3:06:00 PM,3:22 PM[c],3:38:00 PM,3:54 PM[c],4:13:00 PM,4:31 PM[c],4:47:00 PM,5:06 PM[c],5:19:00 PM,5:35 PM[c],5:53:00 PM,6:10 PM[c],6:25:00 PM,6:48:00 PM,7:01:00 PM,7:34:00 PM,8:22:00 PM,9:08:00 PM,9:48:00 PM,
WINSTON CHURCHILL BLVD at BRITANNIA RD,5:27:00 AM,5:55:00 AM,6:21:00 AM,6:35 AM[c],6:59:00 AM,7:16 AM[c],7:35:00 AM,7:47 AM[c],8:01:00 AM,8:19 AM[c],8:40:00 AM,8:53 AM[c],9:13:00 AM,9:23 AM[c],9:41:00 AM,9:49:00 AM,10:19:00 AM,10:49:00 AM,11:19:00 AM,11:49:00 AM,12:19:00 PM,12:49:00 PM,1:19:00 PM,1:49:00 PM,2:19:00 PM,2:51:00 PM,3:09:00 PM,3:26 PM[c],3:42:00 PM,3:58 PM[c],4:17:00 PM,4:35 PM[c],4:51:00 PM,5:10 PM[c],5:23:00 PM,5:39 PM[c],5:57:00 PM,6:14 PM[c],6:29:00 PM,6:52:00 PM,7:05:00 PM,7:38:00 PM,8:26:00 PM,9:11:00 PM,9:51:00 PM,
WINSTON CHURCHILL BLVD at THOMAS ST,5:30:00 AM,5:58:00 AM,6:24:00 AM,6:38 AM[c],7:02:00 AM,7:19 AM[c],7:38:00 AM,7:50 AM[c],8:04:00 AM,8:22 AM[c],8:43:00 AM,8:56 AM[c],9:16:00 AM,9:26 AM[c],9:44:00 AM,9:52:00 AM,10:22:00 AM,10:52:00 AM,11:22:00 AM,11:52:00 AM,12:22:00 PM,12:52:00 PM,1:22:00 PM,1:52:00 PM,2:22:00 PM,2:54:00 PM,3:12:00 PM,3:29 PM[c],3:45:00 PM,4:01 PM[c],4:20:00 PM,4:38 PM[c],4:54:00 PM,5:13 PM[c],5:26:00 PM,5:42 PM[c],6:00:00 PM,6:17 PM[c],6:32:00 PM,6:55:00 PM,7:08:00 PM,7:41:00 PM,8:29:00 PM,9:14:00 PM,9:54:00 PM,
WINSTON CHURCHILL BLVD at EGLINTON AVE,5:33:00 AM,6:02:00 AM,6:28:00 AM,6:42 AM[c],7:06:00 AM,7:24 AM[c],7:43:00 AM,7:55 AM[c],8:09:00 AM,8:27 AM[c],8:48:00 AM,9:00 AM[c],9:20:00 AM,9:30 AM[c],9:48:00 AM,9:56:00 AM,10:26:00 AM,10:56:00 AM,11:26:00 AM,11:56:00 AM,12:26:00 PM,12:56:00 PM,1:26:00 PM,1:56:00 PM,2:26:00 PM,2:58:00 PM,3:16:00 PM,3:33 PM[c],3:49:00 PM,4:05 PM[c],4:24:00 PM,4:42 PM[c],4:58:00 PM,5:17 PM[c],5:30:00 PM,5:46 PM[c],6:04:00 PM,6:21 PM[c],6:36:00 PM,6:59:00 PM,7:12:00 PM,7:45:00 PM,8:32:00 PM,9:17:00 PM,9:57:00 PM,
WINSTON CHURCHILL BLVD south of EGLINTON AVE,5:33:00 AM,6:02:00 AM,6:28:00 AM,6:42 AM[c],7:06:00 AM,7:24 AM[c],7:43:00 AM,7:55 AM[c],8:09:00 AM,8:27 AM[c],8:48:00 AM,9:00 AM[c],9:20:00 AM,9:30 AM[c],9:48:00 AM,9:56:00 AM,10:26:00 AM,10:56:00 AM,11:26:00 AM,11:56:00 AM,12:26:00 PM,12:56:00 PM,1:26:00 PM,1:56:00 PM,2:26:00 PM,2:58:00 PM,3:16:00 PM,3:33 PM[c],3:49:00 PM,4:05 PM[c],4:24:00 PM,4:42 PM[c],4:58:00 PM,5:17 PM[c],5:30:00 PM,5:46 PM[c],6:04:00 PM,6:21 PM[c],6:36:00 PM,6:59:00 PM,7:12:00 PM,7:45:00 PM,8:32:00 PM,9:17:00 PM,9:57:00 PM,
WINSTON CHURCHILL BLVD at BURNHAMTHORPE RD,5:37:00 AM,6:06:00 AM,6:32:00 AM,6:46 AM[c],7:11:00 AM,7:29 AM[c],7:48:00 AM,8:00 AM[c],8:14:00 AM,8:32 AM[c],8:53:00 AM,9:05 AM[c],9:25:00 AM,9:35 AM[c],9:53:00 AM,10:01:00 AM,10:31:00 AM,11:01:00 AM,11:31:00 AM,12:01:00 PM,12:31:00 PM,1:01:00 PM,1:31:00 PM,2:01:00 PM,2:31:00 PM,3:03:00 PM,3:21:00 PM,3:39 PM[c],3:55:00 PM,4:11 PM[c],4:30:00 PM,4:48 PM[c],5:04:00 PM,5:23 PM[c],5:36:00 PM,5:52 PM[c],6:09:00 PM,6:26 PM[c],6:41:00 PM,7:04:00 PM,7:17:00 PM,7:50:00 PM,8:36:00 PM,9:21:00 PM,10:01:00 PM,
WINSTON CHURCHILL BLVD at DUNDAS ST W,5:42:00 AM,6:11:00 AM,6:38:00 AM,6:52 AM[c],7:17:00 AM,7:35 AM[c],7:54:00 AM,8:06 AM[c],8:20:00 AM,8:38 AM[c],8:58:00 AM,9:10 AM[c],9:30:00 AM,9:40 AM[c],9:58:00 AM,10:06:00 AM,10:36:00 AM,11:06:00 AM,11:36:00 AM,12:06:00 PM,12:36:00 PM,1:06:00 PM,1:36:00 PM,2:06:00 PM,2:36:00 PM,3:08:00 PM,3:26:00 PM,3:44 PM[c],4:01:00 PM,4:17 PM[c],4:36:00 PM,4:54 PM[c],5:10:00 PM,5:29 PM[c],5:41:00 PM,5:57 PM[c],6:14:00 PM,6:31 PM[c],6:46:00 PM,7:09:00 PM,7:22:00 PM,7:55:00 PM,8:41:00 PM,9:26:00 PM,10:06:00 PM,
SHERIDAN PARK DR at WINSTON CHURCHILL BLVD,6:55 AM[c],7:38 AM[c],8:09 AM[c],8:41 AM[c],9:12 AM[c],9:42 AM[c],3:47 PM[c],4:20 PM[c],4:43 PM[c],4:57 PM[c],5:32 PM[c],5:59 PM[c],6:33 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEAKMAN DR at HADWEN RD,6:59 AM[c],7:42 AM[c],8:13 AM[c],8:45 AM[c],9:16 AM[c],9:46 AM[c],3:51 PM[c],4:24 PM[c],4:47 PM[c],5:01 PM[c],5:36 PM[c],6:03 PM[c],6:37 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
