SOUTH COMMON MALL BUS TERMINAL PLATFORM L,6:06:00 AM,6:41:00 AM,7:18:00 AM,7:42:00 AM,7:53:00 AM,8:28:00 AM,9:03:00 AM,2:45:00 PM,3:17:00 PM,3:52:00 PM,4:27:00 PM,5:02:00 PM,5:37:00 PM,6:11:00 PM,6:44:00 PM
THE COLLEGEWAY east of GLEN ERIN DR,6:08:00 AM,6:43:00 AM,7:20:00 AM,7:44:00 AM,7:55:00 AM,8:30:00 AM,9:05:00 AM,2:47:00 PM,3:19:00 PM,3:54:00 PM,4:29:00 PM,5:04:00 PM,5:39:00 PM,6:13:00 PM,6:46:00 PM
THE COLLEGEWAY at GLEN ERIN DR,6:09:00 AM,6:44:00 AM,7:21:00 AM,7:45:00 AM,7:56:00 AM,8:31:00 AM,9:06:00 AM,2:48:00 PM,3:20:00 PM,3:55:00 PM,4:30:00 PM,5:05:00 PM,5:40:00 PM,6:14:00 PM,6:47:00 PM
THE COLLEGEWAY at LOYALIST DR,6:12:00 AM,6:47:00 AM,7:24:00 AM,7:48:00 AM,7:59:00 AM,8:34:00 AM,9:09:00 AM,2:51:00 PM,3:23:00 PM,3:58:00 PM,4:33:00 PM,5:08:00 PM,5:43:00 PM,6:17:00 PM,6:50:00 PM
COLONIAL DR at ORLEANS RD,6:17:00 AM,6:52:00 AM,7:29:00 AM,7:53:00 AM,8:04:00 AM,8:39:00 AM,9:14:00 AM,2:56:00 PM,3:28:00 PM,4:03:00 PM,4:38:00 PM,5:13:00 PM,5:48:00 PM,6:22:00 PM,6:54:00 PM
COLONIAL DR at LAIRD RD,6:17:00 AM,6:52:00 AM,7:29:00 AM,7:53:00 AM,8:04:00 AM,8:39:00 AM,9:14:00 AM,2:56:00 PM,3:28:00 PM,4:03:00 PM,4:38:00 PM,5:13:00 PM,5:48:00 PM,6:22:00 PM,6:54:00 PM
RIDGEWAY DR at THE COLLEGEWAY,6:21:00 AM,6:56:00 AM,7:33:00 AM,7:57:00 AM,8:08:00 AM,8:43:00 AM,9:18:00 AM,3:00:00 PM,3:32:00 PM,4:07:00 PM,4:42:00 PM,5:17:00 PM,5:52:00 PM,6:26:00 PM,6:58:00 PM
BURNHAMTHORPE RD W at RIDGEWAY DR,6:24:00 AM,6:59:00 AM,7:36:00 AM,8:00:00 AM,8:11:00 AM,8:46:00 AM,9:21:00 AM,3:03:00 PM,3:35:00 PM,4:10:00 PM,4:45:00 PM,5:20:00 PM,5:55:00 PM,6:29:00 PM,7:01:00 PM
UNITY DR at LOYALIST DR,6:28:00 AM,7:04:00 AM,7:41:00 AM,8:05:00 AM,8:16:00 AM,8:51:00 AM,9:26:00 AM,3:08:00 PM,3:40:00 PM,4:15:00 PM,4:50:00 PM,5:25:00 PM,6:00:00 PM,6:33:00 PM,7:05:00 PM
BURNHAMTHORPE RD at WINSTON CHURCHILL BLVD,6:31:00 AM,7:07:00 AM,7:44:00 AM,8:08:00 AM,8:19:00 AM,8:54:00 AM,9:29:00 AM,3:11:00 PM,3:43:00 PM,4:18:00 PM,4:53:00 PM,5:28:00 PM,6:03:00 PM,6:36:00 PM,7:08:00 PM
SOUTH COMMON MALL BUS TERMINAL PLATFORM L,6:36:00 AM,7:13:00 AM,7:50:00 AM,8:14:00 AM,8:25:00 AM,9:00:00 AM,9:35:00 AM,3:17:00 PM,3:49:00 PM,4:24:00 PM,4:59:00 PM,5:34:00 PM,6:08:00 PM,6:41:00 PM,7:13:00 PM
