MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM F,5:33:00 AM,5:48:00 AM,6:08:00 AM,6:25:00 AM,6:42:00 AM,7:01:00 AM,7:18:00 AM,7:36:00 AM,7:54:00 AM,8:12:00 AM,8:29:00 AM,8:47:00 AM,9:05:00 AM,9:21:00 AM,9:43:00 AM,10:05:00 AM,10:27:00 AM,10:49:00 AM,11:11:00 AM,11:33:00 AM,11:55:00 AM,12:17:00 PM,12:39:00 PM,1:01:00 PM,1:23:00 PM,1:45:00 PM,2:07:00 PM,2:29:00 PM,2:45:00 PM,3:03:00 PM,3:21:00 PM,3:39:00 PM,3:57:00 PM,4:14:00 PM,4:32:00 PM,4:50:00 PM,5:08:00 PM,5:25:00 PM,5:43:00 PM,6:01:00 PM,6:19:00 PM,6:36:00 PM,6:54:00 PM,7:12:00 PM,7:25:00 PM,7:45:00 PM,8:05:00 PM,8:25:00 PM,8:45:00 PM,9:05:00 PM,9:25:00 PM,9:45:00 PM,10:15:00 PM,10:45:00 PM,11:15:00 PM,11:45:00 PM,12:15:00 AM,12:45:00 AM,1:15:00 AM
AQUITAINE AVE at MONTEVIDEO RD,5:36:00 AM,5:51:00 AM,6:11:00 AM,6:28:00 AM,6:45:00 AM,7:04:00 AM,7:21:00 AM,7:39:00 AM,7:57:00 AM,8:15:00 AM,8:32:00 AM,8:50:00 AM,9:08:00 AM,9:24:00 AM,9:46:00 AM,10:08:00 AM,10:30:00 AM,10:52:00 AM,11:14:00 AM,11:36:00 AM,11:58:00 AM,12:20:00 PM,12:42:00 PM,1:04:00 PM,1:26:00 PM,1:48:00 PM,2:10:00 PM,2:32:00 PM,2:48:00 PM,3:06:00 PM,3:24:00 PM,3:42:00 PM,4:00:00 PM,4:17:00 PM,4:35:00 PM,4:53:00 PM,5:11:00 PM,5:28:00 PM,5:46:00 PM,6:04:00 PM,6:22:00 PM,6:39:00 PM,6:57:00 PM,7:14:00 PM,7:27:00 PM,7:47:00 PM,8:07:00 PM,8:27:00 PM,8:47:00 PM,9:07:00 PM,9:27:00 PM,9:47:00 PM,10:17:00 PM,10:47:00 PM,11:17:00 PM,11:47:00 PM,12:17:00 AM,12:47:00 AM,1:17:00 AM
BATTLEFORD RD at ERIN MILLS PKY,5:40:00 AM,5:55:00 AM,6:15:00 AM,6:32:00 AM,6:49:00 AM,7:08:00 AM,7:25:00 AM,7:43:00 AM,8:01:00 AM,8:19:00 AM,8:36:00 AM,8:54:00 AM,9:11:00 AM,9:27:00 AM,9:49:00 AM,10:11:00 AM,10:33:00 AM,10:55:00 AM,11:17:00 AM,11:39:00 AM,12:01:00 PM,12:23:00 PM,12:45:00 PM,1:07:00 PM,1:29:00 PM,1:51:00 PM,2:14:00 PM,2:36:00 PM,2:52:00 PM,3:10:00 PM,3:28:00 PM,3:46:00 PM,4:04:00 PM,4:21:00 PM,4:39:00 PM,4:57:00 PM,5:15:00 PM,5:32:00 PM,5:50:00 PM,6:08:00 PM,6:26:00 PM,6:43:00 PM,7:01:00 PM,7:17:00 PM,7:30:00 PM,7:50:00 PM,8:10:00 PM,8:30:00 PM,8:50:00 PM,9:10:00 PM,9:30:00 PM,9:50:00 PM,10:20:00 PM,10:50:00 PM,11:20:00 PM,11:50:00 PM,12:20:00 AM,12:50:00 AM,1:20:00 AM
ERIN MILLS PKY at BRITANNIA RD,5:43:00 AM,5:58:00 AM,6:18:00 AM,6:35:00 AM,6:52:00 AM,7:11:00 AM,7:28:00 AM,7:46:00 AM,8:04:00 AM,8:22:00 AM,8:39:00 AM,8:57:00 AM,9:14:00 AM,9:30:00 AM,9:52:00 AM,10:14:00 AM,10:36:00 AM,10:58:00 AM,11:20:00 AM,11:42:00 AM,12:04:00 PM,12:26:00 PM,12:48:00 PM,1:10:00 PM,1:32:00 PM,1:54:00 PM,2:17:00 PM,2:39:00 PM,2:55:00 PM,3:13:00 PM,3:31:00 PM,3:49:00 PM,4:07:00 PM,4:24:00 PM,4:42:00 PM,5:00:00 PM,5:18:00 PM,5:35:00 PM,5:53:00 PM,6:11:00 PM,6:29:00 PM,6:46:00 PM,7:03:00 PM,7:19:00 PM,7:32:00 PM,7:52:00 PM,8:12:00 PM,8:32:00 PM,8:52:00 PM,9:12:00 PM,9:32:00 PM,9:52:00 PM,10:22:00 PM,10:52:00 PM,11:22:00 PM,11:52:00 PM,12:22:00 AM,12:52:00 AM,1:22:00 AM
ERIN MILLS PKY at THOMAS ST,5:46:00 AM,6:01:00 AM,6:21:00 AM,6:38:00 AM,6:55:00 AM,7:14:00 AM,7:31:00 AM,7:49:00 AM,8:07:00 AM,8:25:00 AM,8:42:00 AM,9:00:00 AM,9:16:00 AM,9:32:00 AM,9:54:00 AM,10:16:00 AM,10:38:00 AM,11:00:00 AM,11:22:00 AM,11:44:00 AM,12:06:00 PM,12:28:00 PM,12:50:00 PM,1:12:00 PM,1:34:00 PM,1:56:00 PM,2:20:00 PM,2:42:00 PM,2:58:00 PM,3:16:00 PM,3:34:00 PM,3:52:00 PM,4:10:00 PM,4:27:00 PM,4:45:00 PM,5:03:00 PM,5:21:00 PM,5:38:00 PM,5:56:00 PM,6:14:00 PM,6:32:00 PM,6:49:00 PM,7:05:00 PM,7:21:00 PM,7:34:00 PM,7:54:00 PM,8:14:00 PM,8:34:00 PM,8:54:00 PM,9:14:00 PM,9:34:00 PM,9:54:00 PM,10:24:00 PM,10:54:00 PM,11:24:00 PM,11:54:00 PM,12:24:00 AM,12:54:00 AM,1:24:00 AM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM F,5:51:00 AM,6:06:00 AM,6:26:00 AM,6:43:00 AM,7:00:00 AM,7:19:00 AM,7:36:00 AM,7:54:00 AM,8:12:00 AM,8:30:00 AM,8:47:00 AM,9:05:00 AM,9:21:00 AM,9:37:00 AM,9:59:00 AM,10:21:00 AM,10:43:00 AM,11:05:00 AM,11:27:00 AM,11:49:00 AM,12:11:00 PM,12:33:00 PM,12:55:00 PM,1:17:00 PM,1:39:00 PM,2:01:00 PM,2:25:00 PM,2:47:00 PM,3:03:00 PM,3:21:00 PM,3:39:00 PM,3:57:00 PM,4:15:00 PM,4:32:00 PM,4:50:00 PM,5:08:00 PM,5:26:00 PM,5:43:00 PM,6:01:00 PM,6:19:00 PM,6:37:00 PM,6:54:00 PM,7:09:00 PM,7:25:00 PM,7:38:00 PM,7:58:00 PM,8:18:00 PM,8:38:00 PM,8:58:00 PM,9:18:00 PM,9:38:00 PM,9:58:00 PM,10:28:00 PM,10:58:00 PM,11:28:00 PM,11:58:00 PM,12:28:00 AM,12:58:00 AM,1:28:00 AM
CREDIT VALLEY HOSPITAL,5:55:00 AM,6:10:00 AM,6:30:00 AM,6:47:00 AM,7:04:00 AM,7:23:00 AM,7:40:00 AM,7:58:00 AM,8:16:00 AM,8:34:00 AM,8:51:00 AM,9:09:00 AM,9:25:00 AM,9:41:00 AM,10:03:00 AM,10:25:00 AM,10:47:00 AM,11:09:00 AM,11:31:00 AM,11:53:00 AM,12:15:00 PM,12:37:00 PM,12:59:00 PM,1:21:00 PM,1:43:00 PM,2:05:00 PM,2:29:00 PM,2:51:00 PM,3:07:00 PM,3:25:00 PM,3:43:00 PM,4:01:00 PM,4:19:00 PM,4:36:00 PM,4:54:00 PM,5:12:00 PM,5:30:00 PM,5:47:00 PM,6:05:00 PM,6:23:00 PM,6:41:00 PM,6:58:00 PM,7:12:00 PM,7:28:00 PM,7:41:00 PM,8:01:00 PM,8:21:00 PM,8:41:00 PM,9:01:00 PM,9:21:00 PM,9:41:00 PM,10:01:00 PM,10:31:00 PM,11:01:00 PM,11:31:00 PM,12:01:00 AM,12:31:00 AM,1:01:00 AM,1:31:00 AM
ERIN MILLS PKY at FOLKWAY DR,6:00:00 AM,6:15:00 AM,6:35:00 AM,6:52:00 AM,7:09:00 AM,7:28:00 AM,7:45:00 AM,8:03:00 AM,8:21:00 AM,8:39:00 AM,8:56:00 AM,9:13:00 AM,9:29:00 AM,9:45:00 AM,10:07:00 AM,10:29:00 AM,10:51:00 AM,11:13:00 AM,11:35:00 AM,11:57:00 AM,12:19:00 PM,12:41:00 PM,1:03:00 PM,1:25:00 PM,1:47:00 PM,2:10:00 PM,2:34:00 PM,2:56:00 PM,3:12:00 PM,3:30:00 PM,3:48:00 PM,4:06:00 PM,4:24:00 PM,4:41:00 PM,4:59:00 PM,5:17:00 PM,5:35:00 PM,5:52:00 PM,6:10:00 PM,6:28:00 PM,6:46:00 PM,7:02:00 PM,7:16:00 PM,7:32:00 PM,7:45:00 PM,8:05:00 PM,8:25:00 PM,8:45:00 PM,9:05:00 PM,9:25:00 PM,9:45:00 PM,10:05:00 PM,10:35:00 PM,11:05:00 PM,11:35:00 PM,12:05:00 AM,12:35:00 AM,1:05:00 AM,1:35:00 AM
THE COLLEGEWAY at SOUTH COMMON CENTRE ACCESS RD,6:03:00 AM,6:18:00 AM,6:38:00 AM,6:55:00 AM,7:12:00 AM,7:31:00 AM,7:48:00 AM,8:06:00 AM,8:24:00 AM,8:42:00 AM,8:59:00 AM,9:16:00 AM,9:32:00 AM,9:48:00 AM,10:10:00 AM,10:32:00 AM,10:54:00 AM,11:16:00 AM,11:38:00 AM,12:00:00 PM,12:22:00 PM,12:44:00 PM,1:06:00 PM,1:28:00 PM,1:50:00 PM,2:13:00 PM,2:37:00 PM,2:59:00 PM,3:15:00 PM,3:33:00 PM,3:51:00 PM,4:09:00 PM,4:27:00 PM,4:44:00 PM,5:02:00 PM,5:20:00 PM,5:38:00 PM,5:55:00 PM,6:13:00 PM,6:31:00 PM,6:49:00 PM,7:05:00 PM,7:19:00 PM,7:35:00 PM,7:48:00 PM,8:08:00 PM,8:28:00 PM,8:48:00 PM,9:08:00 PM,9:28:00 PM,9:48:00 PM,10:08:00 PM,10:38:00 PM,11:08:00 PM,11:38:00 PM,12:08:00 AM,12:38:00 AM,1:08:00 AM,1:38:00 AM
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM E,6:06:00 AM,6:21:00 AM,6:41:00 AM,6:58:00 AM,7:15:00 AM,7:34:00 AM,7:51:00 AM,8:09:00 AM,8:27:00 AM,8:45:00 AM,9:01:00 AM,9:18:00 AM,9:34:00 AM,9:50:00 AM,10:12:00 AM,10:34:00 AM,10:56:00 AM,11:18:00 AM,11:40:00 AM,12:02:00 PM,12:24:00 PM,12:46:00 PM,1:08:00 PM,1:30:00 PM,1:52:00 PM,2:16:00 PM,2:40:00 PM,3:02:00 PM,3:18:00 PM,3:36:00 PM,3:54:00 PM,4:12:00 PM,4:30:00 PM,4:47:00 PM,5:05:00 PM,5:23:00 PM,5:41:00 PM,5:58:00 PM,6:16:00 PM,6:34:00 PM,6:52:00 PM,7:07:00 PM,7:21:00 PM,7:37:00 PM,7:50:00 PM,8:10:00 PM,8:30:00 PM,8:50:00 PM,9:10:00 PM,9:30:00 PM,9:50:00 PM,10:10:00 PM,10:40:00 PM,11:10:00 PM,11:40:00 PM,12:10:00 AM,12:40:00 AM,1:10:00 AM,1:40:00 AM
