GLENGARRY RD at DUNDAS ST,5:05 AM[b],5:28 AM[b],5:48 AM[b],6:08 AM[b],6:28 AM[b],6:50 AM[b],7:12 AM[b],7:34 AM[b],7:56:00 AM,8:18:00 AM,8:43:00 AM,9:08:00 AM,9:44:00 AM,10:20:00 AM,10:56:00 AM,11:32:00 AM,12:08:00 PM,12:44:00 PM,1:18:00 PM,1:44:00 PM,2:02:00 PM,2:29:00 PM,2:52:00 PM,3:16:00 PM,3:37:00 PM,4:00:00 PM,4:23:00 PM,4:46 PM[b],5:08 PM[b],5:30 PM[b],5:52 PM[b],6:14:00 PM,6:36:00 PM,7:22:00 PM,8:08:00 PM,8:54:00 PM,9:40:00 PM,10:26:00 PM,
DUNDAS ST at WOLFEDALE RD,4:53 AM[c],5:07 AM[b],5:30 AM[b],5:50 AM[b],6:10 AM[b],6:30 AM[b],6:52 AM[b],7:14 AM[b],7:36 AM[b],7:58:00 AM,8:20:00 AM,8:45:00 AM,9:10:00 AM,9:46:00 AM,10:22:00 AM,10:58:00 AM,11:34:00 AM,12:10:00 PM,12:46:00 PM,1:20:00 PM,1:46:00 PM,2:04:00 PM,2:31:00 PM,2:54:00 PM,3:18:00 PM,3:39:00 PM,4:02:00 PM,4:25:00 PM,4:48 PM[b],5:10 PM[b],5:32 PM[b],5:54 PM[b],6:16:00 PM,6:38:00 PM,7:24:00 PM,8:10:00 PM,8:56:00 PM,9:42:00 PM,10:28:00 PM
HURON PARK ACCESS RD at QUEENSWAY,8:03:00 AM,8:25:00 AM,8:50:00 AM,9:15:00 AM,9:51:00 AM,10:27:00 AM,11:03:00 AM,11:39:00 AM,12:15:00 PM,12:51:00 PM,1:25:00 PM,1:51:00 PM,2:09:00 PM,2:36:00 PM,2:59:00 PM,3:23:00 PM,3:44:00 PM,4:07:00 PM,4:30:00 PM,6:21:00 PM,6:43:00 PM,7:29:00 PM,8:15:00 PM,9:01:00 PM,9:47:00 PM,10:33:00 PM,,,,,,,,,,,,,
CONFEDERATION PKY SECOND south of PAISLEY BLVD,5:00 AM[c],5:14 AM[b],5:37 AM[b],5:57 AM[b],6:17 AM[b],6:37 AM[b],6:59 AM[b],7:21 AM[b],7:43 AM[b],8:11:00 AM,8:33:00 AM,8:58:00 AM,9:23:00 AM,9:59:00 AM,10:35:00 AM,11:11:00 AM,11:47:00 AM,12:23:00 PM,12:59:00 PM,1:33:00 PM,1:59:00 PM,2:17:00 PM,2:44:00 PM,3:07:00 PM,3:31:00 PM,3:52:00 PM,4:15:00 PM,4:38:00 PM,4:55 PM[b],5:17 PM[b],5:39 PM[b],6:01 PM[b],6:29:00 PM,6:51:00 PM,7:37:00 PM,8:23:00 PM,9:09:00 PM,9:55:00 PM,10:41:00 PM
QUEENSWAY at TRILLIUM HOSPITAL,5:00 AM[c],5:14 AM[b],5:37 AM[b],5:57 AM[b],6:17 AM[b],6:37 AM[b],6:59 AM[b],7:21 AM[b],7:43 AM[b],8:12:00 AM,8:34:00 AM,8:59:00 AM,9:24:00 AM,10:00:00 AM,10:36:00 AM,11:12:00 AM,11:48:00 AM,12:24:00 PM,1:00:00 PM,1:34:00 PM,2:00:00 PM,2:18:00 PM,2:45:00 PM,3:08:00 PM,3:32:00 PM,3:53:00 PM,4:16:00 PM,4:39:00 PM,4:55 PM[b],5:17 PM[b],5:39 PM[b],6:01 PM[b],6:30:00 PM,6:52:00 PM,7:38:00 PM,8:24:00 PM,9:10:00 PM,9:56:00 PM,10:42:00 PM
PAISLEY BLVD east of HURONTARIO ST,5:02 AM[c],5:16 AM[b],5:39 AM[b],5:59 AM[b],6:19 AM[b],6:39 AM[b],7:01 AM[b],7:23 AM[b],7:45 AM[b],8:14:00 AM,8:36:00 AM,9:01:00 AM,9:26:00 AM,10:02:00 AM,10:38:00 AM,11:14:00 AM,11:50:00 AM,12:26:00 PM,1:02:00 PM,1:36:00 PM,2:02:00 PM,2:20:00 PM,2:47:00 PM,3:10:00 PM,3:34:00 PM,3:55:00 PM,4:18:00 PM,4:41:00 PM,4:57 PM[b],5:19 PM[b],5:41 PM[b],6:03 PM[b],6:32:00 PM,6:54:00 PM,7:40:00 PM,8:26:00 PM,9:12:00 PM,9:58:00 PM,10:44:00 PM
CAMILLA RD at NORTH SERVICE RD,5:06 AM[c],5:20 AM[b],5:43 AM[b],6:03 AM[b],6:23 AM[b],6:43 AM[b],7:05 AM[b],7:27 AM[b],7:49 AM[b],8:18:00 AM,8:40:00 AM,9:05:00 AM,9:30:00 AM,10:06:00 AM,10:42:00 AM,11:18:00 AM,11:54:00 AM,12:30:00 PM,1:06:00 PM,1:40:00 PM,2:06:00 PM,2:24:00 PM,2:51:00 PM,3:14:00 PM,3:38:00 PM,3:59:00 PM,4:22:00 PM,4:45:00 PM,5:01 PM[b],5:23 PM[b],5:45 PM[b],6:07 PM[b],6:36:00 PM,6:58:00 PM,7:44:00 PM,8:30:00 PM,9:16:00 PM,10:02:00 PM,10:48:00 PM
ASTA DR at BOISMERE CRT,5:11 AM[c],5:25 AM[b],5:48 AM[b],6:08 AM[b],6:28 AM[b],6:48 AM[b],7:10 AM[b],7:32 AM[b],7:54 AM[b],8:23:00 AM,8:45:00 AM,9:10:00 AM,9:35:00 AM,10:11:00 AM,10:47:00 AM,11:23:00 AM,11:59:00 AM,12:35:00 PM,1:11:00 PM,1:45:00 PM,2:11:00 PM,2:29:00 PM,2:56:00 PM,3:19:00 PM,3:43:00 PM,4:04:00 PM,4:27:00 PM,4:50:00 PM,5:06 PM[b],5:28 PM[b],5:50 PM[b],6:12 PM[b],6:41:00 PM,7:03:00 PM,7:49:00 PM,8:35:00 PM,9:21:00 PM,10:07:00 PM,10:53:00 PM
NORTH SERVICE RD at CAWTHRA RD,5:14 AM[c],5:28 AM[b],5:51 AM[b],6:11 AM[b],6:31 AM[b],6:51 AM[b],7:13 AM[b],7:35 AM[b],7:57 AM[b],8:26:00 AM,8:48:00 AM,9:13:00 AM,9:38:00 AM,10:14:00 AM,10:50:00 AM,11:26:00 AM,12:02:00 PM,12:38:00 PM,1:14:00 PM,1:48:00 PM,2:14:00 PM,2:32:00 PM,2:59:00 PM,3:22:00 PM,3:46:00 PM,4:07:00 PM,4:30:00 PM,4:53:00 PM,5:09 PM[b],5:31 PM[b],5:53 PM[b],6:15 PM[b],6:44:00 PM,7:06:00 PM,7:52:00 PM,8:37:00 PM,9:23:00 PM,10:09:00 PM,10:55:00 PM
DIXIE MALL BUS TERMINAL PLATFORM B,5:21 AM[c],5:35 AM[b],5:58 AM[b],6:18 AM[b],6:38 AM[b],6:58 AM[b],7:20 AM[b],7:42 AM[b],8:04 AM[b],8:33:00 AM,8:55:00 AM,9:20:00 AM,9:45:00 AM,10:21:00 AM,10:57:00 AM,11:33:00 AM,12:09:00 PM,12:45:00 PM,1:21:00 PM,1:55:00 PM,2:21:00 PM,2:39:00 PM,3:06:00 PM,3:29:00 PM,3:53:00 PM,4:14:00 PM,4:37:00 PM,5:00:00 PM,5:16 PM[b],5:38 PM[b],6:00 PM[b],6:22 PM[b],6:51:00 PM,7:13:00 PM,7:59:00 PM,8:45:00 PM,9:31:00 PM,10:17:00 PM,11:03:00 PM
