SHERWAY GARDENS BUS TERMINAL,5:44 AM[b],6:07 AM[b],6:28 AM[b],6:49 AM[b],7:10:00 AM,7:32:00 AM,7:54:00 AM,8:16:00 AM,8:44:00 AM,9:06:00 AM,9:31:00 AM,9:56:00 AM,10:32:00 AM,11:08:00 AM,11:44:00 AM,12:20:00 PM,12:56:00 PM,1:31:00 PM,2:06:00 PM,2:32 PM[b],2:53 PM[b],3:15 PM[b],3:38 PM[b],4:02 PM[b],4:24 PM[b],4:46 PM[b],5:09 PM[b],5:25:00 PM,5:47:00 PM,6:09:00 PM,6:31:00 PM,7:00:00 PM,7:22:00 PM,8:08:00 PM,8:54:00 PM,9:40:00 PM,10:26:00 PM,11:12:00 PM,,,,
DIXIE RD at KENDALL RD,5:50 AM[b],6:13 AM[b],6:34 AM[b],6:55 AM[b],7:14:00 AM,7:36:00 AM,7:58:00 AM,8:20:00 AM,8:48:00 AM,9:10:00 AM,9:35:00 AM,10:00:00 AM,10:36:00 AM,11:12:00 AM,11:48:00 AM,12:24:00 PM,1:00:00 PM,1:35:00 PM,2:10:00 PM,2:38 PM[b],2:59 PM[b],3:21 PM[b],3:44 PM[b],4:08 PM[b],4:30 PM[b],4:52 PM[b],5:15 PM[b],5:29:00 PM,5:51:00 PM,6:13:00 PM,6:35:00 PM,7:04:00 PM,7:26:00 PM,8:12:00 PM,8:58:00 PM,9:44:00 PM,10:30:00 PM,11:16:00 PM,,,,
DIXIE MALL BUS TERMINAL PLATFORM A,5:55 AM[b],6:18 AM[b],6:39 AM[b],7:00 AM[b],7:17:00 AM,7:39:00 AM,8:01:00 AM,8:23:00 AM,8:51:00 AM,9:13:00 AM,9:38:00 AM,10:03:00 AM,10:39:00 AM,11:15:00 AM,11:51:00 AM,12:27:00 PM,1:03:00 PM,1:38:00 PM,2:13:00 PM,2:43 PM[b],3:04 PM[b],3:26 PM[b],3:49 PM[b],4:13 PM[b],4:35 PM[b],4:57 PM[b],5:20 PM[b],5:32:00 PM,5:54:00 PM,6:16:00 PM,6:38:00 PM,7:07:00 PM,7:29:00 PM,8:15:00 PM,9:01:00 PM,9:47:00 PM,10:33:00 PM,11:19:00 PM,,,,
NORTH SERVICE RD at STANFIELD RD,5:58 AM[b],6:21 AM[b],6:42 AM[b],7:03 AM[b],7:20:00 AM,7:42:00 AM,8:04:00 AM,8:26:00 AM,8:54:00 AM,9:16:00 AM,9:41:00 AM,10:06:00 AM,10:42:00 AM,11:18:00 AM,11:54:00 AM,12:30:00 PM,1:06:00 PM,1:41:00 PM,2:16:00 PM,2:46 PM[b],3:07 PM[b],3:29 PM[b],3:52 PM[b],4:16 PM[b],4:38 PM[b],5:00 PM[b],5:23 PM[b],5:35:00 PM,5:57:00 PM,6:19:00 PM,6:41:00 PM,7:10:00 PM,7:32:00 PM,8:18:00 PM,9:04:00 PM,9:50:00 PM,10:36:00 PM,11:22:00 PM,,,,
NORTH SERVICE RD at CAWTHRA RD,6:01 AM[b],6:24 AM[b],6:45 AM[b],7:06 AM[b],7:23:00 AM,7:45:00 AM,8:07:00 AM,8:29:00 AM,8:57:00 AM,9:19:00 AM,9:44:00 AM,10:09:00 AM,10:45:00 AM,11:21:00 AM,11:57:00 AM,12:33:00 PM,1:09:00 PM,1:44:00 PM,2:19:00 PM,2:49 PM[b],3:10 PM[b],3:32 PM[b],3:55 PM[b],4:19 PM[b],4:41 PM[b],5:03 PM[b],5:26 PM[b],5:38:00 PM,6:00:00 PM,6:22:00 PM,6:44:00 PM,7:13:00 PM,7:35:00 PM,8:21:00 PM,9:07:00 PM,9:53:00 PM,10:39:00 PM,11:25:00 PM,,,,
TEDWYN DR at FELINA CRT,6:03 AM[b],6:26 AM[b],6:47 AM[b],7:08 AM[b],7:25:00 AM,7:47:00 AM,8:09:00 AM,8:31:00 AM,8:59:00 AM,9:21:00 AM,9:46:00 AM,10:11:00 AM,10:47:00 AM,11:23:00 AM,11:59:00 AM,12:35:00 PM,1:11:00 PM,1:46:00 PM,2:21:00 PM,2:51 PM[b],3:12 PM[b],3:34 PM[b],3:57 PM[b],4:21 PM[b],4:43 PM[b],5:05 PM[b],5:28 PM[b],5:40:00 PM,6:02:00 PM,6:24:00 PM,6:46:00 PM,7:15:00 PM,7:37:00 PM,8:23:00 PM,9:09:00 PM,9:55:00 PM,10:41:00 PM,11:27:00 PM,,,,
NORTH SERVICE RD west of CLIFF RD,6:08 AM[b],6:31 AM[b],6:52 AM[b],7:13 AM[b],7:30:00 AM,7:52:00 AM,8:14:00 AM,8:36:00 AM,9:04:00 AM,9:26:00 AM,9:51:00 AM,10:16:00 AM,10:52:00 AM,11:28:00 AM,12:04:00 PM,12:40:00 PM,1:16:00 PM,1:51:00 PM,2:26:00 PM,2:56 PM[b],3:17 PM[b],3:39 PM[b],4:02 PM[b],4:26 PM[b],4:48 PM[b],5:10 PM[b],5:33 PM[b],5:45:00 PM,6:07:00 PM,6:29:00 PM,6:51:00 PM,7:20:00 PM,7:42:00 PM,8:28:00 PM,9:14:00 PM,10:00:00 PM,10:46:00 PM,11:32:00 PM,,,,
CAMILLA RD at NORTH SERVICE RD,6:09 AM[b],6:32 AM[b],6:53 AM[b],7:14 AM[b],7:31:00 AM,7:53:00 AM,8:15:00 AM,8:37:00 AM,9:05:00 AM,9:27:00 AM,9:52:00 AM,10:17:00 AM,10:53:00 AM,11:29:00 AM,12:05:00 PM,12:41:00 PM,1:17:00 PM,1:52:00 PM,2:27:00 PM,2:57 PM[b],3:18 PM[b],3:40 PM[b],4:03 PM[b],4:27 PM[b],4:49 PM[b],5:11 PM[b],5:34 PM[b],5:46:00 PM,6:08:00 PM,6:30:00 PM,6:52:00 PM,7:21:00 PM,7:43:00 PM,8:29:00 PM,9:15:00 PM,10:01:00 PM,10:47:00 PM,11:33:00 PM,,,,
PAISLEY BLVD at HURONTARIO ST,6:12 AM[b],6:35 AM[b],6:56 AM[b],7:17 AM[b],7:34:00 AM,7:56:00 AM,8:18:00 AM,8:40:00 AM,9:08:00 AM,9:30:00 AM,9:55:00 AM,10:20:00 AM,10:56:00 AM,11:32:00 AM,12:08:00 PM,12:44:00 PM,1:20:00 PM,1:55:00 PM,2:30:00 PM,3:00 PM[b],3:21 PM[b],3:43 PM[b],4:06 PM[b],4:30 PM[b],4:52 PM[b],5:14 PM[b],5:37 PM[b],5:49:00 PM,6:11:00 PM,6:33:00 PM,6:55:00 PM,7:24:00 PM,7:46:00 PM,8:32:00 PM,9:18:00 PM,10:04:00 PM,10:50:00 PM,11:36:00 PM,,,,
QUEENSWAY at CONFEDERATION PKY,4:52 AM[b],5:15 AM[b],5:35 AM[b],5:54 AM[b],6:14 AM[b],6:37 AM[b],6:58 AM[b],7:19 AM[b],7:36:00 AM,7:58:00 AM,8:20:00 AM,8:42:00 AM,9:10:00 AM,9:32:00 AM,9:57:00 AM,10:22:00 AM,10:58:00 AM,11:34:00 AM,12:10:00 PM,12:46:00 PM,1:22:00 PM,1:57:00 PM,2:32:00 PM,3:02 PM[b],3:23 PM[b],3:45 PM[b],4:08 PM[b],4:32 PM[b],4:54 PM[b],5:16 PM[b],5:39 PM[b],5:51:00 PM,6:13:00 PM,6:35:00 PM,6:57:00 PM,7:26:00 PM,7:48:00 PM,8:34:00 PM,9:20:00 PM,10:06:00 PM,10:52:00 PM,11:38:00 PM
CONFEDERATION PKY north of QUEENSWAY,4:52 AM[b],5:15 AM[b],5:35 AM[b],5:54 AM[b],6:14 AM[b],6:37 AM[b],6:58 AM[b],7:19 AM[b],7:36:00 AM,7:58:00 AM,8:20:00 AM,8:42:00 AM,9:10:00 AM,9:32:00 AM,9:57:00 AM,10:22:00 AM,10:58:00 AM,11:34:00 AM,12:10:00 PM,12:46:00 PM,1:22:00 PM,1:57:00 PM,2:32:00 PM,3:02 PM[b],3:23 PM[b],3:45 PM[b],4:08 PM[b],4:32 PM[b],4:54 PM[b],5:16 PM[b],5:39 PM[b],5:51:00 PM,6:13:00 PM,6:35:00 PM,6:57:00 PM,7:26:00 PM,7:48:00 PM,8:34:00 PM,9:20:00 PM,10:06:00 PM,10:52:00 PM,11:38:00 PM
HURON PARK ACCESS RD at QUEENSWAY,7:45:00 AM,8:07:00 AM,8:29:00 AM,8:51:00 AM,9:19:00 AM,9:41:00 AM,10:06:00 AM,10:31:00 AM,11:07:00 AM,11:43:00 AM,12:19:00 PM,12:55:00 PM,1:31:00 PM,2:06:00 PM,2:41:00 PM,6:00:00 PM,6:22:00 PM,6:44:00 PM,7:06:00 PM,7:35:00 PM,7:57:00 PM,8:43:00 PM,9:29:00 PM,10:15:00 PM,11:01:00 PM,11:47:00 PM,,,,,,,,,,,,,,,,
DUNDAS ST at WOLFEDALE RD,5:00 AM[b],5:23 AM[b],5:43 AM[b],6:02 AM[b],6:22 AM[b],6:45 AM[b],7:06 AM[b],7:27 AM[b],7:51:00 AM,8:13:00 AM,8:35:00 AM,8:57:00 AM,9:25:00 AM,9:47:00 AM,10:12:00 AM,10:37:00 AM,11:13:00 AM,11:49:00 AM,12:25:00 PM,1:01:00 PM,1:37:00 PM,2:12:00 PM,2:47:00 PM,3:10 PM[b],3:31 PM[b],3:53 PM[b],4:16 PM[b],4:40 PM[b],5:02 PM[b],5:24 PM[b],5:47 PM[b],6:06:00 PM,6:28:00 PM,6:50:00 PM,7:12:00 PM,7:41:00 PM,8:03:00 PM,8:49:00 PM,9:35:00 PM,10:21:00 PM,11:07:00 PM,11:53:00 PM
GLENGARRY RD at DUNDAS ST,5:02 AM[b],5:25 AM[b],5:45 AM[b],6:04 AM[b],6:24 AM[b],6:47 AM[b],7:08 AM[b],7:29 AM[b],7:53:00 AM,8:15:00 AM,8:37:00 AM,8:59:00 AM,9:27:00 AM,9:49:00 AM,10:14:00 AM,10:39:00 AM,11:15:00 AM,11:51:00 AM,12:27:00 PM,1:03:00 PM,1:39:00 PM,2:14:00 PM,2:49:00 PM,3:12 PM[b],3:33 PM[b],3:55 PM[b],4:18 PM[b],4:42 PM[b],5:04 PM[b],5:26 PM[b],5:49 PM[b],6:08:00 PM,6:30:00 PM,6:52:00 PM,7:14:00 PM,7:43:00 PM,8:05:00 PM,8:51:00 PM,9:37:00 PM,10:23:00 PM,11:09:00 PM,11:55:00 PM
