STANFIELD RD SECOND STOP north of MIDDLEGATE RD,5:42:00 AM,6:01:00 AM,6:12:00 AM,6:23:00 AM,6:34:00 AM,6:45:00 AM,6:56:00 AM,7:07:00 AM,7:18:00 AM,7:29:00 AM,7:40:00 AM,7:51:00 AM,8:02:00 AM,8:13:00 AM,8:24:00 AM,8:35:00 AM,8:46:00 AM,8:57:00 AM,9:08:00 AM,9:19:00 AM,9:29:00 AM,9:39:00 AM,9:50:00 AM,10:00:00 AM,10:23:00 AM,10:46:00 AM,11:09:00 AM,11:32:00 AM,11:55:00 AM,12:18:00 PM,12:41:00 PM,1:04:00 PM,1:27:00 PM,1:50:00 PM,2:03:00 PM,2:16:00 PM,2:27:00 PM,2:38:00 PM,2:49:00 PM,2:59:00 PM,3:09:00 PM,3:19:00 PM,3:29:00 PM,3:39:00 PM,3:50:00 PM,4:01:00 PM,4:12:00 PM,4:23:00 PM,4:34:00 PM,4:45:00 PM,4:56:00 PM,5:07:00 PM,5:18:00 PM,5:29:00 PM,5:40:00 PM,5:51:00 PM,6:02:00 PM,6:13:00 PM,6:24:00 PM,6:35:00 PM,6:44:00 PM,6:55:00 PM,7:07:00 PM,7:28:00 PM,7:53:00 PM,8:27:00 PM,9:01:00 PM,9:35:00 PM,10:09:00 PM,10:43:00 PM,11:16:00 PM,11:51:00 PM,12:30:00 AM,
TOMKEN RD at DUNDAS ST,5:44:00 AM,6:03:00 AM,6:14:00 AM,6:25:00 AM,6:36:00 AM,6:47:00 AM,6:58:00 AM,7:09:00 AM,7:20:00 AM,7:31:00 AM,7:36 AM[G],7:42:00 AM,7:53:00 AM,8:04:00 AM,8:15:00 AM,8:26:00 AM,8:37:00 AM,8:48:00 AM,8:59:00 AM,9:10:00 AM,9:21:00 AM,9:31:00 AM,9:41:00 AM,9:52:00 AM,10:02:00 AM,10:25:00 AM,10:48:00 AM,11:11:00 AM,11:34:00 AM,11:57:00 AM,12:20:00 PM,12:43:00 PM,1:06:00 PM,1:29:00 PM,1:52:00 PM,2:05:00 PM,2:18:00 PM,2:29:00 PM,2:40:00 PM,2:51:00 PM,3:01:00 PM,3:11:00 PM,3:21:00 PM,3:31:00 PM,3:41:00 PM,3:52:00 PM,4:03:00 PM,4:14:00 PM,4:25:00 PM,4:36:00 PM,4:47:00 PM,4:58:00 PM,5:09:00 PM,5:20:00 PM,5:31:00 PM,5:42:00 PM,5:53:00 PM,6:04:00 PM,6:15:00 PM,6:26:00 PM,6:37:00 PM,6:46:00 PM,6:57:00 PM,7:09:00 PM,7:30:00 PM,7:55:00 PM,8:29:00 PM,9:03:00 PM,9:37:00 PM,10:11:00 PM,10:45:00 PM,11:18:00 PM,11:53:00 PM,12:32:00 AM
TOMKEN RD at BLOOR ST,5:47:00 AM,6:06:00 AM,6:17:00 AM,6:28:00 AM,6:39:00 AM,6:50:00 AM,7:01:00 AM,7:12:00 AM,7:23:00 AM,7:34:00 AM,7:39 AM[G],7:45:00 AM,7:56:00 AM,8:07:00 AM,8:18:00 AM,8:29:00 AM,8:40:00 AM,8:51:00 AM,9:02:00 AM,9:13:00 AM,9:24:00 AM,9:34:00 AM,9:44:00 AM,9:55:00 AM,10:05:00 AM,10:28:00 AM,10:51:00 AM,11:14:00 AM,11:37:00 AM,12:00:00 PM,12:23:00 PM,12:46:00 PM,1:09:00 PM,1:32:00 PM,1:55:00 PM,2:08:00 PM,2:21:00 PM,2:32:00 PM,2:43:00 PM,2:54:00 PM,3:04:00 PM,3:14:00 PM,3:24:00 PM,3:34:00 PM,3:44:00 PM,3:55:00 PM,4:06:00 PM,4:17:00 PM,4:28:00 PM,4:39:00 PM,4:50:00 PM,5:01:00 PM,5:12:00 PM,5:23:00 PM,5:34:00 PM,5:45:00 PM,5:56:00 PM,6:07:00 PM,6:18:00 PM,6:29:00 PM,6:40:00 PM,6:49:00 PM,7:00:00 PM,7:12:00 PM,7:33:00 PM,7:58:00 PM,8:32:00 PM,9:06:00 PM,9:40:00 PM,10:14:00 PM,10:48:00 PM,11:21:00 PM,11:56:00 PM,12:35:00 AM
TOMKEN RD north of RUNNINGBROOK DR,5:50:00 AM,6:09:00 AM,6:20:00 AM,6:31:00 AM,6:42:00 AM,6:53:00 AM,7:04:00 AM,7:15:00 AM,7:26:00 AM,7:37:00 AM,7:42 AM[G],7:48:00 AM,7:59:00 AM,8:10:00 AM,8:21:00 AM,8:32:00 AM,8:43:00 AM,8:54:00 AM,9:05:00 AM,9:16:00 AM,9:26:00 AM,9:36:00 AM,9:46:00 AM,9:57:00 AM,10:07:00 AM,10:30:00 AM,10:53:00 AM,11:16:00 AM,11:39:00 AM,12:02:00 PM,12:25:00 PM,12:48:00 PM,1:11:00 PM,1:34:00 PM,1:57:00 PM,2:10:00 PM,2:23:00 PM,2:35:00 PM,2:46:00 PM,2:57:00 PM,3:07:00 PM,3:17:00 PM,3:27:00 PM,3:37:00 PM,3:47:00 PM,3:58:00 PM,4:09:00 PM,4:20:00 PM,4:31:00 PM,4:42:00 PM,4:53:00 PM,5:04:00 PM,5:15:00 PM,5:26:00 PM,5:37:00 PM,5:48:00 PM,5:59:00 PM,6:10:00 PM,6:21:00 PM,6:32:00 PM,6:42:00 PM,6:51:00 PM,7:02:00 PM,7:14:00 PM,7:35:00 PM,8:00:00 PM,8:34:00 PM,9:08:00 PM,9:42:00 PM,10:16:00 PM,10:50:00 PM,11:23:00 PM,11:58:00 PM,12:37:00 AM
TOMKEN RD at BURNHAMTHORPE RD,5:50:00 AM,6:09:00 AM,6:20:00 AM,6:31:00 AM,6:42:00 AM,6:53:00 AM,7:04:00 AM,7:15:00 AM,7:26:00 AM,7:37:00 AM,7:42 AM[G],7:48:00 AM,7:59:00 AM,8:10:00 AM,8:21:00 AM,8:32:00 AM,8:43:00 AM,8:54:00 AM,9:05:00 AM,9:16:00 AM,9:26:00 AM,9:36:00 AM,9:46:00 AM,9:57:00 AM,10:07:00 AM,10:30:00 AM,10:53:00 AM,11:16:00 AM,11:39:00 AM,12:02:00 PM,12:25:00 PM,12:48:00 PM,1:11:00 PM,1:34:00 PM,1:57:00 PM,2:10:00 PM,2:23:00 PM,2:35:00 PM,2:46:00 PM,2:57:00 PM,3:07:00 PM,3:17:00 PM,3:27:00 PM,3:37:00 PM,3:47:00 PM,3:58:00 PM,4:09:00 PM,4:20:00 PM,4:31:00 PM,4:42:00 PM,4:53:00 PM,5:04:00 PM,5:15:00 PM,5:26:00 PM,5:37:00 PM,5:48:00 PM,5:59:00 PM,6:10:00 PM,6:21:00 PM,6:32:00 PM,6:42:00 PM,6:51:00 PM,7:02:00 PM,7:14:00 PM,7:35:00 PM,8:00:00 PM,8:34:00 PM,9:08:00 PM,9:42:00 PM,10:16:00 PM,10:50:00 PM,11:23:00 PM,11:58:00 PM,12:37:00 AM
TOMKEN RD at WILLOWBANK TRAIL,5:53:00 AM,6:12:00 AM,6:23:00 AM,6:34:00 AM,6:45:00 AM,6:56:00 AM,7:07:00 AM,7:18:00 AM,7:29:00 AM,7:40:00 AM,7:45 AM[G],7:51:00 AM,8:02:00 AM,8:13:00 AM,8:24:00 AM,8:35:00 AM,8:46:00 AM,8:57:00 AM,9:08:00 AM,9:19:00 AM,9:29:00 AM,9:39:00 AM,9:49:00 AM,10:00:00 AM,10:10:00 AM,10:33:00 AM,10:56:00 AM,11:19:00 AM,11:42:00 AM,12:05:00 PM,12:28:00 PM,12:51:00 PM,1:14:00 PM,1:37:00 PM,2:00:00 PM,2:13:00 PM,2:26:00 PM,2:38:00 PM,2:49:00 PM,3:00:00 PM,3:10:00 PM,3:20:00 PM,3:30:00 PM,3:40:00 PM,3:50:00 PM,4:01:00 PM,4:12:00 PM,4:23:00 PM,4:34:00 PM,4:45:00 PM,4:56:00 PM,5:07:00 PM,5:18:00 PM,5:29:00 PM,5:40:00 PM,5:51:00 PM,6:02:00 PM,6:13:00 PM,6:24:00 PM,6:35:00 PM,6:45:00 PM,6:54:00 PM,7:05:00 PM,7:17:00 PM,7:38:00 PM,8:03:00 PM,8:37:00 PM,9:11:00 PM,9:45:00 PM,10:19:00 PM,10:53:00 PM,11:26:00 PM,12:01:00 AM,12:40:00 AM
TOMKEN RD at TOMKEN STATION,5:54:00 AM,6:13:00 AM,6:24:00 AM,6:35:00 AM,6:46:00 AM,6:57:00 AM,7:08:00 AM,7:19:00 AM,7:30:00 AM,7:41:00 AM,7:46 AM[G],7:52:00 AM,8:03:00 AM,8:14:00 AM,8:25:00 AM,8:36:00 AM,8:47:00 AM,8:58:00 AM,9:09:00 AM,9:20:00 AM,9:30:00 AM,9:40:00 AM,9:50:00 AM,10:01:00 AM,10:11:00 AM,10:34:00 AM,10:57:00 AM,11:20:00 AM,11:43:00 AM,12:06:00 PM,12:29:00 PM,12:52:00 PM,1:15:00 PM,1:38:00 PM,2:01:00 PM,2:14:00 PM,2:27:00 PM,2:39:00 PM,2:50:00 PM,3:01:00 PM,3:11:00 PM,3:21:00 PM,3:31:00 PM,3:41:00 PM,3:51:00 PM,4:02:00 PM,4:13:00 PM,4:24:00 PM,4:35:00 PM,4:46:00 PM,4:57:00 PM,5:08:00 PM,5:19:00 PM,5:30:00 PM,5:41:00 PM,5:52:00 PM,6:03:00 PM,6:14:00 PM,6:25:00 PM,6:36:00 PM,6:46:00 PM,6:55:00 PM,7:06:00 PM,7:18:00 PM,7:39:00 PM,8:04:00 PM,8:38:00 PM,9:12:00 PM,9:46:00 PM,10:20:00 PM,10:54:00 PM,11:27:00 PM,12:02:00 AM,12:41:00 AM
TOMKEN RD at EGLINTON AVE,5:55:00 AM,6:14:00 AM,6:25:00 AM,6:36:00 AM,6:47:00 AM,6:58:00 AM,7:09:00 AM,7:20:00 AM,7:31:00 AM,7:42:00 AM,7:47 AM[G],7:53:00 AM,8:04:00 AM,8:15:00 AM,8:26:00 AM,8:37:00 AM,8:48:00 AM,8:59:00 AM,9:10:00 AM,9:21:00 AM,9:31:00 AM,9:41:00 AM,9:51:00 AM,10:02:00 AM,10:12:00 AM,10:35:00 AM,10:58:00 AM,11:21:00 AM,11:44:00 AM,12:07:00 PM,12:30:00 PM,12:53:00 PM,1:16:00 PM,1:39:00 PM,2:02:00 PM,2:15:00 PM,2:28:00 PM,2:40:00 PM,2:51:00 PM,3:02:00 PM,3:12:00 PM,3:22:00 PM,3:32:00 PM,3:42:00 PM,3:52:00 PM,4:03:00 PM,4:14:00 PM,4:25:00 PM,4:36:00 PM,4:47:00 PM,4:58:00 PM,5:09:00 PM,5:20:00 PM,5:31:00 PM,5:42:00 PM,5:53:00 PM,6:04:00 PM,6:15:00 PM,6:26:00 PM,6:37:00 PM,6:47:00 PM,6:56:00 PM,7:07:00 PM,7:19:00 PM,7:40:00 PM,8:05:00 PM,8:39:00 PM,9:13:00 PM,9:47:00 PM,10:21:00 PM,10:55:00 PM,11:28:00 PM,12:03:00 AM,12:42:00 AM
TOMKEN RD at NUVIK CRT,5:55:00 AM,6:14:00 AM,6:25:00 AM,6:36:00 AM,6:47:00 AM,6:58:00 AM,7:09:00 AM,7:20:00 AM,7:31:00 AM,7:42:00 AM,7:47 AM[G],7:53:00 AM,8:04:00 AM,8:15:00 AM,8:26:00 AM,8:37:00 AM,8:48:00 AM,8:59:00 AM,9:10:00 AM,9:21:00 AM,9:31:00 AM,9:41:00 AM,9:51:00 AM,10:02:00 AM,10:12:00 AM,10:35:00 AM,10:58:00 AM,11:21:00 AM,11:44:00 AM,12:07:00 PM,12:30:00 PM,12:53:00 PM,1:16:00 PM,1:39:00 PM,2:02:00 PM,2:15:00 PM,2:28:00 PM,2:40:00 PM,2:51:00 PM,3:02:00 PM,3:12:00 PM,3:22:00 PM,3:32:00 PM,3:42:00 PM,3:52:00 PM,4:03:00 PM,4:14:00 PM,4:25:00 PM,4:36:00 PM,4:47:00 PM,4:58:00 PM,5:09:00 PM,5:20:00 PM,5:31:00 PM,5:42:00 PM,5:53:00 PM,6:04:00 PM,6:15:00 PM,6:26:00 PM,6:37:00 PM,6:47:00 PM,6:56:00 PM,7:07:00 PM,7:19:00 PM,7:40:00 PM,8:05:00 PM,8:39:00 PM,9:13:00 PM,9:47:00 PM,10:21:00 PM,10:55:00 PM,11:28:00 PM,12:03:00 AM,12:42:00 AM
TOMKEN RD at MATHESON BLVD,5:58:00 AM,6:17:00 AM,6:28:00 AM,6:39:00 AM,6:50:00 AM,7:01:00 AM,7:12:00 AM,7:23:00 AM,7:34:00 AM,7:45:00 AM,7:50 AM[G],7:56:00 AM,8:07:00 AM,8:18:00 AM,8:29:00 AM,8:40:00 AM,8:51:00 AM,9:02:00 AM,9:13:00 AM,9:24:00 AM,9:33:00 AM,9:43:00 AM,9:53:00 AM,10:04:00 AM,10:14:00 AM,10:37:00 AM,11:00:00 AM,11:23:00 AM,11:46:00 AM,12:09:00 PM,12:32:00 PM,12:55:00 PM,1:18:00 PM,1:41:00 PM,2:04:00 PM,2:17:00 PM,2:30:00 PM,2:43:00 PM,2:54:00 PM,3:05:00 PM,3:15:00 PM,3:25:00 PM,3:35:00 PM,3:45:00 PM,3:55:00 PM,4:06:00 PM,4:17:00 PM,4:28:00 PM,4:39:00 PM,4:50:00 PM,5:01:00 PM,5:12:00 PM,5:23:00 PM,5:34:00 PM,5:45:00 PM,5:56:00 PM,6:07:00 PM,6:18:00 PM,6:29:00 PM,6:39:00 PM,6:49:00 PM,6:58:00 PM,7:09:00 PM,7:21:00 PM,7:42:00 PM,8:07:00 PM,8:41:00 PM,9:15:00 PM,9:49:00 PM,10:23:00 PM,10:57:00 PM,11:30:00 PM,12:05:00 AM,12:44:00 AM
