CITY CENTRE BUS TERMINAL PLATFORM K,5:30:00 AM,5:50:00 AM,6:10:00 AM,6:30:00 AM,6:49:00 AM,7:10:00 AM,7:30:00 AM,7:50:00 AM,8:10:00 AM,8:30:00 AM,8:50:00 AM,9:12:00 AM,9:42 AM[b],10:14 AM[b],10:49 AM[b],11:24 AM[b],11:59 AM[b],12:34 PM[b],1:07 PM[b],1:44 PM[b],2:19:00 PM,2:41:00 PM,3:03:00 PM,3:25:00 PM,3:47:00 PM,4:09:00 PM,4:31:00 PM,4:53:00 PM,5:15:00 PM,5:37:00 PM,5:59:00 PM,6:31 PM[b],7:03 PM[b],7:37 PM[b],8:11 PM[b],8:39 PM[b],9:19 PM[b],9:53 PM[b],10:27 PM[b],11:01 PM[b]
CENTRAL PKY at CENTRAL PKY STATION,5:38:00 AM,5:59:00 AM,6:19:00 AM,6:39:00 AM,6:58:00 AM,7:19:00 AM,7:39:00 AM,7:59:00 AM,8:19:00 AM,8:38:00 AM,8:58:00 AM,9:20:00 AM,9:49 AM[b],10:21 AM[b],10:56 AM[b],11:31 AM[b],12:06 PM[b],12:41 PM[b],1:14 PM[b],1:51 PM[b],2:28:00 PM,2:50:00 PM,3:12:00 PM,3:34:00 PM,3:56:00 PM,4:18:00 PM,4:40:00 PM,5:02:00 PM,5:24:00 PM,5:46:00 PM,6:08:00 PM,6:38 PM[b],7:10 PM[b],7:44 PM[b],8:18 PM[b],8:46 PM[b],9:26 PM[b],10:00 PM[b],10:34 PM[b],11:08 PM[b]
CENTRAL PKY at EGLINTON AVE,5:41:00 AM,6:02:00 AM,6:22:00 AM,6:42:00 AM,7:01:00 AM,7:22:00 AM,7:42:00 AM,8:02:00 AM,8:22:00 AM,8:41:00 AM,9:01:00 AM,9:23:00 AM,9:52 AM[b],10:24 AM[b],10:59 AM[b],11:34 AM[b],12:09 PM[b],12:44 PM[b],1:17 PM[b],1:54 PM[b],2:31:00 PM,2:53:00 PM,3:15:00 PM,3:37:00 PM,3:59:00 PM,4:21:00 PM,4:43:00 PM,5:05:00 PM,5:27:00 PM,5:49:00 PM,6:11:00 PM,6:41 PM[b],7:13 PM[b],7:47 PM[b],8:21 PM[b],8:49 PM[b],9:29 PM[b],10:03 PM[b],10:37 PM[b],11:11 PM[b]
KENNEDY RD at MATHESON BLVD,5:45:00 AM,6:06:00 AM,6:26:00 AM,6:46:00 AM,7:05:00 AM,7:26:00 AM,7:46:00 AM,8:05:00 AM,8:25:00 AM,8:44:00 AM,9:04:00 AM,9:26:00 AM,9:55 AM[b],10:27 AM[b],11:02 AM[b],11:37 AM[b],12:12 PM[b],12:47 PM[b],1:20 PM[b],1:57 PM[b],2:35:00 PM,2:57:00 PM,3:19:00 PM,3:41:00 PM,4:03:00 PM,4:25:00 PM,4:47:00 PM,5:09:00 PM,5:31:00 PM,5:53:00 PM,6:15:00 PM,6:44 PM[b],7:16 PM[b],7:50 PM[b],8:24 PM[b],8:52 PM[b],9:32 PM[b],10:06 PM[b],10:40 PM[b],11:14 PM[b]
ROSE CHERRY PLACE at THE HERSHEY CENTRE,9:57 AM[b],10:29 AM[b],11:04 AM[b],11:39 AM[b],12:14 PM[b],12:49 PM[b],1:22 PM[b],1:59 PM[b],6:46 PM[b],7:18 PM[b],7:52 PM[b],8:26 PM[b],8:54 PM[b],9:34 PM[b],10:08 PM[b],10:42 PM[b],11:16 PM[b],,,,,,,,,,,,,,,,,,,,,,,
KENNEDY RD at COOPERS AVE,5:48:00 AM,6:09:00 AM,6:29:00 AM,6:49:00 AM,7:08:00 AM,7:29:00 AM,7:49:00 AM,8:08:00 AM,8:28:00 AM,8:47:00 AM,9:07:00 AM,9:29:00 AM,10:00 AM[b],10:32 AM[b],11:07 AM[b],11:42 AM[b],12:17 PM[b],12:52 PM[b],1:25 PM[b],2:02 PM[b],2:38:00 PM,3:00:00 PM,3:22:00 PM,3:44:00 PM,4:06:00 PM,4:28:00 PM,4:50:00 PM,5:12:00 PM,5:34:00 PM,5:56:00 PM,6:18:00 PM,6:49 PM[b],7:21 PM[b],7:55 PM[b],8:29 PM[b],8:57 PM[b],9:37 PM[b],10:11 PM[b],10:45 PM[b],11:19 PM[b]
COURTNEYPARK DR west of KENNEDY RD,10:04 AM[b],10:36 AM[b],11:11 AM[b],11:46 AM[b],12:21 PM[b],12:56 PM[b],1:29 PM[b],2:06 PM[b],6:53 PM[b],7:25 PM[b],7:59 PM[b],8:33 PM[b],9:01 PM[b],9:41 PM[b],10:15 PM[b],10:49 PM[b],11:23 PM[b],,,,,,,,,,,,,,,,,,,,,,,
COURTNEYPARK DR at HURONTARIO ST,10:06 AM[b],10:38 AM[b],11:13 AM[b],11:48 AM[b],12:23 PM[b],12:58 PM[b],1:31 PM[b],2:08 PM[b],6:55 PM[b],7:27 PM[b],8:01 PM[b],8:35 PM[b],9:03 PM[b],9:43 PM[b],10:17 PM[b],10:51 PM[b],11:25 PM[b],,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at AMBASSADOR DR,10:07 AM[b],10:39 AM[b],11:14 AM[b],11:49 AM[b],12:24 PM[b],12:59 PM[b],1:32 PM[b],2:09 PM[b],6:56 PM[b],7:28 PM[b],8:02 PM[b],8:36 PM[b],9:04 PM[b],9:44 PM[b],10:18 PM[b],10:52 PM[b],11:26 PM[b],,,,,,,,,,,,,,,,,,,,,,,
KENNEDY RD at COURTNEYPARK DR,5:52:00 AM,6:13:00 AM,6:33:00 AM,6:54:00 AM,7:13:00 AM,7:34:00 AM,7:54:00 AM,8:13:00 AM,8:33:00 AM,8:52:00 AM,9:12:00 AM,9:34:00 AM,2:43:00 PM,3:05:00 PM,3:27:00 PM,3:50:00 PM,4:12:00 PM,4:35:00 PM,4:57:00 PM,5:18:00 PM,5:38:00 PM,6:00:00 PM,6:22:00 PM,,,,,,,,,,,,,,,,,
AMBASSADOR DR at HURONTARIO ST,5:56:00 AM,6:17:00 AM,6:37:00 AM,6:58:00 AM,7:17:00 AM,7:38:00 AM,7:58:00 AM,8:17:00 AM,8:37:00 AM,8:56:00 AM,9:16:00 AM,9:38:00 AM,2:46:00 PM,3:08:00 PM,3:30:00 PM,3:53:00 PM,4:15:00 PM,4:38:00 PM,5:00:00 PM,5:21:00 PM,5:41:00 PM,6:03:00 PM,6:25:00 PM,,,,,,,,,,,,,,,,,
HURONTARIO ST at DERRY RD E,5:58:00 AM,6:19:00 AM,6:39:00 AM,7:00:00 AM,7:19:00 AM,7:40:00 AM,8:00:00 AM,8:19:00 AM,8:39:00 AM,8:58:00 AM,9:18:00 AM,9:40:00 AM,10:09 AM[b],10:41 AM[b],11:16 AM[b],11:51 AM[b],12:26 PM[b],1:01 PM[b],1:34 PM[b],2:11 PM[b],2:49:00 PM,3:11:00 PM,3:34:00 PM,3:57:00 PM,4:20:00 PM,4:43:00 PM,5:05:00 PM,5:26:00 PM,5:46:00 PM,6:07:00 PM,6:29:00 PM,6:58 PM[b],7:30 PM[b],8:04 PM[b],8:38 PM[b],9:06 PM[b],9:46 PM[b],10:20 PM[b],10:54 PM[b],11:28 PM[b]
DERRY RD at EDWARDS BLVD,5:59:00 AM,6:20:00 AM,6:40:00 AM,7:01:00 AM,7:20:00 AM,7:41:00 AM,8:01:00 AM,8:20:00 AM,8:40:00 AM,8:59:00 AM,9:19:00 AM,9:41:00 AM,10:10 AM[b],10:42 AM[b],11:17 AM[b],11:52 AM[b],12:27 PM[b],1:02 PM[b],1:35 PM[b],2:12 PM[b],2:50:00 PM,3:12:00 PM,3:35:00 PM,3:58:00 PM,4:21:00 PM,4:44:00 PM,5:06:00 PM,5:27:00 PM,5:47:00 PM,6:08:00 PM,6:30:00 PM,6:59 PM[b],7:31 PM[b],8:05 PM[b],8:39 PM[b],9:07 PM[b],9:47 PM[b],10:21 PM[b],10:55 PM[b],11:29 PM[b]
DERRY RD at KENNEDY RD,6:01:00 AM,6:22:00 AM,6:42:00 AM,7:03:00 AM,7:22:00 AM,7:43:00 AM,8:03:00 AM,8:21:00 AM,8:41:00 AM,9:00:00 AM,9:20:00 AM,9:42:00 AM,10:11 AM[b],10:43 AM[b],11:18 AM[b],11:53 AM[b],12:28 PM[b],1:03 PM[b],1:36 PM[b],2:13 PM[b],2:53:00 PM,3:15:00 PM,3:37:00 PM,4:00:00 PM,4:22:00 PM,4:45:00 PM,5:07:00 PM,5:28:00 PM,5:48:00 PM,6:09:00 PM,6:31:00 PM,7:00 PM[b],7:32 PM[b],8:06 PM[b],8:40 PM[b],9:08 PM[b],9:48 PM[b],10:22 PM[b],10:56 PM[b],11:30 PM[b]
