DERRY RD at KENNEDY RD,5:41:00 AM,6:01:00 AM,6:22:00 AM,6:42:00 AM,7:03:00 AM,7:23:00 AM,7:43:00 AM,8:03:00 AM,8:21:00 AM,8:41:00 AM,9:00:00 AM,9:20:00 AM,9:42:00 AM,10:12 AM[b],10:47 AM[b],11:22 AM[b],11:57 AM[b],12:32 PM[b],1:07 PM[b],1:42 PM[b],2:17 PM[b],2:35:00 PM,2:57:00 PM,3:19:00 PM,3:41:00 PM,4:03:00 PM,4:25:00 PM,4:47:00 PM,5:09:00 PM,5:31:00 PM,5:53:00 PM,6:15:00 PM,6:37:00 PM,7:01 PM[b],7:35 PM[b],8:09 PM[b],8:43 PM[b],9:12 PM[b],9:51 PM[b],10:25 PM[b],10:59 PM[b],11:33 PM[b]
KENNEDY RD at GIBRALTAR DR,10:12 AM[b],10:47 AM[b],11:22 AM[b],11:57 AM[b],12:32 PM[b],1:07 PM[b],1:42 PM[b],2:17 PM[b],7:01 PM[b],7:35 PM[b],8:09 PM[b],8:43 PM[b],9:12 PM[b],9:51 PM[b],10:25 PM[b],10:59 PM[b],11:33 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,
EDWARDS BLVD at SUPERIOR BLVD,5:45:00 AM,6:05:00 AM,6:26:00 AM,6:46:00 AM,7:07:00 AM,7:27:00 AM,7:47:00 AM,8:07:00 AM,8:25:00 AM,8:45:00 AM,9:03:00 AM,9:23:00 AM,9:45:00 AM,2:39:00 PM,3:01:00 PM,3:23:00 PM,3:45:00 PM,4:07:00 PM,4:29:00 PM,4:51:00 PM,5:12:00 PM,5:34:00 PM,5:56:00 PM,6:18:00 PM,6:40:00 PM,,,,,,,,,,,,,,,,,
SUPERIOR BLVD FIRST STOP east of EDWARDS BLVD,5:45:00 AM,6:05:00 AM,6:26:00 AM,6:46:00 AM,7:07:00 AM,7:27:00 AM,7:47:00 AM,8:07:00 AM,8:25:00 AM,8:45:00 AM,9:03:00 AM,9:23:00 AM,9:45:00 AM,2:39:00 PM,3:01:00 PM,3:23:00 PM,3:45:00 PM,4:07:00 PM,4:29:00 PM,4:51:00 PM,5:12:00 PM,5:34:00 PM,5:56:00 PM,6:18:00 PM,6:40:00 PM,,,,,,,,,,,,,,,,,
SUPERIOR BLVD at KENNEDY RD,5:47:00 AM,6:12:00 AM,6:32:00 AM,6:52:00 AM,7:12:00 AM,7:32:00 AM,7:52:00 AM,8:12:00 AM,8:32:00 AM,8:52:00 AM,9:11:00 AM,9:31:00 AM,9:53:00 AM,2:41:00 PM,3:03:00 PM,3:25:00 PM,3:47:00 PM,4:09:00 PM,4:31:00 PM,4:53:00 PM,5:14:00 PM,5:36:00 PM,5:58:00 PM,6:20:00 PM,6:42:00 PM,,,,,,,,,,,,,,,,,
KENNEDY RD at AMBASSADOR DR,5:49:00 AM,6:14:00 AM,6:34:00 AM,6:54:00 AM,7:15:00 AM,7:35:00 AM,7:55:00 AM,8:15:00 AM,8:35:00 AM,8:54:00 AM,9:13:00 AM,9:33:00 AM,9:55:00 AM,10:14 AM[b],10:49 AM[b],11:24 AM[b],11:59 AM[b],12:34 PM[b],1:09 PM[b],1:44 PM[b],2:19 PM[b],2:43:00 PM,3:05:00 PM,3:27:00 PM,3:49:00 PM,4:11:00 PM,4:33:00 PM,4:55:00 PM,5:16:00 PM,5:38:00 PM,6:00:00 PM,6:22:00 PM,6:44:00 PM,7:03 PM[b],7:37 PM[b],8:11 PM[b],8:45 PM[b],9:14 PM[b],9:53 PM[b],10:27 PM[b],11:01 PM[b],11:35 PM[b]
KENNEDY RD at COURTNEYPARK DR,5:51:00 AM,6:16:00 AM,6:36:00 AM,6:56:00 AM,7:17:00 AM,7:37:00 AM,7:57:00 AM,8:17:00 AM,8:37:00 AM,8:56:00 AM,9:15:00 AM,9:35:00 AM,9:57:00 AM,10:15 AM[b],10:50 AM[b],11:25 AM[b],12:00 PM[b],12:35 PM[b],1:10 PM[b],1:45 PM[b],2:20 PM[b],2:45:00 PM,3:07:00 PM,3:29:00 PM,3:52:00 PM,4:14:00 PM,4:36:00 PM,4:58:00 PM,5:19:00 PM,5:41:00 PM,6:02:00 PM,6:24:00 PM,6:46:00 PM,7:04 PM[b],7:37 PM[b],8:11 PM[b],8:45 PM[b],9:14 PM[b],9:53 PM[b],10:27 PM[b],11:01 PM[b],11:35 PM[b]
KENNEDY RD at BRITANNIA RD,5:55:00 AM,6:20:00 AM,6:40:00 AM,7:00:00 AM,7:21:00 AM,7:41:00 AM,8:01:00 AM,8:21:00 AM,8:41:00 AM,9:00:00 AM,9:19:00 AM,9:39:00 AM,10:01:00 AM,10:19 AM[b],10:54 AM[b],11:29 AM[b],12:04 PM[b],12:39 PM[b],1:14 PM[b],1:49 PM[b],2:24 PM[b],2:49:00 PM,3:11:00 PM,3:33:00 PM,3:57:00 PM,4:19:00 PM,4:41:00 PM,5:03:00 PM,5:24:00 PM,5:45:00 PM,6:06:00 PM,6:28:00 PM,6:50:00 PM,7:08 PM[b],7:40 PM[b],8:14 PM[b],8:48 PM[b],9:17 PM[b],9:56 PM[b],10:30 PM[b],11:04 PM[b],11:38 PM[b]
ROSE CHERRY PLACE at HERSHEY CENTRE BLDG,10:22 AM[b],10:57 AM[b],11:32 AM[b],12:07 PM[b],12:42 PM[b],1:17 PM[b],1:52 PM[b],2:27 PM[b],7:11 PM[b],7:43 PM[b],8:17 PM[b],8:51 PM[b],9:20 PM[b],9:59 PM[b],10:33 PM[b],11:07 PM[b],11:41 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,
KENNEDY RD south of MATHESON BLVD,5:58:00 AM,6:24:00 AM,6:44:00 AM,7:04:00 AM,7:25:00 AM,7:45:00 AM,8:05:00 AM,8:24:00 AM,8:44:00 AM,9:03:00 AM,9:22:00 AM,9:42:00 AM,10:04:00 AM,10:25 AM[b],11:00 AM[b],11:35 AM[b],12:10 PM[b],12:45 PM[b],1:20 PM[b],1:55 PM[b],2:30 PM[b],2:53:00 PM,3:15:00 PM,3:37:00 PM,4:02:00 PM,4:24:00 PM,4:46:00 PM,5:08:00 PM,5:29:00 PM,5:50:00 PM,6:11:00 PM,6:32:00 PM,6:54:00 PM,7:14 PM[b],7:46 PM[b],8:20 PM[b],8:54 PM[b],9:23 PM[b],10:01 PM[b],10:35 PM[b],11:09 PM[b],11:43 PM[b]
