COURTNEYPARK DR at DIXIE RD,5:58:00 AM,6:17:00 AM,6:36:00 AM,6:55:00 AM,7:21:00 AM,7:39:00 AM,7:56:00 AM,8:14:00 AM,8:36:00 AM,8:56:00 AM,3:46:00 PM,4:07:00 PM,4:27:00 PM,4:48:00 PM,5:06:00 PM,5:24:00 PM
MEYERSIDE DR at BONHILL RD,6:00:00 AM,6:19:00 AM,6:38:00 AM,6:57:00 AM,7:23:00 AM,7:41:00 AM,7:58:00 AM,8:16:00 AM,8:38:00 AM,8:58:00 AM,3:48:00 PM,4:09:00 PM,4:29:00 PM,4:50:00 PM,5:08:00 PM,5:26:00 PM
DIXIE RD at MEYERSIDE DR,6:01:00 AM,6:20:00 AM,6:39:00 AM,6:58:00 AM,7:24:00 AM,7:42:00 AM,7:59:00 AM,8:17:00 AM,8:39:00 AM,8:59:00 AM,3:49:00 PM,4:10:00 PM,4:30:00 PM,4:51:00 PM,5:09:00 PM,5:27:00 PM
MEYERSIDE DR at BONHILL RD,6:01:00 AM,6:20:00 AM,6:39:00 AM,6:58:00 AM,7:24:00 AM,7:42:00 AM,7:59:00 AM,8:17:00 AM,8:39:00 AM,8:59:00 AM,3:49:00 PM,4:10:00 PM,4:30:00 PM,4:51:00 PM,5:09:00 PM,5:27:00 PM
TRINITY DR at ATLANTIC DR,6:03:00 AM,6:22:00 AM,6:41:00 AM,7:00:00 AM,7:26:00 AM,7:44:00 AM,8:01:00 AM,8:19:00 AM,8:41:00 AM,9:01:00 AM,3:51:00 PM,4:12:00 PM,4:32:00 PM,4:53:00 PM,5:11:00 PM,5:29:00 PM
NETHERHART RD south of MEYERSIDE DR,6:07:00 AM,6:26:00 AM,6:45:00 AM,7:04:00 AM,7:30:00 AM,7:47:00 AM,8:04:00 AM,8:22:00 AM,8:44:00 AM,9:04:00 AM,3:55:00 PM,4:16:00 PM,4:36:00 PM,4:57:00 PM,5:15:00 PM,5:33:00 PM
MEYERSIDE DR at NETHERHART RD,6:07:00 AM,6:26:00 AM,6:45:00 AM,7:04:00 AM,7:30:00 AM,7:47:00 AM,8:04:00 AM,8:22:00 AM,8:44:00 AM,9:04:00 AM,3:55:00 PM,4:16:00 PM,4:36:00 PM,4:57:00 PM,5:15:00 PM,5:33:00 PM
MEYERSIDE DR at BONHILL RD,6:09:00 AM,6:28:00 AM,6:47:00 AM,7:06:00 AM,7:32:00 AM,7:49:00 AM,8:06:00 AM,8:24:00 AM,8:46:00 AM,9:06:00 AM,3:58:00 PM,4:19:00 PM,4:39:00 PM,5:00:00 PM,5:18:00 PM,5:35:00 PM
BONHILL RD FIRST STOP north of MEYERSIDE DR,6:09:00 AM,6:28:00 AM,6:47:00 AM,7:06:00 AM,7:32:00 AM,7:49:00 AM,8:06:00 AM,8:24:00 AM,8:46:00 AM,9:06:00 AM,3:58:00 PM,4:19:00 PM,4:39:00 PM,5:00:00 PM,5:18:00 PM,5:35:00 PM
BONHILL RD THIRD STOP east of VAN DEEMTER CRT,6:12:00 AM,6:31:00 AM,6:50:00 AM,7:09:00 AM,7:35:00 AM,7:52:00 AM,8:09:00 AM,8:27:00 AM,8:49:00 AM,9:09:00 AM,4:00:00 PM,4:21:00 PM,4:41:00 PM,5:02:00 PM,5:20:00 PM,5:37:00 PM
COURTNEYPARK DR east of DIXIE RD,6:15:00 AM,6:34:00 AM,6:53:00 AM,7:12:00 AM,7:38:00 AM,7:55:00 AM,8:12:00 AM,8:30:00 AM,8:52:00 AM,9:12:00 AM,4:04:00 PM,4:25:00 PM,4:45:00 PM,5:06:00 PM,5:24:00 PM,5:41:00 PM
COURTNEYPARK DR at DIXIE RD,6:15:00 AM,6:34:00 AM,6:53:00 AM,7:12:00 AM,7:38:00 AM,7:55:00 AM,8:12:00 AM,8:30:00 AM,8:52:00 AM,9:12:00 AM,4:04:00 PM,4:25:00 PM,4:45:00 PM,5:06:00 PM,5:24:00 PM,5:41:00 PM
