ISLINGTON SUBWAY BUS TERMINAL PLATFORM F,5:43:00 AM,6:15:00 AM,6:46:00 AM,7:17:00 AM,7:48:00 AM,8:20:00 AM,8:54:00 AM,1:37:00 PM,2:09:00 PM,2:41:00 PM,3:13:00 PM,3:49:00 PM,4:24:00 PM,4:55:00 PM,5:32:00 PM,5:59:00 PM,6:32:00 PM,7:00:00 PM
DUNDAS ST at BILLINGHAM RD,5:48:00 AM,6:20:00 AM,6:51:00 AM,7:23:00 AM,7:54:00 AM,8:26:00 AM,9:00:00 AM,1:43:00 PM,2:15:00 PM,2:48:00 PM,3:20:00 PM,3:56:00 PM,4:31:00 PM,5:02:00 PM,5:39:00 PM,6:06:00 PM,6:38:00 PM,7:06:00 PM
EGLINTON AVE east of 427 HWY,5:53:00 AM,6:25:00 AM,6:56:00 AM,7:28:00 AM,7:59:00 AM,8:31:00 AM,9:05:00 AM,1:48:00 PM,2:20:00 PM,2:53:00 PM,3:25:00 PM,4:01:00 PM,4:36:00 PM,5:07:00 PM,5:44:00 PM,6:11:00 PM,6:43:00 PM,7:11:00 PM
CONVAIR DR at RENFORTH DR,5:58:00 AM,6:30:00 AM,7:01:00 AM,7:33:00 AM,8:04:00 AM,8:36:00 AM,9:10:00 AM,1:52:00 PM,2:24:00 PM,2:58:00 PM,3:31:00 PM,4:07:00 PM,4:42:00 PM,5:13:00 PM,5:49:00 PM,6:16:00 PM,6:48:00 PM,7:16:00 PM
BRITANNIA RD north of INFIELD TUNNEL RD,6:06:00 AM,6:38:00 AM,7:09:00 AM,7:41:00 AM,8:12:00 AM,8:44:00 AM,9:17:00 AM,1:59:00 PM,2:31:00 PM,3:05:00 PM,3:39:00 PM,4:15:00 PM,4:50:00 PM,5:21:00 PM,5:57:00 PM,6:23:00 PM,6:55:00 PM,7:23:00 PM
BRITANNIA RD at NETHERHART RD,6:11:00 AM,6:43:00 AM,7:14:00 AM,7:46:00 AM,8:17:00 AM,8:49:00 AM,9:22:00 AM,2:04:00 PM,2:36:00 PM,3:10:00 PM,3:44:00 PM,4:20:00 PM,4:55:00 PM,5:26:00 PM,6:02:00 PM,6:28:00 PM,7:00:00 PM,7:28:00 PM
NETHERHART RD at ROMANI CRT,6:11:00 AM,6:43:00 AM,7:14:00 AM,7:46:00 AM,8:17:00 AM,8:49:00 AM,9:22:00 AM,2:04:00 PM,2:36:00 PM,3:10:00 PM,3:44:00 PM,4:20:00 PM,4:55:00 PM,5:26:00 PM,6:02:00 PM,6:28:00 PM,7:00:00 PM,7:28:00 PM
COURTNEYPARK DR east of DIXIE RD,6:16:00 AM,6:48:00 AM,7:20:00 AM,7:52:00 AM,8:23:00 AM,8:55:00 AM,9:27:00 AM,2:09:00 PM,2:41:00 PM,3:14:00 PM,3:48:00 PM,4:24:00 PM,4:59:00 PM,5:30:00 PM,6:06:00 PM,6:32:00 PM,7:04:00 PM,7:32:00 PM
COURTNEYPARK DR at DIXIE RD,6:16:00 AM,6:48:00 AM,7:20:00 AM,7:52:00 AM,8:23:00 AM,8:55:00 AM,9:28:00 AM,2:10:00 PM,2:42:00 PM,3:15:00 PM,3:49:00 PM,4:25:00 PM,5:00:00 PM,5:31:00 PM,6:07:00 PM,6:33:00 PM,7:05:00 PM,7:33:00 PM
COURTNEYPARK DR at TOMKEN RD,6:20:00 AM,6:52:00 AM,7:23:00 AM,7:55:00 AM,8:26:00 AM,8:58:00 AM,9:32:00 AM,2:14:00 PM,2:47:00 PM,3:21:00 PM,3:55:00 PM,4:31:00 PM,5:06:00 PM,5:36:00 PM,6:11:00 PM,6:37:00 PM,7:09:00 PM,7:37:00 PM
COURTNEYPARK DR west of KENNEDY RD,6:23:00 AM,6:55:00 AM,7:26:00 AM,7:58:00 AM,8:29:00 AM,9:01:00 AM,9:35:00 AM,2:17:00 PM,2:51:00 PM,3:26:00 PM,4:00:00 PM,4:36:00 PM,5:11:00 PM,5:40:00 PM,6:14:00 PM,6:40:00 PM,7:12:00 PM,7:40:00 PM
COURTNEYPARK DR at HURONTARIO ST,6:26:00 AM,6:59:00 AM,7:30:00 AM,8:02:00 AM,8:33:00 AM,9:05:00 AM,9:38:00 AM,2:20:00 PM,2:55:00 PM,3:29:00 PM,4:03:00 PM,4:39:00 PM,5:14:00 PM,5:43:00 PM,6:17:00 PM,6:43:00 PM,7:15:00 PM,7:43:00 PM
COURTNEYPARK DR at MCLAUGHLIN RD,6:29:00 AM,7:02:00 AM,7:33:00 AM,8:05:00 AM,8:36:00 AM,9:08:00 AM,9:41:00 AM,2:23:00 PM,2:58:00 PM,3:32:00 PM,4:06:00 PM,4:42:00 PM,5:17:00 PM,5:46:00 PM,6:20:00 PM,6:46:00 PM,7:18:00 PM,7:46:00 PM
COURTNEYPARK DR at MAVIS RD,6:31:00 AM,7:04:00 AM,7:35:00 AM,8:07:00 AM,8:38:00 AM,9:10:00 AM,9:43:00 AM,2:25:00 PM,3:00:00 PM,3:34:00 PM,4:08:00 PM,4:44:00 PM,5:19:00 PM,5:48:00 PM,6:22:00 PM,6:48:00 PM,7:20:00 PM,7:48:00 PM
MAVIS RD north of NOVO STAR DR,6:33:00 AM,7:08:00 AM,7:39:00 AM,8:11:00 AM,8:42:00 AM,9:12:00 AM,9:45:00 AM,2:27:00 PM,3:02:00 PM,3:37:00 PM,4:11:00 PM,4:47:00 PM,5:22:00 PM,5:50:00 PM,6:24:00 PM,6:50:00 PM,7:22:00 PM,7:50:00 PM
ENVOY DR at TABBYMAN WALK,6:35:00 AM,7:10:00 AM,7:41:00 AM,8:13:00 AM,8:44:00 AM,9:14:00 AM,9:47:00 AM,2:29:00 PM,3:04:00 PM,3:39:00 PM,4:13:00 PM,4:49:00 PM,5:24:00 PM,5:52:00 PM,6:26:00 PM,6:52:00 PM,7:24:00 PM,7:52:00 PM
DERRY RD at MISSISSAUGA RD,6:42:00 AM,7:18:00 AM,7:49:00 AM,8:21:00 AM,8:52:00 AM,9:21:00 AM,9:54:00 AM,2:36:00 PM,3:11:00 PM,3:47:00 PM,4:21:00 PM,4:57:00 PM,5:32:00 PM,5:59:00 PM,6:32:00 PM,6:58:00 PM,7:30:00 PM,7:58:00 PM
MILLCREEK DR at DERRY RD,6:46:00 AM,7:22:00 AM,7:53:00 AM,8:25:00 AM,8:56:00 AM,9:26:00 AM,9:59:00 AM,2:42:00 PM,3:17:00 PM,3:53:00 PM,4:27:00 PM,5:03:00 PM,5:37:00 PM,6:03:00 PM,6:35:00 PM,7:01:00 PM,7:33:00 PM,8:01:00 PM
MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM E,6:50:00 AM,7:26:00 AM,7:57:00 AM,8:29:00 AM,9:00:00 AM,9:30:00 AM,10:03:00 AM,2:46:00 PM,3:21:00 PM,3:57:00 PM,4:31:00 PM,5:07:00 PM,5:41:00 PM,6:07:00 PM,6:39:00 PM,7:05:00 PM,7:37:00 PM,8:05:00 PM
