MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM E,5:59:00 AM,6:30:00 AM,6:58:00 AM,7:32:00 AM,8:03:00 AM,8:34:00 AM,9:05:00 AM,2:29:00 PM,3:01:00 PM,3:33:00 PM,4:05:00 PM,4:39:00 PM,5:13:00 PM,5:46:00 PM,6:14:00 PM,,,
MILLCREEK DR at DERRY RD,6:03:00 AM,6:35:00 AM,7:03:00 AM,7:37:00 AM,8:08:00 AM,8:39:00 AM,9:10:00 AM,2:34:00 PM,3:05:00 PM,3:37:00 PM,4:09:00 PM,4:43:00 PM,5:17:00 PM,5:50:00 PM,6:18:00 PM,,,
DERRY RD at MISSISSAUGA RD,6:06:00 AM,6:38:00 AM,7:07:00 AM,7:41:00 AM,8:12:00 AM,8:42:00 AM,9:13:00 AM,2:38:00 PM,3:09:00 PM,3:41:00 PM,4:13:00 PM,4:47:00 PM,5:21:00 PM,5:54:00 PM,6:21:00 PM,,,
MAVIS RD south of DERRY RD,6:14:00 AM,6:47:00 AM,7:17:00 AM,7:51:00 AM,8:22:00 AM,8:50:00 AM,9:21:00 AM,2:45:00 PM,3:16:00 PM,3:48:00 PM,4:21:00 PM,4:55:00 PM,5:29:00 PM,6:01:00 PM,6:28:00 PM,,,
COURTNEYPARK DR at MAVIS RD,6:17:00 AM,6:50:00 AM,7:22:00 AM,7:56:00 AM,8:25:00 AM,8:53:00 AM,9:24:00 AM,12:43:00 PM,1:14:00 PM,1:45:00 PM,2:48:00 PM,3:19:00 PM,3:52:00 PM,4:25:00 PM,4:58:00 PM,5:32:00 PM,6:04:00 PM,6:31:00 PM
COURTNEYPARK DR at HURONTARIO ST,6:23:00 AM,6:55:00 AM,7:28:00 AM,8:02:00 AM,8:30:00 AM,8:58:00 AM,9:29:00 AM,12:48:00 PM,1:19:00 PM,1:50:00 PM,2:53:00 PM,3:24:00 PM,3:57:00 PM,4:30:00 PM,5:03:00 PM,5:37:00 PM,6:08:00 PM,6:35:00 PM
COURTNEYPARK DR at KENNEDY RD,6:27:00 AM,6:59:00 AM,7:32:00 AM,8:06:00 AM,8:33:00 AM,9:01:00 AM,9:32:00 AM,12:51:00 PM,1:22:00 PM,1:53:00 PM,2:56:00 PM,3:27:00 PM,4:01:00 PM,4:34:00 PM,5:06:00 PM,5:40:00 PM,6:11:00 PM,6:38:00 PM
COURTNEYPARK DR at TOMKEN RD,6:29:00 AM,7:02:00 AM,7:35:00 AM,8:09:00 AM,8:36:00 AM,9:04:00 AM,9:35:00 AM,12:54:00 PM,1:25:00 PM,1:56:00 PM,2:59:00 PM,3:30:00 PM,4:04:00 PM,4:37:00 PM,5:09:00 PM,5:43:00 PM,6:14:00 PM,6:41:00 PM
COURTNEYPARK DR at DIXIE RD,6:33:00 AM,7:06:00 AM,7:39:00 AM,8:13:00 AM,8:39:00 AM,9:07:00 AM,9:38:00 AM,12:57:00 PM,1:28:00 PM,1:59:00 PM,3:03:00 PM,3:34:00 PM,4:08:00 PM,4:41:00 PM,5:13:00 PM,5:47:00 PM,6:17:00 PM,6:44:00 PM
COURTNEYPARK DR east of DIXIE RD,6:33:00 AM,7:06:00 AM,7:39:00 AM,8:13:00 AM,8:39:00 AM,9:07:00 AM,9:38:00 AM,12:57:00 PM,1:28:00 PM,1:59:00 PM,3:03:00 PM,3:34:00 PM,4:08:00 PM,4:41:00 PM,5:13:00 PM,5:47:00 PM,6:17:00 PM,6:44:00 PM
