CITY CENTRE BUS TERMINAL PLATFORM I,4:34 AM[c],4:56 AM[c],5:10:00 AM,5:23 AM[c],5:38:00 AM,5:50 AM[c],6:03:00 AM,6:16 AM[c],6:29:00 AM,6:42 AM[c],6:55:00 AM,7:07 AM[c],7:21:00 AM,7:33 AM[c],7:45:00 AM,7:59 AM[c],8:13:00 AM,8:26 AM[c],8:41:00 AM,8:52 AM[c],9:07:00 AM,9:24 AM[c],9:42:00 AM,10:05 AM[c],10:19:00 AM,10:37 AM[c],10:56:00 AM,11:15 AM[c],11:35:00 AM,11:50 AM[c],12:10:00 PM,12:28 PM[c],12:47:00 PM,1:06 PM[c],1:24:00 PM,1:42 PM[c],2:00:00 PM,2:20 PM[c],2:39:00 PM,2:53 PM[c],3:05:00 PM,3:18 PM[c],3:33:00 PM,3:46 PM[c],4:01:00 PM,4:15 PM[c],4:29:00 PM,4:42 PM[c],4:57:00 PM,5:11 PM[c],5:25:00 PM,5:39 PM[c],5:53:00 PM,6:07 PM[c],6:22:00 PM,6:36 PM[c],6:49:00 PM,7:03 PM[c],7:17:00 PM,7:31 PM[c],7:44:00 PM,7:59 PM[c],8:12:00 PM,8:47:00 PM,9:25:00 PM,10:01:00 PM,10:36:00 PM,11:11:00 PM,11:46:00 PM,12:21:00 AM,12:56 AM[b]
MAVIS RD at EGLINTON AVE,4:40 AM[c],5:02 AM[c],5:16:00 AM,5:29 AM[c],5:44:00 AM,5:56 AM[c],6:09:00 AM,6:23 AM[c],6:36:00 AM,6:49 AM[c],7:02:00 AM,7:14 AM[c],7:28:00 AM,7:41 AM[c],7:53:00 AM,8:07 AM[c],8:21:00 AM,8:34 AM[c],8:49:00 AM,9:00 AM[c],9:14:00 AM,9:31 AM[c],9:49:00 AM,10:12 AM[c],10:26:00 AM,10:45 AM[c],11:04:00 AM,11:23 AM[c],11:43:00 AM,11:58 AM[c],12:18:00 PM,12:36 PM[c],12:55:00 PM,1:14 PM[c],1:32:00 PM,1:50 PM[c],2:08:00 PM,2:28 PM[c],2:47:00 PM,3:01 PM[c],3:13:00 PM,3:26 PM[c],3:41:00 PM,3:54 PM[c],4:09:00 PM,4:23 PM[c],4:37:00 PM,4:50 PM[c],5:05:00 PM,5:20 PM[c],5:34:00 PM,5:48 PM[c],6:02:00 PM,6:16 PM[c],6:31:00 PM,6:44 PM[c],6:57:00 PM,7:11 PM[c],7:25:00 PM,7:39 PM[c],7:52:00 PM,8:07 PM[c],8:20:00 PM,8:55:00 PM,9:33:00 PM,10:08:00 PM,10:43:00 PM,11:18:00 PM,11:53:00 PM,12:28:00 AM,1:03 AM[b]
MAVIS RD first stop north of EGLINTON AVE,4:40 AM[c],5:02 AM[c],5:16:00 AM,5:29 AM[c],5:44:00 AM,5:56 AM[c],6:09:00 AM,6:23 AM[c],6:36:00 AM,6:49 AM[c],7:02:00 AM,7:14 AM[c],7:28:00 AM,7:41 AM[c],7:53:00 AM,8:07 AM[c],8:21:00 AM,8:34 AM[c],8:49:00 AM,9:00 AM[c],9:14:00 AM,9:31 AM[c],9:49:00 AM,10:12 AM[c],10:26:00 AM,10:45 AM[c],11:04:00 AM,11:23 AM[c],11:43:00 AM,11:58 AM[c],12:18:00 PM,12:36 PM[c],12:55:00 PM,1:14 PM[c],1:32:00 PM,1:50 PM[c],2:08:00 PM,2:28 PM[c],2:47:00 PM,3:01 PM[c],3:13:00 PM,3:26 PM[c],3:41:00 PM,3:54 PM[c],4:09:00 PM,4:23 PM[c],4:37:00 PM,4:50 PM[c],5:05:00 PM,5:20 PM[c],5:34:00 PM,5:48 PM[c],6:02:00 PM,6:16 PM[c],6:31:00 PM,6:44 PM[c],6:57:00 PM,7:11 PM[c],7:25:00 PM,7:39 PM[c],7:52:00 PM,8:07 PM[c],8:20:00 PM,8:55:00 PM,9:33:00 PM,10:08:00 PM,10:43:00 PM,11:18:00 PM,11:53:00 PM,12:28:00 AM,1:03 AM[b]
MAVIS RD at BRITANNIA RD,4:47 AM[c],5:09 AM[c],5:23:00 AM,5:36 AM[c],5:51:00 AM,6:03 AM[c],6:16:00 AM,6:30 AM[c],6:43:00 AM,6:56 AM[c],7:10:00 AM,7:22 AM[c],7:36:00 AM,7:49 AM[c],8:01:00 AM,8:15 AM[c],8:29:00 AM,8:42 AM[c],8:57:00 AM,9:08 AM[c],9:22:00 AM,9:39 AM[c],9:57:00 AM,10:20 AM[c],10:34:00 AM,10:53 AM[c],11:12:00 AM,11:31 AM[c],11:51:00 AM,12:06 PM[c],12:26:00 PM,12:44 PM[c],1:03:00 PM,1:22 PM[c],1:40:00 PM,1:58 PM[c],2:17:00 PM,2:37 PM[c],2:56:00 PM,3:10 PM[c],3:22:00 PM,3:36 PM[c],3:51:00 PM,4:04 PM[c],4:19:00 PM,4:33 PM[c],4:47:00 PM,5:00 PM[c],5:15:00 PM,5:30 PM[c],5:44:00 PM,5:58 PM[c],6:12:00 PM,6:26 PM[c],6:40:00 PM,6:53 PM[c],7:05:00 PM,7:19 PM[c],7:33:00 PM,7:47 PM[c],8:00:00 PM,8:15 PM[c],8:28:00 PM,9:03:00 PM,9:41:00 PM,10:16:00 PM,10:51:00 PM,11:26:00 PM,12:01:00 AM,12:36:00 AM,1:11 AM[b]
MAVIS RD north of NOVO STAR DR,4:53 AM[c],5:15 AM[c],5:29:00 AM,5:42 AM[c],5:57:00 AM,6:09 AM[c],6:23:00 AM,6:37 AM[c],6:50:00 AM,7:03 AM[c],7:17:00 AM,7:30 AM[c],7:44:00 AM,7:57 AM[c],8:09:00 AM,8:23 AM[c],8:36:00 AM,8:49 AM[c],9:03:00 AM,9:14 AM[c],9:28:00 AM,9:44 AM[c],10:02:00 AM,10:25 AM[c],10:40:00 AM,10:59 AM[c],11:18:00 AM,11:38 AM[c],11:57:00 AM,12:13 PM[c],12:32:00 PM,12:51 PM[c],1:09:00 PM,1:29 PM[c],1:46:00 PM,2:05 PM[c],2:24:00 PM,2:45 PM[c],3:04:00 PM,3:18 PM[c],3:30:00 PM,3:44 PM[c],3:59:00 PM,4:12 PM[c],4:27:00 PM,4:41 PM[c],4:55:00 PM,5:08 PM[c],5:23:00 PM,5:38 PM[c],5:52:00 PM,6:06 PM[c],6:19:00 PM,6:33 PM[c],6:47:00 PM,7:00 PM[c],7:12:00 PM,7:26 PM[c],7:40:00 PM,7:54 PM[c],8:07:00 PM,8:22 PM[c],8:35:00 PM,9:10:00 PM,9:48:00 PM,10:22:00 PM,10:57:00 PM,11:32:00 PM,12:07:00 AM,12:42:00 AM,1:17 AM[b]
ENVOY DR at TABBYMAN WALK,5:31:00 AM,5:59:00 AM,6:25:00 AM,6:52:00 AM,7:19:00 AM,7:46:00 AM,8:11:00 AM,8:38:00 AM,9:05:00 AM,9:30:00 AM,10:04:00 AM,10:42:00 AM,11:20:00 AM,11:59:00 AM,12:34:00 PM,1:11:00 PM,1:48:00 PM,2:26:00 PM,3:06:00 PM,3:32:00 PM,4:01:00 PM,4:29:00 PM,4:57:00 PM,5:25:00 PM,5:54:00 PM,6:21:00 PM,6:49:00 PM,7:14:00 PM,7:42:00 PM,8:09:00 PM,8:37:00 PM,9:12:00 PM,9:50:00 PM,10:24:00 PM,10:59:00 PM,11:34:00 PM,12:09:00 AM,12:44:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERRY RD at BELLSHIRE GATE,5:35:00 AM,6:03:00 AM,6:29:00 AM,6:56:00 AM,7:23:00 AM,7:50:00 AM,8:15:00 AM,8:42:00 AM,9:09:00 AM,9:34:00 AM,10:08:00 AM,10:46:00 AM,11:24:00 AM,12:03:00 PM,12:38:00 PM,1:15:00 PM,1:52:00 PM,2:30:00 PM,3:10:00 PM,3:36:00 PM,4:05:00 PM,4:33:00 PM,5:01:00 PM,5:30:00 PM,5:59:00 PM,6:25:00 PM,6:53:00 PM,7:18:00 PM,7:46:00 PM,8:13:00 PM,8:41:00 PM,9:16:00 PM,9:54:00 PM,10:28:00 PM,11:03:00 PM,11:38:00 PM,12:13:00 AM,12:48:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCIAL DR FIRST STOP south of SYNTEX CRT,5:41:00 AM,6:09:00 AM,6:35:00 AM,7:02:00 AM,7:29:00 AM,7:56:00 AM,8:21:00 AM,8:48:00 AM,9:15:00 AM,9:40:00 AM,10:13:00 AM,10:51:00 AM,11:29:00 AM,12:08:00 PM,12:43:00 PM,1:20:00 PM,1:57:00 PM,2:36:00 PM,3:16:00 PM,3:43:00 PM,4:12:00 PM,4:40:00 PM,5:08:00 PM,5:36:00 PM,6:05:00 PM,6:31:00 PM,6:59:00 PM,7:24:00 PM,7:52:00 PM,8:19:00 PM,8:47:00 PM,9:22:00 PM,10:00:00 PM,10:34:00 PM,11:09:00 PM,11:44:00 PM,12:19:00 AM,12:54:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAVIS RD at KAISER DR,4:55 AM[c],5:17 AM[c],5:44 AM[c],6:11 AM[c],6:39 AM[c],7:05 AM[c],7:32 AM[c],7:59 AM[c],8:25 AM[c],8:51 AM[c],9:16 AM[c],9:46 AM[c],10:27 AM[c],11:01 AM[c],11:40 AM[c],12:15 PM[c],12:53 PM[c],1:31 PM[c],2:07 PM[c],2:47 PM[c],3:20 PM[c],3:46 PM[c],4:14 PM[c],4:43 PM[c],5:10 PM[c],5:40 PM[c],6:08 PM[c],6:35 PM[c],7:02 PM[c],7:28 PM[c],7:56 PM[c],8:24 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHERIDAN COLLEGE BRAMPTON CAMPUS PLATFORM B,5:02 AM[c],5:24 AM[c],5:51 AM[c],6:19 AM[c],6:47 AM[c],7:13 AM[c],7:40 AM[c],8:07 AM[c],8:33 AM[c],8:59 AM[c],9:24 AM[c],9:53 AM[c],10:34 AM[c],11:08 AM[c],11:47 AM[c],12:22 PM[c],1:00 PM[c],1:38 PM[c],2:14 PM[c],2:55 PM[c],3:29 PM[c],3:55 PM[c],4:23 PM[c],4:52 PM[c],5:19 PM[c],5:49 PM[c],6:17 PM[c],6:43 PM[c],7:10 PM[c],7:35 PM[c],8:03 PM[c],8:31 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
