CITY CENTRE BUS TERMINAL PLATFORM H,6:12:00 AM,6:52:00 AM,7:32:00 AM,8:12:00 AM,8:52:00 AM,9:32:00 AM,10:12:00 AM,10:52:00 AM,11:32:00 AM,12:12:00 PM,12:54:00 PM,1:32:00 PM,2:12:00 PM,2:52:00 PM,3:32:00 PM,4:12:00 PM,4:52:00 PM,5:32:00 PM,6:12:00 PM,6:52:00 PM,7:32:00 PM,8:12:00 PM,8:52:00 PM,9:32:00 PM,10:16:00 PM
CENTRAL PKY at CENTRAL PKY STATION,6:17:00 AM,6:57:00 AM,7:37:00 AM,8:17:00 AM,8:57:00 AM,9:37:00 AM,10:17:00 AM,10:57:00 AM,11:37:00 AM,12:17:00 PM,12:59:00 PM,1:37:00 PM,2:17:00 PM,2:57:00 PM,3:37:00 PM,4:17:00 PM,4:57:00 PM,5:37:00 PM,6:17:00 PM,6:57:00 PM,7:37:00 PM,8:17:00 PM,8:57:00 PM,9:37:00 PM,10:21:00 PM
CENTRAL PKY at EGLINTON AVE,6:20:00 AM,7:00:00 AM,7:40:00 AM,8:20:00 AM,9:00:00 AM,9:40:00 AM,10:20:00 AM,11:00:00 AM,11:40:00 AM,12:20:00 PM,1:02:00 PM,1:40:00 PM,2:20:00 PM,3:00:00 PM,3:40:00 PM,4:20:00 PM,5:00:00 PM,5:40:00 PM,6:20:00 PM,7:00:00 PM,7:40:00 PM,8:20:00 PM,9:00:00 PM,9:40:00 PM,10:24:00 PM
DAKOTA RD at NAHANI WAY,6:21:00 AM,7:01:00 AM,7:41:00 AM,8:21:00 AM,9:01:00 AM,9:41:00 AM,10:21:00 AM,11:01:00 AM,11:41:00 AM,12:21:00 PM,1:03:00 PM,1:41:00 PM,2:21:00 PM,3:01:00 PM,3:41:00 PM,4:21:00 PM,5:01:00 PM,5:41:00 PM,6:21:00 PM,7:01:00 PM,7:41:00 PM,8:21:00 PM,9:01:00 PM,9:41:00 PM,10:25:00 PM
NAHANI WAY at THORNWOOD DR,6:23:00 AM,7:03:00 AM,7:43:00 AM,8:23:00 AM,9:03:00 AM,9:43:00 AM,10:23:00 AM,11:03:00 AM,11:43:00 AM,12:23:00 PM,1:05:00 PM,1:43:00 PM,2:23:00 PM,3:03:00 PM,3:43:00 PM,4:23:00 PM,5:03:00 PM,5:43:00 PM,6:23:00 PM,7:03:00 PM,7:43:00 PM,8:23:00 PM,9:03:00 PM,9:43:00 PM,10:27:00 PM
HURONTARIO ST at BRISTOL RD E,6:26:00 AM,7:06:00 AM,7:46:00 AM,8:26:00 AM,9:06:00 AM,9:46:00 AM,10:26:00 AM,11:06:00 AM,11:46:00 AM,12:26:00 PM,1:08:00 PM,1:46:00 PM,2:26:00 PM,3:06:00 PM,3:46:00 PM,4:26:00 PM,5:06:00 PM,5:46:00 PM,6:26:00 PM,7:06:00 PM,7:46:00 PM,8:26:00 PM,9:06:00 PM,9:46:00 PM,10:30:00 PM
BARONDALE DR at BRISTOL RD,6:29:00 AM,7:09:00 AM,7:49:00 AM,8:29:00 AM,9:09:00 AM,9:49:00 AM,10:29:00 AM,11:09:00 AM,11:49:00 AM,12:29:00 PM,1:11:00 PM,1:49:00 PM,2:29:00 PM,3:09:00 PM,3:49:00 PM,4:29:00 PM,5:09:00 PM,5:49:00 PM,6:29:00 PM,7:09:00 PM,7:49:00 PM,8:29:00 PM,9:09:00 PM,9:49:00 PM,10:33:00 PM
BRISTOL RD at GRAND HIGHLAND WAY,6:29:00 AM,7:09:00 AM,7:49:00 AM,8:29:00 AM,9:09:00 AM,9:49:00 AM,10:29:00 AM,11:09:00 AM,11:49:00 AM,12:29:00 PM,1:11:00 PM,1:49:00 PM,2:29:00 PM,3:09:00 PM,3:49:00 PM,4:29:00 PM,5:09:00 PM,5:49:00 PM,6:29:00 PM,7:09:00 PM,7:49:00 PM,8:29:00 PM,9:09:00 PM,9:49:00 PM,10:33:00 PM
BRISTOL RD at WILDWOOD TRAIL,6:31:00 AM,7:11:00 AM,7:51:00 AM,8:31:00 AM,9:11:00 AM,9:51:00 AM,10:31:00 AM,11:11:00 AM,11:51:00 AM,12:31:00 PM,1:13:00 PM,1:51:00 PM,2:31:00 PM,3:11:00 PM,3:51:00 PM,4:31:00 PM,5:11:00 PM,5:51:00 PM,6:31:00 PM,7:11:00 PM,7:51:00 PM,8:31:00 PM,9:11:00 PM,9:51:00 PM,10:35:00 PM
TRAILWOOD DR at LONGHORN TRAIL,6:32:00 AM,7:12:00 AM,7:52:00 AM,8:32:00 AM,9:12:00 AM,9:52:00 AM,10:32:00 AM,11:12:00 AM,11:52:00 AM,12:32:00 PM,1:14:00 PM,1:52:00 PM,2:32:00 PM,3:12:00 PM,3:52:00 PM,4:32:00 PM,5:12:00 PM,5:52:00 PM,6:32:00 PM,7:12:00 PM,7:52:00 PM,8:32:00 PM,9:12:00 PM,9:52:00 PM,10:36:00 PM
THORNWOOD DR at SPRINGBOK CRES,6:33:00 AM,7:13:00 AM,7:53:00 AM,8:33:00 AM,9:13:00 AM,9:53:00 AM,10:33:00 AM,11:13:00 AM,11:53:00 AM,12:33:00 PM,1:15:00 PM,1:53:00 PM,2:33:00 PM,3:13:00 PM,3:53:00 PM,4:33:00 PM,5:13:00 PM,5:53:00 PM,6:33:00 PM,7:13:00 PM,7:53:00 PM,8:33:00 PM,9:13:00 PM,9:53:00 PM,10:37:00 PM
NAHANI WAY at FORUM DR,6:33:00 AM,7:13:00 AM,7:53:00 AM,8:33:00 AM,9:13:00 AM,9:53:00 AM,10:33:00 AM,11:13:00 AM,11:53:00 AM,12:33:00 PM,1:15:00 PM,1:53:00 PM,2:33:00 PM,3:13:00 PM,3:53:00 PM,4:33:00 PM,5:13:00 PM,5:53:00 PM,6:33:00 PM,7:13:00 PM,7:53:00 PM,8:33:00 PM,9:13:00 PM,9:53:00 PM,10:37:00 PM
NAHANI WAY at OJIBWAY TRAIL,6:34:00 AM,7:14:00 AM,7:54:00 AM,8:34:00 AM,9:14:00 AM,9:54:00 AM,10:34:00 AM,11:14:00 AM,11:54:00 AM,12:34:00 PM,1:16:00 PM,1:54:00 PM,2:34:00 PM,3:14:00 PM,3:54:00 PM,4:34:00 PM,5:14:00 PM,5:54:00 PM,6:34:00 PM,7:14:00 PM,7:54:00 PM,8:34:00 PM,9:14:00 PM,9:54:00 PM,10:38:00 PM
