SHERIDAN COLLEGE BRAMPTON CAMPUS,6:11:00 AM,6:32:00 AM,6:51:00 AM,7:07:00 AM,7:19 AM[G],7:22:00 AM,7:38:00 AM,7:53:00 AM,8:09:00 AM,8:24:00 AM,8:40:00 AM,8:55:00 AM,9:11:00 AM,9:26:00 AM,9:38:00 AM,9:52:00 AM,10:06:00 AM,10:19:00 AM,10:39:00 AM,11:00:00 AM,11:21:00 AM,11:42:00 AM,12:03:00 PM,12:24:00 PM,12:45:00 PM,1:06:00 PM,1:27:00 PM,1:51:00 PM,2:12:00 PM,2:33:00 PM,2:48:00 PM,3:04:00 PM,3:19:00 PM,3:34:00 PM,3:50:00 PM,4:05:00 PM,4:21:00 PM,4:36:00 PM,4:52:00 PM,5:07:00 PM,5:23:00 PM,5:38:00 PM,5:54:00 PM,6:09:00 PM,6:25:00 PM,6:40:00 PM,6:56:00 PM,7:09:00 PM,7:22:00 PM,7:36:00 PM,7:52:00 PM,8:19:00 PM,8:47:00 PM,9:15:00 PM,9:43:00 PM,10:11:00 PM,10:39:00 PM,11:07:00 PM,11:35:00 PM,12:03:00 AM,12:31:00 AM
MCLAUGHLIN RD at DERRY RD,6:19:00 AM,6:40:00 AM,6:59:00 AM,7:15:00 AM,7:27 AM[G],7:30:00 AM,7:46:00 AM,8:01:00 AM,8:17:00 AM,8:32:00 AM,8:48:00 AM,9:03:00 AM,9:19:00 AM,9:34:00 AM,9:45:00 AM,9:59:00 AM,10:13:00 AM,10:26:00 AM,10:46:00 AM,11:07:00 AM,11:28:00 AM,11:49:00 AM,12:10:00 PM,12:31:00 PM,12:52:00 PM,1:13:00 PM,1:34:00 PM,1:58:00 PM,2:19:00 PM,2:41:00 PM,2:56:00 PM,3:12:00 PM,3:27:00 PM,3:42:00 PM,3:58:00 PM,4:13:00 PM,4:29:00 PM,4:44:00 PM,5:00:00 PM,5:15:00 PM,5:31:00 PM,5:46:00 PM,6:02:00 PM,6:17:00 PM,6:33:00 PM,6:48:00 PM,7:04:00 PM,7:17:00 PM,7:28:00 PM,7:42:00 PM,7:58:00 PM,8:25:00 PM,8:53:00 PM,9:21:00 PM,9:49:00 PM,10:17:00 PM,10:45:00 PM,11:13:00 PM,11:41:00 PM,12:09:00 AM,12:37:00 AM
MCLAUGHLIN RD at COURTNEYPARK DR,6:23:00 AM,6:44:00 AM,7:03:00 AM,7:19:00 AM,7:31 AM[G],7:34:00 AM,7:50:00 AM,8:05:00 AM,8:21:00 AM,8:36:00 AM,8:52:00 AM,9:07:00 AM,9:23:00 AM,9:37:00 AM,9:48:00 AM,10:02:00 AM,10:16:00 AM,10:29:00 AM,10:49:00 AM,11:10:00 AM,11:31:00 AM,11:52:00 AM,12:13:00 PM,12:34:00 PM,12:55:00 PM,1:16:00 PM,1:37:00 PM,2:01:00 PM,2:22:00 PM,2:45:00 PM,3:00:00 PM,3:16:00 PM,3:31:00 PM,3:46:00 PM,4:02:00 PM,4:17:00 PM,4:33:00 PM,4:48:00 PM,5:04:00 PM,5:19:00 PM,5:35:00 PM,5:50:00 PM,6:06:00 PM,6:21:00 PM,6:37:00 PM,6:52:00 PM,7:08:00 PM,7:21:00 PM,7:31:00 PM,7:45:00 PM,8:01:00 PM,8:28:00 PM,8:56:00 PM,9:24:00 PM,9:52:00 PM,10:20:00 PM,10:48:00 PM,11:16:00 PM,11:44:00 PM,12:12:00 AM,12:40:00 AM
MCLAUGHLIN RD north of BRITANNIA RD,6:27:00 AM,6:48:00 AM,7:07:00 AM,7:23:00 AM,7:35 AM[G],7:38:00 AM,7:54:00 AM,8:09:00 AM,8:25:00 AM,8:40:00 AM,8:56:00 AM,9:11:00 AM,9:27:00 AM,9:40:00 AM,9:51:00 AM,10:05:00 AM,10:19:00 AM,10:32:00 AM,10:52:00 AM,11:13:00 AM,11:34:00 AM,11:55:00 AM,12:16:00 PM,12:37:00 PM,12:58:00 PM,1:19:00 PM,1:40:00 PM,2:04:00 PM,2:25:00 PM,2:50:00 PM,3:05:00 PM,3:21:00 PM,3:36:00 PM,3:51:00 PM,4:07:00 PM,4:22:00 PM,4:38:00 PM,4:53:00 PM,5:09:00 PM,5:24:00 PM,5:40:00 PM,5:55:00 PM,6:11:00 PM,6:26:00 PM,6:42:00 PM,6:57:00 PM,7:13:00 PM,7:24:00 PM,7:34:00 PM,7:48:00 PM,8:04:00 PM,8:31:00 PM,8:59:00 PM,9:27:00 PM,9:55:00 PM,10:23:00 PM,10:51:00 PM,11:19:00 PM,11:47:00 PM,12:15:00 AM,12:43:00 AM
MCLAUGHLIN RD south of BRITANNIA RD,6:28:00 AM,6:49:00 AM,7:08:00 AM,7:24:00 AM,7:36 AM[G],7:39:00 AM,7:55:00 AM,8:10:00 AM,8:26:00 AM,8:41:00 AM,8:57:00 AM,9:12:00 AM,9:27:00 AM,9:40:00 AM,9:51:00 AM,10:05:00 AM,10:19:00 AM,10:32:00 AM,10:52:00 AM,11:13:00 AM,11:34:00 AM,11:55:00 AM,12:16:00 PM,12:37:00 PM,12:58:00 PM,1:19:00 PM,1:40:00 PM,2:04:00 PM,2:25:00 PM,2:51:00 PM,3:06:00 PM,3:22:00 PM,3:37:00 PM,3:52:00 PM,4:08:00 PM,4:23:00 PM,4:39:00 PM,4:54:00 PM,5:10:00 PM,5:25:00 PM,5:41:00 PM,5:56:00 PM,6:12:00 PM,6:27:00 PM,6:43:00 PM,6:58:00 PM,7:14:00 PM,7:24:00 PM,7:34:00 PM,7:48:00 PM,8:04:00 PM,8:31:00 PM,8:59:00 PM,9:27:00 PM,9:55:00 PM,10:23:00 PM,10:51:00 PM,11:19:00 PM,11:47:00 PM,12:15:00 AM,12:43:00 AM
MCLAUGHLIN RD at BRISTOL RD,6:34:00 AM,6:55:00 AM,7:14:00 AM,7:30:00 AM,7:42 AM[G],7:45:00 AM,8:01:00 AM,8:16:00 AM,8:32:00 AM,8:47:00 AM,9:03:00 AM,9:18:00 AM,9:33:00 AM,9:46:00 AM,9:57:00 AM,10:11:00 AM,10:25:00 AM,10:38:00 AM,10:58:00 AM,11:19:00 AM,11:40:00 AM,12:01:00 PM,12:22:00 PM,12:43:00 PM,1:04:00 PM,1:25:00 PM,1:46:00 PM,2:10:00 PM,2:31:00 PM,2:57:00 PM,3:12:00 PM,3:28:00 PM,3:43:00 PM,3:58:00 PM,4:14:00 PM,4:29:00 PM,4:45:00 PM,5:00:00 PM,5:16:00 PM,5:31:00 PM,5:47:00 PM,6:02:00 PM,6:18:00 PM,6:33:00 PM,6:49:00 PM,7:04:00 PM,7:20:00 PM,7:29:00 PM,7:39:00 PM,7:53:00 PM,8:09:00 PM,8:36:00 PM,9:04:00 PM,9:32:00 PM,10:00:00 PM,10:28:00 PM,10:56:00 PM,11:24:00 PM,11:52:00 PM,12:20:00 AM,12:48:00 AM
MCLAUGHLIN RD at EGLINTON AVE,6:37:00 AM,6:58:00 AM,7:17:00 AM,7:33:00 AM,7:45 AM[G],7:48:00 AM,8:04:00 AM,8:19:00 AM,8:35:00 AM,8:50:00 AM,9:06:00 AM,9:21:00 AM,9:35:00 AM,9:48:00 AM,9:59:00 AM,10:13:00 AM,10:27:00 AM,10:40:00 AM,11:00:00 AM,11:21:00 AM,11:42:00 AM,12:03:00 PM,12:24:00 PM,12:45:00 PM,1:06:00 PM,1:27:00 PM,1:48:00 PM,2:12:00 PM,2:34:00 PM,3:00:00 PM,3:15:00 PM,3:31:00 PM,3:46:00 PM,4:01:00 PM,4:17:00 PM,4:32:00 PM,4:48:00 PM,5:03:00 PM,5:19:00 PM,5:34:00 PM,5:50:00 PM,6:05:00 PM,6:21:00 PM,6:36:00 PM,6:52:00 PM,7:07:00 PM,7:22:00 PM,7:31:00 PM,7:41:00 PM,7:55:00 PM,8:11:00 PM,8:38:00 PM,9:06:00 PM,9:34:00 PM,10:02:00 PM,10:30:00 PM,10:58:00 PM,11:26:00 PM,11:54:00 PM,12:22:00 AM,12:50:00 AM
CONFEDERATION PKY at EGLINTON AVE,6:37:00 AM,6:58:00 AM,7:17:00 AM,7:33:00 AM,7:45 AM[G],7:48:00 AM,8:04:00 AM,8:19:00 AM,8:35:00 AM,8:50:00 AM,9:06:00 AM,9:21:00 AM,9:35:00 AM,9:48:00 AM,9:59:00 AM,10:13:00 AM,10:27:00 AM,10:40:00 AM,11:00:00 AM,11:21:00 AM,11:42:00 AM,12:03:00 PM,12:24:00 PM,12:45:00 PM,1:06:00 PM,1:27:00 PM,1:48:00 PM,2:12:00 PM,2:34:00 PM,3:00:00 PM,3:15:00 PM,3:31:00 PM,3:46:00 PM,4:01:00 PM,4:17:00 PM,4:32:00 PM,4:48:00 PM,5:03:00 PM,5:19:00 PM,5:34:00 PM,5:50:00 PM,6:05:00 PM,6:21:00 PM,6:36:00 PM,6:52:00 PM,7:07:00 PM,7:22:00 PM,7:31:00 PM,7:41:00 PM,7:55:00 PM,8:11:00 PM,8:38:00 PM,9:06:00 PM,9:34:00 PM,10:02:00 PM,10:30:00 PM,10:58:00 PM,11:26:00 PM,11:54:00 PM,12:22:00 AM,12:50:00 AM
RATHBURN RD at CONFEDERATION PKY,6:42:00 AM,7:03:00 AM,7:22:00 AM,7:38:00 AM,7:50 AM[G],7:53:00 AM,8:09:00 AM,8:24:00 AM,8:40:00 AM,8:55:00 AM,9:11:00 AM,9:26:00 AM,9:38:00 AM,9:51:00 AM,10:02:00 AM,10:16:00 AM,10:30:00 AM,10:43:00 AM,11:03:00 AM,11:24:00 AM,11:45:00 AM,12:06:00 PM,12:27:00 PM,12:48:00 PM,1:09:00 PM,1:30:00 PM,1:51:00 PM,2:15:00 PM,2:38:00 PM,3:04:00 PM,3:19:00 PM,3:35:00 PM,3:50:00 PM,4:05:00 PM,4:21:00 PM,4:36:00 PM,4:52:00 PM,5:07:00 PM,5:23:00 PM,5:38:00 PM,5:54:00 PM,6:09:00 PM,6:25:00 PM,6:40:00 PM,6:56:00 PM,7:11:00 PM,7:25:00 PM,7:34:00 PM,7:44:00 PM,7:58:00 PM,8:14:00 PM,8:41:00 PM,9:09:00 PM,9:37:00 PM,10:05:00 PM,10:33:00 PM,11:01:00 PM,11:29:00 PM,11:57:00 PM,12:25:00 AM,12:53:00 AM
CITY CENTRE BUS TERMINAL PLATFORM L,6:44:00 AM,7:05:00 AM,7:24:00 AM,7:40:00 AM,7:52 AM[G],7:55:00 AM,8:11:00 AM,8:26:00 AM,8:42:00 AM,8:57:00 AM,9:13:00 AM,9:28:00 AM,9:40:00 AM,9:53:00 AM,10:04:00 AM,10:18:00 AM,10:32:00 AM,10:45:00 AM,11:05:00 AM,11:26:00 AM,11:47:00 AM,12:08:00 PM,12:29:00 PM,12:50:00 PM,1:11:00 PM,1:32:00 PM,1:53:00 PM,2:17:00 PM,2:40:00 PM,3:06:00 PM,3:21:00 PM,3:37:00 PM,3:52:00 PM,4:07:00 PM,4:23:00 PM,4:38:00 PM,4:54:00 PM,5:09:00 PM,5:25:00 PM,5:40:00 PM,5:56:00 PM,6:11:00 PM,6:27:00 PM,6:42:00 PM,6:58:00 PM,7:13:00 PM,7:27:00 PM,7:36:00 PM,7:46:00 PM,8:00:00 PM,8:16:00 PM,8:43:00 PM,9:11:00 PM,9:39:00 PM,10:07:00 PM,10:35:00 PM,11:03:00 PM,11:31:00 PM,11:59:00 PM,12:27:00 AM,12:55:00 AM
