CITY CENTRE BUS TERMINAL PLATFORM I,5:11:00 AM,5:40:00 AM,5:59:00 AM,6:20:00 AM,6:41:00 AM,7:04:00 AM,7:26:00 AM,7:48:00 AM,8:10:00 AM,8:32:00 AM,8:54:00 AM,9:34:00 AM,10:14:00 AM,10:54:00 AM,11:34:00 AM,12:16:00 PM,12:54:00 PM,1:34:00 PM,2:14:00 PM,2:36:00 PM,2:58:00 PM,3:20:00 PM,3:42:00 PM,4:04:00 PM,4:27:00 PM,4:48:00 PM,5:10:00 PM,5:31:00 PM,5:55:00 PM,6:16:00 PM,6:38:00 PM,7:01:00 PM,7:26:00 PM,8:08:00 PM,8:48:00 PM,9:28:00 PM,10:08:00 PM,10:48:00 PM,11:28:00 PM,12:08:00 AM
KINGSBRIDGE GARDEN CIRCLE at DUNEDIN CRES,5:18:00 AM,5:47:00 AM,6:06:00 AM,6:28:00 AM,6:49:00 AM,7:12:00 AM,7:34:00 AM,7:56:00 AM,8:18:00 AM,8:40:00 AM,9:01:00 AM,9:41:00 AM,10:21:00 AM,11:01:00 AM,11:41:00 AM,12:23:00 PM,1:01:00 PM,1:41:00 PM,2:21:00 PM,2:44:00 PM,3:06:00 PM,3:28:00 PM,3:50:00 PM,4:12:00 PM,4:35:00 PM,4:56:00 PM,5:18:00 PM,5:39:00 PM,6:03:00 PM,6:24:00 PM,6:46:00 PM,7:08:00 PM,7:33:00 PM,8:15:00 PM,8:55:00 PM,9:35:00 PM,10:15:00 PM,10:55:00 PM,11:35:00 PM,12:15:00 AM
EGLINTON AVE at GUILDWOOD WAY,5:22:00 AM,5:51:00 AM,6:10:00 AM,6:33:00 AM,6:54:00 AM,7:17:00 AM,7:39:00 AM,8:01:00 AM,8:23:00 AM,8:45:00 AM,9:05:00 AM,9:45:00 AM,10:25:00 AM,11:05:00 AM,11:45:00 AM,12:27:00 PM,1:05:00 PM,1:45:00 PM,2:25:00 PM,2:49:00 PM,3:11:00 PM,3:33:00 PM,3:55:00 PM,4:17:00 PM,4:40:00 PM,5:01:00 PM,5:23:00 PM,5:44:00 PM,6:08:00 PM,6:29:00 PM,6:51:00 PM,7:12:00 PM,7:37:00 PM,8:19:00 PM,8:59:00 PM,9:39:00 PM,10:19:00 PM,10:59:00 PM,11:39:00 PM,12:19:00 AM
GUILDWOOD WAY at GALAXY CRT,5:23:00 AM,5:52:00 AM,6:11:00 AM,6:34:00 AM,6:55:00 AM,7:18:00 AM,7:40:00 AM,8:02:00 AM,8:24:00 AM,8:46:00 AM,9:06:00 AM,9:46:00 AM,10:26:00 AM,11:06:00 AM,11:46:00 AM,12:28:00 PM,1:06:00 PM,1:46:00 PM,2:26:00 PM,2:50:00 PM,3:12:00 PM,3:34:00 PM,3:56:00 PM,4:18:00 PM,4:41:00 PM,5:02:00 PM,5:24:00 PM,5:45:00 PM,6:09:00 PM,6:30:00 PM,6:52:00 PM,7:13:00 PM,7:38:00 PM,8:20:00 PM,9:00:00 PM,9:40:00 PM,10:20:00 PM,11:00:00 PM,11:40:00 PM,12:20:00 AM
WINTERTON WAY at STAPLEFORD TERRACE,5:24:00 AM,5:53:00 AM,6:12:00 AM,6:35:00 AM,6:56:00 AM,7:19:00 AM,7:41:00 AM,8:03:00 AM,8:25:00 AM,8:47:00 AM,9:07:00 AM,9:47:00 AM,10:27:00 AM,11:07:00 AM,11:47:00 AM,12:29:00 PM,1:07:00 PM,1:47:00 PM,2:27:00 PM,2:51:00 PM,3:13:00 PM,3:35:00 PM,3:57:00 PM,4:19:00 PM,4:42:00 PM,5:03:00 PM,5:25:00 PM,5:46:00 PM,6:10:00 PM,6:31:00 PM,6:53:00 PM,7:14:00 PM,7:39:00 PM,8:21:00 PM,9:01:00 PM,9:41:00 PM,10:21:00 PM,11:01:00 PM,11:41:00 PM,12:21:00 AM
WINTERTON WAY at MAVIS RD,5:25:00 AM,5:55:00 AM,6:14:00 AM,6:37:00 AM,6:58:00 AM,7:21:00 AM,7:43:00 AM,8:05:00 AM,8:27:00 AM,8:49:00 AM,9:08:00 AM,9:48:00 AM,10:28:00 AM,11:08:00 AM,11:48:00 AM,12:30:00 PM,1:08:00 PM,1:48:00 PM,2:29:00 PM,2:53:00 PM,3:15:00 PM,3:37:00 PM,3:59:00 PM,4:21:00 PM,4:44:00 PM,5:05:00 PM,5:27:00 PM,5:48:00 PM,6:12:00 PM,6:33:00 PM,6:55:00 PM,7:16:00 PM,7:40:00 PM,8:22:00 PM,9:02:00 PM,9:42:00 PM,10:22:00 PM,11:02:00 PM,11:42:00 PM,12:22:00 AM
LISMIC BLVD at WINDSOR HILL BLVD,5:28:00 AM,5:58:00 AM,6:17:00 AM,6:40:00 AM,7:01:00 AM,7:24:00 AM,7:46:00 AM,8:08:00 AM,8:30:00 AM,8:52:00 AM,9:11:00 AM,9:51:00 AM,10:31:00 AM,11:11:00 AM,11:51:00 AM,12:33:00 PM,1:11:00 PM,1:51:00 PM,2:32:00 PM,2:56:00 PM,3:18:00 PM,3:40:00 PM,4:02:00 PM,4:24:00 PM,4:47:00 PM,5:08:00 PM,5:30:00 PM,5:51:00 PM,6:15:00 PM,6:36:00 PM,6:58:00 PM,7:19:00 PM,7:43:00 PM,8:25:00 PM,9:05:00 PM,9:45:00 PM,10:25:00 PM,11:05:00 PM,11:45:00 PM,12:25:00 AM
WINTERTON WAY at MAVIS RD,5:33:00 AM,6:03:00 AM,6:22:00 AM,6:45:00 AM,7:06:00 AM,7:29:00 AM,7:51:00 AM,8:13:00 AM,8:35:00 AM,8:57:00 AM,9:16:00 AM,9:56:00 AM,10:36:00 AM,11:16:00 AM,11:56:00 AM,12:38:00 PM,1:16:00 PM,1:56:00 PM,2:37:00 PM,3:01:00 PM,3:23:00 PM,3:45:00 PM,4:07:00 PM,4:29:00 PM,4:52:00 PM,5:13:00 PM,5:35:00 PM,5:56:00 PM,6:20:00 PM,6:41:00 PM,7:03:00 PM,7:24:00 PM,7:48:00 PM,8:30:00 PM,9:10:00 PM,9:50:00 PM,10:30:00 PM,11:10:00 PM,11:50:00 PM,12:30:00 AM
WINTERTON WAY at GUILDWOOD WAY,5:35:00 AM,6:05:00 AM,6:24:00 AM,6:47:00 AM,7:08:00 AM,7:31:00 AM,7:53:00 AM,8:15:00 AM,8:37:00 AM,8:59:00 AM,9:18:00 AM,9:58:00 AM,10:38:00 AM,11:18:00 AM,11:58:00 AM,12:40:00 PM,1:18:00 PM,1:58:00 PM,2:39:00 PM,3:03:00 PM,3:25:00 PM,3:47:00 PM,4:09:00 PM,4:31:00 PM,4:54:00 PM,5:15:00 PM,5:37:00 PM,5:58:00 PM,6:22:00 PM,6:43:00 PM,7:05:00 PM,7:26:00 PM,7:50:00 PM,8:32:00 PM,9:12:00 PM,9:52:00 PM,10:32:00 PM,11:12:00 PM,11:52:00 PM,12:32:00 AM
GUILDWOOD WAY at CONSTELLATION DR,5:36:00 AM,6:06:00 AM,6:25:00 AM,6:48:00 AM,7:09:00 AM,7:32:00 AM,7:54:00 AM,8:16:00 AM,8:38:00 AM,9:00:00 AM,9:19:00 AM,9:59:00 AM,10:39:00 AM,11:19:00 AM,11:59:00 AM,12:41:00 PM,1:19:00 PM,1:59:00 PM,2:40:00 PM,3:04:00 PM,3:26:00 PM,3:48:00 PM,4:10:00 PM,4:32:00 PM,4:55:00 PM,5:16:00 PM,5:38:00 PM,5:59:00 PM,6:23:00 PM,6:44:00 PM,7:06:00 PM,7:27:00 PM,7:51:00 PM,8:33:00 PM,9:13:00 PM,9:53:00 PM,10:33:00 PM,11:13:00 PM,11:53:00 PM,12:33:00 AM
